Time,Mass,Heat release,Back surface temperature
[s],[g],[kW/m2],[K]
1,79.79,0.93,296.3
2,79.75,0.73,296.4
3,79.73,0.48,296.3
4,79.73,0.34,297.4
5,79.71,0.41,297.3
6,79.7,0.69,297.3
7,79.72,0.91,297.3
8,79.71,0.69,297.3
9,79.69,0.41,297.1
10,79.66,0.32,297.3
11,79.66,0.42,296.6
12,79.69,0.73,296.7
13,79.69,0.88,296.7
14,79.66,0.64,296.8
15,79.6,0.4,296.8
16,79.5,0.35,296.7
17,79.35,0.46,296.8
18,79.19,0.83,296.7
19,78.98,0.87,296.9
20,78.73,0.6,297
21,78.45,0.37,297.6
22,78.17,0.36,297.7
23,77.89,1.35,297.9
24,77.59,2.12,298.1
25,77.24,2.1,297.6
26,76.93,1.81,297.9
27,76.6,3.79,298.2
28,76.28,10.73,298.6
29,75.96,26.37,299.1
30,75.6,63.67,299.5
31,75.24,135.94,299.7
32,74.87,225.94,300.2
33,74.49,334.59,300.9
34,74.13,457.93,301.3
35,73.76,581.61,301.8
36,73.39,699.34,302.5
37,72.97,823.99,303.3
38,72.59,964.44,303.8
39,72.22,1093.8,304.8
40,71.86,1211.55,305.5
41,71.46,1305.62,306.4
42,71.09,1386.74,307.2
43,70.73,1475.75,308
44,70.34,1560.54,308.9
45,69.94,1633.16,309.7
46,69.52,1701.05,310.6
47,69.13,1764.08,311.6
48,68.77,1812.78,312.4
49,68.38,1858.3,313.5
50,67.97,1900.17,314.5
51,67.59,1936.38,315.4
52,67.23,1966.55,316.3
53,66.85,1990.34,317.2
54,66.44,2009.77,318.3
55,66.02,2024.42,319.5
56,65.67,2039.04,320.2
57,65.31,2054.63,321.3
58,64.91,2068.57,322.4
59,64.53,2079.76,323.4
60,64.14,2090.03,324.2
61,63.74,2097.35,325.5
62,63.34,2101.68,326.4
63,62.98,2104.82,327.4
64,62.58,2110.91,328.5
65,62.15,2122.47,329.5
66,61.79,2138.98,330.2
67,61.42,2156.35,331.5
68,61.01,2173.3,332.7
69,60.57,2188.19,333.9
70,60.2,2199.12,335.4
71,59.81,2205.9,336.7
72,59.4,2209.95,338.2
73,59,2212.42,339.9
74,58.62,2216.56,340.5
75,58.23,2224.44,342.4
76,57.85,2232.22,343.8
77,57.45,2237.55,347.1
78,57.06,2240.61,349.1
79,56.66,2239.94,350.7
80,56.28,2240.3,351.9
81,55.88,2241.83,353.9
82,55.48,2246.39,351.6
83,55.08,2251.93,355
84,54.69,2259.58,356.2
85,54.29,2271.3,358.2
86,53.87,2282.51,357
87,53.48,2293.33,327.3
88,53.1,2301.54,361.7
89,52.72,2307.29,343.8
90,52.31,2310.47,364.6
91,51.92,2309.91,361.3
92,51.53,2304.31,365
93,51.14,2296.99,353.1
94,50.74,2292.24,367.3
95,50.32,2289.52,361.3
96,49.93,2297.44,364.7
97,49.54,2309.38,371.6
98,49.13,2318.71,362.7
99,48.75,2324.68,350.6
100,48.37,2328.76,376
101,47.98,2330.07,378.2
102,47.6,2330.27,379.6
103,47.2,2334.4,379.9
104,46.79,2338.75,384.2
105,46.4,2342.18,385.5
106,46.01,2345.5,387.9
107,45.61,2347.31,389.8
108,45.2,2349.29,391.7
109,44.83,2352.46,393.2
110,44.46,2356.01,395.1
111,44.06,2359.51,394.4
112,43.68,2362.36,369.3
113,43.28,2362.57,382.4
114,42.87,2362.14,379.3
115,42.45,2361.32,383.1
116,42.09,2356.53,389.8
117,41.69,2347.02,392
118,41.31,2339.39,281.9
119,40.92,2333.44,392
120,40.52,2331.62,391.9
121,40.12,2330.51,390.3
122,39.7,2331.34,392.5
123,39.29,2332.11,394.6
124,38.89,2332.26,396.7
125,38.5,2332.45,398.8
126,38.08,2334.23,400.9
127,37.67,2338.04,402.9
128,37.26,2351.87,404.9
129,36.85,2373.2,406.9
130,36.42,2390.56,408.9
131,36.02,2400.54,410.8
132,35.61,2405.64,412.8
133,35.19,2406.63,414.8
134,34.79,2408,416.7
135,34.38,2408.79,418.6
136,33.97,2408.96,420.6
137,33.56,2413.61,422.5
138,33.14,2423.74,424.4
139,32.73,2435.75,426.6
140,32.32,2448.09,428.6
141,31.89,2466.58,430.8
142,31.44,2484.9,432.8
143,31,2501.12,435
144,30.58,2513.03,437.3
145,30.12,2521.36,439.6
146,29.66,2532,441.8
147,29.23,2542.35,444
148,28.79,2550.24,446.2
149,28.34,2555.34,469.4
150,27.91,2564.49,471.3
151,27.47,2573.31,474.1
152,27.01,2579.45,476.8
153,26.55,2583.66,479.9
