Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
1,75.47,0.59,304.8
2,75.46,0.71,304.8
3,75.43,1.04,304.9
4,75.41,1.06,304.9
5,75.39,1.82,304.9
6,75.39,0.88,304.9
7,75.37,0.59,304.9
8,75.42,0.59,304.9
9,75.4,0.71,304.9
10,75.35,1.04,304.9
11,75.37,1.06,304.8
12,75.34,1.82,304.8
13,75.33,0.88,304.7
14,75.34,0.59,304.8
15,75.31,0.59,304.8
16,75.3,0.71,304.9
17,75.31,1.04,304.9
18,75.32,1.06,304.9
19,75.34,1.82,304.9
20,75.36,0.88,305.1
21,75.34,0.59,305.3
22,75.35,0.84,305.4
23,75.37,0.64,305.6
24,75.37,0.59,305.8
25,75.35,0.71,306
26,75.34,1.04,306.2
27,75.31,1.06,306.6
28,75.3,1.82,307
29,75.28,0.88,307.1
30,75.28,0.59,307.1
31,75.25,1.56,308
32,75.25,2.35,308.2
33,75.25,2.35,308.7
34,75.26,2.05,309.2
35,75.25,1.86,309.8
36,75.23,0.88,310.2
37,75.27,0.83,310.5
38,75.29,1.15,311.2
39,75.29,0.98,311.6
40,75.27,0.71,312.1
41,75.26,0.55,312.9
42,75.24,0.61,313.4
43,75.24,1.65,314.1
44,75.23,2.38,314.7
45,75.2,1.74,315.3
46,75.18,0.81,315.8
47,75.18,0.58,316.5
48,75.18,0.66,317.2
49,75.2,0.97,317.6
50,75.19,1.14,318.5
51,75.17,0.87,319.1
52,75.16,1.59,319.8
53,75.16,1.82,320.7
54,75.16,1.97,321.2
55,75.15,2.3,321.9
56,75.17,2.37,322.5
57,75.2,2.1,323.3
58,75.2,2.89,323.9
59,75.19,3.13,324.5
60,75.15,3.3,325
61,75.13,3.66,325.7
62,75.12,3.59,326.4
63,75.11,3.32,327.1
64,75.11,3.15,327.8
65,75.09,3.08,328.1
66,75.1,2.29,329.1
67,75.05,3.18,330.5
68,75.02,3.48,332.2
69,74.96,2.95,333.8
70,74.88,2.02,335
71,74.81,1.88,336.2
72,74.73,2.11,337.4
73,74.63,2.44,338.7
74,74.55,2.24,339.9
75,74.44,1.97,341.1
76,74.35,2.77,342.5
77,74.25,3.16,343.4
78,74.1,3.46,344.5
79,73.98,3.69,345.7
80,73.85,3.46,346.8
81,73.69,5.57,347.9
82,73.57,11.76,349
83,73.44,17.09,349.6
84,73.32,22.83,350.8
85,73.2,51.08,352
86,73.04,75.6,353
87,72.89,103.74,353.9
88,72.74,131.74,355.1
89,72.62,158.98,356.3
90,72.46,184.32,357.1
91,72.28,211.66,358
92,72.11,240.17,359.1
93,71.92,274.92,360.1
94,71.74,311.23,361
95,71.58,345.78,361.7
96,71.41,373.82,362.7
97,71.24,399.16,363.5
98,71.09,426.5,364.4
99,70.9,448.27,365.3
100,70.73,469.4,366.3
101,70.55,490.39,367.1
102,70.35,507.74,368
103,70.17,523.59,368.8
104,70,544.41,369.6
105,69.82,564.03,370.3
106,69.65,580.79,371.1
107,69.45,603.02,371.7
108,69.24,624.92,372.5
109,69.05,643.42,373.1
110,68.88,657.09,373.7
111,68.71,669.92,374.3
112,68.52,679.79,374.8
113,68.31,691.18,375.5
114,68.11,703.09,376.2
115,67.89,713.5,376.6
116,67.69,724.15,377.4
117,67.52,733.25,378
118,67.35,742.31,378.7
119,67.18,750.11,379.3
120,66.97,754.67,380
121,66.8,757.64,380.9
122,66.62,759.98,381.5
123,66.33,763.16,382.3
124,66.16,769.3,382.8
125,65.99,775.04,384.1
126,65.76,781.16,385.1
127,65.54,803.15,386.3
128,65.33,817.65,387.4
129,65.14,831.12,388.3
130,64.95,840.54,389.2
131,64.75,846.85,390.2
132,64.56,850.18,391.5
133,64.36,852.13,391.9
134,64.17,854,393
135,63.94,857.36,394
136,63.74,861.49,395.3
137,63.55,865.12,396.7
138,63.34,867.67,398.3
139,63.14,869.72,399.7
140,62.94,871.06,400.9
141,62.74,871.53,402.6
142,62.52,872.83,403.5
143,62.34,874.31,404.6
144,62.17,876.69,406.5
145,61.98,881.26,407.6
146,61.77,885.39,408.1
147,61.56,888.63,409.4
148,61.36,891.26,410.4
149,61.17,892.47,411.1
150,60.99,893.33,410.9
151,60.78,894.29,413.3
152,60.58,895.45,414.6
153,60.35,896.48,415.7
154,60.14,897.48,416.9
155,59.96,898.48,417.9
156,59.76,898.81,419
157,59.55,899.41,420.3
158,59.37,900.11,421.5
159,59.16,904.52,422.7
160,58.94,908.39,423.8
161,58.72,910.75,424.8
162,58.52,908.23,425.9
163,58.35,905.49,426.6
164,58.18,903.76,428
165,58.01,903.68,429.3
166,57.79,905.74,430.4
167,57.56,908.96,431.4
168,57.33,913.66,432.4
169,57.15,918.74,433.1
170,56.94,924.33,434.4
171,56.72,930.23,435.6
172,56.51,933.88,436.4
173,56.31,936.25,437.5
174,56.08,937.53,438.3
175,55.86,937.24,439.5
176,55.7,935.31,440.5
177,55.5,931.42,441.6
178,55.3,928.02,442.6
179,55.02,925.22,443.6
180,54.77,923.11,444.6
181,54.57,921.63,445.6
182,54.37,920.39,446.5
183,54.18,919.53,447.5
184,53.96,918.42,448.5
185,53.76,917.81,449.6
