Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
1,77.53,2.06,305
2,77.52,0.12,304.9
3,77.52,1.6,305
4,77.52,1.78,305
5,77.51,1.23,305.1
6,77.49,3.22,305
7,77.49,4.37,305.1
8,77.49,5.2,305.1
9,77.49,5.61,305.1
10,77.5,5.85,305.1
11,77.5,4.42,305.1
12,77.5,2.56,305.2
13,77.5,2.16,305.1
14,77.51,0.68,304.9
15,77.52,1.49,304.9
16,77.49,0.36,304.9
17,77.51,1.96,304.9
18,77.52,1.11,304.9
19,77.5,0.3,304.9
20,77.51,1.17,305
21,77.5,0.89,305
22,77.48,0.87,305.1
23,77.49,1.17,305.3
24,77.5,0.94,305.3
25,77.47,0.67,305.6
26,77.45,0.96,305.3
27,77.47,2.79,305.6
28,77.48,3.96,305.7
29,77.47,3.04,305.8
30,77.46,3.3,305.9
31,77.45,2.86,306.4
32,77.44,1.15,306.6
33,77.45,0.4,306.9
34,77.45,1.23,307.1
35,77.47,2.86,307.4
36,77.45,1.15,307.7
37,77.45,0.4,308
38,77.46,1.23,308.3
39,77.46,2.86,308.7
40,77.46,1.15,309.3
41,77.42,0.4,309.5
42,77.41,1.23,309.8
43,77.41,1.23,310.4
44,77.4,1.55,311
45,77.41,4.01,311.3
46,77.41,3.95,311.6
47,77.4,3.6,312.1
48,77.4,3.33,312.5
49,77.39,3.15,312.9
50,77.38,2.17,313.3
51,77.38,2.98,313.9
52,77.37,2.83,314.3
53,77.35,2.14,314.8
54,77.35,2.36,315.4
55,77.35,2.87,315.9
56,77.35,2.52,316.4
57,77.36,2.99,317.1
58,77.38,3.64,317.6
59,77.35,3.1,318.1
60,77.33,3.14,318.7
61,77.34,3.13,319.2
62,77.34,4.24,319.8
63,77.35,4.7,320.3
64,77.36,6.97,320.9
65,77.35,11.15,321.5
66,77.33,15.43,322
67,77.31,18.82,322.4
68,77.28,21.68,322.8
69,77.23,24.51,323.4
70,77.15,25.91,323.9
71,77.09,22.4,324.5
72,77.03,20.99,324.9
73,76.93,21.69,325.6
74,76.85,22.37,326.2
75,76.8,22.78,326.8
76,76.72,24.68,327.6
77,76.63,29.95,328.2
78,76.54,38.22,328.9
79,76.41,44.35,329.5
80,76.29,55.73,330.2
81,76.19,71.41,331
82,76.08,93.52,332
83,75.93,121.17,333
84,75.79,149.58,334.5
85,75.67,171.6,335.9
86,75.55,194.84,337.4
87,75.43,217.35,338.7
88,75.25,242.65,339.8
89,75.07,272.41,341
90,74.9,305.79,342.1
91,74.76,337.1,343.2
92,74.61,364.7,344.2
93,74.43,390.19,345.3
94,74.24,412.65,346.2
95,74.07,435.64,347.3
96,73.92,458.71,348.1
97,73.79,480.26,349
98,73.63,500.4,349.9
99,73.44,517.5,350.7
100,73.25,536.16,351.5
101,73.06,559.94,352.4
102,72.91,585.45,353.1
103,72.74,608.16,353.9
104,72.54,628.36,354.6
105,72.37,646.74,355.3
106,72.19,662.03,355.9
107,72.01,675.59,356.5
108,71.82,688.44,357
109,71.62,700.86,357.6
110,71.42,711.61,358.2
111,71.24,721.54,358.7
112,71.03,730.66,359.1
113,70.81,739.01,359.5
114,70.64,746.32,359.9
115,70.49,755.57,360.3
116,70.29,766.45,360.7
117,70.11,777.08,361
118,69.91,785.3,361.6
119,69.73,792.56,361.7
120,69.56,800.97,361.6
121,69.35,811.62,361.7
122,69.16,824.78,361.4
123,68.96,834.63,361.3
124,68.74,842.02,361.1
125,68.54,848.73,361.1
126,68.35,856.8,361.1
127,68.19,864.44,360.7
128,68.01,870.45,359.9
129,67.82,874.44,359.9
130,67.62,876.45,359.3
131,67.41,878.86,358.7
