Time;Temp;Heat Flow
[s];[k];[mW/mg]
0;273.15;0
1.000002;312.42;0
1.999998;312.37;0
3;312.31;0
4.000002;312.214;-0.0504289
4.999998;312.059;-0.0274831
6;311.838;-0.0285859
7.00002;311.554;-0.0571279
7.99998;311.21;-0.111105
9;310.814;-0.167441
10.00002;310.372;-0.22732
10.99998;309.892;-0.288724
12;309.38;-0.345231
13.00002;308.844;-0.400335
13.99998;308.296;-0.453512
15;307.743;-0.503692
16.00002;307.197;-0.543671
16.99998;306.66;-0.572257
18;306.131;-0.583593
19.00002;305.609;-0.587646
19.99998;305.091;-0.586238
21;304.573;-0.583583
22.00002;304.058;-0.582938
22.99998;303.544;-0.582721
24;303.033;-0.581857
25.00002;302.524;-0.580913
25.99998;302.018;-0.579862
27;301.514;-0.577728
28.00002;301.012;-0.575822
28.99998;300.511;-0.573705
30;300.012;-0.5715
31.00002;299.514;-0.568337
31.99998;299.017;-0.565729
33;298.523;-0.562546
34.00002;298.031;-0.555862
34.99998;297.54;-0.553142
36;297.05;-0.55031
37.00002;296.561;-0.546527
37.99998;296.074;-0.542363
39;295.586;-0.540993
40.00002;295.099;-0.536978
40.99998;294.614;-0.535349
42;294.131;-0.534347
43.00002;293.651;-0.533859
43.99998;293.172;-0.53342
45;292.697;-0.532999
46.00002;292.221;-0.532694
46.99998;291.748;-0.53261
48;291.277;-0.532884
49.00002;290.805;-0.533299
49.99998;290.337;-0.533269
51;289.87;-0.529872
52.00002;289.405;-0.52048
52.99998;288.942;-0.511012
54;288.48;-0.503173
55.00002;288.02;-0.495629
55.99998;287.562;-0.490801
57;287.107;-0.485152
58.00002;286.653;-0.480171
58.99998;286.2;-0.475134
60;285.75;-0.470947
61.0002;285.3;-0.467423
61.9998;284.853;-0.464103
63;284.407;-0.461492
64.0002;283.964;-0.458838
64.9998;283.522;-0.4563
66;283.081;-0.454118
67.0002;282.643;-0.452113
67.9998;282.206;-0.449739
69;281.77;-0.447552
70.0002;281.336;-0.44614
70.9998;280.905;-0.443594
72;280.474;-0.442184
73.0002;280.046;-0.440496
73.9998;279.619;-0.438809
75;279.193;-0.436551
76.0002;278.77;-0.435556
76.9998;278.348;-0.433295
78;277.928;-0.431205
79.0002;277.509;-0.429301
79.9998;277.091;-0.427916
81;276.676;-0.426034
82.0002;276.263;-0.424445
82.9998;275.85;-0.421823
84;275.439;-0.420612
85.0002;275.031;-0.419103
85.9998;274.623;-0.417498
87;274.217;-0.415042
88.0002;273.813;-0.41392
88.9998;273.411;-0.412101
90;273.008;-0.410948
91.0002;272.61;-0.409207
91.9998;272.212;-0.408037
93;271.816;-0.405467
94.0002;271.421;-0.404176
94.9998;271.028;-0.403165
96;270.637;-0.401529
97.0002;270.247;-0.400053
97.9998;269.858;-0.398064
99;269.471;-0.396439
100.0002;269.086;-0.395455
100.9998;268.702;-0.393846
102;268.32;-0.391327
103.0002;267.939;-0.390188
103.9998;267.559;-0.388573
105;267.182;-0.386741
106.0002;266.805;-0.385606
106.9998;266.431;-0.384215
108;266.057;-0.383121
109.0002;265.686;-0.382129
109.9998;265.315;-0.379736
111;264.946;-0.378293
112.0002;264.579;-0.376799
112.9998;264.213;-0.3751
114;263.848;-0.374048
115.0002;263.485;-0.372987
115.9998;263.123;-0.370727
117;262.763;-0.36983
118.0002;262.405;-0.367779
118.9998;262.047;-0.366623
120;261.691;-0.36538
121.0002;261.337;-0.363191
121.9998;260.984;-0.362164
123;260.632;-0.360332
124.0002;260.282;-0.359166
124.9998;259.934;-0.357987
126;259.587;-0.35632
127.0002;259.241;-0.354997
127.9998;258.896;-0.353176
129;258.553;-0.351849
130.0002;258.211;-0.350457
130.9998;257.871;-0.34916
