Time;Temp;Heat Flow
[s];[k];[mW/mg]
0;273.15;0
1;312.431;0
2;312.381;0
3;312.324;0
4;312.241;-0.0419661
5;312.076;-0.0120225
6;311.858;-0.013699
7;311.606;-0.0290392
8;311.236;-0.0916158
9;310.844;-0.145778
10;310.453;-0.199081
11;309.934;-0.265045
12;309.427;-0.321873
13;308.95;-0.370087
14;308.348;-0.425414
15;307.792;-0.4729
16;307.293;-0.513647
17;306.691;-0.54931
18;306.154;-0.569656
19;305.68;-0.576609
20;305.106;-0.576734
21;304.587;-0.575998
22;304.121;-0.571639
23;303.554;-0.571576
24;303.041;-0.571043
25;302.581;-0.570685
26;302.022;-0.568718
27;301.517;-0.567392
28;301.064;-0.565179
29;300.512;-0.563231
30;300.012;-0.560929
31;299.564;-0.558965
32;299.017;-0.556885
33;298.522;-0.555037
34;298.078;-0.554103
35;297.537;-0.551914
36;297.046;-0.550381
37;296.605;-0.549433
38;296.066;-0.547955
39;295.578;-0.544967
40;295.14;-0.543437
41;294.607;-0.540273
42;294.125;-0.535659
43;293.693;-0.529458
44;293.166;-0.518449
45;292.689;-0.509511
46;292.261;-0.504495
47;291.74;-0.497574
48;291.269;-0.49103
49;290.845;-0.487107
50;290.33;-0.482616
51;289.864;-0.477669
52;289.446;-0.472821
53;288.937;-0.469128
54;288.476;-0.465357
55;288.062;-0.462472
56;287.559;-0.458456
57;287.103;-0.455271
58;286.694;-0.452776
59;286.197;-0.449876
60;285.746;-0.448313
61;285.341;-0.444518
62;284.85;-0.442213
63;284.404;-0.439232
64;284.004;-0.437531
65;283.517;-0.435644
66;283.077;-0.433396
67;282.682;-0.431555
68;282.201;-0.429147
69;281.765;-0.427218
70;281.375;-0.425312
71;280.9;-0.423021
72;280.469;-0.421179
73;280.083;-0.419675
74;279.614;-0.417589
75;279.189;-0.41615
76;278.807;-0.41458
77;278.343;-0.413338
78;277.922;-0.411879
79;277.545;-0.411113
80;277.086;-0.409488
81;276.671;-0.406922
82;276.298;-0.405965
83;275.845;-0.404592
84;275.434;-0.403247
85;275.066;-0.402461
86;274.618;-0.401026
87;274.212;-0.400229
88;273.848;-0.399385
89;273.405;-0.398297
90;273.003;-0.397025
91;272.645;-0.395808
92;272.207;-0.39455
93;271.811;-0.393619
94;271.456;-0.392026
95;271.023;-0.391002
96;270.632;-0.389108
97;270.281;-0.387557
98;269.853;-0.386463
99;269.467;-0.385113
100;269.119;-0.38432
101;268.698;-0.383133
102;268.316;-0.381852
103;267.973;-0.380606
104;267.555;-0.379098
105;267.177;-0.377699
106;266.839;-0.376643
107;266.426;-0.375579
108;266.053;-0.374499
109;265.718;-0.373582
110;265.31;-0.372216
111;264.942;-0.370716
112;264.611;-0.36975
113;264.208;-0.368444
114;263.844;-0.367184
115;263.516;-0.366217
116;263.119;-0.364781
117;262.759;-0.363603
118;262.436;-0.362038
119;262.042;-0.360891
120;261.687;-0.3598
121;261.368;-0.358356
122;260.979;-0.356895
123;260.627;-0.355838
124;260.312;-0.354803
125;259.929;-0.353072
126;259.581;-0.35161
127;259.27;-0.350623
128;258.891;-0.349071
129;258.547;-0.347944
130;258.24;-0.346708
131;257.865;-0.345086
132;257.526;-0.3436
133;257.222;-0.342133
134;256.852;-0.341006
135;256.518;-0.340029
136;256.217;-0.338611
137;255.852;-0.337222
138;255.521;-0.335922
139;255.224;-0.334806
140;254.863;-0.333727
141;254.536;-0.332486
142;254.243;-0.331419
143;253.886;-0.329601
144;253.563;-0.328395
145;253.274;-0.326944
146;252.921;-0.32581
147;252.602;-0.324744
148;252.317;-0.323853
149;251.968;-0.321874
150;251.653;-0.320713
151;251.371;-0.319661
152;251.027;-0.318367
153;250.716;-0.317109
