Time;Temp;Heat Flow
[s];[k];[mW/mg]
0;273.15;0
1;312.444;0
2;312.395;0
3;312.338;0
4;312.255;-0.0392734
5;312.089;-0.00704525
6;311.869;-0.00325591
7;311.616;-0.0108117
8;311.243;-0.0650348
9;310.849;-0.117009
10;310.456;-0.168807
11;309.934;-0.236155
12;309.425;-0.295795
13;308.947;-0.347165
14;308.347;-0.407509
15;307.795;-0.460653
16;307.301;-0.503109
17;306.707;-0.544292
18;306.176;-0.568107
19;305.705;-0.578154
20;305.134;-0.582625
21;304.617;-0.582975
22;304.152;-0.581916
23;303.585;-0.581509
24;303.073;-0.581413
25;302.613;-0.581347
26;302.055;-0.580553
27;301.549;-0.578999
28;301.096;-0.577036
29;300.544;-0.574128
30;300.042;-0.571932
31;299.593;-0.568523
32;299.045;-0.563385
33;298.549;-0.558373
34;298.104;-0.551906
35;297.561;-0.543919
36;297.068;-0.534614
37;296.626;-0.525394
38;296.086;-0.512825
39;295.596;-0.501936
40;295.158;-0.494855
41;294.625;-0.483509
42;294.142;-0.476691
43;293.709;-0.468476
44;293.182;-0.460456
45;292.705;-0.453176
46;292.277;-0.448808
47;291.756;-0.444244
48;291.284;-0.44054
49;290.862;-0.438449
50;290.347;-0.434511
51;289.881;-0.431542
52;289.463;-0.430056
53;288.954;-0.428483
54;288.493;-0.42734
55;288.08;-0.426494
56;287.577;-0.425247
57;287.121;-0.424602
58;286.712;-0.423936
59;286.215;-0.4231
60;285.765;-0.422661
61;285.361;-0.422076
62;284.869;-0.421587
63;284.423;-0.420809
64;284.024;-0.420357
65;283.538;-0.419791
66;283.097;-0.419144
67;282.703;-0.418636
68;282.222;-0.41802
69;281.786;-0.417401
70;281.396;-0.416823
71;280.921;-0.416149
72;280.491;-0.41535
73;280.105;-0.414759
74;279.635;-0.413947
75;279.21;-0.413226
76;278.829;-0.412305
77;278.365;-0.411516
78;277.944;-0.410756
79;277.567;-0.409796
80;277.108;-0.408206
81;276.693;-0.407288
82;276.321;-0.406293
83;275.867;-0.405388
84;275.456;-0.404394
85;275.088;-0.403536
86;274.64;-0.402524
87;274.234;-0.401665
88;273.87;-0.400637
89;273.427;-0.399012
90;273.025;-0.398133
91;272.666;-0.397147
92;272.228;-0.395747
93;271.832;-0.394855
94;271.476;-0.393833
95;271.044;-0.392585
96;270.652;-0.390776
97;270.301;-0.389886
98;269.874;-0.388494
99;269.487;-0.386852
100;269.14;-0.385978
101;268.718;-0.384421
102;268.336;-0.383216
103;267.992;-0.382221
104;267.575;-0.380773
105;267.197;-0.379136
106;266.858;-0.378286
107;266.446;-0.376284
108;266.073;-0.375068
109;265.738;-0.374009
110;265.33;-0.372922
111;264.961;-0.371459
112;264.63;-0.370128
113;264.228;-0.368649
114;263.863;-0.36756
115;263.536;-0.365743
116;263.139;-0.364296
117;262.778;-0.362369
118;262.455;-0.361604
119;262.062;-0.360534
120;261.707;-0.358691
121;261.388;-0.357626
122;261;-0.355956
123;260.648;-0.354848
124;260.333;-0.354026
125;259.949;-0.352076
126;259.601;-0.351056
127;259.29;-0.34964
128;258.911;-0.348706
129;258.568;-0.347113
130;258.261;-0.345998
131;257.886;-0.344755
132;257.547;-0.343043
133;257.243;-0.341748
134;256.873;-0.3404
135;256.537;-0.339324
136;256.238;-0.338184
137;255.872;-0.336858
138;255.541;-0.335693
139;255.244;-0.334548
140;254.883;-0.333169
141;254.556;-0.331719
142;254.263;-0.330471
143;253.907;-0.329547
144;253.584;-0.327757
145;253.294;-0.326122
146;252.942;-0.325227
147;252.623;-0.32395
148;252.337;-0.323028
149;251.989;-0.321249
150;251.674;-0.320191
151;251.391;-0.319039
152;251.047;-0.317575
153;250.736;-0.316216
