Time,Temp,Heat Flow
[s],[k],[mW/mg]
0,273.15,0
6,311.838,-0.0285859
12,309.38,-0.345231
18,306.131,-0.583593
24,303.033,-0.581857
30,300.012,-0.5715
36,297.05,-0.55031
42,294.131,-0.534347
48,291.277,-0.532884
54,288.48,-0.503173
60,285.75,-0.470947
66,283.081,-0.454118
72,280.474,-0.442184
78,277.928,-0.431205
84,275.439,-0.420612
90,273.008,-0.410948
96,270.637,-0.401529
102,268.32,-0.391327
108,266.057,-0.383121
114,263.848,-0.374048
120,261.691,-0.36538
126,259.587,-0.35632
132,257.532,-0.348087
138,255.527,-0.339786
144,253.569,-0.33258
150,251.659,-0.325017
156,249.793,-0.31747
162,247.974,-0.31068
168,246.198,-0.302872
174,244.467,-0.294513
180,242.777,-0.28729
186,241.128,-0.279158
192,239.518,-0.272725
198,237.947,-0.266193
204,236.414,-0.259818
210,234.919,-0.252732
216,233.46,-0.246664
222,232.036,-0.240693
228,230.646,-0.235078
234,229.29,-0.229558
240,227.966,-0.223867
246,226.675,-0.21823
252,225.414,-0.212995
258,224.185,-0.207814
264,222.986,-0.202556
270,221.815,-0.197507
276,220.673,-0.192639
282,219.558,-0.18806
288,218.47,-0.183319
294,217.41,-0.178732
300,216.373,-0.174209
306,215.363,-0.169836
312,214.377,-0.165594
318,213.415,-0.161296
324,212.475,-0.157139
330,211.56,-0.152984
336,210.667,-0.149004
342,209.794,-0.145276
348,208.944,-0.141483
354,208.113,-0.137957
360,207.303,-0.134475
366,206.512,-0.130956
372,205.741,-0.127451
378,204.988,-0.124077
384,204.254,-0.120921
390,203.536,-0.117796
396,202.837,-0.114577
402,202.154,-0.111415
408,201.488,-0.108521
414,200.839,-0.105736
420,200.205,-0.102961
426,199.586,-0.100237
432,198.982,-0.0976181
438,198.393,-0.0949839
444,197.819,-0.0922967
450,197.258,-0.0898267
456,196.71,-0.0873336
462,196.175,-0.0850068
468,195.636,-0.0825794
474,195.103,-0.0812417
480,194.586,-0.079857
486,194.085,-0.0780557
492,193.61,-0.0761014
498,193.378,-0.064629
504,193.309,-0.029442
510,193.282,-0.0184453
516,193.263,-0.0149496
522,193.249,-0.0121869
528,193.236,-0.00975999
534,193.227,-0.00773964
540,193.219,-0.00617771
546,193.213,-0.00471738
552,193.208,-0.0036203
558,193.204,-0.00257104
564,193.2,-0.0017717
570,193.198,-0.00104991
576,193.196,-0.000438817
582,193.194,0.000240277
588,193.193,0.000730246
594,193.192,0.00105333
600,193.19,0.00134466
606,193.19,0.00165873
612,193.189,0.00198243
618,193.189,0.00223303
624,193.188,0.00244341
630,193.188,0.00271199
636,193.188,0.00289844
642,193.187,0.00309732
648,193.188,0.00329564
654,193.187,0.00349955
660,193.187,0.00357502
666,193.187,0.00374905
672,193.187,0.00385808
678,193.187,0.00389914
684,193.187,0.0040598
690,193.187,0.0040723
696,193.187,0.00416538
702,193.187,0.00418006
708,193.187,0.00411296
714,193.187,0.00422471
720,193.187,0.00425627
726,193.187,0.00427137
732,193.187,0.00431936
738,193.187,0.00438098
744,193.187,0.00450268
750,193.188,0.00459559
756,193.187,0.00459999
762,193.188,0.00462486
768,193.187,0.00463843
774,193.187,0.00457956
780,193.187,0.00459249
786,193.187,0.00465978
792,193.187,0.00474095
798,193.187,0.00466571
804,193.187,0.0046725
810,193.187,0.00462377
816,193.187,0.00467381
822,193.187,0.00468912
828,193.186,0.0047295
834,193.187,0.00471606
840,193.186,0.00474737
846,193.187,0.00484376
852,193.187,0.00474742
858,193.187,0.00478163
864,193.187,0.00490555
870,193.187,0.00482046
876,193.187,0.00477344
882,193.187,0.00476239
888,193.187,0.00484052
894,193.186,0.00486127
900,193.187,0.00499802
