Time,Temp,Heat Flow
[s],[k],[mW/mg]
0,273.15,0
3,312.3,0
6,311.864,-0.00355865
9,310.901,-0.1162
12,309.554,-0.285446
15,307.977,-0.427461
18,306.286,-0.531584
21,304.636,-0.596982
24,303.068,-0.586297
27,301.53,-0.571802
30,300.021,-0.558116
33,298.531,-0.531203
36,297.056,-0.508464
39,295.592,-0.494732
42,294.135,-0.491976
45,292.7,-0.49216
48,291.279,-0.491991
51,289.873,-0.492188
54,288.484,-0.492919
57,287.108,-0.495045
60,285.749,-0.497985
63,284.405,-0.495864
66,283.077,-0.477618
69,281.766,-0.456687
72,280.47,-0.442624
75,279.189,-0.43273
78,277.922,-0.425216
81,276.671,-0.418506
84,275.434,-0.412655
87,274.212,-0.406972
90,273.003,-0.401563
93,271.81,-0.396342
96,270.632,-0.391611
99,269.466,-0.38577
102,268.314,-0.382142
105,267.176,-0.37766
108,266.052,-0.373224
111,264.94,-0.368793
114,263.842,-0.364055
117,262.757,-0.360468
120,261.685,-0.355979
123,260.626,-0.351074
126,259.58,-0.34736
129,258.547,-0.343169
132,257.526,-0.33876
135,256.517,-0.334676
138,255.52,-0.331402
141,254.536,-0.326211
144,253.563,-0.323053
147,252.602,-0.318978
150,251.653,-0.314221
153,250.715,-0.310195
156,249.788,-0.306994
159,248.873,-0.303536
162,247.968,-0.300021
165,247.076,-0.29668
168,246.193,-0.292986
171,245.322,-0.28909
174,244.461,-0.284964
177,243.61,-0.280446
180,242.77,-0.276574
183,241.94,-0.272918
186,241.12,-0.26978
189,240.31,-0.266184
192,239.51,-0.262784
195,238.72,-0.259359
198,237.939,-0.256073
201,237.167,-0.253028
204,236.406,-0.249913
207,235.653,-0.246971
210,234.91,-0.243377
213,234.176,-0.240313
216,233.45,-0.237398
219,232.735,-0.234371
222,232.027,-0.231192
225,231.327,-0.228212
228,230.636,-0.225356
231,229.954,-0.22232
234,229.281,-0.219527
237,228.615,-0.216693
240,227.957,-0.213832
243,227.308,-0.211073
246,226.666,-0.208244
249,226.053,-0.205695
252,225.406,-0.203043
255,224.788,-0.200386
258,224.177,-0.197807
261,223.574,-0.195017
264,222.977,-0.19258
267,222.388,-0.190176
270,221.807,-0.187704
273,221.232,-0.185302
276,220.664,-0.183035
279,220.104,-0.180595
282,219.55,-0.178285
285,219.003,-0.175903
288,218.462,-0.173662
291,217.929,-0.171533
294,217.401,-0.169325
297,216.88,-0.167134
300,216.365,-0.165016
303,215.856,-0.162757
306,215.355,-0.160596
309,214.859,-0.158387
312,214.368,-0.156234
315,213.885,-0.154294
318,213.408,-0.152221
321,212.935,-0.150086
324,212.467,-0.148131
327,212.006,-0.146222
330,211.552,-0.14437
333,211.106,-0.142455
336,210.665,-0.140493
339,210.23,-0.138516
342,209.803,-0.136395
345,209.382,-0.134461
348,208.967,-0.132405
351,208.561,-0.130292
354,208.16,-0.128281
357,207.767,-0.126162
360,207.381,-0.123964
363,207.002,-0.121884
366,206.629,-0.119861
369,206.263,-0.11782
372,205.904,-0.115663
375,205.551,-0.113586
378,205.204,-0.111378
381,204.864,-0.109344
384,204.529,-0.107322
387,204.2,-0.105327
390,203.878,-0.103378
393,203.561,-0.101363
396,203.25,-0.0994127
399,202.945,-0.0974597
402,202.645,-0.0955801
405,202.351,-0.0936376
408,202.061,-0.0917704
411,201.778,-0.0898103
414,201.499,-0.0880944
417,201.226,-0.0863789
420,200.957,-0.0847031
423,200.693,-0.083072
426,200.434,-0.0814243
429,200.18,-0.0798019
432,199.93,-0.0783105
435,199.685,-0.0767505
438,199.445,-0.0752334
441,199.21,-0.0736847
444,198.979,-0.0721798
447,198.753,-0.0706733
450,198.531,-0.0692334
453,198.314,-0.0676809
