Time,Temp,Heat Flow
[s],[k],[mW/mg]
0,,
0.1000002,,
0.1999998,,
0.3,,
0.4000002,,
0.4999998,39.294,
0.6,39.289,
0.700002,39.284,
0.799998,39.279,
0.9,39.274,
1.000002,39.27,
1.099998,39.265,
1.2,39.259,
1.300002,39.255,
1.399998,39.25,
1.5,39.245,
1.600002,39.24,
1.699998,39.235,
1.8,39.23,
1.900002,39.225,
1.999998,39.22,
2.1,39.215,
2.200002,39.21,
2.299998,39.204,
2.4,39.198,
2.500002,39.193,
2.599998,39.186,
2.7,39.18,
2.800002,39.174,
2.899998,39.167,
3,39.16,
3.100002,39.152,
3.199998,39.144,
3.3,39.136,
3.400002,39.127,
3.499998,39.118,-0.0531236
3.6,39.108,-0.0531007
3.700002,39.098,-0.052983
3.799998,39.087,-0.0525771
3.9,39.076,-0.0517405
4.000002,39.064,-0.0504289
4.099998,39.051,-0.0485065
4.2,39.038,-0.046146
4.300002,39.023,-0.0432905
4.399998,39.009,-0.0402714
4.5,38.994,-0.0375132
4.600002,38.978,-0.0350082
4.699998,38.962,-0.0326285
4.8,38.945,-0.0304918
4.900002,38.927,-0.0288241
4.999998,38.909,-0.0274831
5.1,38.889,-0.0267611
5.200002,38.869,-0.0263034
5.299998,38.849,-0.0261904
5.4,38.828,-0.0261555
5.500002,38.807,-0.0263141
5.599998,38.784,-0.0265604
5.7,38.761,-0.0268358
5.800002,38.738,-0.0276881
5.899998,38.714,-0.0282396
6,38.688,-0.0285859
6.10002,38.663,-0.0287207
6.19998,38.637,-0.0288596
6.3,38.61,-0.0291515
6.40002,38.582,-0.0298007
6.49998,38.554,-0.0310433
6.6,38.525,-0.0334017
6.70002,38.495,-0.0370913
6.79998,38.466,-0.042366
6.9,38.435,-0.0494088
7.00002,38.404,-0.0571279
7.09998,38.372,-0.0640188
7.2,38.34,-0.0706226
7.30002,38.307,-0.0763733
7.39998,38.273,-0.0810773
7.5,38.239,-0.0860093
7.60002,38.204,-0.0913306
7.69998,38.169,-0.096716
7.8,38.133,-0.101719
7.90002,38.097,-0.106056
7.99998,38.06,-0.111105
8.1,38.023,-0.116232
8.20002,37.985,-0.121566
8.29998,37.946,-0.126365
8.4,37.907,-0.131699
8.50002,37.868,-0.137462
8.59998,37.828,-0.143307
8.7,37.788,-0.149117
8.80002,37.747,-0.155012
8.89998,37.705,-0.160854
9,37.664,-0.167441
9.10002,37.622,-0.173291
9.19998,37.579,-0.178895
9.3,37.536,-0.185406
9.40002,37.493,-0.190869
9.49998,37.449,-0.196566
9.6,37.404,-0.202794
9.70002,37.359,-0.208797
9.79998,37.314,-0.215581
9.9,37.269,-0.221432
10.00002,37.222,-0.22732
10.09998,37.176,-0.233319
10.2,37.129,-0.238512
10.30002,37.082,-0.244212
10.39998,37.035,-0.25103
10.5,36.987,-0.257399
10.60002,36.938,-0.263206
10.69998,36.89,-0.269561
10.8,36.841,-0.275856
10.90002,36.792,-0.282341
10.99998,36.742,-0.288724
11.1,36.692,-0.294819
11.20002,36.642,-0.30077
11.29998,36.591,-0.306394
11.4,36.54,-0.31172
