Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,94.71,303.95,302.35,303.25
1,94.66,304.05,302.55,303.45
2,94.52,304.35,302.75,303.85
3,94.29,304.75,303.05,304.15
4,93.89,304.85,303.15,304.35
5,93.73,305.15,303.35,304.75
6,93.66,305.45,303.55,305.05
7,93.62,305.65,303.65,305.25
8,93.58,305.95,303.85,305.65
9,93.53,306.35,304.15,305.95
10,93.46,306.45,304.25,306.15
11,93.39,306.85,304.45,306.55
12,93.35,307.15,304.65,306.85
13,93.28,307.25,304.75,307.05
14,93.20,307.65,304.95,307.45
15,93.11,307.95,305.15,307.75
16,93.01,308.05,305.25,307.95
17,92.91,308.35,305.55,308.25
18,92.80,308.65,305.75,308.65
19,92.69,308.85,305.85,308.75
20,92.57,309.15,306.05,309.15
21,92.46,309.45,306.25,309.55
22,92.34,309.65,306.35,309.65
23,92.23,309.95,306.55,309.95
24,92.12,310.25,306.75,310.35
25,92.01,310.35,306.85,310.55
26,91.89,310.65,307.05,310.85
27,91.79,311.05,307.35,311.25
28,91.67,311.15,307.45,311.45
29,91.57,311.45,307.65,311.75
30,91.47,311.85,307.85,312.15
31,91.36,311.95,307.95,312.35
32,91.26,312.35,308.15,312.65
33,91.16,312.65,308.35,313.05
34,91.07,312.75,308.55,313.15
35,90.97,313.15,308.75,313.55
36,90.85,313.45,308.95,313.85
37,90.75,313.65,309.05,314.05
38,90.65,313.95,309.25,314.45
39,90.56,314.25,309.55,314.75
40,90.46,314.35,309.65,314.95
41,90.35,314.75,309.75,315.25
42,90.23,315.05,310.05,315.55
43,90.14,315.15,310.15,315.75
44,90.07,315.55,310.35,316.05
45,89.94,315.85,310.55,316.45
46,89.85,315.95,310.65,316.65
47,89.77,316.25,310.85,316.95
48,89.68,316.65,311.15,317.25
49,89.60,316.75,311.25,317.45
50,89.52,317.15,311.45,317.85
51,89.41,317.45,311.65,318.15
52,89.29,317.55,311.75,318.25
53,89.20,317.95,311.95,318.55
54,89.11,318.25,312.15,318.95
55,89.02,318.35,312.25,319.15
56,88.94,318.75,312.45,319.45
57,88.88,318.95,312.75,319.75
58,88.82,319.15,312.85,319.95
59,88.71,319.45,313.05,320.25
60,88.59,319.75,313.25,320.65
61,88.49,319.95,313.35,320.75
62,88.41,320.25,313.65,321.15
63,88.33,320.55,313.85,321.45
64,88.24,320.65,313.95,321.65
65,88.16,321.05,314.15,321.95
66,88.08,321.35,314.35,322.35
67,88.00,321.45,314.45,322.55
68,87.93,321.75,314.65,322.85
69,87.85,322.05,314.85,323.15
70,87.76,322.25,314.95,323.35
71,87.67,322.55,315.15,323.65
72,87.59,322.85,315.35,324.05
73,87.51,323.05,315.55,324.25
74,87.43,323.35,315.75,324.55
75,87.35,323.65,315.95,324.85
76,87.26,323.75,316.05,325.05
77,87.18,324.05,316.25,325.35
78,87.11,324.35,316.45,325.75
79,87.03,324.55,316.55,325.95
80,86.95,324.85,316.75,326.25
81,86.87,325.15,316.95,326.65
82,86.79,325.35,317.05,326.75
83,86.72,325.55,317.35,327.15
84,86.64,325.95,317.55,327.55
85,86.56,326.05,317.65,327.65
86,86.48,326.35,317.85,328.05
87,86.40,326.65,318.05,328.35
88,86.32,326.85,318.15,328.55
89,86.25,327.15,318.35,328.95
90,86.17,327.45,318.55,329.25
91,86.10,327.55,318.65,329.45
92,86.02,327.95,318.85,329.85
93,85.93,328.15,319.15,330.15
94,85.85,328.35,319.25,330.35
95,85.78,328.65,319.45,330.75
96,85.71,328.95,319.65,331.05
97,85.64,329.05,319.75,331.25
98,85.57,329.45,320.05,331.65
99,85.50,329.75,320.25,331.95
100,85.43,329.85,320.35,332.15
101,85.35,330.15,320.55,332.55
102,85.27,330.45,320.75,332.85
103,85.19,330.65,320.85,333.05
104,85.12,330.95,321.05,333.45
105,85.05,331.25,321.25,333.85
106,84.97,331.35,321.45,333.95
107,84.92,331.65,321.65,334.35
108,84.84,331.95,321.85,334.75
109,84.76,332.15,321.95,334.95
110,84.68,332.45,322.15,335.35
111,84.62,332.75,322.45,335.65
112,84.56,332.95,322.55,335.85
113,84.48,333.25,322.75,336.25
114,84.40,333.55,322.95,336.65
115,84.34,333.65,323.05,336.85
116,84.27,333.95,323.35,337.25
117,84.19,334.25,323.55,337.65
118,84.12,334.45,323.65,337.85
119,84.04,334.75,323.85,338.15
120,83.98,335.05,324.05,338.55
121,83.91,335.15,324.15,338.75
