Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,114.35,298.05,298.05,295.65
1,114.22,298.15,298.15,295.75
2,114.09,298.35,298.35,296.05
3,113.92,298.55,298.45,296.25
4,113.71,298.65,298.55,296.35
5,113.58,298.85,298.75,296.55
6,113.48,299.05,299.05,296.65
7,113.41,299.15,299.05,296.75
8,113.36,299.35,299.35,296.95
9,113.31,299.55,299.55,297.15
10,113.29,299.65,299.65,297.15
11,113.19,299.75,299.95,297.35
12,113.17,299.95,300.15,297.45
13,113.10,300.05,300.25,297.55
14,113.01,300.25,300.45,297.65
15,112.92,300.35,300.65,297.85
16,112.87,300.45,300.75,297.85
17,112.80,300.65,300.95,298.05
18,112.71,300.85,301.15,298.15
19,112.63,300.95,301.25,298.25
20,112.50,301.15,301.45,298.35
21,112.41,301.25,301.65,298.45
22,112.32,301.35,301.75,298.45
23,112.23,301.55,301.95,298.65
24,112.08,301.75,302.15,298.75
25,111.96,301.85,302.25,298.75
26,111.86,302.05,302.45,298.85
27,111.75,302.15,302.65,298.95
28,111.65,302.25,302.75,299.05
29,111.49,302.45,302.95,299.15
30,111.36,302.65,303.15,299.25
31,111.20,302.75,303.15,299.35
32,111.07,302.95,303.35,299.45
33,110.94,303.05,303.55,299.55
34,110.78,303.15,303.65,299.55
35,110.64,303.35,303.85,299.65
36,110.44,303.55,304.05,299.85
37,110.37,303.65,304.15,299.85
38,110.24,303.85,304.35,299.95
39,110.12,304.05,304.55,300.05
40,109.97,304.15,304.55,300.15
41,109.86,304.25,304.75,300.25
42,109.70,304.45,304.95,300.35
43,109.56,304.55,305.05,300.45
44,109.45,304.75,305.25,300.45
45,109.38,304.95,305.45,300.65
46,109.23,305.05,305.55,300.65
47,109.06,305.25,305.75,300.75
48,108.91,305.55,305.95,300.95
49,108.75,305.65,306.05,300.95
50,108.72,305.85,306.25,301.15
51,108.64,306.05,306.45,301.25
52,108.52,306.15,306.55,301.35
53,108.45,306.45,306.75,301.45
54,108.36,306.65,306.95,301.55
55,108.11,306.75,307.05,301.65
56,108.04,307.05,307.35,301.75
57,107.74,307.25,307.55,301.95
58,107.66,307.45,307.65,302.05
59,107.67,307.65,307.95,302.15
60,107.48,307.95,308.15,302.35
61,107.37,308.15,308.35,302.45
62,107.33,308.45,308.55,302.65
63,107.25,308.75,308.85,302.75
64,107.14,308.85,308.95,302.85
65,107.01,309.15,309.25,303.05
66,106.93,309.55,309.55,303.25
67,106.80,309.75,309.75,303.35
68,106.69,310.05,310.05,303.65
69,106.64,310.45,310.45,303.85
70,106.54,310.65,310.55,303.95
71,106.46,311.05,310.95,304.15
72,106.30,311.45,311.25,304.45
73,106.23,311.65,311.45,304.55
74,106.17,312.05,311.85,304.85
75,105.98,312.45,312.25,305.15
76,105.95,312.65,312.45,305.25
77,105.83,313.15,312.85,305.55
78,105.82,313.65,313.25,305.85
79,105.66,313.85,313.45,306.05
80,105.55,314.35,313.95,306.35
81,105.32,314.85,314.45,306.75
82,105.36,315.15,314.65,306.85
83,105.24,315.65,315.15,307.25
84,105.08,316.15,315.65,307.65
85,105.05,316.45,315.95,307.85
86,105.00,316.95,316.45,308.25
87,104.92,317.55,316.95,308.65
88,104.82,317.85,317.25,308.85
89,104.75,318.45,317.85,309.25
90,104.66,319.05,318.35,309.75
91,104.47,319.35,318.65,309.95
92,104.42,319.95,319.25,310.45
93,104.36,320.55,319.85,310.95
94,104.17,320.85,320.25,311.15
95,104.14,321.55,320.85,311.65
96,104.13,322.15,321.45,312.15
97,104.02,322.45,321.75,312.45
98,103.90,323.15,322.45,313.05
99,103.87,323.85,323.05,313.55
100,103.75,324.15,323.45,313.85
101,103.62,324.85,324.15,314.35
102,103.56,325.55,324.85,315.05
103,103.48,325.85,325.15,315.35
104,103.40,326.55,325.85,315.95
105,103.26,327.25,326.55,316.55
106,103.17,327.65,326.95,316.85
107,103.09,328.35,327.65,317.55
108,103.01,329.05,328.45,318.15
109,102.88,329.45,328.75,318.55
110,102.86,330.15,329.55,319.15
111,102.78,330.95,330.25,319.85
112,102.68,331.35,330.65,320.15
113,102.61,332.05,331.35,320.85
114,102.52,332.75,332.15,321.55
115,102.44,333.15,332.55,321.95
116,102.26,333.95,333.25,322.65
117,102.19,334.65,334.05,323.45
118,102.19,335.05,334.45,323.75
119,102.04,335.85,335.25,324.45
120,101.97,336.55,336.05,325.25
121,101.99,336.95,336.45,325.65
122,101.85,337.75,337.25,326.35
123,101.74,338.55,338.05,327.15
124,101.68,338.95,338.45,327.55
125,101.68,339.75,339.25,328.25
126,101.51,340.55,340.05,329.05
127,101.47,340.95,340.45,329.45
128,101.38,341.85,341.35,330.25
129,101.29,342.85,342.05,331.05
130,101.25,343.35,342.55,331.45
131,101.17,344.25,343.35,332.25
132,101.03,345.05,344.15,333.15
133,101.00,345.45,344.55,333.55
134,100.94,346.35,345.35,334.35
135,100.87,347.15,346.15,335.15
136,100.77,347.55,346.65,335.65
137,100.64,348.45,347.45,336.45
138,100.63,349.25,348.25,337.35
139,100.51,349.65,348.65,337.75
140,100.40,350.55,349.45,338.55
141,100.33,351.45,350.15,339.45
142,100.19,351.85,350.55,339.85
143,100.08,352.55,351.35,340.75
144,100.05,353.35,352.05,341.55
145,99.99,353.75,352.45,341.95
146,99.97,354.45,353.15,342.85
147,99.83,355.15,353.95,343.75
148,99.73,355.55,354.25,344.15
149,99.70,356.25,354.95,345.05
150,99.60,357.05,355.65,345.85
151,99.44,357.35,356.05,346.25
152,99.43,358.15,356.75,347.15
153,99.36,358.85,357.45,347.95
154,99.23,359.15,357.75,348.35
155,99.13,359.95,358.45,349.15
156,99.12,360.65,359.05,349.95
157,99.03,360.95,359.45,350.35
158,98.90,361.65,360.05,351.15
159,98.77,362.35,360.65,351.95
160,98.77,362.65,361.05,352.35
161,98.72,363.45,361.65,353.05
162,98.53,364.15,362.25,353.85
163,98.46,364.55,362.55,354.25
164,98.41,365.25,363.15,354.95
165,98.34,366.05,363.75,355.65
166,98.28,366.55,364.05,356.05
167,98.14,367.45,364.65,356.75
168,98.04,368.35,365.25,357.45
169,97.99,368.75,365.45,357.85
170,97.89,369.65,366.05,358.55
171,97.87,370.45,366.65,359.25
172,97.79,370.75,366.95,359.55
173,97.69,371.55,367.55,360.25
