Time (s),Mass (g),MLR (g/s),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,118.55,0.62,299.85,299.25,301.35
1,118.54,0.61,299.95,299.25,301.55
2,118.54,0.93,300.05,299.35,301.65
3,118.49,0.47,300.15,299.45,301.85
4,118.46,-0.08,300.25,299.45,302.05
5,118.45,0.02,300.35,299.55,302.15
6,118.54,0.05,300.45,299.65,302.35
7,118.52,0.03,300.55,299.75,302.55
8,118.45,-0.05,300.55,299.75,302.65
9,118.42,-0.05,300.65,299.85,302.85
10,118.46,0.05,300.75,299.95,303.05
11,118.41,0.06,300.85,299.95,303.15
12,118.39,-0.01,300.95,300.05,303.25
13,118.32,-0.00,301.05,300.15,303.45
14,118.27,0.03,301.05,300.15,303.55
15,118.29,0.04,301.15,300.15,303.65
16,118.24,0.07,301.25,300.25,303.85
17,118.14,0.01,301.35,300.25,303.85
18,118.16,0.01,301.45,300.35,304.05
19,118.23,0.09,301.55,300.35,304.15
20,118.27,0.04,301.55,300.45,304.15
21,118.32,-0.06,301.65,300.45,304.35
22,118.11,-0.06,301.75,300.55,304.45
23,117.97,-0.06,301.85,300.55,304.55
24,117.96,0.09,301.85,300.65,304.65
25,118.03,0.21,302.05,300.75,304.85
26,118.00,0.08,302.05,300.75,304.85
27,117.94,-0.05,302.15,300.85,305.05
28,117.96,-0.03,302.25,300.85,305.15
29,117.95,0.06,302.25,300.85,305.15
30,117.92,0.02,302.35,300.95,305.35
31,117.91,-0.01,302.45,301.05,305.45
32,117.81,0.03,302.45,301.05,305.55
33,117.79,0.01,302.65,301.15,305.65
34,117.76,0.06,302.75,301.15,305.75
35,117.75,0.06,302.75,301.15,305.85
36,117.81,0.02,302.85,301.25,305.95
37,117.87,0.03,302.95,301.35,306.05
38,117.82,-0.03,302.95,301.35,306.15
39,117.75,-0.08,303.05,301.45,306.25
40,117.79,-0.01,303.15,301.45,306.35
41,117.75,0.08,303.15,301.55,306.45
42,117.68,0.01,303.35,301.55,306.55
43,117.69,-0.01,303.45,301.65,306.75
44,117.69,0.07,303.45,301.65,306.75
45,117.63,0.04,303.55,301.75,306.85
46,117.58,-0.02,303.65,301.85,306.95
47,117.61,0.03,303.65,301.85,307.05
48,117.58,0.06,303.75,301.95,307.15
49,117.47,0.00,303.85,301.95,307.25
50,117.42,-0.01,303.95,301.95,307.35
51,117.43,0.08,304.05,302.05,307.45
52,117.46,0.09,304.15,302.15,307.55
53,117.39,0.02,304.15,302.15,307.65
54,117.41,-0.04,304.25,302.25,307.75
55,117.40,0.03,304.35,302.25,307.85
56,117.42,0.03,304.45,302.35,307.95
57,117.39,-0.01,304.55,302.35,308.05
58,117.35,-0.01,304.65,302.45,308.25
59,117.17,0.00,304.65,302.45,308.25
60,117.03,0.03,304.85,302.55,308.35
61,117.22,0.12,304.95,302.65,308.55
62,117.30,0.19,304.95,302.65,308.65
63,117.12,-0.04,305.05,302.75,308.75
64,117.05,-0.18,305.25,302.85,308.95
65,117.04,0.06,305.35,302.85,309.05
66,117.08,0.16,305.45,302.95,309.15
67,117.03,0.04,305.55,303.05,309.35
