Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,110.47,298.85,298.55,300.65
1,109.46,298.95,298.65,300.85
2,109.74,299.05,298.65,301.05
3,110.20,299.15,298.75,301.05
4,110.24,299.25,298.85,301.25
5,110.21,299.35,298.95,301.45
6,110.21,299.45,298.95,301.55
7,110.18,299.55,299.05,301.75
8,110.15,299.65,299.05,301.85
9,110.14,299.65,299.15,301.95
10,110.13,299.75,299.25,302.15
11,110.16,299.85,299.25,302.25
12,110.08,299.95,299.35,302.35
13,110.03,300.05,299.35,302.45
14,110.03,300.15,299.45,302.65
15,110.04,300.15,299.45,302.75
16,109.98,300.25,299.55,302.85
17,109.94,300.35,299.65,302.95
18,109.89,300.35,299.65,303.05
19,109.94,300.45,299.75,303.15
20,109.94,300.55,299.75,303.25
21,109.90,300.65,299.75,303.35
22,109.86,300.65,299.85,303.45
23,109.86,300.75,299.95,303.55
24,109.81,300.85,299.95,303.65
25,109.77,300.95,299.95,303.75
26,109.79,300.95,300.05,303.85
27,109.74,301.05,300.05,303.95
28,109.78,301.15,300.15,304.05
29,109.80,301.25,300.15,304.15
30,109.77,301.25,300.25,304.25
31,109.76,301.35,300.35,304.35
32,109.75,301.45,300.35,304.45
33,109.66,301.55,300.35,304.55
34,109.61,301.65,300.45,304.65
35,109.65,301.75,300.45,304.75
36,109.66,301.75,300.55,304.85
37,109.63,301.85,300.55,304.95
38,109.53,301.95,300.65,305.05
39,109.50,301.95,300.65,305.15
40,109.50,302.05,300.75,305.25
41,109.43,302.15,300.75,305.35
42,109.47,302.25,300.85,305.35
43,109.48,302.35,300.85,305.45
44,109.46,302.45,300.95,305.65
45,109.38,302.45,300.95,305.65
46,109.33,302.65,301.05,305.85
47,109.35,302.75,301.15,305.95
48,109.38,302.75,301.15,306.05
49,109.37,302.95,301.15,306.15
50,109.32,303.05,301.25,306.25
51,109.28,303.05,301.25,306.35
52,109.29,303.15,301.35,306.45
53,109.30,303.25,301.45,306.55
54,109.22,303.35,301.45,306.65
55,109.16,303.45,301.55,306.75
56,109.16,303.55,301.65,306.85
57,109.11,303.65,301.65,306.95
58,109.07,303.75,301.65,307.05
59,109.06,303.85,301.75,307.25
60,109.04,303.95,301.85,307.35
61,109.11,304.05,301.85,307.45
62,109.06,304.15,301.95,307.65
63,108.88,304.25,302.05,307.75
64,108.89,304.45,302.15,307.85
65,108.83,304.55,302.25,308.05
66,108.70,304.65,302.35,308.05
67,108.64,304.75,302.45,308.25
68,108.73,304.95,302.55,308.45
69,108.79,304.95,302.55,308.55
70,108.71,305.15,302.75,308.75
71,108.69,305.35,302.85,308.95
72,108.63,305.45,302.85,309.05
73,108.59,305.65,303.05,309.25
74,108.55,305.75,303.15,309.45
75,108.57,305.85,303.15,309.55
76,108.58,306.05,303.35,309.75
77,108.53,306.25,303.45,310.05
78,108.49,306.35,303.55,310.15
79,108.45,306.45,303.65,310.35
80,108.36,306.65,303.85,310.65
81,108.34,306.85,303.95,310.75
82,108.31,306.95,304.05,310.95
83,108.27,307.25,304.25,311.25
84,108.19,307.35,304.35,311.35
85,108.18,307.55,304.45,311.65
86,108.18,307.75,304.65,311.95
87,108.02,307.85,304.75,312.05
88,108.05,308.15,304.95,312.35
89,108.12,308.35,305.15,312.65
90,108.10,308.45,305.25,312.85
91,108.08,308.75,305.45,313.15
92,107.97,309.05,305.65,313.45
93,107.86,309.15,305.75,313.65
94,107.83,309.45,305.95,313.95
95,107.87,309.65,306.15,314.25
96,107.81,309.85,306.35,314.45
97,107.78,310.15,306.55,314.85
98,107.69,310.45,306.85,315.15
99,107.68,310.55,306.95,315.35
100,107.69,310.85,307.15,315.75
101,107.62,311.15,307.45,316.05
102,107.53,311.35,307.55,316.25
103,107.46,311.65,307.85,316.65
104,107.49,311.95,308.15,317.05
105,107.46,312.15,308.25,317.25
106,107.41,312.45,308.55,317.65
107,107.37,312.75,308.85,318.05
108,107.26,312.95,308.95,318.35
109,107.27,313.35,309.35,318.75
110,107.22,313.65,309.65,319.15
111,107.13,313.85,309.75,319.45
112,107.08,314.25,310.05,319.85
113,107.11,314.55,310.45,320.25
114,107.13,314.75,310.55,320.55
115,107.01,315.15,310.95,321.05
116,106.90,315.55,311.25,321.45
117,106.82,315.75,311.45,321.75
118,106.80,316.15,311.85,322.25
119,106.77,316.55,312.15,322.65
120,106.74,316.75,312.35,322.95
121,106.71,317.15,312.75,323.45
122,106.67,317.65,313.15,323.95
123,106.57,317.85,313.35,324.25
124,106.54,318.25,313.75,324.75
125,106.55,318.75,314.15,325.25
126,106.53,318.85,314.35,325.55
127,106.43,319.35,314.75,326.05
128,106.38,319.75,315.15,326.65
129,106.37,320.05,315.35,326.85
130,106.32,320.45,315.85,327.45
131,106.28,320.95,316.25,327.95
132,106.19,321.15,316.45,328.25
133,106.16,321.65,316.95,328.85
134,106.02,322.05,317.35,329.35
135,105.91,322.35,317.55,329.65
136,106.04,322.85,318.05,330.15
137,106.02,323.35,318.45,330.75
138,105.91,323.55,318.75,331.05
139,105.94,324.05,319.15,331.65
140,105.90,324.55,319.65,332.15
141,105.76,324.75,319.85,332.45
142,105.73,325.25,320.35,333.05
143,105.72,325.75,320.85,333.65
144,105.66,326.05,321.05,333.95
145,105.65,326.55,321.55,334.45
146,105.55,327.05,322.05,335.05
147,105.53,327.25,322.35,335.35
148,105.56,327.75,322.85,335.95
149,105.42,328.25,323.35,336.55
150,105.32,328.55,323.55,336.75
151,105.34,329.05,324.05,337.35
152,105.31,329.55,324.55,337.95
153,105.30,329.85,324.85,338.25
154,105.31,330.35,325.35,338.85
155,105.23,330.85,325.85,339.45
156,105.12,331.15,326.05,339.75
157,105.02,331.65,326.65,340.35
158,104.99,332.15,327.15,340.95
159,104.88,332.45,327.35,341.25
160,104.91,332.95,327.95,341.85
161,104.95,333.55,328.45,342.55
162,104.96,333.75,328.65,342.95
163,104.85,334.35,329.15,343.55
164,104.77,334.85,329.75,344.15
165,104.83,335.15,329.95,344.45
166,104.75,335.65,330.55,345.05
167,104.60,336.15,331.05,345.55
168,104.50,336.45,331.35,345.85
169,104.52,337.05,331.85,346.45
170,104.46,337.55,332.35,347.05
171,104.43,337.85,332.65,347.35
172,104.42,338.35,333.15,347.95
173,104.37,338.95,333.65,348.45
174,104.32,339.15,333.95,348.75
175,104.27,339.75,334.45,349.25
176,104.15,340.25,334.95,349.85
177,104.13,340.55,335.25,350.05
178,104.12,341.05,335.75,350.65
179,104.13,341.55,336.25,351.25
180,104.17,341.85,336.45,351.45
181,104.10,342.45,337.05,352.05
182,103.97,342.95,337.55,352.65
183,103.90,343.25,337.85,352.85
184,103.92,343.75,338.35,353.45
185,103.91,344.25,338.85,353.95
186,103.84,344.55,339.05,354.25
187,103.68,345.05,339.55,354.75
188,103.58,345.65,340.05,355.25
189,103.52,345.85,340.35,355.55
190,103.50,346.45,340.85,356.05
191,103.42,346.95,341.35,356.55
192,103.38,347.25,341.55,356.75
193,103.33,347.75,342.05,357.35
194,103.30,348.35,342.65,357.75
195,103.32,348.65,342.85,358.05
196,103.28,349.15,343.35,358.55
197,103.18,349.65,343.85,358.95
198,103.14,349.95,344.05,359.25
199,103.06,350.45,344.55,359.65
200,102.94,350.95,345.05,360.15
201,102.94,351.25,345.35,360.35
202,103.02,351.75,345.85,360.85
203,103.09,352.25,346.25,361.25
204,102.92,352.55,346.55,361.55
205,102.72,352.95,347.05,361.95
206,102.79,353.45,347.45,362.35
207,102.80,353.75,347.75,362.65
208,102.78,354.25,348.15,363.05
209,102.69,354.65,348.65,363.45
210,102.64,354.95,348.85,363.65
211,102.66,355.35,349.35,364.05
212,102.62,355.95,349.85,364.45
213,102.59,356.15,350.05,364.65
214,102.52,356.65,350.55,365.15
215,102.45,357.05,351.05,365.45
216,102.37,357.35,351.25,365.75
217,102.31,357.85,351.75,366.05
218,102.25,358.25,352.25,366.45
219,102.29,358.55,352.55,366.65
220,102.26,358.95,352.95,367.05
221,102.22,359.35,353.45,367.45
222,102.17,359.55,353.65,367.65
223,102.12,360.05,354.15,367.95
224,102.13,360.45,354.65,368.35
225,102.00,360.75,354.85,368.55
226,101.95,361.15,355.25,368.85
227,102.00,361.55,355.65,369.25
228,101.96,361.75,355.85,369.35
229,101.91,362.15,356.25,369.75
230,101.87,362.65,356.75,370.05
231,101.83,362.85,356.95,370.25
232,101.74,363.25,357.35,370.55
233,101.68,363.65,357.75,370.95
234,101.66,363.85,357.95,371.05
235,101.66,364.25,358.35,371.35
236,101.60,364.65,358.65,371.75
237,101.53,364.85,358.85,371.85
238,101.41,365.25,359.25,372.15
239,101.41,365.65,359.65,372.45
240,101.42,365.85,359.85,372.65
241,101.38,366.25,360.25,372.95
242,101.40,366.65,360.65,373.25
243,101.30,366.85,360.85,373.35
244,101.16,367.25,361.15,373.65
245,101.11,367.65,361.55,373.95
246,101.11,367.75,361.65,374.05
247,101.16,368.15,362.05,374.35
248,101.10,368.55,362.35,374.65
249,101.01,368.65,362.55,374.85
250,101.06,369.05,362.85,375.05
251,101.06,369.35,363.25,375.35
252,100.93,369.55,363.35,375.45
253,100.88,369.95,363.75,375.75
254,100.85,370.25,364.05,375.95
255,100.81,370.45,364.25,376.05
256,100.73,370.75,364.55,376.35
257,100.62,371.15,364.85,376.55
258,100.62,371.25,365.05,376.65
259,100.65,371.65,365.35,376.85
260,100.67,371.95,365.65,377.05
261,100.54,372.05,365.85,377.15
262,100.46,372.45,366.15,377.35
263,100.82,372.75,366.45,377.45
264,100.92,372.85,366.55,377.55
265,100.63,373.15,366.85,377.75
266,100.40,373.45,367.15,377.95
267,100.26,373.65,367.35,378.05
268,100.26,373.95,367.65,378.15
269,100.18,374.25,367.85,378.35
270,100.16,374.45,368.05,378.45
271,100.21,374.75,368.25,378.55
272,100.19,374.95,368.55,378.75
273,100.10,375.15,368.75,378.85
274,100.07,375.45,368.95,378.95
275,100.01,375.65,369.25,379.15
276,100.01,375.75,369.35,379.15
277,99.99,376.05,369.65,379.35
278,99.96,376.35,369.85,379.45
279,99.86,376.45,370.05,379.55
280,99.73,376.65,370.25,379.65
281,99.74,376.85,370.55,379.75
282,99.68,377.05,370.65,379.85
283,99.68,377.25,370.85,379.95
284,99.59,377.45,371.15,380.05
285,99.48,377.55,371.25,380.05
286,99.50,377.75,371.55,380.15
287,99.48,377.85,371.75,380.25
288,99.41,377.95,371.85,380.35
289,99.35,378.15,372.15,380.45
290,99.27,378.25,372.35,380.55
291,99.19,378.35,372.45,380.55
292,99.25,378.45,372.65,380.65
293,99.20,378.65,372.85,380.75
294,99.12,378.65,373.05,380.85
295,99.03,378.85,373.25,380.85
296,98.97,378.95,373.45,380.95
297,98.96,378.95,373.55,381.05
298,98.96,379.05,373.75,381.05
299,98.90,379.15,373.95,381.15
300,98.83,379.15,374.05,381.25
301,98.77,379.25,374.25,381.35
302,98.73,379.35,374.45,381.45
303,98.68,379.35,374.55,381.45
304,98.66,379.45,374.85,381.55
305,98.64,379.45,374.95,381.55
