Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,93.67,303.45,302.15,303.15
1,93.45,303.55,302.15,303.35
2,93.40,303.75,302.15,303.65
3,93.30,303.85,302.15,303.75
4,93.23,304.05,302.25,304.15
5,93.16,304.35,302.35,304.45
6,93.05,304.45,302.35,304.65
7,92.91,304.65,302.55,305.05
8,92.84,304.95,302.75,305.45
9,92.77,305.05,302.75,305.65
10,92.69,305.25,302.95,306.05
11,92.59,305.55,303.15,306.55
12,92.49,305.75,303.25,306.75
13,92.37,305.95,303.45,307.25
14,92.25,306.25,303.65,307.65
15,92.15,306.45,303.75,307.85
16,92.02,306.75,303.95,308.35
17,91.90,307.05,304.15,308.85
18,91.79,307.25,304.25,309.05
19,91.65,307.65,304.45,309.55
20,91.54,307.95,304.65,309.95
21,91.45,308.05,304.75,310.15
22,91.33,308.45,304.95,310.65
23,91.22,308.75,305.15,311.15
24,91.11,308.95,305.25,311.35
25,90.99,309.25,305.45,311.85
26,90.88,309.55,305.75,312.35
27,90.79,309.75,305.85,312.55
28,90.70,310.05,306.05,312.95
29,90.61,310.35,306.25,313.45
30,90.50,310.55,306.35,313.65
31,90.40,310.85,306.55,314.15
32,90.31,311.25,306.85,314.55
33,90.20,311.35,306.95,314.75
34,90.11,311.65,307.15,315.25
35,90.02,312.05,307.35,315.75
36,89.94,312.15,307.45,315.95
37,89.85,312.45,307.75,316.35
38,89.76,312.85,307.95,316.85
39,89.67,312.95,308.05,317.05
40,89.58,313.35,308.25,317.45
41,89.50,313.65,308.45,317.95
42,89.40,313.75,308.65,318.15
43,89.32,314.15,308.75,318.65
44,89.20,314.35,309.05,319.05
45,89.13,314.55,309.15,319.25
46,89.04,314.85,309.35,319.75
47,88.95,315.15,309.65,320.15
48,88.86,315.35,309.65,320.45
49,88.80,315.75,309.95,320.85
50,88.71,316.05,310.15,321.25
51,88.63,316.15,310.25,321.55
52,88.54,316.45,310.45,321.95
53,88.47,316.85,310.65,322.45
54,88.40,316.95,310.75,322.65
55,88.32,317.25,310.95,323.05
56,88.23,317.65,311.25,323.45
57,88.15,317.75,311.35,323.75
58,88.08,318.05,311.55,324.15
59,87.98,318.35,311.75,324.65
60,87.91,318.55,311.85,324.85
61,87.84,318.85,312.05,325.25
62,87.76,319.15,312.35,325.75
63,87.68,319.25,312.45,325.95
64,87.61,319.65,312.65,326.35
65,87.54,319.95,312.85,326.85
66,87.47,320.05,312.95,327.05
67,87.40,320.45,313.25,327.45
68,87.31,320.75,313.45,327.85
69,87.23,320.85,313.55,328.15
70,87.16,321.15,313.75,328.55
71,87.09,321.55,313.95,328.95
72,87.02,321.65,314.05,329.15
73,86.94,321.95,314.25,329.65
74,86.86,322.25,314.55,330.05
75,86.78,322.45,314.65,330.25
76,86.71,322.75,314.85,330.65
