Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,105.16,294.75,296.15,293.45
1,104.33,294.75,296.35,293.55
2,104.71,294.85,296.95,293.55
3,104.73,294.95,297.55,293.65
4,104.37,294.95,297.85,293.65
5,104.33,295.05,298.35,293.75
6,104.39,295.15,298.95,293.85
7,104.35,295.25,299.25,293.95
8,104.35,295.35,299.65,293.95
9,104.20,295.55,300.15,294.15
10,104.39,295.55,300.45,294.15
11,104.17,295.65,300.85,294.25
12,104.04,295.75,301.25,294.35
13,104.01,295.85,301.35,294.35
14,103.94,295.95,301.75,294.45
15,103.81,296.05,302.25,294.55
16,103.81,296.15,302.45,294.55
17,103.71,296.25,302.95,294.65
18,103.53,296.35,303.35,294.75
19,103.47,296.45,303.45,294.85
20,103.26,296.55,303.75,294.95
21,103.22,296.65,303.95,295.05
22,103.09,296.75,304.05,295.05
23,102.93,296.85,304.35,295.15
24,102.84,297.05,304.65,295.25
25,102.76,297.05,304.75,295.35
26,102.51,297.15,305.15,295.45
27,102.49,297.25,305.35,295.55
28,102.34,297.35,305.35,295.55
29,102.20,297.45,305.65,295.65
30,102.14,297.65,305.75,295.75
31,101.97,297.65,305.95,295.85
32,101.81,297.85,306.15,295.95
33,101.61,297.95,306.55,296.05
34,101.48,297.95,306.75,296.05
35,101.38,298.15,306.85,296.15
36,101.34,298.25,307.15,296.25
37,101.20,298.35,307.25,296.35
38,101.01,298.45,307.45,296.45
39,100.86,298.65,307.95,296.55
40,100.64,298.65,308.15,296.65
41,100.42,298.85,308.25,296.65
42,100.37,299.05,308.45,296.75
43,100.41,299.15,308.45,296.85
44,100.25,299.25,308.65,296.95
45,99.98,299.45,308.95,297.15
46,99.84,299.45,309.25,297.15
47,99.73,299.65,309.55,297.25
48,99.65,299.85,310.05,297.45
49,99.56,299.95,310.25,297.55
50,99.44,300.05,310.35,297.65
51,99.36,300.25,310.35,297.75
52,99.27,300.35,310.65,297.85
53,99.14,300.55,311.05,298.05
