Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,94.80,301.95,301.45,302.35
1,94.83,302.05,301.45,302.35
2,94.88,302.05,301.45,302.45
3,94.81,302.15,301.55,302.55
4,94.75,302.25,301.55,302.65
5,94.68,302.35,301.55,302.75
6,94.63,302.45,301.55,302.85
7,94.60,302.45,301.65,302.85
8,94.54,302.55,301.65,302.95
9,94.51,302.75,301.75,303.15
10,94.49,302.75,301.75,303.15
11,94.47,302.85,301.75,303.25
12,94.43,303.05,301.85,303.35
13,94.40,303.05,301.85,303.45
14,94.37,303.15,301.85,303.55
15,94.33,303.25,301.95,303.65
16,94.32,303.35,301.95,303.75
17,94.30,303.45,302.05,303.85
18,94.28,303.55,302.05,303.95
19,94.27,303.65,302.05,304.05
20,94.24,303.75,302.15,304.15
21,94.21,303.85,302.15,304.25
22,94.18,303.95,302.25,304.35
23,94.17,304.05,302.25,304.45
24,94.14,304.15,302.35,304.55
25,94.12,304.15,302.35,304.65
26,94.10,304.35,302.45,304.75
27,94.08,304.45,302.45,304.95
28,94.05,304.45,302.45,304.95
29,94.04,304.55,302.55,305.05
30,94.00,304.75,302.65,305.25
31,93.98,304.75,302.65,305.25
32,93.94,304.95,302.75,305.45
33,93.91,304.95,302.75,305.55
34,93.89,305.05,302.75,305.55
35,93.85,305.15,302.85,305.75
36,93.82,305.35,302.95,305.85
37,93.80,305.35,302.95,305.95
38,93.78,305.55,302.95,306.05
39,93.74,305.65,303.05,306.15
40,93.71,305.75,303.05,306.25
41,93.69,305.85,303.15,306.35
42,93.66,305.95,303.25,306.55
43,93.62,305.95,303.25,306.55
44,93.59,306.15,303.25,306.75
45,93.56,306.25,303.35,306.85
46,93.53,306.25,303.35,306.85
47,93.49,306.45,303.45,307.05
48,93.47,306.55,303.55,307.15
49,93.44,306.55,303.55,307.25
50,93.40,306.75,303.65,307.35
51,93.36,306.85,303.65,307.55
52,93.32,306.85,303.75,307.55
53,93.29,307.05,303.75,307.75
54,93.26,307.15,303.85,307.85
55,93.22,307.25,303.85,307.85
56,93.18,307.35,303.95,308.05
57,93.14,307.45,304.05,308.15
58,93.11,307.55,304.05,308.25
59,93.07,307.65,304.05,308.35
60,93.02,307.75,304.15,308.55
61,92.99,307.85,304.15,308.55
62,92.94,307.95,304.25,308.75
63,92.91,308.15,304.35,308.85
64,92.87,308.15,304.35,308.95
65,92.83,308.35,304.45,309.05
66,92.79,308.45,304.55,309.25
67,92.73,308.55,304.55,309.25
68,92.69,308.65,304.65,309.45
69,92.66,308.75,304.75,309.55
70,92.62,308.85,304.75,309.65
71,92.59,308.95,304.85,309.75
72,92.55,309.15,304.95,309.95
73,92.50,309.25,304.95,310.05
74,92.46,309.35,305.05,310.15
75,92.42,309.45,305.05,310.25
76,92.38,309.55,305.15,310.25
77,92.33,309.65,305.15,310.45
78,92.30,309.75,305.25,310.55
79,92.26,309.85,305.35,310.65
80,92.22,310.05,305.45,310.85
81,92.19,310.15,305.45,310.95
82,92.16,310.25,305.55,311.05
83,92.11,310.35,305.65,311.15
84,92.07,310.55,305.75,311.35
85,92.04,310.55,305.75,311.35
86,92.00,310.75,305.85,311.55
87,91.96,310.85,305.95,311.65
88,91.93,310.95,305.95,311.75
89,91.88,311.05,306.05,311.85
90,91.84,311.25,306.15,312.05
91,91.80,311.35,306.15,312.15
92,91.77,311.45,306.25,312.25
93,91.74,311.55,306.35,312.35
94,91.69,311.65,306.35,312.45
95,91.65,311.75,306.45,312.55
96,91.61,311.95,306.55,312.75
97,91.57,312.05,306.55,312.85
98,91.53,312.15,306.65,312.95
99,91.50,312.35,306.75,313.15
100,91.46,312.35,306.85,313.25
101,91.43,312.55,306.85,313.35
102,91.38,312.65,306.95,313.45
103,91.34,312.75,307.05,313.55
104,91.31,312.95,307.15,313.75
105,91.29,313.05,307.25,313.85
106,91.26,313.15,307.25,313.95
107,91.22,313.35,307.35,314.15
108,91.19,313.45,307.45,314.25
109,91.15,313.55,307.55,314.35
110,91.12,313.75,307.65,314.45
111,91.09,313.85,307.75,314.65
112,91.04,313.95,307.75,314.75
113,91.00,314.15,307.85,314.85
114,90.97,314.25,307.95,315.05
115,90.93,314.35,307.95,315.05
116,90.90,314.55,308.05,315.25
117,90.86,314.65,308.15,315.35
118,90.83,314.75,308.25,315.45
119,90.79,314.95,308.35,315.65
