Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,92.16,298.65,297.65,298.35
1,91.98,298.65,297.65,298.35
2,91.75,298.75,297.65,298.35
3,91.70,298.85,297.65,298.45
4,91.67,298.95,297.65,298.55
5,91.59,299.05,297.75,298.55
6,91.51,299.15,297.75,298.65
7,91.45,299.15,297.75,298.75
8,91.40,299.25,297.75,298.75
9,91.36,299.45,297.75,298.85
10,91.33,299.45,297.75,298.95
11,91.28,299.65,297.75,299.05
12,91.24,299.75,297.85,299.15
13,91.17,299.75,297.85,299.15
14,91.16,299.85,297.85,299.25
15,91.14,299.95,297.85,299.35
16,91.12,300.05,297.85,299.45
17,91.10,300.15,297.95,299.55
18,91.08,300.25,297.95,299.65
19,91.05,300.35,297.95,299.65
20,91.03,300.45,298.05,299.75
21,91.01,300.55,298.05,299.95
22,90.98,300.55,298.05,299.95
23,90.94,300.65,298.15,300.05
24,90.89,300.75,298.15,300.15
25,90.86,300.85,298.15,300.25
26,90.85,300.95,298.15,300.25
27,90.84,301.15,298.25,300.35
28,90.83,301.15,298.25,300.45
29,90.80,301.25,298.25,300.55
30,90.77,301.35,298.35,300.65
31,90.72,301.45,298.35,300.75
32,90.68,301.55,298.35,300.85
33,90.65,301.65,298.45,300.95
34,90.61,301.75,298.45,301.05
35,90.57,301.85,298.45,301.15
36,90.51,301.95,298.55,301.25
37,90.50,302.05,298.55,301.25
38,90.53,302.15,298.55,301.35
39,90.44,302.25,298.65,301.55
40,90.37,302.35,298.65,301.55
41,90.35,302.45,298.75,301.65
42,90.32,302.55,298.75,301.85
43,90.27,302.65,298.75,301.85
44,90.23,302.75,298.85,301.95
45,90.19,302.85,298.85,302.05
46,90.13,302.85,298.85,302.15
47,90.10,303.05,298.95,302.25
48,90.05,303.15,298.95,302.35
49,90.02,303.15,299.05,302.45
50,90.00,303.35,299.05,302.55
51,89.97,303.45,299.15,302.65
52,89.93,303.55,299.15,302.75
53,89.90,303.65,299.15,302.85
54,89.89,303.75,299.25,302.95
55,89.86,303.75,299.25,302.95
56,89.80,303.95,299.35,303.05
57,89.74,304.05,299.35,303.15
58,89.71,304.05,299.45,303.25
59,89.68,304.15,299.45,303.35
60,89.62,304.35,299.45,303.45
61,89.58,304.35,299.55,303.55
62,89.53,304.55,299.65,303.65
63,89.52,304.65,299.65,303.75
64,89.50,304.75,299.65,303.85
65,89.45,304.85,299.75,303.95
66,89.41,304.95,299.75,304.05
67,89.35,304.95,299.75,304.15
68,89.31,305.15,299.85,304.25
69,89.30,305.25,299.95,304.35
70,89.28,305.35,299.95,304.45
71,89.23,305.45,299.95,304.55
72,89.19,305.55,300.05,304.65
73,89.16,305.65,300.05,304.75
74,89.11,305.75,300.15,304.85
75,89.08,305.85,300.25,304.95
76,89.04,305.95,300.25,305.05
77,88.99,306.05,300.25,305.15
78,88.95,306.15,300.35,305.25
79,88.92,306.25,300.35,305.35
80,88.88,306.35,300.45,305.45
81,88.83,306.55,300.45,305.55
82,88.80,306.55,300.55,305.65
83,88.78,306.75,300.55,305.75
84,88.72,306.85,300.65,305.85
85,88.68,306.95,300.65,305.95
86,88.64,307.05,300.75,306.05
87,88.62,307.15,300.85,306.15
88,88.57,307.25,300.85,306.25
89,88.51,307.35,300.95,306.35
90,88.48,307.55,300.95,306.45
91,88.44,307.65,300.95,306.55
92,88.40,307.75,301.05,306.65
93,88.37,307.85,301.15,306.75
94,88.34,307.95,301.15,306.85
95,88.31,308.05,301.25,306.95
96,88.27,308.15,301.25,307.15
97,88.24,308.25,301.35,307.15
98,88.19,308.45,301.45,307.35
99,88.17,308.55,301.45,307.45
100,88.13,308.65,301.45,307.45
101,88.10,308.75,301.55,307.65
102,88.09,308.85,301.65,307.75
103,88.04,308.95,301.75,307.75
104,88.00,309.15,301.75,307.95
105,87.96,309.25,301.85,308.05
106,87.93,309.35,301.85,308.15
107,87.89,309.45,301.95,308.25
108,87.88,309.65,302.05,308.35
109,87.86,309.65,302.05,308.45
110,87.82,309.85,302.15,308.55
111,87.78,309.95,302.25,308.65
112,87.77,310.05,302.25,308.75
113,87.73,310.15,302.35,308.85
114,87.70,310.35,302.45,309.05
115,87.67,310.45,302.45,309.05
116,87.64,310.55,302.55,309.25
117,87.61,310.75,302.65,309.35
118,87.59,310.85,302.65,309.45
119,87.56,310.95,302.75,309.55
120,87.53,311.15,302.85,309.65
121,87.49,311.15,302.85,309.75
122,87.45,311.35,302.95,309.85
123,87.44,311.45,303.05,310.05
124,87.43,311.55,303.05,310.15
