Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,303.159,5.196,0.0002
1,303.154,5.196,0.0
2,303.1543,5.1969,-0.0001
3,303.1555,5.1973,-0.0001
4,303.155,5.197,0.0
5,303.153,5.1963,0.0
6,303.153,5.1959,-0.0
7,303.1555,5.197,0.0001
8,303.1567,5.1963,0.0001
9,303.1585,5.1959,0.0002
10,303.1583,5.1954,0.0002
11,303.1563,5.1947,0.0001
12,303.163,5.1958,-0.0
13,303.1597,5.1955,0.0001
14,303.159,5.1952,0.0
15,303.1605,5.1954,-0.0
16,303.1617,5.1953,0.0
17,303.1613,5.1947,-0.0
18,303.163,5.1958,-0.0
19,303.1638,5.1955,-0.0
20,303.1627,5.1958,-0.0
21,303.163,5.1968,-0.0001
22,303.1633,5.1972,-0.0002
23,303.1623,5.1963,-0.0002
24,303.164,5.1963,-0.0002
25,303.164,5.1963,-0.0
26,303.164,5.1963,-0.0001
27,303.1645,5.1958,-0.0002
28,303.167,5.1957,-0.0002
29,303.1705,5.1963,-0.0002
30,303.168,5.1963,-0.0002
31,303.1688,5.1963,-0.0002
32,303.1683,5.1959,-0.0003
33,303.1685,5.196,-0.0003
34,303.1697,5.1963,-0.0003
35,303.1707,5.1963,-0.0003
36,303.169,5.1959,-0.0003
37,303.1715,5.1962,-0.0002
38,303.1733,5.1967,-0.0002
39,303.172,5.1967,-0.0003
40,303.1703,5.1968,-0.0004
41,303.1713,5.1976,-0.0004
42,303.173,5.1975,-0.0001
43,303.1738,5.1978,-0.0001
44,303.172,5.1977,-0.0003
45,303.1725,5.1974,-0.0005
46,303.1743,5.1974,-0.0005
47,303.1747,5.1977,-0.0005
48,303.173,5.1966,-0.0004
49,303.173,5.1977,-0.0002
50,303.1743,5.1975,-0.0003
51,303.1745,5.1968,-0.0003
52,303.1753,5.1964,-0.0004
53,303.1778,5.1964,-0.0005
54,303.177,5.1961,-0.0005
55,303.1753,5.1964,-0.0004
56,303.175,5.1964,-0.0004
57,303.177,5.1964,-0.0004
58,303.1783,5.1969,-0.0004
59,303.1775,5.1978,-0.0005
60,303.18,5.1976,-0.0005
61,303.1792,5.1977,-0.0004
62,303.179,5.1978,-0.0003
63,303.179,5.1974,-0.0004
64,303.1787,5.1973,-0.0004
65,303.1783,5.1978,-0.0005
66,303.18,5.1978,-0.0009
67,303.1817,5.1978,-0.0007
68,303.18,5.1978,-0.0005
69,303.181,5.1977,-0.0005
70,303.183,5.1977,-0.0007
71,303.1827,5.1975,-0.0007
72,303.181,5.1963,-0.0005
73,303.1793,5.1963,-0.0005
74,303.1797,5.1968,-0.0005
75,303.1815,5.1967,-0.0006
76,303.1827,5.1963,-0.0006
77,303.1822,5.1961,-0.0006
78,303.183,5.195,-0.0006
79,303.1822,5.1961,-0.0006
80,303.1827,5.1963,-0.0006
81,303.1825,5.1963,-0.0005
82,303.1823,5.1968,-0.0004
83,303.1825,5.1974,-0.0005
84,303.18,5.1963,-0.0007
85,303.1817,5.1974,-0.0006
86,303.182,5.1977,-0.0006
87,303.1815,5.1977,-0.0008
88,303.1803,5.1977,-0.0009
89,303.1797,5.1975,-0.0009
90,303.183,5.1963,-0.0008
91,303.1822,5.1975,-0.0007
92,303.1813,5.1977,-0.0005
93,303.18,5.1977,-0.0006
94,303.1797,5.1972,-0.0007
95,303.1812,5.1966,-0.0008
96,303.182,5.1977,-0.0007
97,303.1778,5.1977,-0.0006
98,303.1797,5.1968,-0.0007
99,303.18,5.1963,-0.0007
100,303.179,5.1963,-0.0007
101,303.1792,5.1964,-0.0007
102,303.18,5.1967,-0.0006
103,303.1817,5.1964,-0.0006
104,303.1813,5.1959,-0.0006
105,303.1805,5.1959,-0.0007
106,303.18,5.1961,-0.0009
107,303.1802,5.1959,-0.0008
108,303.181,5.1962,-0.0007
109,303.1793,5.1962,-0.0008
110,303.179,5.1964,-0.0008
111,303.1785,5.1966,-0.0007
112,303.1787,5.1964,-0.0006
113,303.1803,5.1964,-0.0007
114,303.182,5.1976,-0.0007
115,303.1812,5.1965,-0.0006
116,303.179,5.1972,-0.0006
117,303.1785,5.1975,-0.0006
118,303.1793,5.1975,-0.0006
119,303.1797,5.1977,-0.0006
120,303.178,5.1977,-0.0007
121,303.178,5.198,-0.0006
122,303.1793,5.198,-0.0005
123,303.179,5.1978,-0.0007
124,303.178,5.1982,-0.0008
125,303.1785,5.199,-0.0008
126,303.181,5.1981,-0.0009
127,303.181,5.199,-0.0007
128,303.179,5.1987,-0.0007
129,303.1795,5.1981,-0.0007
130,303.1803,5.1979,-0.0007
131,303.1788,5.1981,-0.0007
132,303.178,5.1978,-0.0007
133,303.1772,5.1983,-0.0007
134,303.1783,5.199,-0.0007
135,303.1785,5.1991,-0.0008
136,303.1777,5.1986,-0.001
137,303.1767,5.1981,-0.001
138,303.175,5.1992,-0.0009
139,303.1767,5.1992,-0.0008
140,303.177,5.199,-0.0008
141,303.176,5.1984,-0.0009
142,303.175,5.1979,-0.0009
143,303.175,5.1979,-0.0009
144,303.175,5.1982,-0.0007
145,303.175,5.1979,-0.0007
146,303.1763,5.1986,-0.0008
147,303.175,5.1991,-0.0009
