Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,105.88,302.15,300.15,301.05
1,105.74,302.25,300.15,301.05
2,105.76,302.25,300.25,301.15
3,105.68,302.35,300.35,301.25
4,105.59,302.35,300.35,301.35
5,105.50,302.45,300.45,301.55
6,105.47,302.55,300.45,301.65
7,105.48,302.55,300.55,301.75
8,105.49,302.65,300.65,301.95
9,105.47,302.75,300.65,302.05
10,105.44,302.75,300.65,302.15
11,105.52,302.85,300.75,302.35
12,105.48,302.95,300.85,302.45
13,105.47,302.95,300.85,302.55
14,105.52,303.05,300.85,302.65
15,105.58,303.15,300.95,302.85
16,105.50,303.15,300.95,302.95
17,105.46,303.25,301.05,303.05
18,105.49,303.35,301.05,303.15
19,105.37,303.35,301.05,303.25
20,105.30,303.45,301.15,303.35
21,105.32,303.45,301.15,303.55
22,105.38,303.55,301.25,303.55
23,105.38,303.55,301.25,303.75
24,105.38,303.65,301.35,303.85
25,105.31,303.75,301.35,303.95
26,105.30,303.75,301.35,304.05
27,105.32,303.85,301.45,304.15
28,105.38,303.85,301.45,304.25
29,105.35,303.95,301.55,304.35
30,105.37,304.05,301.55,304.55
31,105.36,304.05,301.55,304.55
32,105.29,304.15,301.65,304.75
33,105.19,304.25,301.65,304.85
34,105.20,304.25,301.75,304.95
35,105.14,304.35,301.75,305.05
36,105.07,304.45,301.85,305.15
37,105.05,304.45,301.85,305.25
38,105.07,304.55,301.95,305.35
39,104.89,304.65,301.95,305.55
40,104.82,304.75,301.95,305.65
41,104.88,304.75,302.05,305.75
42,104.90,304.85,302.15,305.85
43,104.94,304.85,302.15,305.95
44,105.02,304.95,302.15,306.05
45,104.99,305.05,302.25,306.15
46,104.93,305.05,302.25,306.25
47,104.93,305.15,302.35,306.35
48,104.91,305.25,302.35,306.55
49,104.90,305.25,302.35,306.65
50,104.86,305.35,302.45,306.75
51,104.85,305.45,302.55,306.85
52,104.80,305.45,302.55,306.95
53,104.74,305.55,302.65,307.15
54,104.69,305.65,302.75,307.25
55,104.64,305.65,302.75,307.35
56,104.62,305.75,302.85,307.55
57,104.56,305.85,302.85,307.65
58,104.61,305.95,302.95,307.75
59,104.64,305.95,303.05,307.85
60,104.62,306.05,303.05,308.05
61,104.53,306.15,303.15,308.15
62,104.42,306.25,303.15,308.25
63,104.28,306.35,303.25,308.45
64,104.19,306.45,303.35,308.55
65,104.29,306.55,303.45,308.75
66,104.42,306.65,303.55,308.95
67,104.36,306.75,303.55,309.05
68,104.20,306.85,303.65,309.25
69,104.13,306.95,303.75,309.35
70,104.16,307.05,303.85,309.55
71,104.20,307.15,303.95,309.65
72,104.20,307.35,304.05,309.95
73,104.08,307.35,304.15,310.05
74,103.98,307.55,304.25,310.25
75,104.01,307.65,304.35,310.45
76,104.01,307.75,304.45,310.55
77,103.94,307.85,304.55,310.85
78,103.93,308.05,304.75,311.05
79,103.70,308.15,304.85,311.15
80,103.53,308.35,304.95,311.45
81,103.49,308.55,305.05,311.65
82,103.54,308.65,305.15,311.85
83,103.56,308.75,305.25,312.05
84,103.62,308.95,305.45,312.35
85,103.61,309.05,305.55,312.45
86,103.53,309.25,305.75,312.75
87,103.47,309.45,305.95,313.05
88,103.47,309.55,305.95,313.25
89,103.42,309.75,306.25,313.45
90,103.37,310.05,306.45,313.85
91,103.35,310.15,306.55,313.95
92,103.34,310.35,306.75,314.25
93,103.34,310.55,306.95,314.65
94,103.26,310.65,307.05,314.75
95,103.12,310.95,307.25,315.15
96,102.99,311.25,307.55,315.45
97,102.88,311.35,307.65,315.65
98,102.85,311.55,307.95,316.05
99,102.85,311.85,308.15,316.35
100,102.89,311.95,308.35,316.55
101,102.93,312.35,308.65,316.95
102,102.85,312.55,308.85,317.35
103,102.79,312.75,309.05,317.55
104,102.69,313.05,309.35,317.95
105,102.62,313.35,309.65,318.35
106,102.63,313.45,309.75,318.55
107,102.62,313.85,310.15,318.95
108,102.53,314.15,310.45,319.35
109,102.49,314.25,310.55,319.65
110,102.42,314.55,310.95,320.05
111,102.41,314.95,311.25,320.45
112,102.35,315.15,311.45,320.65
113,102.24,315.45,311.75,321.15
114,102.21,315.85,312.15,321.65
115,102.16,315.95,312.35,321.85
116,102.10,316.35,312.65,322.25
117,102.14,316.75,313.05,322.75
118,102.10,316.95,313.25,322.95
119,101.90,317.25,313.65,323.45
120,101.81,317.65,314.05,323.95
121,101.74,317.85,314.25,324.15
122,101.73,318.25,314.65,324.65
123,101.76,318.65,315.05,325.15
124,101.74,318.85,315.25,325.45
125,101.67,319.35,315.65,325.95
126,101.55,319.75,316.05,326.45
127,101.44,319.95,316.35,326.65
128,101.38,320.35,316.75,327.15
129,101.37,320.75,317.15,327.75
130,101.36,321.05,317.45,327.95
131,101.26,321.45,317.85,328.45
132,101.19,321.85,318.35,329.05
133,101.10,322.05,318.55,329.25
134,100.97,322.55,318.95,329.85
135,100.91,322.95,319.45,330.35
136,100.95,323.15,319.75,330.65
137,100.94,323.65,320.15,331.15
138,100.81,324.15,320.65,331.75
139,100.83,324.35,320.85,331.95
140,100.91,324.85,321.35,332.55
141,100.92,325.35,321.85,333.05
142,100.80,325.55,322.15,333.35
143,100.64,326.05,322.55,333.85
144,100.55,326.45,323.15,334.35
145,100.49,326.75,323.35,334.65
146,100.49,327.25,323.85,335.25
147,100.51,327.75,324.35,335.75
148,100.51,327.95,324.55,336.05
149,100.49,328.45,325.15,336.55
150,100.45,328.95,325.65,337.05
151,100.36,329.25,325.85,337.35
152,100.25,329.75,326.35,337.95
153,100.23,330.25,326.95,338.45
154,100.28,330.45,327.15,338.75
155,100.24,330.95,327.65,339.25
156,100.20,331.45,328.15,339.85
157,100.13,331.75,328.45,340.05
158,100.14,332.25,328.95,340.65
159,100.10,332.75,329.55,341.15
160,100.06,333.05,329.75,341.45
161,99.95,333.55,330.25,342.05
162,99.77,334.15,330.85,342.55
163,99.66,334.35,331.05,342.85
164,99.60,334.85,331.55,343.35
165,99.56,335.35,332.15,343.95
166,99.48,335.65,332.35,344.15
167,99.44,336.15,332.95,344.75
168,99.45,336.65,333.45,345.25
169,99.36,336.95,333.65,345.55
170,99.24,337.45,334.15,346.05
171,99.19,337.95,334.75,346.65
172,99.20,338.15,334.95,346.85
173,99.19,338.75,335.45,347.45
174,99.13,339.25,336.05,347.95
175,99.07,339.45,336.25,348.25
176,99.04,340.05,336.75,348.75
177,99.06,340.55,337.35,349.35
178,98.99,340.85,337.55,349.65
179,98.92,341.35,338.05,350.15
180,98.90,341.85,338.55,350.65
181,98.87,342.05,338.85,350.95
182,98.85,342.65,339.35,351.45
