Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,111.07,305.25,303.75,304.45
1,110.80,305.45,303.75,304.55
2,110.73,305.65,303.85,304.65
3,110.67,305.95,303.95,304.85
4,110.61,306.25,304.05,304.95
5,110.53,306.45,304.05,305.05
6,110.46,306.75,304.15,305.35
7,110.38,307.15,304.35,305.55
8,110.32,307.25,304.35,305.65
9,110.21,307.55,304.55,305.95
10,110.07,307.95,304.65,306.15
11,109.95,308.05,304.75,306.25
12,109.84,308.45,304.95,306.55
13,109.50,308.75,305.15,306.75
14,109.19,308.95,305.25,306.85
15,109.04,309.35,305.35,307.15
16,108.91,309.65,305.55,307.45
17,108.78,309.75,305.65,307.55
18,108.65,310.15,305.85,307.85
19,108.53,310.45,306.05,308.15
20,108.39,310.55,306.15,308.25
21,108.27,310.95,306.35,308.55
22,108.15,311.25,306.45,308.85
23,108.04,311.35,306.55,308.95
24,107.92,311.65,306.75,309.25
25,107.79,312.05,306.95,309.55
26,107.67,312.15,307.05,309.65
27,107.55,312.45,307.15,309.95
28,107.45,312.85,307.35,310.25
29,107.33,312.95,307.45,310.35
30,107.21,313.35,307.65,310.65
31,107.09,313.65,307.85,310.95
32,106.99,313.75,307.85,311.05
33,106.88,314.15,308.05,311.35
34,106.76,314.45,308.25,311.55
35,106.60,314.55,308.35,311.75
36,106.50,314.95,308.55,312.05
37,106.42,315.25,308.75,312.35
38,106.32,315.45,308.85,312.45
39,106.22,315.75,309.05,312.75
40,106.12,316.15,309.15,312.95
41,106.00,316.25,309.25,313.15
42,105.90,316.65,309.45,313.45
43,105.80,316.95,309.55,313.75
44,105.71,317.05,309.65,313.85
45,105.60,317.35,309.85,314.15
46,105.50,317.75,310.05,314.45
47,105.41,317.85,310.05,314.55
48,105.31,318.15,310.25,314.85
49,105.21,318.45,310.45,315.15
50,105.12,318.65,310.55,315.25
51,105.02,318.85,310.65,315.55
52,104.93,319.25,310.85,315.85
53,104.82,319.35,310.95,315.95
54,104.71,319.65,311.05,316.25
55,104.62,319.95,311.25,316.55
56,104.53,320.05,311.35,316.65
57,104.44,320.45,311.45,316.95
58,104.35,320.65,311.65,317.25
59,104.24,320.85,311.75,317.35
60,104.16,321.15,311.85,317.65
61,104.08,321.45,312.05,317.95
