Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,303.158,5.1394,0.0005
1,303.1572,5.1394,0.0005
2,303.1583,5.1394,0.0006
3,303.16,5.1401,0.0007
4,303.159,5.1404,0.0007
5,303.1555,5.1398,0.0007
6,303.158,5.1403,0.0007
7,303.1563,5.1406,0.0006
8,303.1573,5.1402,0.0006
9,303.158,5.1403,0.0005
10,303.1573,5.1401,0.0005
11,303.1567,5.1392,0.0006
12,303.16,5.1392,0.0008
13,303.1592,5.1389,0.0005
14,303.1597,5.1391,0.0006
15,303.1595,5.1392,0.0006
16,303.1593,5.1388,0.0006
17,303.1597,5.1383,0.0006
18,303.158,5.1392,0.0006
19,303.1588,5.1386,0.0008
20,303.1597,5.1385,0.0009
21,303.1595,5.1389,0.0009
22,303.1583,5.139,0.0009
23,303.1573,5.1384,0.001
24,303.159,5.1391,0.0009
25,303.159,5.1385,0.0008
26,303.157,5.1391,0.0007
27,303.157,5.1387,0.0007
28,303.1587,5.1385,0.0008
29,303.1598,5.1394,0.0009
30,303.159,5.1394,0.0008
31,303.1598,5.1397,0.0009
32,303.1587,5.1395,0.0009
33,303.158,5.1394,0.0009
34,303.1587,5.1394,0.0009
35,303.1597,5.1394,0.001
36,303.158,5.1393,0.001
37,303.1605,5.1393,0.0008
38,303.1603,5.1397,0.0008
39,303.1595,5.1396,0.0009
40,303.159,5.1395,0.001
41,303.1587,5.1399,0.001
42,303.157,5.1394,0.0009
43,303.1603,5.1394,0.0009
44,303.1583,5.1401,0.0011
45,303.158,5.1399,0.0012
46,303.159,5.1396,0.0012
47,303.1588,5.14,0.0013
48,303.158,5.1394,0.0012
49,303.1605,5.1394,0.0012
50,303.1597,5.139,0.0011
51,303.1605,5.139,0.0012
52,303.1617,5.1393,0.0012
53,303.1608,5.1393,0.0012
54,303.16,5.1393,0.001
55,303.1608,5.1393,0.0011
56,303.1603,5.1393,0.0011
57,303.1605,5.1393,0.0011
58,303.1607,5.1395,0.0011
59,303.1605,5.14,0.0012
60,303.163,5.1403,0.0012
61,303.1613,5.1399,0.0011
62,303.1597,5.1403,0.0011
63,303.159,5.1398,0.0011
64,303.1593,5.1396,0.0011
65,303.1605,5.1405,0.0012
66,303.163,5.1402,0.0013
67,303.1647,5.1393,0.0011
68,303.163,5.1401,0.0013
69,303.161,5.1398,0.0014
70,303.1603,5.1391,0.0013
71,303.1612,5.1388,0.0013
72,303.162,5.1377,0.0012
73,303.1612,5.1386,0.0013
74,303.163,5.1385,0.0012
75,303.1625,5.1381,0.0012
76,303.1607,5.1382,0.0013
77,303.1598,5.1388,0.0015
78,303.159,5.1377,0.0014
79,303.1623,5.138,0.0013
80,303.1617,5.1387,0.0013
81,303.161,5.1391,0.0012
82,303.1613,5.1392,0.0012
83,303.1622,5.1393,0.0013
84,303.163,5.1391,0.0014
85,303.1597,5.1391,0.0014
86,303.1597,5.14,0.0014
87,303.161,5.1397,0.0015
88,303.1623,5.1392,0.0016
89,303.1627,5.1393,0.0016
90,303.161,5.1391,0.0013
91,303.1618,5.1391,0.0013
92,303.1627,5.14,0.0012
93,303.162,5.1404,0.0013
94,303.1613,5.1402,0.0014
95,303.1625,5.1399,0.0014
96,303.165,5.1404,0.0013
97,303.1608,5.1404,0.0014
98,303.162,5.1395,0.0014
99,303.1615,5.1397,0.0013
100,303.1593,5.1404,0.0013
101,303.158,5.1402,0.0013
102,303.158,5.1394,0.0013
103,303.163,5.1402,0.0012
104,303.162,5.14,0.0012
105,303.1605,5.1393,0.0013
106,303.1607,5.1392,0.0013
107,303.1617,5.1395,0.0014
108,303.16,5.139,0.0012
109,303.1608,5.139,0.0013
110,303.1583,5.1396,0.0014
111,303.1605,5.1396,0.0013
112,303.164,5.1395,0.0012
113,303.163,5.14,0.0014
114,303.158,5.1403,0.0013
115,303.1597,5.1392,0.0011
116,303.1607,5.1399,0.0012
117,303.1615,5.1401,0.0012
118,303.162,5.1396,0.0011
119,303.162,5.1389,0.0012
120,303.162,5.1389,0.0012
121,303.162,5.1389,0.0011
122,303.1607,5.1392,0.001
123,303.1605,5.1391,0.0011
124,303.161,5.1389,0.0012
125,303.1607,5.1388,0.0012
126,303.159,5.138,0.0011
127,303.1615,5.1388,0.0011
128,303.1613,5.1385,0.001
129,303.16,5.1381,0.001
130,303.159,5.1383,0.001
131,303.159,5.1388,0.001
132,303.159,5.1377,0.001
133,303.1607,5.1389,0.0009
134,303.161,5.1394,0.0009
135,303.1605,5.1398,0.001
136,303.1603,5.1398,0.0011
137,303.1603,5.1394,0.0012
138,303.157,5.1405,0.0012
139,303.1612,5.1405,0.0011
140,303.16,5.1403,0.0011
141,303.1595,5.1402,0.0011
142,303.1607,5.1403,0.0011
143,303.1617,5.1404,0.0012
144,303.16,5.1398,0.0013
145,303.1608,5.1393,0.0011
146,303.1617,5.1392,0.0011
147,303.161,5.1397,0.0011
148,303.1603,5.1403,0.0011
149,303.1613,5.1405,0.001
150,303.163,5.1405,0.001
151,303.163,5.1394,0.0011
152,303.163,5.1392,0.001
153,303.162,5.1398,0.001
154,303.1617,5.1401,0.001
155,303.1625,5.1392,0.001
156,303.16,5.1392,0.001
157,303.1608,5.1403,0.001
158,303.161,5.1403,0.0009
159,303.16,5.1402,0.0009
160,303.16,5.1403,0.001
161,303.162,5.1407,0.001
162,303.162,5.1419,0.001
163,303.1603,5.141,0.0008
164,303.16,5.1406,0.0008
165,303.161,5.1405,0.0008
166,303.161,5.1403,0.0008
167,303.1595,5.1397,0.0008
168,303.162,5.1392,0.0009
169,303.1603,5.1403,0.001
170,303.1593,5.1396,0.0009
171,303.1605,5.1397,0.0008
172,303.1617,5.1403,0.0008
173,303.1608,5.1406,0.0009
174,303.16,5.1403,0.0009
175,303.16,5.1406,0.0008
176,303.162,5.1406,0.0007
177,303.1625,5.1405,0.0008
178,303.162,5.1404,0.0009
179,303.1618,5.1406,0.0009
180,303.161,5.1406,0.0007
181,303.1618,5.1406,0.0007
182,303.1613,5.1397,0.0007
183,303.1605,5.14,0.0006
184,303.1607,5.1406,0.0006
185,303.162,5.1407,0.0006
186,303.162,5.141,0.0006
187,303.1587,5.1407,0.0007
188,303.1607,5.1406,0.0006
189,303.1615,5.1401,0.0006
190,303.161,5.14,0.0007
191,303.161,5.1406,0.0007
192,303.161,5.1406,0.0006
193,303.1627,5.1403,0.0006
194,303.1617,5.1396,0.0006
195,303.1625,5.1393,0.0006
196,303.1623,5.1395,0.0006
197,303.1595,5.1401,0.0006
198,303.162,5.1406,0.0005
199,303.1603,5.1398,0.0004
200,303.1607,5.1394,0.0006
201,303.163,5.1398,0.0006
202,303.1647,5.1403,0.0005
203,303.1642,5.1402,0.0004
204,303.165,5.1396,0.0003
205,303.1642,5.1405,0.0003
206,303.164,5.1397,0.0003
207,303.1635,5.1393,0.0003
208,303.1637,5.1393,0.0003
209,303.1645,5.1393,0.0004
210,303.162,5.1393,0.0005
211,303.1628,5.1399,0.0005
212,303.1637,5.1395,0.0005
213,303.1635,5.1395,0.0006
214,303.1633,5.1399,0.0006
215,303.1642,5.1401,0.0005
216,303.165,5.1393,0.0004
217,303.165,5.1404,0.0004
218,303.1637,5.1406,0.0005
219,303.164,5.1406,0.0004
220,303.1647,5.1407,0.0004
221,303.164,5.1409,0.0005
222,303.164,5.1406,0.0005
223,303.1665,5.1406,0.0005
224,303.165,5.1397,0.0004
225,303.1645,5.1396,0.0004
226,303.1653,5.1402,0.0004
227,303.1657,5.1406,0.0004
228,303.164,5.1406,0.0005
229,303.1657,5.1395,0.0006
230,303.1673,5.1402,0.0006
231,303.1675,5.1401,0.0006
232,303.1667,5.1395,0.0005
233,303.166,5.1393,0.0004
234,303.166,5.1396,0.0005
235,303.1677,5.1405,0.0003
236,303.168,5.1404,0.0004
237,303.168,5.1401,0.0004
238,303.167,5.1402,0.0004
239,303.165,5.1404,0.0005
240,303.165,5.1393,0.0004
241,303.1667,5.1393,0.0005
242,303.1683,5.1395,0.0004
243,303.168,5.1401,0.0004
244,303.167,5.1402,0.0005
245,303.1673,5.1393,0.0004
246,303.169,5.1393,0.0003
247,303.1707,5.1404,0.0003
248,303.1697,5.1406,0.0005
249,303.1675,5.1401,0.0005
250,303.167,5.14,0.0005
251,303.1688,5.1406,0.0005
252,303.168,5.1406,0.0006
253,303.1688,5.1418,0.0006
254,303.1697,5.142,0.0003
