Time (s),Mass (g),TC back 1 (K),TC back 2 (K),TC back 3 (K)
0,92.08,294.95,295.35,296.35
1,92.34,294.95,295.45,296.45
2,92.84,295.05,295.55,296.65
3,92.51,295.15,295.65,296.75
4,92.38,295.25,295.75,296.85
5,92.37,295.35,295.85,297.05
6,92.34,295.45,295.95,297.25
7,92.33,295.45,296.05,297.35
8,92.25,295.55,296.15,297.55
9,92.34,295.65,296.25,297.75
10,92.34,295.75,296.35,297.85
11,92.22,295.85,296.35,298.05
12,92.32,295.95,296.45,298.25
13,92.33,295.95,296.55,298.35
14,92.23,296.05,296.65,298.55
15,92.29,296.15,296.65,298.75
16,92.30,296.25,296.75,298.85
17,92.31,296.35,296.85,299.05
18,92.32,296.45,296.85,299.25
19,92.26,296.45,296.95,299.35
20,92.26,296.55,297.05,299.55
21,92.23,296.65,297.15,299.75
22,92.23,296.65,297.15,299.85
23,92.19,296.75,297.25,299.95
24,92.20,296.85,297.35,300.15
25,92.23,296.95,297.35,300.25
26,92.12,297.05,297.45,300.45
27,92.04,297.15,297.55,300.55
28,92.14,297.15,297.55,300.65
29,92.10,297.25,297.65,300.85
30,92.06,297.35,297.75,301.05
31,92.02,297.45,297.75,301.15
32,92.01,297.45,297.85,301.35
33,92.10,297.55,297.95,301.45
34,92.07,297.65,297.95,301.55
35,92.03,297.75,298.05,301.75
36,92.03,297.85,298.15,301.95
37,91.96,297.85,298.15,302.05
38,91.85,297.95,298.25,302.25
39,91.92,298.05,298.35,302.35
40,91.85,298.05,298.35,302.45
41,91.81,298.15,298.45,302.65
42,91.80,298.35,298.55,302.85
43,91.75,298.35,298.55,302.95
44,91.66,298.45,298.65,303.15
45,91.65,298.55,298.65,303.25
46,91.59,298.55,298.75,303.35
47,91.63,298.65,298.85,303.55
48,91.49,298.75,298.85,303.75
49,91.51,298.85,298.95,303.75
50,91.52,298.95,299.05,303.95
51,91.46,299.05,299.05,304.15
52,91.43,299.05,299.15,304.25
53,91.48,299.15,299.25,304.45
54,91.45,299.25,299.35,304.65
55,91.37,299.35,299.35,304.65
56,91.33,299.45,299.45,304.85
57,91.27,299.55,299.55,305.05
58,91.24,299.55,299.55,305.15
59,91.29,299.65,299.65,305.35
60,91.18,299.75,299.65,305.45
61,91.17,299.85,299.75,305.55
62,91.08,299.95,299.85,305.75
63,91.08,300.05,299.85,305.85
64,90.96,300.05,299.95,305.95
65,90.91,300.15,299.95,306.15
66,90.91,300.25,300.05,306.35
67,90.92,300.35,300.15,306.45
68,90.84,300.45,300.15,306.55
69,90.88,300.55,300.25,306.75
70,90.78,300.55,300.25,306.85
71,90.76,300.65,300.35,307.05
72,90.86,300.75,300.45,307.25
73,90.83,300.85,300.55,307.35
74,90.59,300.95,300.55,307.55
75,90.65,301.05,300.65,307.65
76,90.63,301.05,300.75,307.75
77,90.59,301.15,300.75,307.95
78,90.49,301.25,300.85,308.05
79,90.43,301.35,300.95,308.25
80,90.38,301.45,300.95,308.35
81,90.37,301.55,301.05,308.55
82,90.39,301.65,301.15,308.65
83,90.38,301.65,301.25,308.85
84,90.28,301.85,301.35,309.05
85,90.25,301.85,301.35,309.15
86,90.23,302.05,301.45,309.25
87,90.20,302.15,301.55,309.45
88,90.13,302.15,301.55,309.55
89,90.06,302.25,301.65,309.75
90,90.08,302.35,301.75,309.95
91,90.02,302.45,301.85,310.05
92,89.92,302.55,301.95,310.25
93,89.94,302.65,301.95,310.55
94,89.94,302.65,302.05,310.65
95,89.88,302.75,302.15,310.95
96,89.89,302.95,302.15,311.25
97,89.85,302.95,302.25,311.35
98,89.80,303.05,302.35,311.55
99,89.88,303.15,302.35,311.75
100,89.71,303.25,302.45,311.95
101,89.65,303.35,302.55,312.15
102,89.67,303.45,302.65,312.35
103,89.65,303.55,302.65,312.45
104,89.64,303.65,302.75,312.65
105,89.54,303.75,302.85,312.85
106,89.45,303.75,302.95,312.95
107,89.62,303.85,303.05,313.15
108,89.52,304.05,303.05,313.35
109,89.42,304.05,303.15,313.45
110,89.34,304.15,303.25,313.65
111,89.34,304.25,303.25,313.85
112,89.37,304.35,303.35,314.05
113,89.31,304.45,303.45,314.15
114,89.27,304.55,303.55,314.35
115,89.35,304.65,303.65,314.55
116,89.30,304.75,303.75,314.75
117,89.18,304.85,303.75,314.95
118,89.02,304.95,303.85,315.05
119,89.07,305.05,303.95,315.15
120,89.08,305.15,304.05,315.45
121,89.01,305.25,304.05,315.55
122,89.07,305.35,304.15,315.75
123,89.01,305.45,304.25,315.95
124,88.90,305.55,304.35,316.05
125,88.82,305.65,304.45,316.25
126,88.88,305.75,304.55,316.45
127,88.87,305.85,304.55,316.55
128,88.75,305.95,304.65,316.75
129,88.86,306.05,304.75,316.95
130,88.81,306.15,304.85,317.05
131,88.66,306.25,304.95,317.25
132,88.64,306.35,305.05,317.45
133,88.66,306.45,305.15,317.55
134,88.60,306.55,305.15,317.75
135,88.54,306.75,305.25,317.95
136,88.54,306.75,305.35,318.05
137,88.52,306.85,305.45,318.25
138,88.46,307.05,305.55,318.45
139,88.44,307.05,305.65,318.65
140,88.46,307.15,305.75,318.85
141,88.33,307.35,305.85,318.95
142,88.32,307.45,305.95,319.15
143,88.37,307.55,306.05,319.35
144,88.41,307.75,306.15,319.55
145,88.40,307.75,306.15,319.65
146,88.27,307.85,306.35,319.85
147,88.28,308.05,306.45,320.05
148,88.22,308.05,306.45,320.15
149,88.19,308.25,306.55,320.45
150,88.20,308.35,306.75,320.65
151,88.15,308.45,306.75,320.75
152,88.09,308.55,306.85,320.95
153,88.08,308.65,306.95,321.15
154,88.08,308.75,307.05,321.25
155,87.94,308.85,307.15,321.45
156,88.06,309.05,307.25,321.65
157,87.99,309.15,307.35,321.75
158,87.97,309.25,307.45,322.05
159,87.91,309.45,307.65,322.25
160,87.91,309.55,307.65,322.35
161,87.80,309.65,307.75,322.55
162,87.71,309.75,307.95,322.75
163,87.81,309.85,307.95,322.85
164,87.77,310.05,308.15,323.15
165,87.64,310.15,308.25,323.35
166,87.52,310.25,308.35,323.45
167,87.70,310.45,308.45,323.65
168,87.65,310.55,308.65,323.85
169,87.60,310.65,308.65,324.05
170,87.52,310.75,308.75,324.25
171,87.43,310.95,308.95,324.45
172,87.51,311.05,308.95,324.55
173,87.51,311.15,309.15,324.75
174,87.51,311.35,309.25,325.05
175,87.47,311.45,309.35,325.15
176,87.46,311.55,309.45,325.35
177,87.46,311.75,309.55,325.55
178,87.40,311.85,309.65,325.65
179,87.33,311.95,309.75,325.95
180,87.23,312.15,309.95,326.15
181,87.24,312.25,309.95,326.25
182,87.22,312.35,310.15,326.55
183,87.10,312.55,310.25,326.75
184,87.19,312.65,310.35,326.85
185,87.28,312.75,310.55,327.05
186,87.16,312.95,310.65,327.35
187,87.11,313.05,310.75,327.45
188,87.17,313.25,310.85,327.65
189,87.10,313.35,311.05,327.95
190,87.01,313.45,311.05,328.05
