Time,Sample Mass,HRR,Back Surface Temperature
[s],[g],[kW],[K]
58,74.13000488,-0.015522677,327.65
59,74.10998535,-0.009702684,
60,74.11999512,-0.004964784,328.15
61,74.14001465,-0.001774761,
62,74.09997559,0.000299186,328.15
63,74.08996582,0.001637886,
64,74.11999512,0.002544757,328.65
65,74.10998535,0.003145082,
66,74.10998535,0.003541504,328.65
67,74.11999512,0.003780718,
68,74.11999512,0.003928318,329.15
69,74.11999512,0.004112269,
70,74.11999512,0.004115479,330.15
71,74.10998535,0.004179941,
72,74.11999512,0.004175853,330.15
73,74.13000488,0.004185509,
74,74.10998535,0.004281824,330.65
75,74.08996582,0.004209286,
76,74.06994629,0.007737969,331.15
77,74.06994629,0.011143086,
78,74.09997559,0.013176281,331.65
79,74.08996582,0.014952097,
80,74.06994629,0.015896877,331.65
81,74.09997559,0.011779863,
82,74.07995605,0.007922838,331.65
83,74.08996582,0.005995058,
84,74.07995605,0.004122801,332.15
85,74.06994629,0.002938332,
86,74.05993652,0.002170573,332.65
87,74.06994629,0.001651955,
88,74.09997559,0.001281737,333.65
89,74.07995605,0.001054644,
90,74.08996582,0.000923254,334.15
91,74.08996582,0.00081636,
92,74.04992676,0.00075436,334.65
93,74.04003906,0.000721993,
94,74.04992676,0.000698527,336.15
95,74.05993652,0.000683648,
96,74.06994629,0.000695081,336.15
97,74.07995605,0.000689293,
98,74.08996582,0.000684353,336.65
99,74.05993652,-0.000987501,
100,74.06994629,-0.002100607,337.65
101,74.04992676,-0.002823921,
102,74.05993652,-0.002926863,338.65
103,74.04003906,-0.002958177,
104,74.04003906,-0.003017694,338.65
105,74.02001953,-0.002977889,
106,74.02001953,-0.003078092,339.65
107,74,-0.002999181,
108,74.01000977,-0.00302813,341.15
109,74,-0.003035986,
110,74,-0.001361683,342.15
111,73.98999023,-0.000287076,
112,73.9699707,0.004023369,342.65
113,73.9699707,0.003241441,
114,73.9699707,0.005266256,343.65
115,73.94995117,0.008819844,
116,73.93994141,0.011056693,344.65
117,73.92993164,0.015072677,
118,73.91015625,0.023987958,345.65
119,73.88012695,0.03450983,
120,73.82006836,0.065479941,346.15
121,73.80004883,0.103504152,
122,73.7701416,0.174309788,347.65
123,73.70007324,0.248853302,
124,73.65014648,0.344762344,348.15
125,73.57006836,0.481627121,
126,73.48022461,0.667920761,349.15
127,73.40026855,0.825486984,
128,73.31018066,0.995573044,350.15
129,73.24023438,1.142412109,
130,73.14025879,1.257530975,351.15
131,73.05029297,1.414472198,
132,72.95031738,1.591829376,352.15
133,72.84033203,1.707213135,
134,72.73034668,1.835977325,353.65
135,72.6204834,1.937179871,
136,72.51049805,2.063560028,354.65
137,72.42041016,2.098323669,
138,72.30041504,2.164354095,356.15
139,72.20056152,2.229642639,
140,72.06054688,2.311432343,357.65
141,71.94055176,2.346092224,
