Time,Sample Mass,HRR,Back Surface Temperature
[s],[g],[kW],[K]
0,71.11999512,1.41541E-09,323.65
1,71.17993164,0.001394716,
2,71.19995117,0.002319106,
3,71.16992188,0.002918379,
4,71.16992188,0.003246888,
5,71.16992188,0.00353765,
6,71.15991211,0.003707316,
7,71.16992188,0.003732699,
8,71.16992188,0.003891443,
9,71.15991211,0.00396652,
10,71.16992188,0.00306854,
11,71.10998535,0.00425738,
12,71.03991699,0.020790095,
13,70.93005371,0.07732233,
14,70.82006836,0.223644695,
15,70.69006348,0.447090607,
16,70.50024414,0.755084229,
17,70.31018066,1.159410019,
18,70.03027344,1.573953247,
19,69.90026855,1.867362976,
20,69.76025391,2.21468338,
21,69.55041504,2.483639221,
22,69.38049316,2.960939941,
23,69.20056152,3.262633057,
24,68.9005127,3.430470886,
25,68.6307373,3.676126709,
26,68.50073242,3.984091492,
27,68.24084473,4.397593079,
28,68.01086426,4.373916626,
29,67.78088379,4.644887695,
30,67.57104492,4.816826477,332.15
31,67.34106445,4.892884216,
32,67.10119629,5.199381714,
33,66.83117676,5.159425659,
34,66.60131836,5.266395874,
35,66.36132813,5.293875732,
36,66.15136719,5.3159198,
37,65.89147949,5.519636841,
38,65.6315918,5.276694336,
39,65.3717041,5.417044678,
40,65.15161133,5.728265381,
41,64.86181641,5.741716309,
42,64.61193848,5.724032593,
43,64.38195801,5.783247681,
44,64.14196777,5.733945313,
45,63.88208008,5.844794312,
46,63.68212891,5.930704346,
47,63.43212891,5.472014771,
48,63.18225098,5.781859131,
49,62.91235352,5.676380005,
50,62.66235352,5.873701172,
51,62.41247559,5.701954956,
52,62.16247559,5.923297729,
53,61.88269043,5.815281372,
54,61.6328125,5.777561646,
55,61.3927002,5.862788696,
56,61.17285156,5.665512695,
57,60.9128418,5.726516113,
58,60.62304688,5.715606689,
59,60.41308594,5.921114502,
60,60.16308594,6.031199951,342.15
61,59.91320801,5.88791687,
62,59.66320801,5.877026978,
63,59.44335938,5.820271606,
64,59.19335938,6.005679321,
65,58.85351563,5.809859619,
66,58.58361816,6.205413208,
67,58.27368164,5.860861206,
68,58.03369141,5.934951782,
69,57.87390137,5.874086304,
70,57.59387207,6.187407837,
71,57.32397461,5.927194824,
72,57.10400391,6.100498657,
73,56.83410645,5.818047485,
74,56.59423828,6.365916138,
75,56.33422852,6.10277771,
76,56.02429199,6.049793091,
77,55.74450684,6.018867188,
78,55.49450684,5.996228638,
79,55.25463867,6.194228516,
80,55.00463867,5.970811768,
81,54.76464844,6.074290771,
82,54.46484375,6.2265448,
83,54.19482422,5.960880127,
84,53.89489746,6.412672119,
85,53.6550293,6.199849854,
86,53.41503906,6.116000977,
87,53.1751709,6.078505859,
88,52.84521484,6.429310303,
89,52.60534668,6.237780762,
90,52.33544922,6.201768799,353.65
91,52.07543945,6.115727539,
92,51.82556152,6.342643433,
93,51.47570801,6.259595947,
94,51.19567871,6.550682983,
95,50.96582031,6.554961548,
96,50.72583008,6.300610352,
97,50.46594238,6.414118652,
98,50.19604492,6.31097168,
99,49.93603516,6.425139771,
100,49.6661377,6.402432861,
101,49.41625977,6.559775391,
102,49.16625977,6.320685425,
103,48.87646484,6.360561523,
104,48.60656738,6.383123169,
105,48.29650879,6.434068604,
106,48.02661133,6.528470459,
107,47.74682617,6.577265015,
108,47.43676758,6.213223877,
109,47.19689941,6.408551636,
110,46.91699219,6.313722534,
111,46.6270752,6.454606323,
