Time,Sample Mass,HRR,Back Surface Temperature,
150,34.44055176,849.2165306,405.65,
151,34.06066895,831.3456449,,
152,33.73083496,932.8914989,,
153,33.39086914,897.844488,,
154,33.06097412,916.7596297,,
155,32.76104736,928.6622481,,
156,32.37115479,869.5044777,,
157,32.03131104,875.7135565,,
158,31.72137451,922.5985441,,
159,31.35150146,893.3842052,,
160,30.97161865,938.1823453,,
161,30.60168457,897.0646251,,
162,30.26177979,905.8025707,,
163,29.9019165,947.0511003,,
164,29.55194092,966.0435764,,
165,29.2020874,979.6188355,,
166,28.82220459,908.9920738,,
167,28.49224854,938.3026123,,
168,28.15240479,979.64103,,
169,27.78253174,948.4298706,,
170,27.46258545,933.6958452,,
171,27.10272217,1015.409019,,
172,26.76281738,976.7158508,,
173,26.38287354,990.2391607,,
174,26.06298828,954.4052124,,
175,25.69311523,930.2649065,,
176,25.38317871,964.1682018,,
177,25.02331543,988.8101751,,
178,24.66345215,977.8090043,,
179,24.3034668,949.2623763,,
180,23.94360352,965.6720248,436.15,
181,23.58374023,956.8622242,,
182,23.21380615,901.4611677,,
183,22.85394287,971.8478116,,
184,22.47406006,926.4359908,,
185,22.08416748,929.1700883,,
186,21.73425293,965.0798451,,
187,21.32434082,996.6181668,,
188,20.95446777,1010.528287,,
189,20.5645752,1039.731182,,
190,20.22473145,1018.574801,,
191,19.83477783,971.5225914,,
192,19.43487549,996.0647583,,
193,19.06500244,1072.76105,,
194,18.68511963,963.0486228,,
195,18.31524658,983.0395785,,
196,17.925354,1027.794439,,
197,17.49542236,984.8131353,,
198,17.08557129,1088.400546,,
199,16.69567871,1082.330392,,
200,16.33581543,1006.506348,,
201,15.99591064,1034.585502,,
202,15.53607178,1065.994332,,
203,15.20611572,1052.177221,,
204,14.82623291,1099.507696,,
205,14.49633789,1128.869005,,
206,14.19641113,1111.418499,,
207,13.86657715,1087.06998,,
208,13.59661865,1112.960261,,
209,13.32666016,1105.084645,,
210,13.08673096,1108.243838,469.65,
211,12.85681152,1089.616602,,
212,12.58691406,1052.169939,,
213,12.38696289,983.7003534,,
214,12.22698975,991.7486017,,
215,12.01702881,906.5295826,,
216,11.8571167,867.4695795,,
217,11.637146,809.1720581,,
218,11.47723389,787.4743375,,
219,11.29730225,729.5983748,,
220,11.09735107,711.9334134,,
221,10.9473877,659.1194152,,
222,10.82739258,654.5652216,,
223,10.62744141,641.2504716,,
224,10.49749756,619.4448991,,
225,10.31756592,573.8406789,,
226,10.15759277,545.1466994,,
227,9.967651367,530.1376343,,
228,9.83770752,530.7251324,,
229,9.67779541,517.3965455,,
230,9.51776123,517.0591527,,
231,9.357849121,498.264174,,
232,9.17791748,482.7161963,,
233,9.057861328,487.6674306,,
234,8.897949219,477.4263209,,
235,8.74798584,476.1800592,,
236,8.618103027,466.7676752,,
237,8.508056641,464.6829085,,
238,8.348144531,461.788559,,
239,8.228149414,447.9817824,,
240,8.088195801,456.3849016,530.15,
241,8.008178711,455.0632824,,
242,7.82824707,438.7441461,,
243,7.738342285,432.7895772,,
244,7.558349609,447.2965241,,
245,7.40838623,430.5092205,,
246,7.328430176,438.6231509,,
247,7.188415527,422.8647406,,
248,7.05847168,414.4315547,,
249,6.948486328,408.7487655,,
250,6.908569336,406.41587,,
251,6.798583984,402.7120764,,
252,6.708618164,395.1122284,,
253,6.578613281,378.3482292,,
254,6.498657227,373.4490482,,
255,6.418701172,365.4007999,,
256,6.30871582,359.5447193,,
257,6.208740234,346.5761358,,
258,6.148742676,336.4523107,,
259,6.048828125,324.6704449,,
260,5.95880127,320.6099077,,
261,5.828857422,312.8195676,,
262,5.778869629,307.4013103,,
263,5.638916016,297.3670266,,
264,5.608947754,297.4036824,,
265,5.53894043,289.5030628,,
266,5.458984375,287.6636506,,
267,5.398986816,279.359332,,
268,5.338989258,279.6171015,,
269,5.249023438,273.857793,,
270,5.12902832,270.2778556,703.65,
271,5.069030762,267.7224245,,
272,4.989135742,259.9104968,,
273,4.939086914,269.5491098,,
274,4.829162598,259.3248367,,
275,4.809143066,258.4062403,,
276,4.70916748,261.7235703,,
277,4.619262695,254.341715,,
278,4.559204102,250.6028782,,
279,4.499206543,251.5175213,,
280,4.439208984,258.5762198,,
281,4.339294434,251.3350747,,
282,4.289306641,248.2923161,,
283,4.239318848,247.9251168,,
284,4.109375,244.2255193,,
285,4.069335938,246.5483059,,
286,3.989440918,243.229762,,
287,3.919433594,242.5794255,,
288,3.84942627,241.5048252,,
289,3.759460449,240.6113365,,
290,3.679504395,237.7865358,,
291,3.599487305,237.9252,,
292,3.539550781,233.5590189,,
293,3.469543457,227.2717736,,
294,3.43951416,231.9289467,,
295,3.379516602,233.7490428,,
296,3.269592285,232.0195111,,
297,3.209594727,231.4566873,,
298,3.169616699,231.0615886,,
299,3.119689941,225.6980723,,
300,3.039672852,226.2026007,1003.15,
301,2.959655762,224.8017224,,
302,2.929748535,228.9504138,,
303,2.809692383,224.3807185,,
304,2.719787598,222.2946514,,
305,2.719787598,223.8494006,,
306,2.67980957,217.4501766,,
307,2.59979248,219.65254,,
308,1.610107422,212.262327,,
309,2.609802246,212.9498915,,
310,2.559753418,208.3574468,,
311,2.519775391,207.1789482,,
312,2.459838867,206.8833438,,
313,2.409851074,202.6580638,,
314,2.369873047,199.3959774,,
315,2.319824219,197.4912643,,
316,2.259887695,194.465221,,
317,2.219909668,193.521569,,
318,2.169921875,192.5197948,,
319,2.099914551,191.3636641,,
320,2.059936523,189.5768773,,
321,1.989990234,187.5803514,,
322,1.949951172,184.3761965,,
323,1.91998291,185.731437,,
324,1.860046387,184.541997,,
325,1.83001709,185.4142795,,
326,1.780029297,184.496342,,
327,1.690002441,181.158586,,
328,1.690002441,183.1075842,,
329,1.640075684,180.3282477,,
330,1.570068359,182.4279785,1087.15,
331,1.490112305,178.0016119,,
332,1.480102539,178.9498242,,
333,1.440124512,180.581509,,
334,1.41015625,177.7448134,,
335,1.350158691,176.3213938,,
336,1.320129395,173.8778548,,
337,1.290161133,172.9665409,,
338,1.240234375,171.610208,,
339,1.160217285,173.2319572,,
340,1.110229492,170.9430348,,
341,1.090209961,169.323505,,
342,1.030273438,167.1035073,,
343,0.940246582,164.5691439,,
344,0.940246582,164.0744123,,
345,0.920288086,161.3967549,,
346,0.860290527,160.6137189,,
347,0.8203125,157.3868839,,
348,0.780334473,155.7878841,,
349,0.760314941,154.575348,,
350,0.700317383,151.8547925,,
351,0.620361328,152.7907458,,
352,0.660339355,149.5420109,,
353,0.630310059,149.3813081,,
354,0.600402832,148.6806523,,
355,0.570373535,148.5584952,,
356,0.530395508,146.7292959,,
357,0.500366211,144.9402895,,
358,0.470397949,144.8984233,,
359,0.440368652,142.356257,,
360,0.40045166,145.8763643,1060.65,
361,0.380432129,140.4868647,,
362,0.330444336,139.1673261,,
363,0.270446777,137.9241857,,
364,0.250427246,138.591827,,
365,0.220458984,136.2582381,,
366,0.220458984,130.4841909,,
367,0.160522461,131.8769455,,
368,0.14050293,129.5769691,,
369,0.130493164,129.3205955,,
370,0.110534668,127.4371581,,
371,0.06048584,124.9211658,,
372,0.030517578,125.2326706,,
373,0.010498047,124.9521342,,
374,-0.01940918,119.5997845,,
375,-0.01940918,119.1998656,,
376,-0.109436035,116.8008024,,
377,-0.089416504,117.6519827,,
378,-0.109436035,114.7836772,,
379,-0.109436035,114.0900265,,
380,-0.159423828,109.9476208,,
381,-0.129394531,108.2511989,,
382,-0.109436035,106.4023711,,
383,-0.119445801,103.1882633,,
384,-0.149414063,99.04629102,,
385,-0.159423828,97.66853511,,
386,-0.159423828,95.1099742,,
387,-0.179443359,94.72180284,,
388,-0.339355469,91.91173205,,
389,-0.289367676,89.79554614,,
390,-0.289367676,88.00490125,994.15,
391,-0.239379883,87.02181898,,
392,-0.259338379,85.46486773,,
393,-0.269348145,81.77514511,,
394,-0.239379883,82.07937591,,
395,-0.299377441,79.75442193,,
396,-0.329345703,79.02014477,,
397,-0.309387207,78.4464142,,
398,-0.349365234,76.2776808,,
399,-0.329345703,75.53802841,,
400,-0.299377441,75.16831489,,
401,-0.339355469,74.00054932,,
402,-0.359375,72.95932773,,
403,-0.349365234,70.74222136,,
404,-0.359375,71.21980841,,
405,-0.419372559,69.50453841,,
406,-0.419372559,69.03954852,,
407,-0.399353027,67.59998148,,
408,-0.419372559,66.30603614,,
409,-0.379333496,66.19589545,,
410,-0.399353027,64.75494125,,
411,-0.409362793,64.13280318,,
412,-0.479309082,63.74548136,,
413,-0.489318848,62.61775716,,
414,-0.399353027,61.74811886,,
415,-0.419372559,60.24896011,,
416,-0.439331055,59.01285523,,
417,-0.449279785,58.30565795,,
418,-0.479309082,58.51521489,,
419,-0.489318848,58.07326057,,
420,-0.479309082,56.53145966,983.15,
421,-0.459289551,56.68122557,,
422,-0.449279785,56.54108739,,
423,-0.459289551,54.87172818,,
424,-0.459289551,54.91360318,,
425,-0.469299316,54.78730205,,
426,-0.459289551,53.29116477,,
427,-0.489318848,53.25247591,,
428,-0.479309082,51.23801227,,
429,-0.479309082,50.76183841,,
430,-0.489318848,48.94295602,,
431,-0.499328613,49.45677409,,
432,-0.509277344,49.04937307,,
433,-0.509277344,49.49121045,,
434,-0.499328613,48.95222409,,
435,-0.499328613,47.53780795,,
436,-0.519287109,47.748635,,
437,-0.499328613,46.81981693,,
438,-0.489318848,46.76509773,,
439,-0.519287109,46.71513818,,
440,-0.549316406,45.33117034,,
441,-0.539306641,44.48723364,,
442,-0.539306641,44.17048807,,
443,-0.559326172,44.761415,,
444,-0.559326172,43.26824705,,
445,-0.579284668,42.37106932,,
446,-0.589294434,41.93973114,,
447,-0.549316406,41.29335659,,
448,-0.559326172,40.50171591,,
449,-0.539306641,40.15853625,,
450,-0.61932373,39.78027432,927.65,
451,-0.609313965,39.55681977,,
452,-0.559326172,39.01419636,,
453,-0.539306641,38.66363875,,
454,-0.529296875,38.25011682,,
455,-0.539306641,37.40803545,,
456,-0.559326172,37.25161557,,
457,-0.529296875,36.74367989,,
458,-0.529296875,37.01974261,,
459,-0.589294434,36.85287125,,
460,-0.569274902,36.92569295,,
461,-0.559326172,36.35322614,,
462,-0.519287109,36.66202807,,
463,-0.539306641,36.99685875,,
464,-0.549316406,35.07079216,,
465,-0.579284668,33.78421398,,
466,-0.579284668,33.87097443,,
467,-0.579284668,33.672155,,
468,-0.559326172,33.19953136,,
469,-0.549316406,32.74706932,,
470,-0.539306641,32.53782011,,
471,-0.579284668,32.59071,,
472,-0.559326172,32.12594341,,
473,-0.559326172,31.70105545,,
474,-0.559326172,32.33217545,,
475,-0.559326172,31.26373511,,
476,-0.569274902,31.74253159,,
477,-0.659240723,31.48164966,,
478,-0.629272461,31.25847034,,
479,-0.599304199,30.34472466,,
480,-0.589294434,30.01141977,898.65,
481,-0.569274902,30.13520239,,
482,-0.549316406,29.99306807,,
483,-0.559326172,30.34655398,,
484,-0.569274902,29.70775477,,
485,-0.559326172,29.40621375,,
486,-0.569274902,29.1882667,,
487,-0.549316406,28.72563273,,
488,-0.549316406,28.98102455,,
489,-0.539306641,28.99213705,,
