Time,Sample Mass,HRR,Back Surface Temperature,
[s],[g],[kW m-2],[K],
0,71.11999512,1.61E-07,323.65,
1,71.17993164,0.158490455,,
2,71.19995117,0.263534773,,
3,71.16992188,0.331633977,,
4,71.16992188,0.368964545,,
5,71.16992188,0.402005682,,
6,71.15991211,0.421285909,,
7,71.16992188,0.424170341,,
8,71.16992188,0.442209432,,
9,71.15991211,0.450740909,,
10,71.16992188,0.348697727,,
11,71.10998535,0.483793182,,
12,71.03991699,2.362510795,,
13,70.93005371,8.786628409,,
14,70.82006836,25.41416989,,
15,70.69006348,50.8057508,,
16,70.50024414,85.80502602,,
17,70.31018066,131.7511385,,
18,70.03027344,178.8583235,,
19,69.90026855,212.2003382,,
20,69.76025391,251.6685659,,
21,69.55041504,282.2317297,,
22,69.38049316,336.4704478,,
23,69.20056152,370.7537565,,
24,68.9005127,389.826237,,
25,68.6307373,417.7416715,,
26,68.50073242,452.7376695,,
27,68.24084473,499.7264863,,
28,68.01086426,497.0359802,,
29,67.78088379,527.8281472,,
30,67.57104492,547.3666451,332.15,
31,67.34106445,556.00957,,
32,67.10119629,590.8388311,,
33,66.83117676,586.2983703,,
34,66.60131836,598.4540766,,
35,66.36132813,601.5767877,,
36,66.15136719,604.0817955,,
37,65.89147949,627.2314592,,
38,65.6315918,599.6243564,,
39,65.3717041,615.5732589,,
40,65.15161133,650.9392478,,
41,64.86181641,652.4677624,,
42,64.61193848,650.4582492,,
43,64.38195801,657.1872365,,
44,64.14196777,651.5846947,,
45,63.88208008,664.1811718,,
46,63.68212891,673.9436757,,
47,63.43212891,621.8198603,,
48,63.18225098,657.0294467,,
49,62.91235352,645.0431824,,
50,62.66235352,667.4660423,,
51,62.41247559,647.9494268,,
52,62.16247559,673.1020147,,
53,61.88269043,660.8274286,,
54,61.6328125,656.5410961,,
55,61.3927002,666.2259882,,
56,61.17285156,643.8082608,,
57,60.9128418,650.7404674,,
58,60.62304688,649.5007601,,
59,60.41308594,672.8539207,,
60,60.16308594,685.3636308,342.15,
61,59.91320801,669.0814625,,
62,59.66320801,667.8439748,,
63,59.44335938,661.3945007,,
64,59.19335938,682.4635592,,
65,58.85351563,660.2113203,,
66,58.58361816,705.1605918,,
67,58.27368164,666.0069552,,
68,58.03369141,674.4263389,,
69,57.87390137,667.5098073,,
70,57.59387207,703.1145269,,
71,57.32397461,673.5448664,,
72,57.10400391,693.2384838,,
73,56.83410645,661.1417597,,
74,56.59423828,723.3995611,,
75,56.33422852,693.497467,,
76,56.02429199,687.4764876,,
77,55.74450684,683.9621805,,
78,55.49450684,681.389618,,
79,55.25463867,703.8896041,,
80,55.00463867,678.5013373,,
81,54.76464844,690.2603149,,
82,54.46484375,707.5619091,,
83,54.19482422,677.3727417,,
84,53.89489746,728.7127408,,
85,53.6550293,704.5283925,,
86,53.41503906,695.000111,,
87,53.1751709,690.7393022,,
88,52.84521484,730.6034435,,
89,52.60534668,708.838723,,
90,52.33544922,704.7464544,353.65,
91,52.07543945,694.9690385,,
92,51.82556152,720.7549356,,
93,51.47570801,711.3177213,,
94,51.19567871,744.3957935,,
95,50.96582031,744.8819941,,
96,50.72583008,715.9784491,,
97,50.46594238,728.8771195,,
98,50.19604492,717.1558727,,
99,49.93603516,730.1295194,,
100,49.6661377,727.5491888,,
101,49.41625977,745.4290217,,
102,49.16625977,718.2597074,,
103,48.87646484,722.7910822,,
104,48.60656738,725.3549056,,
105,48.29650879,731.1441595,,
106,48.02661133,741.8716431,,
107,47.74682617,747.416479,,
108,47.43676758,706.0481678,,
109,47.19689941,728.2445041,,
110,46.91699219,717.4684698,,
111,46.6270752,733.4779913,,
112,46.32714844,760.3414363,,
113,46.06719971,742.3332908,,
114,45.80725098,756.6312617,,
115,45.50738525,754.2993025,,
116,45.21746826,722.9091991,,
117,44.9375,746.654025,,
118,44.64764404,778.4744263,,
119,44.34771729,757.8772111,,
120,44.07775879,751.8887607,378.15,
121,43.79785156,763.3399269,,
122,43.5279541,786.0425776,,
123,43.15808105,787.6461376,,
124,42.88812256,770.2931491,,
125,42.59820557,764.1254078,,
126,42.33831787,801.3184981,,
127,41.99835205,793.9745816,,
128,41.6784668,768.2032499,,
129,41.4385376,796.0851495,,
130,41.10870361,771.1044311,,
131,40.81872559,746.799677,,
132,40.55877686,806.716156,,
133,40.18890381,822.8577353,,
134,39.84906006,817.6676664,,
135,39.3291626,804.0281123,,
136,42.87811279,783.9064858,,
137,47.37683105,843.2024175,,
138,47.45678711,856.0562827,,
139,47.02685547,857.9876986,,
140,46.8170166,818.9769398,,
141,46.40710449,885.771526,,
142,45.98718262,822.4320845,,
143,45.60736084,854.8297535,,
144,45.31744385,831.1131564,,
145,45.01751709,852.3309188,,
146,44.34771729,853.7891735,,
147,45.10754395,851.1473223,,
148,43.0980835,890.8950806,,
149,34.8404541,861.8845853,,
