Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.465,410.0,80.089,20.026,99.535,19.899,,,-0.128,,,,,,
1.153,410.5,80.091,20.025,99.538,19.898,,,-0.142,,,,,,
1.86,411.0,80.089,20.027,99.536,19.899,,,-0.159,,,,,,
2.511,411.5,80.085,20.025,99.537,19.897,,,-0.112,,,,,,
3.249,412.0,80.086,20.026,99.536,19.896,,,-0.064,,,,,,
3.948,412.5,80.09,20.026,99.535,19.897,,,-0.093,,,,,,
4.59,413.0,80.086,20.027,99.534,19.9,,,-0.193,,,,,,
5.242,413.5,80.085,20.026,99.536,19.897,,,-0.124,,,,,,
5.872,414.0,80.085,20.024,99.534,19.896,,,-0.121,,,,,,
6.539,414.5,80.085,20.024,99.532,19.894,,,-0.068,,,,,,
7.182,415.0,80.087,20.026,99.532,19.894,,,-0.083,,,,,,
7.836,415.5,80.088,20.026,99.53,19.894,,,-0.125,,,,,,
8.549,416.0,80.085,20.027,99.529,19.893,,,-0.116,,,,,,
9.158,416.5,80.089,20.025,99.528,19.894,,,-0.148,,,,,,
9.758,417.0,80.088,20.027,99.526,19.893,,,-0.108,,,,,,
10.425,417.5,80.086,20.025,99.526,19.892,,,-0.122,,,,,,
11.045,418.0,80.087,20.026,99.528,19.891,,,-0.087,,,,,,
11.707,418.5,80.084,20.026,99.528,19.89,,,-0.075,,,,,,
12.401,419.0,80.088,20.025,99.531,19.888,,,-0.041,,,,,,
13.029,419.5,80.087,20.028,99.533,19.889,,,-0.079,,,,,,
13.675,420.0,80.083,20.026,99.536,19.889,,,-0.095,,,,,,
14.271,420.5,80.084,20.027,99.538,19.891,,,-0.166,,,,,,
14.86,421.0,80.086,20.026,99.541,19.89,,,-0.172,,,,,,
15.508,421.5,80.088,20.023,99.543,19.888,,,-0.118,,,,,,
16.108,422.0,80.079,20.023,99.542,19.886,,,-0.108,,,,,,
16.734,422.5,80.085,20.026,99.542,19.887,,,-0.121,,,,,,
17.355,423.0,80.087,20.026,99.542,19.886,,,-0.112,,,,,,
17.911,423.5,80.086,20.025,99.543,19.884,,,-0.081,,,,,,
18.604,424.0,80.087,20.026,99.54,19.885,,,-0.13,,,,,,
19.197,424.5,80.083,20.026,99.538,19.885,,,-0.129,,,,,,
19.79,425.0,80.087,20.025,99.535,19.884,,,-0.1,,,,,,
20.361,425.5,80.089,20.026,99.535,19.88,,,-0.021,,,,,,
21.0,426.0,80.085,20.024,99.537,19.886,,,-0.178,,,,,,
21.568,426.5,80.086,20.026,99.538,19.885,,,-0.14,,,,,,
22.189,427.0,80.088,20.025,99.535,19.885,,,-0.153,,,,,,
22.806,427.5,80.085,20.024,99.535,19.885,,,-0.141,,,,,,
23.371,428.0,80.087,20.026,99.538,19.884,,,-0.125,,,,,,
23.969,428.5,80.09,20.026,99.543,19.883,,,-0.101,,,,,,
24.578,429.0,80.086,20.025,99.543,19.884,,,-0.126,,,,,,
25.219,429.5,80.085,20.025,99.544,19.883,,,-0.116,,,,,,
25.794,430.0,80.089,20.027,99.542,19.884,,,-0.165,,,,,,
26.358,430.5,80.087,20.024,99.543,19.884,,,-0.171,,,,,,
26.959,431.0,80.085,20.025,99.544,19.884,,,-0.183,,,,,,
27.523,431.5,80.085,20.024,99.546,19.881,,,-0.116,,,,,,
28.141,432.0,80.086,20.025,99.546,19.879,,,-0.095,,,,,,
28.721,432.5,80.088,20.026,99.547,19.881,,,-0.16,,,,,,
29.262,433.0,80.087,20.027,99.548,19.881,,,-0.166,,,,,,
29.841,433.5,80.09,20.027,99.55,19.881,,,-0.166,,,,,,
30.406,434.0,80.087,20.027,99.552,19.877,,,-0.083,,,,,,
30.952,434.5,80.087,20.025,99.554,19.878,,,-0.128,,,,,,
31.564,435.0,80.085,20.027,99.555,19.876,,,-0.07,,,,,,
32.127,435.5,80.084,20.026,99.557,19.873,,,-0.022,,,,,,
32.712,436.0,80.088,20.026,99.558,19.872,,,0.006,,,,,,
33.268,436.5,80.09,20.026,99.559,19.872,,,-0.01,,,,,,
33.833,437.0,80.089,20.026,99.56,19.871,,,0.007,,,,,,
34.389,437.5,80.091,20.025,99.56,19.871,,,0.039,,,,,,
34.926,438.0,80.088,20.025,99.561,19.87,,,0.062,,,,,,
35.478,438.5,80.083,20.024,99.561,19.868,,,0.1,,,,,,
36.069,439.0,80.086,20.025,99.56,19.868,,,0.111,,,,,,
36.645,439.5,80.087,20.026,99.559,19.868,,,0.123,,,,,,
37.2,440.0,80.089,20.025,99.559,19.868,,,0.14,,,,,,
37.75,440.5,80.088,20.026,99.558,19.865,,,0.228,,,,,,
38.273,441.0,80.087,20.026,99.556,19.865,,,0.25,,,,,,
38.835,441.5,80.086,20.027,99.554,19.865,,,0.26,,,,,,
39.377,442.0,80.083,20.027,99.553,19.864,,,0.267,,,,,,
39.921,442.5,80.087,20.024,99.552,19.861,,,0.343,,,,,,
40.442,443.0,80.088,20.026,99.552,19.857,,,0.46,,,,,,
40.978,443.5,80.088,20.026,99.553,19.855,,,0.516,,,,,,
41.508,444.0,80.088,20.026,99.554,19.861,,,0.347,,,,,,
42.038,444.5,80.09,20.027,99.554,19.858,,,0.407,,,,,,
42.56,445.0,80.088,20.027,99.556,19.858,,,0.393,,,,,,
43.136,445.5,80.09,20.026,99.558,19.854,,,0.496,,,,,,
43.676,446.0,80.09,20.026,99.558,19.854,,,0.481,,,,,,
44.23,446.5,80.089,20.027,99.56,19.855,,,0.432,,,,,,
44.752,447.0,80.088,20.025,99.564,19.853,,,0.458,,,,,,
45.232,447.5,80.087,20.025,99.565,19.851,,,0.502,,,,,,
45.766,448.0,80.087,20.026,99.564,19.85,,,0.504,,,,,,
46.338,448.5,80.092,20.025,99.564,19.85,,,0.497,,,,,,
46.881,449.0,80.091,20.027,99.565,19.851,,,0.461,,,,,,
47.444,449.5,80.086,20.026,99.565,19.848,,,0.51,,,,,,
48.003,450.0,80.087,20.024,99.566,19.846,,,0.559,,,,,,
48.482,450.5,80.086,20.028,99.569,19.844,,,0.624,,,,,,
49.064,451.0,80.086,20.027,99.571,19.841,,,0.696,,,,,,
49.588,451.5,80.086,20.024,99.568,19.838,,,0.753,,,,,,
50.09,452.0,80.088,20.026,99.564,19.838,,,0.757,,,,,,
50.602,452.5,80.084,20.024,99.561,19.836,,,0.781,,,,,,
51.101,453.0,80.086,20.026,99.559,19.833,,,0.837,,,,,,
51.614,453.5,80.087,20.026,99.559,19.835,,,0.817,,,,,,
52.145,454.0,80.089,20.026,99.556,19.833,,,0.854,,,,,,
52.684,454.5,80.089,20.025,99.553,19.83,,,0.921,,,,,,
53.2,455.0,80.087,20.025,99.548,19.828,,,0.958,,,,,,
53.692,455.5,80.086,20.026,99.545,19.826,,,0.99,,,,,,
54.225,456.0,80.085,20.025,99.541,19.826,,,0.993,,,,,,
54.776,456.5,80.086,20.026,99.538,19.825,,,1.024,,,,,,
55.274,457.0,80.087,20.025,99.539,19.823,,,1.096,,,,,,
55.749,457.5,80.09,20.025,99.538,19.823,,,1.105,,,,,,
56.297,458.0,80.088,20.025,99.534,19.822,,,1.152,,,,,,
56.856,458.5,80.086,20.024,99.532,19.819,,,1.257,,,,,,
57.38,459.0,80.086,20.025,99.533,19.817,,,1.335,,,,,,
57.898,459.5,80.086,20.025,99.534,19.815,,,1.416,,,,,,
58.448,460.0,80.086,20.025,99.535,19.812,,,1.491,,,,,,
58.966,460.5,80.087,20.027,99.535,19.813,,,1.461,,,,,,
59.456,461.0,80.088,20.025,99.536,19.811,,,1.503,,,,,,
59.935,461.5,80.087,20.025,99.537,19.808,,,1.583,,,,,,
60.466,462.0,80.085,20.027,99.539,19.806,,,1.657,,,,,,
60.996,462.5,80.088,20.026,99.541,19.8,,,1.794,,,,,,
61.456,463.0,80.088,20.026,99.544,19.798,,,1.844,,,,,,
61.952,463.5,80.083,20.026,99.546,19.803,,,1.711,,,,,,
62.441,464.0,80.091,20.024,99.548,19.799,,,1.793,,,,,,
62.967,464.5,80.088,20.027,99.548,19.794,,,1.935,,,,,,
63.479,465.0,80.088,20.025,99.55,19.793,,,1.972,,,,,,
63.977,465.5,80.091,20.026,99.549,19.79,,,2.037,,,,,,
64.514,466.0,80.087,20.026,99.548,19.79,,,2.046,,,,,,
64.964,466.5,80.09,20.025,99.548,19.795,,,1.898,,,,,,
