Time (s),Temperature (C),HRR (W/g)
0,107.708,-0.893
0.5,107.728,-0.908
1,107.705,-0.899
1.5,107.7,-0.856
2,107.66,-0.895
2.5,107.735,-0.858
3,107.757,-0.944
3.5,107.758,-0.922
4,107.752,-0.861
4.5,107.756,-0.888
5,107.732,-0.882
5.5,107.752,-0.9
6,107.772,-0.819
6.5,107.767,-0.731
7,107.746,-0.798
7.5,107.751,-0.721
8,107.725,-0.732
8.5,107.772,-0.772
9,107.79,-0.848
9.5,107.781,-0.701
10,107.788,-0.647
10.5,107.839,-0.637
11,107.871,-0.632
11.5,107.867,-0.563
12,107.893,-0.558
12.5,107.867,-0.466
13,107.922,-0.396
13.5,107.961,-0.332
14,108.009,-0.345
14.5,108.043,-0.335
15,108.085,-0.273
15.5,108.111,-0.26
16,108.179,-0.244
16.5,108.224,-0.207
17,108.25,-0.214
17.5,108.27,-0.289
18,108.328,-0.266
18.5,108.407,-0.254
19,108.469,-0.271
19.5,108.5,-0.332
20,108.599,-0.284
20.5,108.669,-0.231
21,108.702,-0.225
21.5,108.776,-0.239
22,108.839,-0.216
22.5,108.942,-0.245
23,109.052,-0.32
23.5,109.145,-0.208
24,109.227,-0.261
24.5,109.358,-0.253
25,109.501,-0.184
25.5,109.596,-0.314
26,109.717,-0.302
26.5,109.827,-0.282
27,109.983,-0.315
27.5,110.077,-0.219
28,110.182,-0.266
28.5,110.297,-0.156
29,110.417,-0.32
29.5,110.524,-0.31
30,110.667,-0.328
30.5,110.834,-0.244
31,110.922,-0.207
31.5,111.046,-0.195
32,111.172,-0.186
32.5,111.343,-0.139
33,111.547,-0.159
33.5,111.693,-0.186
34,111.876,-0.193
34.5,112.019,-0.252
35,112.182,-0.219
35.5,112.345,-0.134
36,112.505,-0.205
36.5,112.686,-0.147
37,112.881,-0.19
37.5,113.007,-0.266
38,113.19,-0.253
38.5,113.448,-0.225
39,113.598,-0.194
39.5,113.759,-0.259
40,113.936,-0.254
40.5,114.121,-0.191
41,114.305,-0.176
41.5,114.536,-0.197
42,114.717,-0.175
42.5,114.858,-0.182
43,115.062,-0.225
43.5,115.329,-0.264
44,115.54,-0.228
44.5,115.75,-0.257
45,115.975,-0.241
45.5,116.173,-0.238
46,116.409,-0.27
46.5,116.651,-0.201
47,116.786,-0.226
47.5,117.023,-0.26
48,117.25,-0.266
48.5,117.503,-0.284
49,117.753,-0.233
49.5,117.945,-0.33
50,118.216,-0.343
50.5,118.428,-0.252
51,118.708,-0.263
51.5,118.908,-0.292
52,119.165,-0.264
52.5,119.41,-0.239
53,119.651,-0.177
53.5,119.959,-0.21
54,120.165,-0.198
54.5,120.453,-0.124
55,120.711,0.012
55.5,120.977,-0.142
56,121.226,-0.071
56.5,121.48,-0.029
57,121.762,-0.098
57.5,121.978,-0.011
58,122.291,-0.044
58.5,122.568,-0.003
59,122.826,0.09
59.5,123.099,0.055
60,123.403,0.089
60.5,123.709,0.153
61,124.008,0.204
61.5,124.297,0.216
62,124.598,0.282
62.5,124.915,0.241
63,125.167,0.231
63.5,125.509,0.308
64,125.846,0.22
64.5,126.104,0.188
65,126.44,0.232
65.5,126.733,0.298
66,127.015,0.246
66.5,127.347,0.221
67,127.707,0.223
67.5,128.007,0.215
68,128.302,0.274
68.5,128.612,0.226
69,128.966,0.227
69.5,129.269,0.366
70,129.635,0.202
70.5,129.953,0.117
71,130.198,0.198
71.5,130.577,0.186
72,130.911,0.276
72.5,131.272,0.274
73,131.643,0.299
73.5,131.984,0.282
74,132.343,0.288
74.5,132.673,0.265
75,132.997,0.319
75.5,133.359,0.297
76,133.748,0.234
76.5,134.097,0.291
77,134.444,0.299
77.5,134.809,0.294
78,135.171,0.328
78.5,135.513,0.44
79,135.881,0.338
79.5,136.31,0.334
80,136.645,0.334
80.5,137.053,0.35
81,137.444,0.415
81.5,137.837,0.408
82,138.241,0.389
82.5,138.628,0.416
83,139.007,0.481
83.5,139.314,0.426
84,139.761,0.427
84.5,140.195,0.414
85,140.581,0.38
85.5,141.012,0.373
86,141.415,0.321
86.5,141.838,0.263
87,142.204,0.3
87.5,142.64,0.343
88,143.06,0.322
88.5,143.469,0.288
89,143.877,0.337
89.5,144.326,0.498
90,144.712,0.372
90.5,145.136,0.286
91,145.541,0.266
91.5,145.998,0.352
92,146.433,0.338
92.5,146.827,0.342
93,147.28,0.407
93.5,147.699,0.347
94,148.139,0.403
94.5,148.529,0.434
95,148.943,0.503
95.5,149.403,0.464
96,149.807,0.444
96.5,150.244,0.476
97,150.657,0.512
97.5,151.089,0.468
98,151.581,0.497
98.5,152.023,0.536
99,152.441,0.546
99.5,152.908,0.512
100,153.337,0.59
100.5,153.822,0.646
101,154.238,0.573
101.5,154.688,0.654
102,155.169,0.647
102.5,155.624,0.665
103,156.092,0.679
103.5,156.502,0.604
104,156.944,0.652
104.5,157.443,0.706
105,157.955,0.596
105.5,158.347,0.667
106,158.846,0.684
106.5,159.331,0.676
107,159.747,0.822
107.5,160.225,0.863
108,160.702,0.893
108.5,161.207,0.972
109,161.672,0.886
109.5,162.121,0.983
110,162.592,1.001
110.5,163.051,0.922
111,163.563,0.881
111.5,163.999,0.926
112,164.449,0.953
112.5,164.929,1.024
113,165.41,1.127
113.5,165.936,1.093
114,166.371,1.178
114.5,166.863,1.15
115,167.343,1.103
115.5,167.797,1.197
116,168.324,1.196
116.5,168.773,1.208
117,169.2,1.247
117.5,169.737,1.284
118,170.232,1.292
118.5,170.732,1.454
119,171.213,1.357
119.5,171.735,1.366
120,172.178,1.491
120.5,172.695,1.502
121,173.207,1.477
121.5,173.745,1.543
122,174.176,1.681
122.5,174.709,1.744
123,175.174,1.714
123.5,175.665,1.818
124,176.099,1.853
124.5,176.557,1.834
125,177.147,1.925
125.5,177.638,1.961
126,178.14,1.914
126.5,178.694,2.034
127,179.139,2.089
127.5,179.675,2.134
128,180.191,2.169
128.5,180.669,2.153
129,181.175,2.125
129.5,181.668,2.135
130,182.152,2.202
130.5,182.688,2.235
131,183.231,2.216
131.5,183.733,2.2
132,184.19,2.242
132.5,184.729,2.297
133,185.257,2.354
133.5,185.773,2.386
134,186.265,2.4
134.5,186.741,2.451
135,187.267,2.479
135.5,187.732,2.601
136,188.298,2.534
136.5,188.771,2.707
137,189.323,2.716
137.5,189.819,2.725
138,190.314,2.799
138.5,190.827,2.828
139,191.318,2.865
139.5,191.812,2.955
140,192.37,3.041
140.5,192.901,3.058
141,193.351,3.173
141.5,193.923,3.178
142,194.43,3.291
142.5,194.945,3.362
143,195.45,3.435
143.5,195.978,3.427
144,196.522,3.45
144.5,197.009,3.592
145,197.519,3.648
145.5,198.136,3.71
146,198.667,3.806
146.5,199.161,3.806
147,199.725,3.905
147.5,200.225,3.931
148,200.733,4.009
148.5,201.259,3.993
149,201.793,4.051
149.5,202.284,4.156
150,202.826,4.185
150.5,203.335,4.297
151,203.865,4.342
151.5,204.37,4.483
152,204.874,4.403
152.5,205.391,4.543
153,205.904,4.637
153.5,206.502,4.777
154,206.983,4.812
154.5,207.512,4.892
155,208.052,5.052
155.5,208.569,5.065
156,209.127,5.18
156.5,209.598,5.258
157,210.128,5.334
157.5,210.644,5.489
158,211.189,5.51
158.5,211.685,5.648
159,212.163,5.722
159.5,212.736,5.807
160,213.261,5.958
160.5,213.79,6.031
161,214.27,6.165
161.5,214.812,6.184
162,215.368,6.324
162.5,215.861,6.458
163,216.426,6.565
163.5,216.945,6.682
164,217.47,6.75
164.5,217.989,6.87
165,218.47,6.985
165.5,218.946,7.093
166,219.544,7.276
166.5,220.096,7.286
167,220.547,7.45
167.5,221.07,7.565
168,221.542,7.632
168.5,222.159,7.789
169,222.667,7.894
169.5,223.152,8.049
170,223.724,8.069
170.5,224.223,8.189
171,224.775,8.356
171.5,225.272,8.499
172,225.822,8.592
172.5,226.347,8.593
173,226.827,8.757
173.5,227.362,8.858
174,227.943,9.009
174.5,228.477,9.128
175,228.938,9.243
175.5,229.492,9.353
176,229.99,9.536
176.5,230.576,9.581
177,231.031,9.762
177.5,231.518,9.865
178,232.044,9.92
178.5,232.581,10.083
179,233.092,10.077
179.5,233.605,10.242
180,234.179,10.378
180.5,234.637,10.528
181,235.169,10.683
181.5,235.669,10.826
182,236.167,10.856
