Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.046,429.0,80.087,20.03,99.722,19.958,,,-0.004,,,,,,
0.666,429.5,80.092,20.026,99.725,19.959,,,-0.068,,,,,,
1.224,430.0,80.095,20.028,99.726,19.961,,,-0.416,,,,,,
1.837,430.5,80.094,20.028,99.724,19.961,,,-0.697,,,,,,
2.396,431.0,80.096,20.029,99.724,19.961,,,-0.645,,,,,,
2.994,431.5,80.093,20.03,99.727,19.959,,,-0.202,,,,,,
3.585,432.0,80.091,20.03,99.727,19.959,,,-0.103,,,,,,
4.124,432.5,80.092,20.028,99.731,19.959,,,-0.08,,,,,,
4.727,433.0,80.095,20.027,99.734,19.959,,,0.054,,,,,,
5.32,433.5,80.093,20.027,99.736,19.954,,,0.81,,,,,,
5.859,434.0,80.092,20.028,99.735,19.958,,,0.06,,,,,,
6.405,434.5,80.098,20.031,99.733,19.962,,,-0.506,,,,,,
6.973,435.0,80.092,20.028,99.736,19.954,,,0.957,,,,,,
7.524,435.5,80.096,20.028,99.74,19.955,,,1.026,,,,,,
8.074,436.0,80.093,20.029,99.743,19.954,,,0.949,,,,,,
8.626,436.5,80.09,20.028,99.747,19.952,,,1.367,,,,,,
9.192,437.0,80.094,20.03,99.748,19.955,,,0.646,,,,,,
9.715,437.5,80.094,20.031,99.749,19.956,,,0.502,,,,,,
10.255,438.0,80.094,20.029,99.749,19.957,,,0.363,,,,,,
10.795,438.5,80.092,20.028,99.749,19.956,,,0.405,,,,,,
11.395,439.0,80.094,20.031,99.754,19.958,,,0.223,,,,,,
11.921,439.5,80.092,20.028,99.758,19.956,,,0.486,,,,,,
12.485,440.0,80.094,20.027,99.753,19.957,,,0.175,,,,,,
12.987,440.5,80.094,20.028,99.752,19.957,,,0.304,,,,,,
13.542,441.0,80.093,20.029,99.753,19.956,,,0.518,,,,,,
14.105,441.5,80.093,20.028,99.752,19.955,,,0.809,,,,,,
14.598,442.0,80.092,20.028,99.754,19.953,,,1.174,,,,,,
15.159,442.5,80.094,20.029,99.754,19.953,,,1.134,,,,,,
15.72,443.0,80.09,20.029,99.758,19.954,,,1.04,,,,,,
16.271,443.5,80.091,20.029,99.758,19.954,,,1.048,,,,,,
16.816,444.0,80.094,20.029,99.754,19.952,,,1.553,,,,,,
17.35,444.5,80.089,20.029,99.756,19.952,,,1.772,,,,,,
17.859,445.0,80.093,20.029,99.762,19.954,,,1.475,,,,,,
18.413,445.5,80.097,20.028,99.762,19.954,,,1.379,,,,,,
18.954,446.0,80.093,20.029,99.759,19.957,,,1.132,,,,,,
19.532,446.5,80.095,20.027,99.756,19.956,,,1.319,,,,,,
20.034,447.0,80.093,20.026,99.756,19.954,,,1.799,,,,,,
20.546,447.5,80.091,20.029,99.755,19.954,,,1.806,,,,,,
21.013,448.0,80.09,20.026,99.752,19.952,,,2.324,,,,,,
21.557,448.5,80.091,20.029,99.755,19.953,,,2.262,,,,,,
22.139,449.0,80.094,20.028,99.753,19.955,,,1.878,,,,,,
22.664,449.5,80.093,20.028,99.753,19.956,,,1.645,,,,,,
23.2,450.0,80.093,20.029,99.749,19.954,,,2.254,,,,,,
23.724,450.5,80.093,20.031,99.748,19.955,,,2.206,,,,,,
24.252,451.0,80.093,20.029,99.752,19.956,,,2.095,,,,,,
24.758,451.5,80.092,20.028,99.755,19.954,,,2.628,,,,,,
25.26,452.0,80.09,20.03,99.755,19.95,,,3.476,,,,,,
25.798,452.5,80.091,20.031,99.755,19.948,,,3.773,,,,,,
26.285,453.0,80.094,20.03,99.754,19.951,,,3.233,,,,,,
26.771,453.5,80.097,20.03,99.755,19.954,,,2.719,,,,,,
27.295,454.0,80.098,20.029,99.751,19.953,,,2.96,,,,,,
27.822,454.5,80.096,20.03,99.75,19.952,,,3.146,,,,,,
28.319,455.0,80.094,20.03,99.754,19.952,,,3.297,,,,,,
