Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
46.867,454.0,80.091,20.029,99.527,20.036,,,2.872,,,,,,
47.355,454.5,80.094,20.029,99.525,20.032,,,3.001,,,,,,
47.859,455.0,80.094,20.03,99.522,20.031,,,3.041,,,,,,
48.346,455.5,80.09,20.029,99.52,20.03,,,3.078,,,,,,
48.856,456.0,80.092,20.028,99.521,20.028,,,3.151,,,,,,
49.337,456.5,80.095,20.028,99.521,20.027,,,3.19,,,,,,
49.814,457.0,80.094,20.029,99.521,20.025,,,3.284,,,,,,
50.338,457.5,80.091,20.031,99.52,20.025,,,3.304,,,,,,
50.866,458.0,80.091,20.029,99.519,20.024,,,3.339,,,,,,
51.391,458.5,80.09,20.03,99.517,20.021,,,3.516,,,,,,
51.906,459.0,80.092,20.031,99.517,20.019,,,3.614,,,,,,
52.466,459.5,80.093,20.03,99.516,20.017,,,3.733,,,,,,
52.954,460.0,80.092,20.03,99.516,20.015,,,3.84,,,,,,
53.464,460.5,80.091,20.03,99.515,20.016,,,3.826,,,,,,
53.923,461.0,80.092,20.027,99.513,20.015,,,3.868,,,,,,
54.416,461.5,80.091,20.027,99.512,20.013,,,3.971,,,,,,
54.927,462.0,80.091,20.028,99.509,20.014,,,3.973,,,,,,
55.428,462.5,80.088,20.029,99.506,20.006,,,4.266,,,,,,
55.919,463.0,80.091,20.027,99.504,20.005,,,4.326,,,,,,
56.409,463.5,80.092,20.028,99.505,20.005,,,4.316,,,,,,
56.905,464.0,80.091,20.028,99.505,20.001,,,4.479,,,,,,
57.396,464.5,80.089,20.029,99.506,19.998,,,4.582,,,,,,
57.88,465.0,80.091,20.03,99.505,19.995,,,4.663,,,,,,
58.383,465.5,80.092,20.03,99.506,19.992,,,4.787,,,,,,
58.892,466.0,80.091,20.03,99.506,19.988,,,4.924,,,,,,
59.379,466.5,80.093,20.028,99.506,19.986,,,4.982,,,,,,
59.852,467.0,80.09,20.029,99.509,19.988,,,4.902,,,,,,
60.329,467.5,80.092,20.03,99.511,19.985,,,5.027,,,,,,
60.828,468.0,80.091,20.029,99.511,19.982,,,5.148,,,,,,
61.304,468.5,80.09,20.029,99.509,19.98,,,5.227,,,,,,
61.793,469.0,80.092,20.028,99.509,19.977,,,5.353,,,,,,
62.297,469.5,80.091,20.029,99.51,19.973,,,5.527,,,,,,
62.774,470.0,80.091,20.028,99.511,19.97,,,5.688,,,,,,
63.26,470.5,80.095,20.029,99.513,19.967,,,5.834,,,,,,
63.764,471.0,80.097,20.031,99.514,19.966,,,5.908,,,,,,
64.252,471.5,80.095,20.029,99.517,19.964,,,5.979,,,,,,
64.731,472.0,80.092,20.027,99.517,19.962,,,6.097,,,,,,
65.208,472.5,80.091,20.029,99.515,19.96,,,6.186,,,,,,
65.681,473.0,80.093,20.03,99.516,19.958,,,6.292,,,,,,
66.161,473.5,80.092,20.029,99.516,19.954,,,6.448,,,,,,
66.66,474.0,80.092,20.029,99.514,19.951,,,6.592,,,,,,
67.154,474.5,80.091,20.03,99.511,19.948,,,6.739,,,,,,
67.63,475.0,80.092,20.029,99.507,19.946,,,6.857,,,,,,
68.128,475.5,80.094,20.028,99.502,19.942,,,7.033,,,,,,
68.579,476.0,80.092,20.029,99.499,19.939,,,7.174,,,,,,
69.009,476.5,80.09,20.029,99.494,19.937,,,7.229,,,,,,
69.523,477.0,80.09,20.029,99.49,19.936,,,7.267,,,,,,
70.021,477.5,80.092,20.03,99.488,19.93,,,7.519,,,,,,
70.465,478.0,80.095,20.027,99.483,19.931,,,7.471,,,,,,
70.97,478.5,80.094,20.029,99.482,19.928,,,7.554,,,,,,
71.456,479.0,80.09,20.03,99.484,19.923,,,7.73,,,,,,
71.96,479.5,80.092,20.029,99.484,19.921,,,7.808,,,,,,
72.451,480.0,80.09,20.03,99.485,19.919,,,7.857,,,,,,
72.946,480.5,80.092,20.029,99.486,19.919,,,7.867,,,,,,
73.423,481.0,80.09,20.028,99.489,19.914,,,8.029,,,,,,
73.857,481.5,80.093,20.027,99.492,19.91,,,8.185,,,,,,
74.321,482.0,80.094,20.028,99.494,19.907,,,8.293,,,,,,
74.852,482.5,80.092,20.028,99.495,19.905,,,8.333,,,,,,
75.34,483.0,80.09,20.029,99.497,19.902,,,8.435,,,,,,
75.832,483.5,80.09,20.029,99.497,19.895,,,8.719,,,,,,
76.306,484.0,80.092,20.029,99.498,19.892,,,8.852,,,,,,
76.799,484.5,80.092,20.03,99.498,19.892,,,8.867,,,,,,
77.279,485.0,80.093,20.03,99.498,19.89,,,8.963,,,,,,
77.746,485.5,80.092,20.03,99.498,19.888,,,9.095,,,,,,
78.237,486.0,80.09,20.03,99.496,19.884,,,9.227,,,,,,
78.732,486.5,80.091,20.029,99.491,19.881,,,9.336,,,,,,
79.224,487.0,80.09,20.03,99.487,19.876,,,9.543,,,,,,
79.699,487.5,80.09,20.03,99.484,19.873,,,9.688,,,,,,
