Time (s),Temperature (C),HRR (W/g)
0,106.756,-0.986
0.5,106.787,-1.013
1,106.805,-1.002
1.5,106.814,-0.967
2,106.856,-0.997
2.5,106.803,-1.076
3,106.853,-1.168
3.5,106.927,-1.211
4,106.916,-1.215
4.5,106.917,-1.168
5,106.954,-1.148
5.5,106.914,-1.178
6,106.996,-1.234
6.5,106.956,-1.252
7,106.994,-1.238
7.5,107.007,-1.189
8,107.01,-1.176
8.5,107.031,-1.198
9,107.062,-1.117
9.5,107.079,-1.003
10,107.089,-0.976
10.5,107.134,-0.882
11,107.138,-0.803
11.5,107.2,-0.717
12,107.229,-0.748
12.5,107.197,-0.643
13,107.253,-0.558
13.5,107.273,-0.493
14,107.301,-0.426
14.5,107.372,-0.44
15,107.395,-0.457
15.5,107.46,-0.307
16,107.458,-0.41
16.5,107.493,-0.182
17,107.568,-0.255
17.5,107.634,-0.208
18,107.676,-0.187
18.5,107.714,-0.258
19,107.795,-0.232
19.5,107.893,-0.115
20,107.881,-0.152
20.5,107.956,-0.133
21,108.025,-0.174
21.5,108.144,-0.114
22,108.174,-0.11
22.5,108.26,-0.038
23,108.328,-0.071
23.5,108.384,-0.242
24,108.496,-0.166
24.5,108.645,-0.116
25,108.687,-0.089
25.5,108.73,-0.098
26,108.858,0.003
26.5,108.965,0.015
27,109.048,-0.079
27.5,109.169,-0.083
28,109.291,-0.052
28.5,109.379,-0.002
29,109.503,-0.01
29.5,109.653,0.04
30,109.747,-0.001
30.5,109.852,-0.043
31,109.993,-0.087
31.5,110.124,-0.003
32,110.203,0.039
32.5,110.394,0.015
33,110.514,0.407
33.5,110.612,0.524
34,110.767,0.531
34.5,110.942,0.564
35,111.105,0.525
35.5,111.198,0.453
36,111.4,0.481
36.5,111.507,0.509
37,111.657,0.417
37.5,111.82,0.111
38,112.025,-0.096
38.5,112.197,-0.31
39,112.349,-0.439
39.5,112.529,-0.496
40,112.628,-0.491
40.5,112.835,-0.541
41,112.998,-0.582
41.5,113.149,-0.459
42,113.341,-0.48
42.5,113.526,-0.207
43,113.744,0.044
43.5,113.945,0.133
44,114.095,0.001
44.5,114.287,0.137
45,114.483,0.227
45.5,114.626,0.282
46,114.906,0.177
46.5,115.092,0.314
47,115.31,0.251
47.5,115.443,0.301
48,115.665,0.281
48.5,115.851,0.168
49,116.091,0.141
49.5,116.311,0.046
50,116.48,0.191
50.5,116.707,0.083
51,116.939,0.113
51.5,117.165,0.063
52,117.386,0.081
52.5,117.632,0.081
53,117.818,0.01
53.5,118.065,0.008
54,118.321,0.098
54.5,118.594,0.023
55,118.843,0.001
55.5,119.065,0.067
56,119.338,0.026
56.5,119.579,0.032
57,119.869,0.029
57.5,120.038,0.016
58,120.286,0.112
58.5,120.582,-0.01
59,120.823,0.116
59.5,121.087,0.102
60,121.314,0.166
60.5,121.586,0.138
61,121.853,0.097
61.5,122.147,0.246
62,122.401,0.283
62.5,122.668,0.252
63,122.892,0.393
63.5,123.217,0.308
64,123.479,0.399
64.5,123.778,0.293
65,124.074,0.265
65.5,124.336,0.271
66,124.614,0.314
66.5,124.871,0.27
67,125.198,0.323
67.5,125.477,0.349
68,125.767,0.327
68.5,126.079,0.358
69,126.396,0.419
69.5,126.715,0.367
70,126.995,0.34
70.5,127.266,0.411
71,127.57,0.404
71.5,127.921,0.485
72,128.229,0.456
72.5,128.507,0.431
73,128.781,0.533
73.5,129.101,0.453
74,129.425,0.371
74.5,129.754,0.396
75,130.069,0.431
75.5,130.368,0.393
76,130.738,0.449
76.5,131.067,0.447
77,131.389,0.377
77.5,131.695,0.444
78,132.005,0.436
78.5,132.297,0.405
79,132.711,0.516
79.5,133.051,0.579
80,133.383,0.542
80.5,133.683,0.598
81,134.01,0.458
81.5,134.37,0.533
82,134.79,0.52
82.5,135.122,0.495
83,135.48,0.502
83.5,135.801,0.458
84,136.166,0.474
84.5,136.533,0.535
85,136.874,0.404
85.5,137.222,0.438
86,137.64,0.342
86.5,137.932,0.424
87,138.343,0.456
87.5,138.669,0.502
88,139.033,0.529
88.5,139.387,0.492
89,139.781,0.398
89.5,140.164,0.432
90,140.548,0.535
90.5,140.954,0.48
91,141.319,0.556
91.5,141.717,0.558
92,142.082,0.535
92.5,142.481,0.508
93,142.81,0.54
93.5,143.219,0.489
94,143.633,0.559
94.5,144.054,0.561
95,144.402,0.553
95.5,144.816,0.597
96,145.192,0.606
96.5,145.573,0.638
97,145.918,0.669
97.5,146.328,0.631
98,146.71,0.675
98.5,147.109,0.534
99,147.553,0.587
99.5,147.965,0.556
100,148.343,0.627
100.5,148.766,0.652
101,149.155,0.622
101.5,149.572,0.664
102,149.964,0.657
102.5,150.434,0.706
103,150.76,0.664
103.5,151.193,0.634
104,151.591,0.718
104.5,152.037,0.693
105,152.471,0.828
105.5,152.85,0.642
106,153.295,0.692
106.5,153.701,0.665
107,154.095,0.713
107.5,154.512,0.698
108,154.968,0.738
108.5,155.375,0.761
109,155.794,0.741
109.5,156.153,0.757
110,156.603,0.767
110.5,157.023,0.688
111,157.48,0.736
111.5,157.883,0.717
112,158.331,0.79
112.5,158.737,0.86
113,159.138,0.726
113.5,159.618,0.815
114,160.061,0.723
114.5,160.485,0.798
115,160.934,0.881
115.5,161.394,0.822
116,161.791,0.887
116.5,162.252,0.939
117,162.638,0.98
117.5,163.137,0.992
118,163.534,0.965
118.5,164.008,1.02
119,164.448,1.048
119.5,164.92,1.076
120,165.37,1.119
120.5,165.791,1.133
121,166.221,1.156
121.5,166.667,1.156
122,167.125,1.217
122.5,167.575,1.336
123,168.079,1.279
123.5,168.484,1.345
124,168.97,1.335
124.5,169.421,1.437
125,169.906,1.559
125.5,170.37,1.61
126,170.842,1.445
126.5,171.313,1.515
127,171.799,1.492
127.5,172.225,1.615
128,172.686,1.622
128.5,173.152,1.587
129,173.583,1.545
129.5,174.112,1.657
130,174.624,1.646
130.5,175.049,1.674
131,175.494,1.656
131.5,175.961,1.626
132,176.399,1.698
132.5,176.847,1.746
133,177.369,1.821
133.5,177.789,1.889
134,178.262,1.96
134.5,178.763,1.969
135,179.247,1.987
135.5,179.751,2.071
136,180.242,2.047
136.5,180.715,2.074
137,181.181,2.154
137.5,181.64,2.204
138,182.165,2.235
138.5,182.647,2.285
139,183.098,2.241
139.5,183.555,2.354
140,184.094,2.405
140.5,184.608,2.391
141,185.015,2.493
141.5,185.485,2.593
142,185.965,2.668
142.5,186.449,2.756
143,186.897,2.828
143.5,187.383,2.795
144,187.895,2.851
144.5,188.418,2.945
145,188.882,3.019
145.5,189.354,3.159
146,189.898,3.22
146.5,190.398,3.074
147,190.911,3.19
147.5,191.381,3.335
148,191.871,3.371
148.5,192.373,3.445
149,192.835,3.462
149.5,193.39,3.305
150,193.833,3.481
150.5,194.305,3.631
151,194.82,3.671
151.5,195.324,3.715
152,195.857,3.767
152.5,196.317,3.817
153,196.82,3.851
153.5,197.292,3.872
154,197.832,4.002
154.5,198.279,4.088
155,198.801,4.079
155.5,199.38,4.228
156,199.821,4.373
156.5,200.358,4.403
157,200.846,4.51
157.5,201.359,4.526
158,201.823,4.649
158.5,202.335,4.803
159,202.857,4.748
159.5,203.379,4.842
160,203.854,4.923
160.5,204.397,5.017
161,204.849,5.098
161.5,205.317,5.229
162,205.853,5.305
162.5,206.349,5.234
163,206.873,5.292
163.5,207.343,5.422
164,207.865,5.599
164.5,208.363,5.669
165,208.939,5.771
165.5,209.49,5.9
166,209.947,6.098
166.5,210.453,6.149
167,210.947,6.084
167.5,211.447,6.176
168,211.964,6.376
168.5,212.503,6.447
169,212.981,6.486
169.5,213.523,6.556
170,214.004,6.605
170.5,214.523,6.743
171,215.042,6.862
171.5,215.583,6.946
172,216.079,7.005
172.5,216.583,7.13
173,217.067,7.326
173.5,217.56,7.432
174,218.091,7.473
174.5,218.577,7.587
175,219.105,7.74
175.5,219.657,7.859
176,220.146,8.064
176.5,220.646,8.084
177,221.165,8.227
177.5,221.632,8.397
178,222.175,8.384
178.5,222.691,8.473
179,223.258,8.555
179.5,223.764,8.627
180,224.242,8.745
180.5,224.742,8.992
