Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.382,389.0,80.096,20.029,99.627,19.678,,,0.005,,,,,,
1.695,389.5,80.094,20.028,99.629,19.677,,,-0.007,,,,,,
2.363,390.0,80.095,20.03,99.631,19.674,,,0.063,,,,,,
3.265,390.5,80.097,20.028,99.633,19.675,,,-0.014,,,,,,
4.269,391.0,80.096,20.028,99.634,19.674,,,0.006,,,,,,
5.009,391.5,80.093,20.029,99.641,19.672,,,0.027,,,,,,
6.163,392.0,80.092,20.029,99.644,19.675,,,-0.067,,,,,,
7.112,392.5,80.089,20.027,99.642,19.673,,,-0.059,,,,,,
7.908,393.0,80.095,20.028,99.644,19.676,,,-0.092,,,,,,
8.789,393.5,80.092,20.03,99.649,19.675,,,-0.102,,,,,,
9.721,394.0,80.095,20.029,99.648,19.671,,,0.004,,,,,,
10.502,394.5,80.094,20.029,99.648,19.667,,,0.122,,,,,,
11.347,395.0,80.095,20.03,99.649,19.666,,,0.131,,,,,,
12.195,395.5,80.096,20.03,99.654,19.666,,,0.128,,,,,,
13.046,396.0,80.092,20.028,99.653,19.67,,,-0.042,,,,,,
13.823,396.5,80.094,20.028,99.649,19.669,,,0.0,,,,,,
14.628,397.0,80.091,20.028,99.648,19.671,,,-0.059,,,,,,
15.391,397.5,80.093,20.029,99.65,19.669,,,0.014,,,,,,
16.239,398.0,80.092,20.029,99.652,19.665,,,0.147,,,,,,
16.963,398.5,80.095,20.03,99.652,19.662,,,0.262,,,,,,
17.786,399.0,80.097,20.029,99.651,19.666,,,0.181,,,,,,
18.642,399.5,80.092,20.03,99.659,19.662,,,0.307,,,,,,
19.327,400.0,80.093,20.028,99.664,19.663,,,0.281,,,,,,
20.095,400.5,80.094,20.03,99.665,19.664,,,0.237,,,,,,
20.862,401.0,80.094,20.028,99.667,19.662,,,0.289,,,,,,
21.528,401.5,80.092,20.027,99.671,19.658,,,0.402,,,,,,
22.373,402.0,80.097,20.031,99.673,19.66,,,0.341,,,,,,
23.057,402.5,80.095,20.029,99.675,19.665,,,0.179,,,,,,
23.758,403.0,80.097,20.029,99.671,19.663,,,0.235,,,,,,
24.437,403.5,80.095,20.03,99.672,19.662,,,0.264,,,,,,
25.229,404.0,80.09,20.029,99.676,19.662,,,0.227,,,,,,
26.015,404.5,80.098,20.028,99.674,19.662,,,0.259,,,,,,
26.735,405.0,80.093,20.029,99.673,19.663,,,0.183,,,,,,
27.466,405.5,80.096,20.027,99.675,19.666,,,0.115,,,,,,
28.077,406.0,80.09,20.026,99.676,19.666,,,0.126,,,,,,
28.795,406.5,80.097,20.029,99.678,19.664,,,0.145,,,,,,
29.376,407.0,80.096,20.029,99.679,19.664,,,0.12,,,,,,
30.186,407.5,80.095,20.029,99.676,19.663,,,0.168,,,,,,
30.874,408.0,80.091,20.03,99.673,19.663,,,0.142,,,,,,
31.513,408.5,80.101,20.029,99.672,19.663,,,0.151,,,,,,
32.21,409.0,80.093,20.031,99.668,19.659,,,0.268,,,,,,
32.892,409.5,80.096,20.029,99.662,19.658,,,0.287,,,,,,
33.454,410.0,80.09,20.03,99.659,19.659,,,0.266,,,,,,
34.209,410.5,80.095,20.029,99.657,19.659,,,0.299,,,,,,
34.893,411.0,80.093,20.03,99.656,19.661,,,0.214,,,,,,
35.502,411.5,80.095,20.03,99.655,19.659,,,0.238,,,,,,
36.132,412.0,80.094,20.03,99.656,19.661,,,0.251,,,,,,
36.839,412.5,80.093,20.028,99.654,19.661,,,0.293,,,,,,
37.435,413.0,80.093,20.03,99.653,19.662,,,0.292,,,,,,
38.124,413.5,80.095,20.029,99.655,19.659,,,0.338,,,,,,
38.708,414.0,80.094,20.028,99.655,19.663,,,0.216,,,,,,
39.303,414.5,80.096,20.028,99.655,19.659,,,0.253,,,,,,
39.974,415.0,80.095,20.03,99.656,19.663,,,0.119,,,,,,
40.612,415.5,80.095,20.029,99.655,19.66,,,0.221,,,,,,
41.19,416.0,80.097,20.029,99.657,19.665,,,-0.011,,,,,,
41.795,416.5,80.096,20.03,99.654,19.663,,,-0.034,,,,,,
42.407,417.0,80.09,20.03,99.656,19.662,,,-0.061,,,,,,
42.977,417.5,80.097,20.028,99.658,19.66,,,-0.027,,,,,,
43.513,418.0,80.094,20.029,99.659,19.656,,,0.086,,,,,,
44.174,418.5,80.096,20.03,99.658,19.658,,,0.019,,,,,,
44.808,419.0,80.094,20.029,99.661,19.66,,,-0.042,,,,,,
45.39,419.5,80.097,20.028,99.664,19.657,,,0.026,,,,,,
45.999,420.0,80.086,20.029,99.657,19.66,,,-0.078,,,,,,
46.608,420.5,80.097,20.028,99.661,19.659,,,-0.064,,,,,,
47.198,421.0,80.093,20.03,99.662,19.658,,,-0.007,,,,,,
47.763,421.5,80.092,20.029,99.662,19.657,,,0.027,,,,,,
48.417,422.0,80.096,20.028,99.661,19.655,,,0.089,,,,,,
49.005,422.5,80.092,20.029,99.661,19.655,,,0.089,,,,,,
49.622,423.0,80.094,20.03,99.657,19.651,,,0.204,,,,,,
50.208,423.5,80.094,20.032,99.652,19.652,,,0.162,,,,,,
50.788,424.0,80.096,20.03,99.653,19.652,,,0.148,,,,,,
51.332,424.5,80.093,20.029,99.658,19.652,,,0.165,,,,,,
51.922,425.0,80.095,20.031,99.652,19.651,,,0.19,,,,,,
52.487,425.5,80.093,20.028,99.64,19.649,,,0.251,,,,,,
53.071,426.0,80.094,20.028,99.637,19.65,,,0.198,,,,,,
53.651,426.5,80.092,20.029,99.634,19.65,,,0.195,,,,,,
54.246,427.0,80.092,20.03,99.636,19.649,,,0.229,,,,,,
54.798,427.5,80.088,20.029,99.641,19.648,,,0.275,,,,,,
55.414,428.0,80.099,20.03,99.653,19.648,,,0.27,,,,,,
55.972,428.5,80.093,20.029,99.654,19.649,,,0.236,,,,,,
56.526,429.0,80.094,20.031,99.648,19.653,,,0.1,,,,,,
57.094,429.5,80.095,20.03,99.665,19.653,,,0.093,,,,,,
57.598,430.0,80.09,20.031,99.677,19.653,,,0.108,,,,,,
58.235,430.5,80.094,20.03,99.684,19.653,,,0.112,,,,,,
58.815,431.0,80.094,20.03,99.691,19.653,,,0.075,,,,,,
59.388,431.5,80.095,20.029,99.694,19.651,,,0.118,,,,,,
59.953,432.0,80.092,20.03,99.697,19.65,,,0.131,,,,,,
60.476,432.5,80.093,20.03,99.69,19.65,,,0.148,,,,,,
61.005,433.0,80.095,20.031,99.692,19.648,,,0.21,,,,,,
61.604,433.5,80.094,20.031,99.698,19.646,,,0.249,,,,,,
62.142,434.0,80.092,20.029,99.699,19.643,,,0.308,,,,,,
62.709,434.5,80.095,20.03,99.697,19.642,,,0.365,,,,,,
63.284,435.0,80.094,20.03,99.696,19.64,,,0.424,,,,,,
63.806,435.5,80.092,20.029,99.694,19.639,,,0.455,,,,,,
64.379,436.0,80.09,20.03,99.694,19.64,,,0.418,,,,,,
64.933,436.5,80.098,20.031,99.691,19.639,,,0.443,,,,,,
65.512,437.0,80.088,20.027,99.693,19.637,,,0.52,,,,,,
66.029,437.5,80.101,20.029,99.692,19.642,,,0.372,,,,,,
66.534,438.0,80.096,20.03,99.689,19.641,,,0.416,,,,,,
67.146,438.5,80.089,20.031,99.689,19.641,,,0.411,,,,,,
67.669,439.0,80.091,20.031,99.687,19.639,,,0.492,,,,,,
68.167,439.5,80.093,20.029,99.689,19.637,,,0.554,,,,,,
68.735,440.0,80.089,20.029,99.691,19.636,,,0.65,,,,,,
69.28,440.5,80.096,20.029,99.695,19.637,,,0.637,,,,,,
69.849,441.0,80.095,20.03,99.692,19.634,,,0.705,,,,,,
70.366,441.5,80.092,20.029,99.689,19.631,,,0.789,,,,,,
70.904,442.0,80.091,20.031,99.686,19.632,,,0.771,,,,,,
71.408,442.5,80.093,20.029,99.687,19.633,,,0.758,,,,,,
71.94,443.0,80.095,20.029,99.686,19.632,,,0.804,,,,,,
72.453,443.5,80.09,20.03,99.69,19.634,,,0.732,,,,,,
72.934,444.0,80.097,20.029,99.689,19.629,,,0.866,,,,,,
73.478,444.5,80.096,20.029,99.687,19.627,,,0.893,,,,,,
73.987,445.0,80.091,20.029,99.686,19.636,,,0.607,,,,,,
74.499,445.5,80.096,20.029,99.687,19.633,,,0.693,,,,,,
75.013,446.0,80.098,20.032,99.693,19.632,,,0.746,,,,,,
75.593,446.5,80.093,20.031,99.692,19.629,,,0.818,,,,,,
76.107,447.0,80.093,20.028,99.693,19.627,,,0.906,,,,,,
76.67,447.5,80.096,20.029,99.691,19.625,,,0.948,,,,,,
77.199,448.0,80.094,20.03,99.691,19.622,,,1.031,,,,,,
77.764,448.5,80.093,20.03,99.692,19.624,,,1.003,,,,,,
78.323,449.0,80.093,20.03,99.694,19.623,,,1.045,,,,,,
78.878,449.5,80.097,20.032,99.691,19.621,,,1.108,,,,,,
79.387,450.0,80.095,20.031,99.691,19.622,,,1.085,,,,,,
79.93,450.5,80.096,20.03,99.691,19.621,,,1.101,,,,,,
80.437,451.0,80.093,20.031,99.692,19.62,,,1.119,,,,,,
80.943,451.5,80.094,20.029,99.69,19.616,,,1.242,,,,,,
81.46,452.0,80.091,20.03,99.688,19.614,,,1.29,,,,,,
81.939,452.5,80.094,20.029,99.684,19.615,,,1.265,,,,,,
82.44,453.0,80.092,20.03,99.681,19.611,,,1.369,,,,,,
82.966,453.5,80.095,20.029,99.681,19.608,,,1.44,,,,,,
