Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.583,413.0,80.089,20.031,99.476,20.087,,,-0.06,,,,,,
1.208,413.5,80.091,20.028,99.481,20.087,,,-0.115,,,,,,
1.793,414.0,80.092,20.028,99.484,20.087,,,-0.135,,,,,,
2.419,414.5,80.091,20.031,99.484,20.086,,,-0.088,,,,,,
3.068,415.0,80.092,20.028,99.484,20.083,,,0.02,,,,,,
3.646,415.5,80.09,20.03,99.485,20.084,,,-0.03,,,,,,
4.244,416.0,80.091,20.029,99.484,20.088,,,-0.167,,,,,,
4.809,416.5,80.094,20.029,99.482,20.086,,,-0.074,,,,,,
5.374,417.0,80.097,20.03,99.483,20.086,,,-0.096,,,,,,
5.965,417.5,80.091,20.025,99.485,20.085,,,0.001,,,,,,
6.555,418.0,80.095,20.031,99.485,20.084,,,0.082,,,,,,
7.155,418.5,80.092,20.027,99.486,20.083,,,0.121,,,,,,
7.722,419.0,80.092,20.029,99.487,20.084,,,0.093,,,,,,
8.318,419.5,80.091,20.03,99.486,20.084,,,0.095,,,,,,
8.945,420.0,80.091,20.029,99.487,20.088,,,-0.058,,,,,,
9.518,420.5,80.094,20.027,99.488,20.08,,,0.261,,,,,,
10.076,421.0,80.091,20.029,99.488,20.083,,,0.148,,,,,,
10.619,421.5,80.09,20.026,99.487,20.085,,,0.031,,,,,,
11.169,422.0,80.09,20.028,99.487,20.083,,,0.088,,,,,,
11.771,422.5,80.09,20.029,99.485,20.083,,,0.097,,,,,,
12.386,423.0,80.095,20.029,99.486,20.079,,,0.251,,,,,,
12.929,423.5,80.093,20.028,99.487,20.078,,,0.311,,,,,,
13.497,424.0,80.093,20.03,99.489,20.079,,,0.253,,,,,,
14.069,424.5,80.095,20.028,99.488,20.076,,,0.377,,,,,,
14.627,425.0,80.093,20.029,99.489,20.077,,,0.343,,,,,,
15.224,425.5,80.091,20.029,99.492,20.075,,,0.463,,,,,,
15.819,426.0,80.091,20.03,99.494,20.073,,,0.521,,,,,,
16.372,426.5,80.093,20.029,99.495,20.076,,,0.357,,,,,,
16.928,427.0,80.09,20.029,99.498,20.08,,,0.232,,,,,,
17.52,427.5,80.093,20.028,99.501,20.074,,,0.48,,,,,,
18.095,428.0,80.09,20.029,99.504,20.071,,,0.591,,,,,,
18.649,428.5,80.094,20.029,99.506,20.073,,,0.495,,,,,,
19.197,429.0,80.094,20.028,99.508,20.071,,,0.551,,,,,,
19.748,429.5,80.091,20.029,99.509,20.071,,,0.525,,,,,,
20.288,430.0,80.091,20.03,99.507,20.07,,,0.619,,,,,,
20.855,430.5,80.094,20.029,99.505,20.066,,,0.766,,,,,,
21.37,431.0,80.095,20.026,99.505,20.067,,,0.722,,,,,,
21.989,431.5,80.092,20.03,99.5,20.064,,,0.866,,,,,,
22.509,432.0,80.09,20.029,99.496,20.067,,,0.745,,,,,,
23.06,432.5,80.096,20.028,99.495,20.066,,,0.787,,,,,,
23.608,433.0,80.095,20.031,99.494,20.065,,,0.824,,,,,,
24.105,433.5,80.095,20.028,99.493,20.065,,,0.803,,,,,,
24.634,434.0,80.094,20.03,99.49,20.064,,,0.832,,,,,,
25.18,434.5,80.095,20.03,99.49,20.065,,,0.797,,,,,,
25.725,435.0,80.094,20.029,99.491,20.064,,,0.828,,,,,,
