Time (s),Temperature (K),HRR (W/g)
0.46,523.5,-0.22
0.92,524.0,-0.16
1.42,524.5,0.1
1.94,525.0,0.23
2.43,525.5,0.25
2.92,526.0,0.22
3.42,526.5,0.17
3.89,527.0,0.31
4.39,527.5,0.47
4.91,528.0,0.57
5.43,528.5,0.71
5.95,529.0,0.6
6.44,529.5,0.97
7.0,530.0,0.65
7.49,530.5,0.52
7.99,531.0,0.43
8.46,531.5,0.49
8.98,532.0,0.81
9.52,532.5,0.71
10.0,533.0,0.68
10.53,533.5,0.75
11.02,534.0,0.82
11.5,534.5,1.0
12.02,535.0,0.63
12.55,535.5,0.69
13.09,536.0,0.66
13.58,536.5,0.38
14.11,537.0,0.62
14.58,537.5,0.73
15.08,538.0,0.81
15.6,538.5,0.62
16.1,539.0,0.64
16.58,539.5,0.5
17.09,540.0,0.56
17.64,540.5,0.62
18.15,541.0,0.8
18.67,541.5,0.8
19.18,542.0,0.63
19.72,542.5,0.92
20.26,543.0,0.69
20.77,543.5,0.6
21.27,544.0,0.72
21.8,544.5,0.77
22.32,545.0,0.59
22.82,545.5,0.71
23.3,546.0,0.72
23.83,546.5,0.52
24.36,547.0,0.41
24.86,547.5,0.58
25.36,548.0,0.65
25.89,548.5,0.71
26.41,549.0,0.58
26.92,549.5,0.73
27.42,550.0,0.74
27.97,550.5,0.99
28.47,551.0,0.56
28.97,551.5,0.55
29.48,552.0,0.79
29.99,552.5,0.57
30.52,553.0,0.84
31.05,553.5,0.64
31.52,554.0,0.98
32.06,554.5,0.94
32.57,555.0,0.62
33.09,555.5,0.62
33.6,556.0,0.83
34.12,556.5,0.69
34.65,557.0,0.73
35.1,557.5,0.67
35.6,558.0,0.58
36.14,558.5,0.76
36.67,559.0,0.73
37.2,559.5,0.82
37.72,560.0,0.86
38.22,560.5,0.77
38.74,561.0,0.69
39.26,561.5,0.77
39.75,562.0,0.83
40.26,562.5,0.79
40.8,563.0,0.61
41.32,563.5,0.45
41.85,564.0,0.48
42.39,564.5,0.45
42.89,565.0,0.58
43.45,565.5,0.47
43.93,566.0,0.27
44.45,566.5,0.38
44.97,567.0,0.42
45.52,567.5,0.67
46.0,568.0,0.65
46.56,568.5,0.87
47.08,569.0,0.76
47.62,569.5,0.81
48.13,570.0,0.86
48.66,570.5,0.82
49.19,571.0,0.95
49.72,571.5,0.87
50.22,572.0,1.02
50.74,572.5,1.07
51.26,573.0,0.97
51.78,573.5,0.88
52.34,574.0,0.91
52.85,574.5,0.92
53.38,575.0,0.98
53.87,575.5,0.85
54.42,576.0,0.71
54.94,576.5,0.82
55.41,577.0,0.72
55.94,577.5,0.87
56.44,578.0,1.0
56.93,578.5,1.05
57.48,579.0,0.97
58.01,579.5,1.02
58.49,580.0,1.05
59.05,580.5,1.16
59.56,581.0,0.95
60.06,581.5,1.13
60.58,582.0,1.18
61.1,582.5,1.15
61.65,583.0,1.06
62.16,583.5,0.77
62.66,584.0,0.81
63.2,584.5,0.89
63.73,585.0,1.0
64.24,585.5,1.01
64.74,586.0,1.08
65.26,586.5,1.16
65.78,587.0,1.2
66.32,587.5,1.18
66.82,588.0,1.16
67.32,588.5,1.2
67.86,589.0,1.48
68.38,589.5,1.53
68.88,590.0,1.78
69.39,590.5,1.81
69.92,591.0,1.71
70.5,591.5,2.03
70.95,592.0,1.99
71.52,592.5,1.96
72.01,593.0,1.88
72.53,593.5,1.92
73.05,594.0,2.1
73.59,594.5,2.29
74.09,595.0,2.23
74.66,595.5,2.27
75.15,596.0,2.27
75.68,596.5,2.23
76.18,597.0,2.25
76.68,597.5,2.52
77.2,598.0,2.61
77.71,598.5,2.48
78.25,599.0,2.33
78.76,599.5,2.57
79.28,600.0,2.66
79.81,600.5,2.61
80.35,601.0,2.75
80.89,601.5,2.84
81.39,602.0,2.85
81.93,602.5,2.99
82.39,603.0,2.86
82.93,603.5,2.84
83.47,604.0,2.61
83.99,604.5,2.71
84.51,605.0,2.71
85.02,605.5,2.76
85.54,606.0,3.05
86.08,606.5,2.99
86.58,607.0,2.74
87.12,607.5,2.8
87.63,608.0,2.8
88.15,608.5,2.98
88.66,609.0,3.0
89.2,609.5,3.01
89.73,610.0,3.07
90.23,610.5,2.93
90.77,611.0,3.17
91.32,611.5,3.37
91.83,612.0,3.33
92.35,612.5,3.44
92.92,613.0,3.56
93.41,613.5,3.45
93.91,614.0,3.51
94.47,614.5,3.47
94.99,615.0,3.59
95.56,615.5,3.91
96.09,616.0,3.96
96.6,616.5,3.96
97.08,617.0,4.14
97.58,617.5,4.03
98.13,618.0,3.96
98.65,618.5,4.25
99.16,619.0,4.38
99.71,619.5,4.47
100.23,620.0,4.33
100.76,620.5,4.37
101.29,621.0,4.46
101.81,621.5,4.58
102.32,622.0,4.68
102.84,622.5,4.48
103.39,623.0,4.48
103.93,623.5,4.68
104.46,624.0,4.66
105.0,624.5,5.16
105.46,625.0,5.27
106.04,625.5,5.4
106.56,626.0,5.48
107.1,626.5,5.71
107.6,627.0,5.83
108.14,627.5,5.97
108.66,628.0,6.09
109.18,628.5,6.21
109.71,629.0,6.37
110.23,629.5,6.53
110.74,630.0,6.82
111.26,630.5,7.03
111.79,631.0,7.13
112.34,631.5,7.45
112.87,632.0,7.77
113.38,632.5,8.0
113.88,633.0,8.22
114.41,633.5,8.52
114.93,634.0,8.68
115.44,634.5,9.2
116.0,635.0,9.61
116.54,635.5,10.0
117.04,636.0,10.42
117.5,636.5,10.75
118.03,637.0,11.44
118.5,637.5,11.74
119.08,638.0,12.42
119.61,638.5,12.83
120.09,639.0,13.3
120.62,639.5,14.18
121.15,640.0,14.87
121.67,640.5,15.61
122.2,641.0,16.63
122.71,641.5,17.58
123.22,642.0,18.31
123.73,642.5,19.15
124.22,643.0,20.3
124.72,643.5,21.67
125.23,644.0,23.02
125.74,644.5,24.35
126.31,645.0,25.89
126.82,645.5,27.31
127.32,646.0,28.81
127.83,646.5,30.28
128.34,647.0,31.76
128.88,647.5,33.3
129.39,648.0,35.1
129.91,648.5,36.77
130.41,649.0,38.07
130.9,649.5,39.85
131.46,650.0,41.43
131.94,650.5,43.24
132.49,651.0,45.1
132.97,651.5,46.98
133.53,652.0,49.3
134.05,652.5,51.54
134.57,653.0,53.81
135.08,653.5,55.95
135.55,654.0,58.19
136.07,654.5,60.13
136.58,655.0,62.1
137.14,655.5,64.01
137.62,656.0,65.64
138.08,656.5,67.43
138.61,657.0,69.6
139.1,657.5,71.65
139.6,658.0,73.69
140.14,658.5,76.08
140.65,659.0,78.49
141.16,659.5,81.05
141.66,660.0,83.53
142.17,660.5,85.82
142.65,661.0,88.12
143.12,661.5,90.67
143.65,662.0,93.4
144.17,662.5,95.86
144.66,663.0,98.64
145.15,663.5,101.79
145.68,664.0,105.14
146.18,664.5,108.91
146.66,665.0,112.68
147.19,665.5,116.95
147.72,666.0,121.72
148.23,666.5,126.69
148.74,667.0,131.8
149.24,667.5,137.02
149.73,668.0,142.43
150.25,668.5,148.1
150.77,669.0,153.86
151.29,669.5,159.83
151.8,670.0,165.62
152.32,670.5,171.55
152.86,671.0,178.39
153.38,671.5,185.13
153.86,672.0,192.0
154.37,672.5,199.58
154.89,673.0,207.57
155.39,673.5,215.4
155.9,674.0,224.12
156.41,674.5,233.13
156.94,675.0,242.29
157.49,675.5,252.55
158.02,676.0,262.72
158.45,676.5,271.28
158.99,677.0,281.96
159.51,677.5,292.89
160.01,678.0,303.52
160.54,678.5,315.21
161.08,679.0,327.25
161.58,679.5,338.79
162.11,680.0,351.79
162.65,680.5,364.97
163.15,681.0,377.58
163.67,681.5,391.33
164.19,682.0,405.31
164.7,682.5,419.59
165.21,683.0,434.13
165.72,683.5,449.23
166.24,684.0,464.85
166.76,684.5,480.73
167.33,685.0,498.71
