Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.13,431.0,80.09,20.03,99.556,20.16,,,0.049,,,,,,
0.708,431.5,80.093,20.028,99.559,20.159,,,0.146,,,,,,
1.242,432.0,80.092,20.028,99.562,20.159,,,0.06,,,,,,
1.742,432.5,80.094,20.029,99.564,20.159,,,0.059,,,,,,
2.277,433.0,80.095,20.029,99.565,20.158,,,0.182,,,,,,
2.79,433.5,80.098,20.028,99.567,20.159,,,0.079,,,,,,
3.323,434.0,80.094,20.029,99.569,20.159,,,0.113,,,,,,
3.863,434.5,80.089,20.028,99.571,20.16,,,-0.02,,,,,,
4.386,435.0,80.091,20.029,99.574,20.163,,,-0.255,,,,,,
4.866,435.5,80.091,20.028,99.573,20.162,,,-0.134,,,,,,
5.373,436.0,80.091,20.028,99.571,20.16,,,0.296,,,,,,
5.866,436.5,80.09,20.027,99.57,20.16,,,0.214,,,,,,
6.403,437.0,80.092,20.027,99.569,20.159,,,0.423,,,,,,
6.929,437.5,80.094,20.03,99.568,20.156,,,0.914,,,,,,
7.432,438.0,80.092,20.028,99.567,20.157,,,0.773,,,,,,
7.926,438.5,80.091,20.028,99.567,20.157,,,0.763,,,,,,
8.493,439.0,80.093,20.028,99.568,20.158,,,0.629,,,,,,
9.002,439.5,80.089,20.029,99.566,20.157,,,0.857,,,,,,
9.513,440.0,80.093,20.028,99.563,20.159,,,0.434,,,,,,
9.996,440.5,80.09,20.028,99.561,20.156,,,0.744,,,,,,
10.471,441.0,80.088,20.027,99.563,20.157,,,0.623,,,,,,
10.99,441.5,80.094,20.029,99.562,20.159,,,0.305,,,,,,
11.461,442.0,80.088,20.028,99.562,20.159,,,0.416,,,,,,
12.019,442.5,80.095,20.029,99.559,20.158,,,0.516,,,,,,
12.558,443.0,80.089,20.028,99.559,20.16,,,0.334,,,,,,
13.018,443.5,80.09,20.027,99.559,20.159,,,0.469,,,,,,
13.506,444.0,80.09,20.028,99.559,20.161,,,0.18,,,,,,
13.963,444.5,80.09,20.027,99.56,20.159,,,0.541,,,,,,
14.5,445.0,80.087,20.028,99.56,20.162,,,0.274,,,,,,
15.016,445.5,80.093,20.03,99.561,20.156,,,1.17,,,,,,
15.52,446.0,80.092,20.03,99.561,20.157,,,1.102,,,,,,
15.982,446.5,80.096,20.025,99.562,20.16,,,0.635,,,,,,
16.471,447.0,80.09,20.03,99.562,20.159,,,0.732,,,,,,
17.01,447.5,80.093,20.029,99.563,20.157,,,1.223,,,,,,
17.471,448.0,80.093,20.027,99.565,20.155,,,1.423,,,,,,
18.006,448.5,80.092,20.029,99.563,20.156,,,1.29,,,,,,
18.472,449.0,80.092,20.027,99.561,20.155,,,1.414,,,,,,
18.997,449.5,80.09,20.03,99.561,20.152,,,1.863,,,,,,
19.503,450.0,80.095,20.028,99.562,20.152,,,1.961,,,,,,
19.985,450.5,80.091,20.028,99.559,20.154,,,1.661,,,,,,
20.457,451.0,80.091,20.027,99.556,20.153,,,1.881,,,,,,
20.97,451.5,80.095,20.028,99.552,20.153,,,1.909,,,,,,
21.457,452.0,80.09,20.029,99.551,20.154,,,1.874,,,,,,
21.975,452.5,80.092,20.031,99.552,20.153,,,1.94,,,,,,
22.444,453.0,80.091,20.03,99.549,20.15,,,2.346,,,,,,
22.905,453.5,80.087,20.028,99.548,20.152,,,2.127,,,,,,
23.444,454.0,80.094,20.028,99.547,20.153,,,1.908,,,,,,
23.933,454.5,80.089,20.028,99.548,20.152,,,1.943,,,,,,
24.446,455.0,80.089,20.028,99.546,20.149,,,2.296,,,,,,
24.926,455.5,80.09,20.029,99.547,20.149,,,2.412,,,,,,
25.383,456.0,80.092,20.027,99.549,20.149,,,2.345,,,,,,
25.855,456.5,80.095,20.028,99.552,20.149,,,2.276,,,,,,
26.342,457.0,80.093,20.028,99.554,20.147,,,2.545,,,,,,
26.814,457.5,80.094,20.028,99.552,20.147,,,2.566,,,,,,
27.319,458.0,80.094,20.028,99.551,20.146,,,2.712,,,,,,
27.815,458.5,80.092,20.028,99.551,20.146,,,2.881,,,,,,
28.284,459.0,80.094,20.029,99.55,20.147,,,2.872,,,,,,
28.782,459.5,80.093,20.029,99.548,20.147,,,2.893,,,,,,
29.286,460.0,80.093,20.029,99.545,20.148,,,2.798,,,,,,
29.795,460.5,80.092,20.029,99.543,20.147,,,2.899,,,,,,
30.265,461.0,80.09,20.028,99.541,20.145,,,3.186,,,,,,
30.73,461.5,80.09,20.028,99.539,20.143,,,3.494,,,,,,
31.214,462.0,80.089,20.029,99.537,20.146,,,3.12,,,,,,
31.694,462.5,80.09,20.028,99.535,20.151,,,2.567,,,,,,
32.184,463.0,80.092,20.029,99.535,20.149,,,2.94,,,,,,
32.652,463.5,80.09,20.029,99.534,20.148,,,3.107,,,,,,
