Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 2,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K],[K]
0,70.70,3.941045342,308,308.2,306.9
1,70.72,4.930000852,308.1,308.3,307.1
2,70.73,5.564208136,308.2,308.3,307.2
3,70.65,5.981222459,308.3,308.4,307.4
4,70.66,6.745619123,308.5,308.6,307.6
5,70.67,7.050066387,308.6,308.7,307.8
6,70.67,8.356697386,308.8,308.8,308.1
7,70.64,8.423924515,308.9,309,308.5
8,70.63,8.205192381,309.1,309.1,308.7
9,70.62,7.297201111,309.4,309.3,309
10,70.60,7.064444788,309.6,309.4,309.3
11,70.58,6.584767567,309.8,309.7,309.6
12,70.56,6.012212551,310.1,309.8,310
13,70.55,5.394184647,310.4,310,310.2
14,70.60,4.62890407,310.6,310.2,310.8
15,70.60,3.650095177,311,310.5,311
16,70.60,3.524312525,311.3,310.7,311.8
17,70.57,2.900674008,311.6,310.9,311.9
18,70.59,3.094817898,311.9,311.2,312.5
19,70.62,2.883205845,312.3,311.4,313
20,70.65,2.600696963,312.6,311.7,313.5
21,70.65,2.283672526,313,312,314
22,70.71,1.660032428,313.3,312.3,314.5
23,70.78,1.77899411,313.8,312.6,315
24,70.72,2.047670354,314.3,312.9,315.6
25,70.73,1.802768202,314.7,313.2,316.1
26,70.65,1.559995384,315.1,313.5,316.7
27,70.66,0.662469542,315.5,313.9,317.3
28,70.67,0.622976325,316,314.3,317.9
29,70.67,0.932190629,316.4,314.5,318.4
30,70.66,1.059004483,316.9,314.9,318.9
31,70.67,0.787220852,317.4,315.2,319.7
32,70.68,0.609424729,317.9,315.6,320.3
33,70.69,0.535410354,318.4,316,320.9
34,70.69,0.700891352,318.9,316.4,321.7
35,70.70,1.012435267,319.4,316.7,322.3
36,70.71,1.042130331,319.9,317.1,322.8
37,70.72,0.786633114,320.4,317.5,323.4
38,70.73,0.613733295,320.9,318,323.9
39,70.73,0.578887856,321.5,318.3,324.6
40,70.73,0.670703819,322,318.8,325.3
41,70.74,1.004387759,322.6,319.2,326
42,70.74,0.917041101,323.1,319.6,326.7
43,70.73,0.692249956,323.7,320.1,327.4
44,70.73,0.588561164,324.2,320.5,328.2
45,70.74,0.615175271,324.8,321,328.8
46,70.74,0.829955332,325.4,321.4,329.5
47,70.74,1.14417708,326,322,330.1
48,70.74,0.985645261,326.6,322.4,330.8
49,70.74,0.69193004,327.2,322.9,331.4
50,70.73,0.574920436,327.7,323.3,332.2
51,70.73,0.634347269,328.3,323.8,332.9
52,70.74,0.859977192,328.9,324.3,333.6
53,70.75,1.149733978,329.6,324.8,334.2
54,70.74,0.923265627,330.2,325.3,335
55,70.74,0.668866857,330.7,325.9,335.7
56,70.75,0.581463391,331.4,326.4,336.4
57,70.77,0.683417982,332,326.9,337.1
58,70.77,0.947900729,332.6,327.4,337.8
59,70.78,1.167597607,333.2,328,338.6
60,70.79,0.920340106,333.8,328.6,339.2
61,70.79,-0.144739185,334.4,329.1,339.9
62,70.78,-0.394695302,335,329.7,340.6
63,70.77,-0.288379943,335.7,330.3,341.3
64,70.77,0.009501836,336.3,330.9,342
65,70.76,0.913370863,337,331.5,342.7
66,70.76,0.836070101,337.5,332.1,343.5
67,70.76,0.616227006,338.1,332.7,344.1
68,70.76,0.54168298,338.8,333.3,344.7
69,70.77,0.732717679,339.4,334,345.4
70,70.78,0.261160199,340,334.6,346.1
71,70.78,0.067178222,340.6,335.2,346.8
72,70.79,-0.225707812,341.2,335.9,347.5
73,70.79,-0.392823991,341.9,336.6,348.2
74,70.79,-0.409766595,342.5,337.2,348.9
75,70.78,-0.231157337,343.1,337.9,349.5
76,70.77,0.109651781,343.7,338.6,350.1
77,70.76,0.01425016,344.3,339.3,350.8
78,70.76,-0.262215686,344.9,340,351.4
79,70.77,-0.459773238,345.5,340.7,352.4
80,70.77,-0.415702709,346.2,341.4,352.9
81,70.77,-0.207348446,346.7,342.1,353.5
82,70.77,0.126012528,347.3,342.9,354.1
83,70.77,-0.047072083,347.9,343.6,354.8
84,70.77,-0.327463309,348.5,344.3,355.5
85,70.78,-0.462967171,349.1,345,356.1
86,70.79,-0.398616135,349.6,345.7,356.7
87,70.79,-0.163100578,350.2,346.4,357.3
88,70.77,0.103573019,350.8,347.1,358
89,70.76,-0.111728514,351.3,347.8,358.5
90,70.75,-0.388858225,351.8,348.4,359.2
91,70.75,-0.493095452,352.4,349,359.8
92,70.74,0.339132826,352.9,349.5,360.5
93,70.74,0.919207514,353.4,350.1,361.1
94,70.74,1.160082088,354,350.7,361.4
95,70.73,0.891933111,354.5,351.2,362
96,70.73,0.628761492,355,351.8,362.4
97,70.72,0.570705139,355.5,352.3,363.1
98,70.71,0.711169457,356.1,352.9,363.5
99,70.71,0.986151758,356.6,353.5,364.1
100,70.71,1.082723292,357.1,354,364.5
101,70.70,0.838070548,357.6,354.5,365
102,70.69,-0.227131584,358.1,355,365.4
103,70.69,-0.430025629,358.6,355.6,365.8
104,70.68,-0.30737219,359.1,356.1,366.2
105,70.67,0.020493025,359.6,356.6,366.6
106,70.67,0.046589037,360.1,357.1,367
107,70.66,-0.238260663,360.6,357.7,367.4
108,70.65,-0.417632664,361.1,358.3,367.9
109,70.64,-0.416417534,361.6,358.8,368.3
110,70.64,-0.22644586,362.2,359.4,368.7
111,70.63,0.061440747,362.6,359.9,369.2
112,70.63,-0.047864014,363.2,360.4,369.6
113,70.63,-0.328185992,363.6,361,370
