Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
0,12.73939155,297.1290625,414.796906
1,12.7128463,297.0976715,432.0381104
2,12.73404694,297.0879408,492.7609161
3,12.72793036,297.0381843,526.2117249
4,12.72607963,297.0773964,550.6356969
5,12.68960286,297.0663961,569.9589801
6,12.62574417,296.9952525,586.0984627
7,12.63483466,297.0019469,601.0263211
8,12.64772029,297.0335641,612.7986971
9,12.64582977,297.0433105,623.0985147
10,12.58787815,296.9453246,
11,12.5881268,296.9685768,
12,12.60835662,297.0073596,
13,12.5828484,296.96401,
14,12.56279587,297.1196938,
15,12.55854486,297.1303771,
16,12.53019621,297.0156103,
17,12.50701873,297.133009,
18,12.48570077,297.1391434,
19,12.48253247,297.2040234,
20,12.45520617,297.2688957,
21,12.44671717,297.3204074,
22,12.43189909,297.3728789,
23,12.40666095,297.4887915,
24,12.39807005,297.6638233,
25,12.3313567,297.8418574,
26,12.32497203,298.037867,
27,12.32491641,298.2403746,
28,12.27734018,298.4135979,
29,12.27291244,298.6898197,
30,12.25351038,298.941825,
31,12.25537903,299.2687968,
32,12.25498195,299.6855494,
33,12.20281154,300.072783,
34,12.15982283,300.4723789,
35,12.17549524,300.9046138,
36,12.16247682,301.4408426,
37,12.10951318,301.8824607,
38,12.03290296,302.4197317,
39,11.99638646,303.0248854,
40,12.02788005,303.5841656,
41,11.97707975,304.18148,
42,11.93204387,304.7999483,
43,11.92734706,305.4573374,
44,11.92502828,306.1211786,
45,11.90398849,306.8456091,
46,11.89027937,307.5002949,
47,11.86336032,308.2142283,
48,11.85313872,308.8712051,
49,11.82645112,309.6100742,
50,11.79331199,310.4323698,
51,11.75928662,311.1492635,
52,11.74026939,311.907035,
53,11.75407061,312.6620148,
54,11.72388643,313.4258419,
55,11.71560037,314.2742026,
56,11.68052065,315.0680738,
57,11.66045757,315.9470958,
58,11.63477426,316.7750924,
59,11.62226033,317.5837901,
60,11.56815053,318.433782,
61,11.4883744,319.0943374,
62,11.52417075,319.9344521,
63,11.56644487,320.7235453,
64,11.51060066,321.6519031,
65,11.46425679,322.4080773,
66,11.46013818,323.2209411,
67,11.45952594,324.0820317,
68,11.40921784,324.9093163,
69,11.395629,325.8425549,
70,11.36605231,326.6456681,
71,11.3445487,327.483505,
72,11.38542113,328.3160654,
73,11.35254114,329.1117385,
74,11.3059394,329.9683284,
75,11.27465944,330.813475,
76,11.22199405,331.679168,
77,11.22640039,332.4467616,
78,11.21051981,333.3776609,
79,11.1860569,334.1730133,
80,11.17815506,334.9848546,
81,11.18061877,335.8199311,
82,11.13948631,336.5264941,
83,11.11915077,337.28276,
84,11.13288053,337.9084936,
85,11.1167359,338.7224209,
86,11.08300407,339.4770898,
87,11.0283263,340.2548755,
88,11.02585945,340.9766648,
89,11.00293774,341.5887139,
90,11.00056082,342.3573558,
91,11.00789071,342.9728277,
92,10.9587463,343.6333701,
93,10.94510275,344.3785634,
94,10.93029394,345.0717537,
95,10.88962766,345.7307877,
96,10.8841012,346.3929824,
97,10.8464674,347.066096,
98,10.8465778,347.6806466,
99,10.82977313,348.3021257,
100,10.81766592,348.8929138,
101,10.80988415,349.5091819,
102,10.79178397,350.0880442,
103,10.74561569,350.5597404,
104,10.73236902,351.1724037,
105,10.69854307,351.7677667,
106,10.68199291,352.3271055,
107,10.66444443,352.8049498,
108,10.67107843,353.3568559,
109,10.6159049,353.7706271,
110,10.58592437,354.313121,
111,10.57581239,354.7824316,
112,10.59135159,355.1735622,
113,10.60387895,355.7215419,
114,10.57774471,356.1197704,
115,10.54982745,356.6300981,
116,10.54286347,356.9748296,
117,10.5240164,357.4152456,
118,10.50012684,357.7696127,
119,10.48214413,358.0527309,
120,10.4262316,358.347586,
121,10.42525033,358.7118143,
122,10.4424294,358.9482938,
123,10.41072182,359.2602776,
124,10.38039257,359.5073462,
125,10.3900083,359.8008461,
126,10.37257473,359.9880511,
127,10.33977498,360.0003123,
128,10.32016779,360.2592847,
129,10.29440323,360.2640968,
130,10.28432713,360.3805813,
131,10.27321425,360.5640856,
132,10.25456718,360.6687681,
133,10.20670629,360.7104997,
134,10.21538649,360.7983544,
135,10.19031303,360.8363242,
136,10.16595914,360.9360117,
137,10.21273723,361.0355699,
138,10.1437588,361.103737,
139,10.10211795,361.1028951,
140,10.06830256,361.1368308,
141,10.08707724,361.134777,
142,10.1155193,361.1787811,
143,10.07813144,361.2701812,
144,10.05290238,361.2891016,
