Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
0,13.11368028,296.3233072,396.360734
1,13.13424959,296.3584187,539.4806996
2,13.11242193,296.2199339,578.571201
3,13.05226774,296.2771799,609.5046059
4,13.03617442,296.2475515,633.5521501
5,13.02808038,296.2135635,648.4891709
6,12.93792272,296.2363772,
7,12.96194425,296.2789807,
8,12.9840994,296.2393302,
9,12.95281318,296.4059816,
10,12.90887232,296.311515,
11,12.84729294,296.4608168,
12,12.84498282,296.5406402,
13,12.79459686,296.4827933,
14,12.74523087,296.5794233,
15,12.7314431,296.6839705,
16,12.65981377,296.9274094,
17,12.65509678,297.0331748,
18,12.5990746,297.20395,
19,12.52140632,297.4186714,
20,12.50163238,297.6812332,
21,12.44593254,298.0149115,
22,12.4132474,298.3847237,
23,12.41248468,298.64855,
24,12.35281512,299.0658911,
25,12.34798536,299.5139898,
26,12.29122693,299.9689262,
27,12.24201413,300.4621265,
28,12.20881222,300.9258715,
29,12.14890023,301.5079117,
30,12.13208323,302.1021324,
31,12.09618922,302.7052355,
32,12.0516555,303.3379708,
33,11.98870357,304.0429103,
34,11.96729465,304.7973222,
35,11.92782697,305.5149553,
36,11.88200211,306.1985381,
37,11.83274532,306.8322305,
38,11.80822178,307.6027968,
39,11.8069908,308.2899899,
40,11.72274541,309.0930922,
41,11.68659979,309.8754319,
42,11.6850564,310.6470538,
43,11.63857394,311.4468847,
44,11.62298828,312.3401684,
45,11.58126818,313.231018,
46,11.55743266,313.9608923,
47,11.55276933,314.68476,
48,11.49207536,315.6233741,
49,11.45036186,316.4793545,
50,11.43190752,317.3027702,
51,11.4223934,318.0705211,
52,11.37861948,318.9446569,
53,11.36184181,319.8295482,
54,11.31103324,320.7641622,
55,11.25244837,321.6286782,
56,11.24631878,322.5236783,
57,11.21336672,323.3169023,
58,11.22261603,324.1360772,
59,11.18247057,325.0801217,
60,11.12802745,325.923101,
61,11.11878782,326.7372113,
62,11.05920323,327.7216657,
63,11.0200684,328.5171195,
64,11.00181473,329.3656398,
65,11.01239975,330.2058001,
66,10.95559243,331.0517546,
67,10.92975592,331.9141932,
68,10.90800589,332.8365841,
69,10.84548147,333.6387193,
70,10.81538563,334.5079925,
71,10.76797301,335.1587241,
72,10.75487467,336.0231945,
73,10.75924109,336.8317618,
74,10.73762762,337.6409419,
75,10.69467775,338.3277421,
76,10.67329724,339.197666,
77,10.65274769,340.0113314,
78,10.58792742,340.7284334,
79,10.60251825,341.4327506,
80,10.54579608,342.3200232,
81,10.46619231,342.9868781,
82,10.52161692,343.7193248,
83,10.50044101,344.547515,
84,10.42495329,345.2117242,
85,10.41025068,345.9483941,
86,10.43843251,346.6019121,
87,10.37128876,347.3197696,
88,10.32797632,347.9842508,
89,10.32163273,348.6083658,
90,10.29390543,349.2533995,
91,10.26407522,349.9717942,
92,10.2100673,350.505337,
93,10.14310477,351.1092864,
94,10.16093544,351.7664348,
95,10.15901025,352.3368646,
96,10.1490587,353.0240514,
97,10.10035005,353.5995006,
98,10.09984863,354.1309447,
99,10.04227765,354.4315261,
100,9.960482759,354.8300973,
101,9.934346475,355.2002456,
102,9.920586372,355.4808161,
103,9.907900629,355.7157597,
104,9.907126239,356.0300522,
105,9.88724057,356.2356104,
106,9.859312984,356.5526926,
107,9.860968903,356.7236741,
108,9.837703489,356.8748035,
109,9.786401748,356.9413699,
110,9.763719521,357.0392529,
111,9.742294405,357.1413529,
112,9.704083215,357.2678542,
113,9.682617917,357.4379586,
114,9.697642819,357.5069924,
115,9.647852876,357.5063526,
116,9.593170569,357.7035302,
117,9.568816847,357.8283423,
118,9.535329285,357.8708508,
119,9.543375145,357.9702653,
120,9.508911157,358.0940897,
121,9.486258245,358.1888367,
122,9.467746565,358.3331987,
123,9.427809607,358.3930109,
124,9.396807241,358.5194049,
125,9.372236765,358.5847481,
126,9.354156614,358.6885012,
127,9.353845969,358.6998068,
128,9.337711818,358.8618093,
129,9.287338942,358.9693901,
130,9.265122177,359.1728575,
131,9.227799765,359.2988846,
132,9.222048747,359.5118333,
133,9.188183962,359.7090423,
134,9.128296583,359.8286811,
135,9.147046786,360.0958786,
136,9.117841703,360.2311581,
137,9.097262546,360.3834069,
138,9.087852367,360.7144243,
139,9.044042675,360.9114516,
140,9.020077346,361.1998816,
141,9.007899195,361.4194421,
142,8.984140672,361.6843476,
143,8.972084123,362.1002951,
144,8.925758161,362.2796431,
145,8.901721317,362.636658,
146,8.903256337,362.9833697,
147,8.874557703,363.2667731,
148,8.852640369,363.5335604,
149,8.821926623,364.0446855,
150,8.786674755,364.3958583,
151,8.744110628,364.7782177,
152,8.724498438,365.2288733,
153,8.762056312,365.6949426,
154,8.752724866,366.2079767,
155,8.729198611,366.7546063,
156,8.724399823,367.2552139,
157,8.666249007,367.968463,
158,8.619278425,368.528224,
159,8.605289901,369.2104329,
160,8.550559451,369.7895053,
161,8.555195383,370.3699059,
162,8.58660324,370.9686953,
163,8.544432555,371.752087,
164,8.53757634,372.5153152,
165,8.532654728,373.21351,
166,8.461986712,373.971985,
167,8.413222372,374.7742993,
168,8.422708394,375.6478339,
169,8.389149199,376.5807844,
170,8.376646459,377.3245753,
171,8.354070001,378.3340405,
172,8.320619992,379.1208752,
173,8.3235133,379.8548874,
174,8.342345163,380.8395405,
175,8.296177686,381.6642934,
176,8.247966217,382.5729612,
177,8.248273705,383.6255041,
178,8.224319838,384.5212553,
179,8.24017699,385.7820925,
180,8.179590936,386.6624455,
181,8.133741204,387.6158821,
182,8.098920914,388.4371204,
183,8.117251155,389.420347,
184,8.138096798,390.2469264,
185,8.09895022,391.2985544,
186,8.081285899,392.5197918,
187,8.071973801,393.4196661,
188,8.032955057,394.3344351,
189,7.993261334,395.203725,
190,7.970796215,395.980278,
191,7.976139256,396.6730432,
192,7.969975451,397.6833208,
193,7.941581595,398.5967511,
194,7.886266699,399.7164555,
195,7.8644008,400.7222462,
196,7.881292372,401.6929166,
197,7.848797034,402.3306831,
198,7.814138265,403.2603498,
199,7.791002699,404.0324448,
200,7.766070056,404.7570646,
201,7.734538831,406.0918929,
202,7.676841537,407.2114521,
203,7.671131078,407.9319827,
204,7.679468572,407.9039077,
205,7.677816727,409.2506061,
206,7.67527972,410.0474004,
207,7.676174039,411.1872007,
208,7.650438004,411.7263774,
209,7.622959673,412.5831561,
210,7.562753624,412.990118,
211,7.530054086,414.0413831,
212,7.510602399,414.1528061,
213,7.508416358,415.3435305,
214,7.503097283,415.7175862,
215,7.494503916,416.1600235,
216,7.489356417,416.8578923,
217,7.459156382,417.8152493,
218,7.372712062,418.2051854,
219,7.35473753,419.3540517,
220,7.336779499,420.3878832,
221,7.314450561,420.7974684,
222,7.313767956,421.082717,
223,7.291832216,422.2951038,
224,7.264977601,423.0385689,
225,7.240657992,423.037461,
226,7.234247465,423.7017135,
227,7.222129245,424.6651485,
228,7.183655639,424.921273,
229,7.181985524,425.9045646,
230,7.170268356,426.6585275,
231,7.12790429,425.6611783,
232,7.089166038,426.4031,
233,7.043493661,427.2371685,
234,6.964613162,428.8655637,
235,6.960287506,429.3715504,
236,6.972748486,429.9765807,
237,6.985211686,430.404726,
238,6.9533179,430.3099362,
239,6.907489521,431.5248859,
240,6.891508128,432.0181671,
241,6.873716931,433.0716438,
242,6.853259797,432.672836,
243,6.837439818,433.4968595,
244,6.831252584,433.3624517,
245,6.815952546,435.018712,
246,6.771112965,435.9477273,
247,6.700086086,436.0736822,
248,6.661117542,436.0162618,
249,6.686766506,436.1758507,
250,6.646523929,436.9866688,
251,6.652076004,437.1128738,
252,6.661795076,436.6413286,
253,6.621249209,438.407321,
254,6.598094049,438.5679491,
255,6.58447112,439.1899874,
256,6.54869819,440.000749,
257,6.54221172,440.2176503,
258,6.521105217,440.3935742,
259,6.518554481,439.2156507,
260,6.465797899,441.3682138,
261,6.42559532,441.4223925,
262,6.428348052,442.1779929,
263,6.396197668,442.6852461,
264,6.342867194,442.5016225,
265,6.346815891,443.4093327,
266,6.335251019,443.7960092,
267,6.297775567,443.3672408,
268,6.30179959,441.9161879,
269,6.253449868,442.1263164,
270,6.228504259,444.0523128,
271,6.215228187,440.6315365,
272,6.168272242,443.8848465,
273,6.180347869,445.5922173,
274,6.162178641,444.9951983,
275,6.119614147,442.2814347,
276,6.080920954,443.15152,
277,6.037324417,446.0361151,
278,6.061520473,442.667694,
279,6.054641677,442.9409346,
280,6.031335021,445.5211113,
281,6.013690598,445.891508,
282,5.998688154,444.429,
283,5.970186104,444.1531,
284,5.956384016,445.0845,
285,5.928563765,445.8,
286,5.904770592,447.0672,
287,5.874506107,447.9578,
288,5.881914051,446.0511,
289,5.838709865,445.7812,
290,5.829886822,446.9827,
291,5.817367415,446.328,
292,5.774980562,447.5069925,
293,5.725671928,448.7442464,
294,5.708333902,448.1988937,
295,5.7187619,447.2761791,
296,5.710755214,449.7620687,
297,5.667763977,449.5218151,
298,5.658418491,450.4461317,
299,5.626437197,447.6947313,
300,5.607438916,447.8112977,
301,5.601728907,447.9320666,
302,5.557396822,450.1596432,
303,5.520780822,447.8697321,
304,5.488803017,448.7308743,
305,5.497055591,448.8057218,
306,5.459831396,448.464624,
307,5.445523496,451.4909047,
308,5.470183505,450.8853486,
309,5.452214242,449.5377097,
310,5.408791996,449.5944568,
311,5.375306522,451.2244431,
312,5.363094105,453.3149884,
313,5.365677699,452.7360366,
314,5.303364521,453.6394267,
315,5.280516956,453.3891746,
316,5.252008869,453.6317244,
317,5.254582297,454.1087284,
318,5.25999841,452.935626,
319,5.230875574,454.8810762,
320,5.216470903,454.9262054,
321,5.209639323,454.445294,
322,5.181945359,453.8617376,
323,5.176941638,454.1366532,
324,5.144862362,453.9608298,
325,5.146304837,455.7729444,
326,5.121894223,456.3664779,
327,5.080200377,456.8479808,
328,5.089357978,456.7157705,
329,5.078974596,456.383731,
330,5.043104222,457.3510264,
331,5.02738955,456.9243789,
332,5.012035765,458.4490669,
333,5.011505095,458.9920902,
334,4.978455817,458.8477734,
335,4.937092543,458.8570932,
336,4.940028781,458.6976581,
337,4.930639892,457.7405146,
338,4.91739129,459.5706397,
339,4.880014651,460.4424366,
340,4.847342039,460.336617,
341,4.849081346,458.0993273,
342,4.803113622,460.3567696,
343,4.780979749,460.02714,
