Time (s),Mass (g),TC Back (K),TC Top (K)
0,12.377,293.1,416.5
1,12.346,293.2,443
2,12.365,293.2,483.8
3,12.372,293.2,511.6
4,12.372,293.2,541.1
5,12.376,293.1,561.6
6,12.351,293.2,580.2
7,12.329,293.2,595.1
8,12.3,293.1,608.9
9,12.257,293.1,620.2
10,12.254,293.2,628.7
11,12.299,293.2,639.1
12,12.279,293.2,639.5
13,12.267,293.2,683.5
14,12.272,293.2,
15,12.278,293.3,
16,12.246,293.2,
17,12.194,293.4,
18,12.185,293.4,
19,12.157,293.4,
20,12.176,293.5,
21,12.187,293.7,
22,12.161,293.9,
23,12.141,293.9,
24,12.08,294.1,
25,12.032,294.3,
26,12.038,294.6,
27,12.001,294.8,
28,11.984,295.2,
29,12.008,295.5,
30,11.965,295.8,
31,11.958,296.3,
32,11.946,296.6,
33,11.891,297.1,
34,11.863,297.6,
35,11.861,298,
36,11.843,298.6,
37,11.825,299.2,
38,11.81,299.8,
39,11.798,300.4,
40,11.773,301.1,
41,11.735,301.7,
42,11.712,302.4,
43,11.692,303.1,
44,11.664,303.8,
45,11.649,304.5,
46,11.606,305.3,
47,11.577,306.2,
48,11.558,306.9,
49,11.558,307.7,
50,11.545,308.7,
51,11.498,309.4,
52,11.484,310.2,
53,11.491,311.1,
54,11.454,312,
55,11.43,312.8,
56,11.385,313.7,
57,11.363,314.6,
58,11.373,315.5,
59,11.359,316.3,
60,11.308,317.3,
61,11.306,318.2,
62,11.301,319.1,
63,11.286,320,
64,11.281,320.8,
65,11.257,321.6,
66,11.259,322.5,
67,11.203,323.5,
68,11.165,324.4,
69,11.131,325.3,
70,11.106,326.2,
71,11.114,327,
72,11.075,328,
73,11.036,328.9,
74,10.998,329.8,
75,11.021,330.6,
76,11.018,331.5,
77,11.015,332.4,
78,10.968,333.3,
79,10.951,334.2,
80,10.963,335,
81,10.933,335.8,
82,10.922,336.7,
83,10.947,337.5,
84,10.877,338.3,
85,10.816,339.2,
86,10.814,340.1,
87,10.776,340.8,
88,10.762,341.6,
89,10.758,342.3,
90,10.766,343.2,
91,10.73,343.8,
92,10.681,344.6,
93,10.681,345.4,
94,10.684,346,
95,10.678,346.8,
96,10.628,347.5,
97,10.575,348.2,
98,10.616,348.9,
99,10.635,349.6,
100,10.592,350.3,
101,10.507,350.9,
102,10.508,351.6,
103,10.502,352.3,
104,10.454,353,
105,10.418,353.6,
106,10.371,354.2,
107,10.361,354.9,
108,10.392,355.5,
109,10.387,356,
110,10.383,356.5,
111,10.367,357.1,
112,10.34,357.7,
113,10.318,358.2,
114,10.3,358.7,
115,10.263,359.1,
116,10.223,359.5,
117,10.22,359.9,
118,10.224,360.2,
119,10.214,360.5,
120,10.198,360.8,
121,10.208,361.2,
122,10.141,361.5,
123,10.094,361.6,
124,10.108,361.8,
125,10.092,362,
126,10.092,362.2,
127,10.075,362.2,
128,10.057,362.3,
129,10.053,362.3,
130,10.015,362.3,
131,10.007,362.1,
132,10.018,362,
133,9.956,361.9,
134,9.91,361.9,
135,9.906,361.8,
136,9.957,361.9,
137,9.918,361.9,
138,9.851,361.9,
139,9.849,361.9,
140,9.836,362.1,
141,9.83,362.2,
142,9.824,362.3,
143,9.769,362.3,
144,9.737,362.5,
145,9.719,362.6,
146,9.735,362.7,
147,9.759,362.9,
148,9.704,363.1,
149,9.671,363.3,
150,9.666,363.5,
151,9.669,363.7,
152,9.661,363.9,
153,9.62,364.1,
154,9.516,364.3,
155,9.576,364.5,
156,9.601,364.7,
157,9.535,365,
158,9.527,365.2,
159,9.518,365.5,
160,9.458,365.7,
161,9.437,366,
162,9.433,366.3,
163,9.425,366.6,
164,9.409,366.9,
165,9.392,367.2,
166,9.387,367.5,
167,9.382,367.9,
168,9.403,368.2,
169,9.379,368.6,
170,9.308,369,
171,9.31,369.3,
172,9.3,369.7,
173,9.247,370.1,
