Time (s),Temperature (K),Heat Flow Rate (W/g)
0,324.5,0.018737128
15.0216,325,0.039892231
24.6138,325.5,0.054849624
32.6586,326,0.069378446
39.6276,326.5,0.081035088
45.813,327,0.091345865
51.5472,327.5,0.101137845
56.9418,328,0.111162907
62.0142,328.5,0.115406015
66.8772,329,0.121739348
71.6124,329.5,0.128142857
76.1406,330,0.133182957
80.592,330.5,0.139634085
84.9252,331,0.14326817
89.1978,331.5,0.148426065
93.3462,332,0.15237594
97.4358,332.5,0.154721805
101.4498,333,0.1579599
105.4374,333.5,0.161977444
109.3566,334,0.164776942
113.2542,334.5,0.168516291
117.0786,335,0.170263158
120.8628,335.5,0.173468672
124.6014,336,0.176912281
128.3352,336.5,0.178679198
132.0486,337,0.180045113
135.7356,337.5,0.182754386
139.374,338,0.183719298
143.0034,338.5,0.188749373
146.5794,339,0.190616541
150.1668,339.5,0.193087719
153.738,340,0.195115288
157.2774,340.5,0.195822055
160.8108,341,0.196586466
164.3028,341.5,0.200012531
167.7558,342,0.202150376
171.2064,342.5,0.20418797
174.6618,343,0.206471178
178.113,343.5,0.206714286
181.53,344,0.209473684
184.9092,344.5,0.211433584
188.3094,345,0.215729323
191.6862,345.5,0.216380952
195.0486,346,0.219077694
198.4092,346.5,0.220734336
201.7398,347,0.22122807
205.0176,347.5,0.224052632
208.3092,348,0.226674185
211.6152,348.5,0.227458647
214.9158,349,0.22856391
218.2368,349.5,0.230724311
221.5284,350,0.233646617
224.7978,350.5,0.232899749
228.0492,351,0.234315789
231.294,351.5,0.236150376
234.5274,352,0.239914787
237.7392,352.5,0.240273183
240.9444,353,0.239799499
244.152,353.5,0.242541353
247.3356,354,0.244807018
250.506,354.5,0.24479198
253.6692,355,0.245619048
256.8258,355.5,0.247082707
259.974,356,0.247120301
263.124,356.5,0.249253133
266.2782,357,0.249125313
269.412,357.5,0.250182957
272.5476,358,0.249666667
275.6664,358.5,0.249994987
278.7678,359,0.252295739
281.871,359.5,0.252441103
284.955,360,0.252867168
288.027,360.5,0.252842105
291.1062,361,0.252541353
294.1686,361.5,0.252498747
297.2334,362,0.253573935
300.2922,362.5,0.253671679
303.3324,363,0.253132832
306.3678,363.5,0.252626566
309.3966,364,0.254092732
312.4272,364.5,0.254874687
315.4572,365,0.255746867
318.4782,365.5,0.255007519
321.4938,366,0.254724311
324.501,366.5,0.255270677
327.5082,367,0.254867168
330.5142,367.5,0.254884712
333.5202,368,0.254513784
336.5178,368.5,0.252729323
339.504,369,0.255441103
342.4818,369.5,0.254401003
345.4458,370,0.252383459
348.4218,370.5,0.252275689
351.3858,371,0.252022556
354.3378,371.5,0.250007519
357.2982,372,0.250385965
360.2376,372.5,0.251233083
363.1896,373,0.25052381
366.153,373.5,0.250155388
369.0912,374,0.248741855
372.0474,374.5,0.249842105
374.9838,375,0.248280702
377.9232,375.5,0.247746867
380.8686,376,0.247827068
383.8134,376.5,0.247333333
386.7528,377,0.247175439
389.6814,377.5,0.244681704
392.6124,378,0.246283208
395.5434,378.5,0.245486216
398.4612,379,0.244581454
401.3808,379.5,0.245491228
404.3112,380,0.245378446
407.2032,380.5,0.242561404
410.1216,381,0.242112782
413.0334,381.5,0.243288221
415.9392,382,0.241496241
418.8672,382.5,0.242426065
421.7868,383,0.243849624
424.7022,383.5,0.243498747
427.614,384,0.242192982
430.5348,384.5,0.243493734
433.4418,385,0.243305764
436.3512,385.5,0.241340852
439.2726,386,0.242080201
442.1766,386.5,0.241077694
445.0842,387,0.242160401
447.9858,387.5,0.239954887
450.888,388,0.240842105
453.789,388.5,0.242867168
456.6822,389,0.241889724
459.5844,389.5,0.242418546
462.474,390,0.242894737
465.363,390.5,0.243102757
468.258,391,0.243055138
471.1578,391.5,0.241223058
474.0672,392,0.240819549
476.9646,392.5,0.242947368
479.8698,393,0.241390977
482.7582,393.5,0.241711779
485.6478,394,0.244320802
488.5434,394.5,0.244674185
491.4348,395,0.245035088
494.3286,395.5,0.244531328
497.2236,396,0.245032581
500.1066,396.5,0.245052632
502.9806,397,0.245080201
505.8624,397.5,0.245057644
508.7334,398,0.243899749
511.5948,398.5,0.246481203
514.446,399,0.245884712
517.329,399.5,0.245150376
520.1976,400,0.245308271
523.0734,400.5,0.248704261
525.9798,401,0.24881203
528.8622,401.5,0.248017544
531.7278,402,0.248701754
534.603,402.5,0.248057644
537.4662,403,0.250052632
540.3264,403.5,0.250994987
543.1842,404,0.251120301
546.0588,404.5,0.251636591
548.9232,405,0.252997494
551.7924,405.5,0.251952381
554.6466,406,0.252947368
557.499,406.5,0.252573935
560.3622,407,0.253854637
563.2116,407.5,0.25614787
566.0748,408,0.255045113
568.9236,408.5,0.254230576
