wavenumber (cm-1),reflectivity (-)
600.0,0.288
601.0,0.288
602.0,0.288
603.0,0.289
604.0,0.29
605.0,0.291
606.0,0.292
607.0,0.292
608.0,0.292
609.0,0.292
610.0,0.292
611.0,0.292
612.0,0.292
613.0,0.293
614.0,0.294
615.0,0.294
616.0,0.294
617.0,0.294
618.0,0.294
619.0,0.294
620.0,0.293
621.0,0.294
622.0,0.294
623.0,0.295
624.0,0.296
625.0,0.297
626.0,0.298
627.0,0.298
628.0,0.298
629.0,0.298
630.0,0.297
631.0,0.297
632.0,0.297
633.0,0.297
634.0,0.297
635.0,0.298
636.0,0.298
637.0,0.299
638.0,0.299
639.0,0.299
640.0,0.3
641.0,0.301
642.0,0.301
643.0,0.302
644.0,0.303
645.0,0.304
646.0,0.305
647.0,0.306
648.0,0.306
649.0,0.307
650.0,0.307
651.0,0.307
652.0,0.306
653.0,0.307
654.0,0.307
655.0,0.307
656.0,0.307
657.0,0.307
658.0,0.307
659.0,0.307
660.0,0.307
661.0,0.306
662.0,0.306
663.0,0.306
664.0,0.307
665.0,0.308
666.0,0.31
667.0,0.314
668.0,0.317
669.0,0.318
670.0,0.317
671.0,0.314
672.0,0.312
673.0,0.311
674.0,0.311
675.0,0.31
676.0,0.31
677.0,0.31
678.0,0.31
679.0,0.31
680.0,0.311
681.0,0.312
682.0,0.312
683.0,0.312
684.0,0.311
685.0,0.311
686.0,0.31
687.0,0.309
688.0,0.308
689.0,0.307
690.0,0.307
691.0,0.307
692.0,0.307
693.0,0.307
694.0,0.307
695.0,0.306
696.0,0.305
697.0,0.305
698.0,0.305
699.0,0.305
700.0,0.305
701.0,0.305
702.0,0.304
703.0,0.304
704.0,0.304
705.0,0.304
706.0,0.304
707.0,0.305
708.0,0.305
709.0,0.306
710.0,0.307
711.0,0.308
712.0,0.308
713.0,0.308
714.0,0.308
715.0,0.308
716.0,0.308
717.0,0.309
718.0,0.309
719.0,0.309
720.0,0.308
721.0,0.308
722.0,0.307
723.0,0.306
724.0,0.305
725.0,0.304
726.0,0.303
727.0,0.302
728.0,0.301
729.0,0.3
730.0,0.299
731.0,0.298
732.0,0.296
733.0,0.295
734.0,0.293
735.0,0.291
736.0,0.29
737.0,0.289
738.0,0.288
739.0,0.287
740.0,0.286
741.0,0.285
742.0,0.284
743.0,0.283
744.0,0.282
745.0,0.282
746.0,0.281
747.0,0.281
748.0,0.28
749.0,0.28
750.0,0.279
751.0,0.278
752.0,0.277
753.0,0.277
754.0,0.276
755.0,0.275
756.0,0.275
757.0,0.275
758.0,0.275
759.0,0.275
760.0,0.275
761.0,0.275
762.0,0.275
763.0,0.275
764.0,0.276
765.0,0.276
766.0,0.276
