Time,Mass (g),HRRPUA (kW/m2)
0.0,103.1,5.4
1.0,103.09,6.9
2.0,103.13,8.1
3.0,103.09,8.5
4.0,103.05,8.5
5.0,103.03,8.5
6.0,103.04,8.7
7.0,103.01,8.3
8.0,103.01,7.9
9.0,102.99,7.4
10.0,102.98,6.9
11.0,102.95,6.5
12.0,102.93,5.8
13.0,102.91,5.3
14.0,102.87,4.8
15.0,102.85,4.4
16.0,102.83,3.9
17.0,102.79,3.5
18.0,102.78,3.4
19.0,102.77,3.3
20.0,102.74,3.2
21.0,102.74,3.2
22.0,102.75,3.2
23.0,102.73,3.1
24.0,102.73,3.1
25.0,102.72,3.1
26.0,102.73,3.1
27.0,102.71,3.1
28.0,102.7,3.1
29.0,102.69,3.1
30.0,102.67,3.1
31.0,102.66,3.1
32.0,102.63,2.6
33.0,102.63,2.4
34.0,102.61,1.9
35.0,102.59,1.4
36.0,102.57,1.3
37.0,102.56,1.4
38.0,102.55,1.6
39.0,102.54,1.6
40.0,102.52,1.7
41.0,102.5,2.1
42.0,102.49,3.4
43.0,102.49,4.2
44.0,102.48,4.8
45.0,102.46,5.1
46.0,102.45,5.1
47.0,102.43,4.6
48.0,102.42,4.1
49.0,102.39,3.8
50.0,102.37,3.6
51.0,102.37,3.4
52.0,102.35,3.2
53.0,102.3,3.3
54.0,102.28,3.2
55.0,102.26,3.1
56.0,102.24,3.6
57.0,102.23,4.4
58.0,102.2,4.8
59.0,102.19,5.3
60.0,102.17,6.0
61.0,102.16,6.4
62.0,102.15,6.5
63.0,102.17,6.4
64.0,102.15,6.4
65.0,102.15,7.0
66.0,102.14,7.8
67.0,102.14,8.8
68.0,102.12,9.5
69.0,102.12,10.1
70.0,102.12,10.3
71.0,102.1,11.0
72.0,102.08,11.4
73.0,102.07,11.7
74.0,102.05,11.7
75.0,102.06,11.9
76.0,102.04,11.9
77.0,102.03,11.9
78.0,102.02,12.1
79.0,102.01,11.6
80.0,101.99,11.4
81.0,101.98,10.8
82.0,101.96,10.3
83.0,101.95,9.9
84.0,101.94,9.7
85.0,101.92,9.7
86.0,101.9,9.9
87.0,101.89,10.2
88.0,101.88,10.9
89.0,101.85,11.0
90.0,101.84,11.9
91.0,101.84,12.5
92.0,101.81,13.1
93.0,101.79,13.3
94.0,101.72,13.9
95.0,101.69,13.7
96.0,101.68,13.7
97.0,101.67,13.5
98.0,101.65,13.6
99.0,101.64,13.5
100.0,101.62,13.6
101.0,101.63,14.0
102.0,101.64,14.2
103.0,101.62,14.5
104.0,101.63,14.8
105.0,101.62,15.1
106.0,101.6,15.1
107.0,101.59,15.5
108.0,101.58,16.3
109.0,101.57,16.3
110.0,101.54,16.5
111.0,101.53,16.7
112.0,101.52,16.5
113.0,101.5,16.2
114.0,101.48,16.0
115.0,101.47,15.9
116.0,101.45,15.7
117.0,101.43,15.5
118.0,101.42,15.1
119.0,101.4,14.9
120.0,101.39,14.2
121.0,101.37,13.7
122.0,101.35,13.0
123.0,101.33,12.6
124.0,101.32,12.3
125.0,101.3,12.3
126.0,101.27,11.6
127.0,101.26,10.9
128.0,101.23,10.6
129.0,101.2,10.3
130.0,101.18,9.6
131.0,101.15,9.2
132.0,101.13,8.8
133.0,101.1,8.6
134.0,101.05,8.4
135.0,100.82,8.4
136.0,100.9,8.7
137.0,100.89,8.8
138.0,100.77,9.0
139.0,100.71,9.1
140.0,100.64,9.1
141.0,100.57,9.1
142.0,100.45,9.1
143.0,100.35,9.1
144.0,100.24,9.0
145.0,100.13,9.7
146.0,100.02,13.3
147.0,99.9,20.8
148.0,99.79,31.0
149.0,99.7,42.9
150.0,99.6,58.8
151.0,99.51,75.3
152.0,99.41,89.3
153.0,99.29,107.1
154.0,99.19,119.7
155.0,99.1,133.3
156.0,99.0,145.9
157.0,98.86,154.1
158.0,98.77,164.3
159.0,98.68,170.5
160.0,98.57,175.0
161.0,98.48,174.2
162.0,98.37,176.9
163.0,98.27,179.7
164.0,98.17,177.9
165.0,98.07,177.2
166.0,97.99,177.0
