Time (s),Temperature (K),Heat Flow Rate (W/g)
0,324.5,0.024
17.109,325,0.048
27.369,325.5,0.063
35.6106,326,0.079
42.7338,326.5,0.09
49.0644,327,0.102
54.909,327.5,0.112
60.3648,328,0.12
65.5602,328.5,0.125
70.4958,329,0.133
75.2352,329.5,0.14
79.8192,330,0.144
84.3222,330.5,0.15
88.704,331,0.155
92.9862,331.5,0.16
97.1592,332,0.165
101.22,332.5,0.168
105.2154,333,0.172
109.212,333.5,0.174
113.1858,334,0.178
117.1458,334.5,0.18
121.0146,335,0.181
124.8114,335.5,0.185
128.5836,336,0.189
132.3414,336.5,0.189
136.086,337,0.192
139.7994,337.5,0.194
143.4534,338,0.196
147.0882,338.5,0.199
150.7068,339,0.201
154.2936,339.5,0.202
157.8606,340,0.204
161.3964,340.5,0.206
164.9196,341,0.21
168.4416,341.5,0.21
171.9426,342,0.211
175.4046,342.5,0.214
178.8612,343,0.215
182.2836,343.5,0.216
185.7072,344,0.219
189.1248,344.5,0.219
192.5382,345,0.222
195.9222,345.5,0.223
199.2984,346,0.225
202.6518,346.5,0.227
205.9812,347,0.229
209.3082,347.5,0.23
212.6298,348,0.232
215.9244,348.5,0.233
219.2184,349,0.236
222.4938,349.5,0.237
225.7398,350,0.239
229.002,350.5,0.24
232.2378,351,0.242
235.4838,351.5,0.245
238.6896,352,0.244
241.9104,352.5,0.246
245.1264,353,0.248
248.3094,353.5,0.249
251.5386,354,0.249
254.6922,354.5,0.251
257.832,355,0.252
260.9982,355.5,0.255
264.1656,356,0.257
267.3258,356.5,0.256
270.498,357,0.257
273.6492,357.5,0.258
276.7638,358,0.261
279.8958,358.5,0.26
283.0188,359,0.26
286.1202,359.5,0.261
289.2096,360,0.263
292.3008,360.5,0.263
295.3782,361,0.265
298.4364,361.5,0.266
301.5084,362,0.265
304.551,362.5,0.266
307.593,363,0.268
310.6464,363.5,0.268
313.695,364,0.267
316.7358,364.5,0.268
319.7712,365,0.269
322.7952,365.5,0.269
325.8024,366,0.27
328.8144,366.5,0.269
331.8114,367,0.27
334.8144,367.5,0.27
337.8234,368,0.272
340.7916,368.5,0.272
343.7892,369,0.273
346.7694,369.5,0.272
349.7394,370,0.273
352.7052,370.5,0.271
355.6692,371,0.272
358.6446,371.5,0.272
361.5942,372,0.271
364.59,372.5,0.272
367.5432,373,0.273
370.5018,373.5,0.273
373.4634,374,0.274
376.4154,374.5,0.273
379.3416,375,0.273
382.2852,375.5,0.271
385.2294,376,0.274
388.176,376.5,0.272
391.1442,377,0.274
394.1094,377.5,0.274
397.0452,378,0.275
399.978,378.5,0.274
402.8958,379,0.274
405.8088,379.5,0.274
408.7098,380,0.273
411.6234,380.5,0.275
414.549,381,0.275
417.4704,381.5,0.276
420.3966,382,0.275
423.315,382.5,0.275
426.2298,383,0.274
429.132,383.5,0.274
432.0432,384,0.274
434.9604,384.5,0.275
437.8584,385,0.275
440.769,385.5,0.274
443.6754,386,0.275
446.5746,386.5,0.276
449.4588,387,0.273
452.361,387.5,0.276
455.2662,388,0.274
458.1876,388.5,0.275
461.1234,389,0.277
464.0508,389.5,0.275
466.968,390,0.275
469.8636,390.5,0.276
472.7616,391,0.278
475.6668,391.5,0.278
478.5672,392,0.277
481.4712,392.5,0.277
484.3818,393,0.277
487.2876,393.5,0.277
490.1814,394,0.277
493.083,394.5,0.277
495.9678,395,0.277
498.8514,395.5,0.277
501.744,396,0.278
504.63,396.5,0.279
507.5106,397,0.279
510.3864,397.5,0.278
513.2658,398,0.28
516.141,398.5,0.28
519.024,399,0.279
521.9022,399.5,0.279
524.7786,400,0.28
527.6562,400.5,0.28
530.5332,401,0.28
533.4144,401.5,0.283
