Time (s),Temperature (K),Heat Flow Rate (W/g)
0,325.0,5.37E-03
11.0946,325.5,3.42E-02
17.5674,326.0,5.98E-02
22.4322,326.5,8.14E-02
26.5146,327.0,1.01E-01
30.0996,327.5,1.19E-01
33.2916,328.0,1.37E-01
36.2526,328.5,1.51E-01
39.0438,329.0,1.67E-01
41.6352,329.5,1.82E-01
44.0814,330.0,1.95E-01
46.383,330.5,2.08E-01
48.5784,331.0,2.18E-01
50.7072,331.5,2.30E-01
52.8204,332.0,2.41E-01
54.8514,332.5,2.53E-01
56.7996,333.0,2.63E-01
58.6908,333.5,2.73E-01
60.5274,334.0,2.82E-01
62.3316,334.5,2.91E-01
64.0896,335.0,3.00E-01
65.8224,335.5,3.10E-01
67.5054,336.0,3.18E-01
69.162,336.5,3.25E-01
70.7844,337.0,3.36E-01
72.3954,337.5,3.43E-01
73.9782,338.0,3.50E-01
75.5448,338.5,3.58E-01
77.0778,339.0,3.66E-01
78.5694,339.5,3.71E-01
80.0622,340.0,3.78E-01
81.5424,340.5,3.85E-01
83.0208,341.0,3.92E-01
84.492,341.5,4.00E-01
85.9284,342.0,4.04E-01
87.3534,342.5,4.11E-01
88.7694,343.0,4.16E-01
90.1686,343.5,4.24E-01
91.5594,344.0,4.28E-01
92.9412,344.5,4.35E-01
94.3062,345.0,4.42E-01
95.6664,345.5,4.48E-01
97.02,346.0,4.54E-01
98.3526,346.5,4.56E-01
99.6846,347.0,4.63E-01
101.007,347.5,4.71E-01
102.3174,348.0,4.74E-01
103.6254,348.5,4.81E-01
104.922,349.0,4.85E-01
106.2126,349.5,4.90E-01
107.5002,350.0,4.93E-01
108.7782,350.5,5.00E-01
110.049,351.0,5.04E-01
111.3132,351.5,5.08E-01
112.5684,352.0,5.13E-01
113.8206,352.5,5.17E-01
115.0734,353.0,5.21E-01
116.3124,353.5,5.25E-01
117.5532,354.0,5.29E-01
118.776,354.5,5.35E-01
120.0048,355.0,5.38E-01
121.23,355.5,5.42E-01
122.4528,356.0,5.44E-01
123.663,356.5,5.49E-01
124.8738,357.0,5.53E-01
126.0756,357.5,5.58E-01
127.2756,358.0,5.62E-01
128.4708,358.5,5.67E-01
129.6624,359.0,5.69E-01
130.8498,359.5,5.73E-01
132.0342,360.0,5.77E-01
133.2108,360.5,5.82E-01
134.3808,361.0,5.86E-01
135.5472,361.5,5.89E-01
136.7124,362.0,5.92E-01
137.8662,362.5,5.98E-01
139.0206,363.0,6.00E-01
140.178,363.5,6.03E-01
141.3342,364.0,6.09E-01
142.4778,364.5,6.11E-01
143.622,365.0,6.15E-01
144.7566,365.5,6.16E-01
145.8852,366.0,6.20E-01
147.0114,366.5,6.24E-01
148.1448,367.0,6.27E-01
149.2686,367.5,6.31E-01
150.4026,368.0,6.35E-01
151.53,368.5,6.37E-01
152.6562,369.0,6.39E-01
153.7722,369.5,6.44E-01
154.89,370.0,6.46E-01
155.9988,370.5,6.48E-01
157.1106,371.0,6.52E-01
158.217,371.5,6.53E-01
159.3276,372.0,6.57E-01
160.4328,372.5,6.60E-01
161.5386,373.0,6.64E-01
162.6396,373.5,6.66E-01
163.7388,374.0,6.65E-01
164.8368,374.5,6.69E-01
165.9342,375.0,6.74E-01
167.0226,375.5,6.75E-01
168.1128,376.0,6.75E-01
169.1988,376.5,6.79E-01
170.2794,377.0,6.81E-01
171.3582,377.5,6.82E-01
172.434,378.0,6.86E-01
173.5158,378.5,6.88E-01
174.5958,379.0,6.89E-01
175.671,379.5,6.89E-01
176.7504,380.0,6.91E-01
177.8334,380.5,6.91E-01
178.9032,381.0,6.93E-01
179.9784,381.5,6.95E-01
181.0548,382.0,6.93E-01
182.1222,382.5,6.96E-01
183.1884,383.0,6.99E-01
184.2588,383.5,6.98E-01
185.3208,384.0,6.98E-01
186.384,384.5,7.01E-01
187.4436,385.0,7.01E-01
188.5026,385.5,7.00E-01
189.5562,386.0,7.01E-01
190.6158,386.5,7.02E-01
191.6742,387.0,7.06E-01
192.735,387.5,7.07E-01
193.7934,388.0,7.08E-01
194.8392,388.5,7.08E-01
195.8916,389.0,7.11E-01
196.9428,389.5,7.11E-01
197.9892,390.0,7.11E-01
199.0362,390.5,7.11E-01
200.094,391.0,7.12E-01
201.144,391.5,7.10E-01
202.1868,392.0,7.11E-01
203.22,392.5,7.12E-01
204.261,393.0,7.14E-01
205.299,393.5,7.13E-01
206.3316,394.0,7.13E-01
207.3654,394.5,7.13E-01
208.4022,395.0,7.14E-01
209.4372,395.5,7.14E-01
210.4686,396.0,7.14E-01
211.5012,396.5,7.14E-01
212.529,397.0,7.15E-01
213.5598,397.5,7.17E-01
214.59,398.0,7.16E-01
215.6136,398.5,7.13E-01
216.636,399.0,7.17E-01
217.6572,399.5,7.16E-01
218.6754,400.0,7.14E-01
219.6924,400.5,7.16E-01
220.7124,401.0,7.17E-01
221.7282,401.5,7.20E-01
222.7452,402.0,7.20E-01
223.7616,402.5,7.20E-01
224.7726,403.0,7.22E-01
225.7818,403.5,7.20E-01
226.7916,404.0,7.20E-01
227.7978,404.5,7.21E-01
228.8016,405.0,7.25E-01
229.8054,405.5,7.25E-01
230.8068,406.0,7.25E-01
231.81,406.5,7.26E-01
232.8084,407.0,7.26E-01
233.8098,407.5,7.28E-01
234.8124,408.0,7.27E-01
235.8048,408.5,7.29E-01
236.8032,409.0,7.30E-01
237.7968,409.5,7.30E-01
238.794,410.0,7.30E-01
239.781,410.5,7.32E-01
240.7746,411.0,7.35E-01
241.7646,411.5,7.37E-01
242.754,412.0,7.38E-01
243.744,412.5,7.37E-01
244.7316,413.0,7.37E-01
245.715,413.5,7.39E-01
246.7044,414.0,7.40E-01
247.6914,414.5,7.42E-01
248.6742,415.0,7.44E-01
249.6552,415.5,7.44E-01
250.6392,416.0,7.45E-01
251.6202,416.5,7.47E-01
252.5946,417.0,7.49E-01
253.5678,417.5,7.52E-01
254.5422,418.0,7.51E-01
255.5184,418.5,7.52E-01
256.491,419.0,7.53E-01
257.466,419.5,7.56E-01
258.4404,420.0,7.57E-01
259.4136,420.5,7.58E-01
260.3844,421.0,7.59E-01
261.3546,421.5,7.61E-01
262.3254,422.0,7.62E-01
263.2908,422.5,7.65E-01
264.2586,423.0,7.66E-01
265.224,423.5,7.67E-01
266.1858,424.0,7.69E-01
267.1446,424.5,7.71E-01
268.1082,425.0,7.73E-01
269.0748,425.5,7.75E-01
270.0384,426.0,7.76E-01
271.0038,426.5,7.75E-01
271.968,427.0,7.80E-01
272.9292,427.5,7.82E-01
273.8892,428.0,7.82E-01
274.8456,428.5,7.82E-01
275.802,429.0,7.84E-01
276.759,429.5,7.87E-01
277.7178,430.0,7.91E-01
278.6742,430.5,7.94E-01
279.6318,431.0,7.95E-01
280.5876,431.5,7.95E-01
281.5422,432.0,7.96E-01
282.4974,432.5,7.98E-01
283.4502,433.0,8.02E-01
284.4018,433.5,8.02E-01
285.3516,434.0,8.02E-01
286.305,434.5,8.05E-01
287.2572,435.0,8.07E-01
288.2058,435.5,8.08E-01
289.158,436.0,8.10E-01
290.1054,436.5,8.12E-01
291.0558,437.0,8.11E-01
292.0068,437.5,8.16E-01
292.953,438.0,8.17E-01
293.9022,438.5,8.17E-01
294.8496,439.0,8.20E-01
295.8012,439.5,8.22E-01
296.7462,440.0,8.26E-01
297.6906,440.5,8.26E-01
298.6374,441.0,8.30E-01
299.583,441.5,8.31E-01
300.5262,442.0,8.32E-01
301.4676,442.5,8.35E-01
302.4132,443.0,8.37E-01
303.357,443.5,8.40E-01
304.2996,444.0,8.42E-01
305.241,444.5,8.45E-01
306.183,445.0,8.47E-01
307.1244,445.5,8.46E-01
308.0622,446.0,8.49E-01
308.997,446.5,8.50E-01
309.9276,447.0,8.53E-01
310.8654,447.5,8.53E-01
311.799,448.0,8.56E-01
312.7314,448.5,8.60E-01
313.6674,449.0,8.62E-01
314.6052,449.5,8.63E-01
315.5454,450.0,8.64E-01
316.4778,450.5,8.66E-01
317.4126,451.0,8.68E-01
318.3462,451.5,8.72E-01
319.2792,452.0,8.74E-01
320.2122,452.5,8.76E-01
321.1416,453.0,8.80E-01
322.065,453.5,8.82E-01
322.9962,454.0,8.87E-01
323.9238,454.5,8.86E-01
324.8526,455.0,8.89E-01
325.7796,455.5,8.91E-01
326.7096,456.0,8.94E-01
327.6438,456.5,8.96E-01
328.5666,457.0,8.97E-01
329.4918,457.5,8.97E-01
330.4158,458.0,8.99E-01
331.3374,458.5,9.01E-01
332.2614,459.0,9.03E-01
333.1854,459.5,9.05E-01
334.101,460.0,9.08E-01
335.0214,460.5,9.11E-01
