Time,Mass (g),HRRPUA (kW/m2)
0.0,89.95,1.0
1.0,89.66,0.9
2.0,89.83,0.9
3.0,89.67,1.3
4.0,89.74,1.5
5.0,89.71,1.9
6.0,89.67,2.6
7.0,89.64,3.4
8.0,89.64,4.3
9.0,89.62,5.3
10.0,89.62,6.3
11.0,89.61,7.0
12.0,89.6,7.3
13.0,89.59,7.9
14.0,89.57,8.5
15.0,89.57,8.8
16.0,89.58,9.2
17.0,89.55,9.5
18.0,89.6,9.9
19.0,89.57,10.2
20.0,89.55,10.7
21.0,89.58,11.6
22.0,89.57,13.2
23.0,89.58,14.1
24.0,89.55,15.0
25.0,89.48,14.6
26.0,89.51,13.3
27.0,89.5,12.3
28.0,89.52,10.8
29.0,89.5,9.7
30.0,89.48,8.4
31.0,89.49,7.7
32.0,89.47,7.2
33.0,89.45,7.3
34.0,89.43,7.8
35.0,89.43,9.4
36.0,89.41,10.4
37.0,89.41,11.0
38.0,89.39,11.3
39.0,89.37,11.2
40.0,89.37,10.5
41.0,89.36,10.0
42.0,89.33,9.1
43.0,89.34,8.5
44.0,89.3,8.2
45.0,89.24,8.0
46.0,89.22,8.1
47.0,89.2,8.3
48.0,89.2,8.1
49.0,89.2,7.6
50.0,89.18,7.4
51.0,89.16,6.9
52.0,89.15,6.4
53.0,89.2,6.2
54.0,89.18,5.9
55.0,89.2,5.5
56.0,89.18,4.9
57.0,89.18,4.3
58.0,89.16,4.0
59.0,89.14,3.9
60.0,89.1,3.8
61.0,89.11,3.7
62.0,89.13,3.7
63.0,89.12,3.7
64.0,89.1,4.0
65.0,89.09,4.2
66.0,89.07,4.5
67.0,89.06,4.8
68.0,89.05,5.2
69.0,89.03,5.1
70.0,89.02,4.9
71.0,89.0,4.8
72.0,88.99,4.7
73.0,88.99,4.7
74.0,88.96,4.6
75.0,88.95,4.6
76.0,88.95,4.9
77.0,88.93,5.8
78.0,88.92,7.0
79.0,88.9,8.0
80.0,88.89,9.0
81.0,88.88,9.5
82.0,88.8,9.8
83.0,88.77,9.7
84.0,88.78,9.2
85.0,88.76,8.4
86.0,88.75,8.0
87.0,88.73,7.4
88.0,88.73,6.8
89.0,88.7,6.5
90.0,88.68,5.9
91.0,88.65,5.5
92.0,88.62,5.3
93.0,88.55,4.7
94.0,88.45,4.5
95.0,88.37,4.3
96.0,88.27,4.1
97.0,88.13,3.6
98.0,88.0,3.3
99.0,87.88,3.1
100.0,87.77,3.0
101.0,87.66,3.1
102.0,87.43,4.1
103.0,87.42,8.9
104.0,87.32,20.8
105.0,87.14,38.9
106.0,86.99,57.3
107.0,86.99,78.8
108.0,86.88,106.2
109.0,86.82,118.7
110.0,86.7,138.4
111.0,86.6,153.5
112.0,86.49,166.6
113.0,86.39,173.9
114.0,86.3,177.5
115.0,86.24,180.6
116.0,86.13,186.4
117.0,86.06,189.3
118.0,85.98,189.6
119.0,85.87,188.3
120.0,85.73,179.7
121.0,85.66,181.4
122.0,85.56,183.2
123.0,85.52,176.3
124.0,85.43,173.8
125.0,85.38,165.2
126.0,85.32,160.5
127.0,85.3,156.0
128.0,85.23,152.1
129.0,85.18,149.6
130.0,85.11,145.5
131.0,85.04,143.2
132.0,84.98,141.0
133.0,84.89,137.3
134.0,84.84,134.1
135.0,84.79,133.1
136.0,84.73,131.8
137.0,84.66,125.4
138.0,84.58,124.9
139.0,84.52,123.3
140.0,84.44,120.6
141.0,84.39,117.5
142.0,84.32,115.4
143.0,84.26,113.7
144.0,84.21,113.2
145.0,84.14,110.6
146.0,84.09,110.2
147.0,84.04,109.7
148.0,83.98,107.7
149.0,83.91,107.2
150.0,83.86,105.6
151.0,83.78,104.8
152.0,83.71,102.7
153.0,83.59,99.2
154.0,83.53,97.3
155.0,83.5,97.8
156.0,83.46,96.6
157.0,83.41,96.3
158.0,83.36,94.4
159.0,83.3,92.6
160.0,83.33,92.1
161.0,83.28,92.2
162.0,83.23,91.7
163.0,83.15,91.2
164.0,83.12,91.1
165.0,83.08,90.5
166.0,83.03,89.5
167.0,82.97,88.9
168.0,82.93,89.7
169.0,82.89,89.4
170.0,82.85,86.8
171.0,82.8,85.4
172.0,82.76,84.0
173.0,82.72,83.3
174.0,82.66,80.7
175.0,82.63,79.5
176.0,82.58,81.5
177.0,82.53,78.2
178.0,82.49,77.5
179.0,82.46,76.1
180.0,82.42,75.5
181.0,82.39,75.7
182.0,82.34,72.8
183.0,82.28,73.8
184.0,82.2,72.2
185.0,82.17,70.9
186.0,82.13,70.2
187.0,82.1,69.1
188.0,81.98,68.1
189.0,81.93,68.5
190.0,81.88,68.4
191.0,81.85,66.6
192.0,81.81,65.3
193.0,81.78,65.9
194.0,81.75,65.4
195.0,81.72,65.2
196.0,81.68,65.3
197.0,81.68,64.7
198.0,81.64,63.9
199.0,81.62,64.6
200.0,81.57,63.9
201.0,81.54,63.3
202.0,81.5,63.8
203.0,81.46,62.7
204.0,81.42,62.7
205.0,81.39,63.7
206.0,81.34,63.5
207.0,81.31,61.9
208.0,81.27,61.5
209.0,81.22,61.7
210.0,81.18,61.7
211.0,81.15,61.4
212.0,81.11,61.7
213.0,81.08,60.7
214.0,81.04,60.7
215.0,80.97,60.4
216.0,80.95,60.1
217.0,80.92,59.3
218.0,80.89,59.8
219.0,80.87,60.2
220.0,80.85,58.8
221.0,80.71,58.9
222.0,80.46,58.2
223.0,80.56,57.9
224.0,80.64,58.2
225.0,80.53,57.7
226.0,80.51,57.0
227.0,80.47,58.1
228.0,80.4,56.7
229.0,80.34,56.3
230.0,80.32,57.1
231.0,80.3,56.3
232.0,80.29,56.6
233.0,80.26,56.7
234.0,80.22,55.8
235.0,80.22,55.9
236.0,80.18,55.4
237.0,80.16,55.1
238.0,80.1,55.6
239.0,80.08,57.1
240.0,80.04,54.8
241.0,80.01,56.5
242.0,79.96,55.9
243.0,79.92,56.6
244.0,79.88,55.6
245.0,79.84,56.3
246.0,79.78,55.8
247.0,79.76,55.2
248.0,79.74,55.6
249.0,79.68,56.5
250.0,79.66,55.3
251.0,79.61,57.1
252.0,79.56,57.0
253.0,79.54,56.5
254.0,79.5,56.4
255.0,79.45,56.3
256.0,79.43,56.3
257.0,79.36,56.5
258.0,79.31,56.8
259.0,79.28,56.8
260.0,79.24,57.0
261.0,79.18,57.5
262.0,79.12,56.3
263.0,79.08,57.4
264.0,79.03,57.5
265.0,79.0,57.0
266.0,78.96,57.3
267.0,78.93,57.1
268.0,78.92,56.4
269.0,78.87,57.3
270.0,78.85,57.1
271.0,78.82,57.4
272.0,78.79,57.1
273.0,78.75,57.2
274.0,78.74,57.9
275.0,78.7,57.7
276.0,78.64,58.2
277.0,78.61,57.9
278.0,78.56,58.4
279.0,78.52,58.4
280.0,78.48,58.4
281.0,78.44,58.2
282.0,78.4,56.8
283.0,78.38,58.1
284.0,78.34,58.6
285.0,78.29,58.8
286.0,78.26,59.1
287.0,78.21,60.2
288.0,78.19,60.4
289.0,78.15,59.1
290.0,78.11,59.5
291.0,78.05,58.7
292.0,78.01,59.7
293.0,77.96,59.5
294.0,77.93,60.4
295.0,77.9,59.3
296.0,77.86,60.3
297.0,77.82,60.1
298.0,77.77,59.9
299.0,77.73,59.1
300.0,77.68,59.3
301.0,77.64,61.2
302.0,77.59,59.1
303.0,77.57,59.8
304.0,77.48,59.7
305.0,77.45,60.2
306.0,77.37,60.7
307.0,77.33,60.0
308.0,77.27,61.3
309.0,77.22,61.8
310.0,77.2,61.3
311.0,77.15,60.6
312.0,77.11,60.5
313.0,77.08,59.7
314.0,77.05,59.6
315.0,77.03,58.7
316.0,77.0,59.0
317.0,76.98,58.8
318.0,76.95,58.0
319.0,76.91,58.0
320.0,76.88,57.6
321.0,76.84,58.1
322.0,76.79,58.9
323.0,76.75,58.8
324.0,76.72,59.1
325.0,76.68,60.0
326.0,76.64,59.6
327.0,76.59,59.2
328.0,76.55,59.2
329.0,76.52,59.4
330.0,76.47,59.9
331.0,76.43,59.4
332.0,76.4,59.4
333.0,76.35,59.1
334.0,76.31,59.6
335.0,76.28,60.0
336.0,76.23,59.9
337.0,76.21,57.8
338.0,76.17,58.5
339.0,76.13,58.7
340.0,76.09,58.0
341.0,76.04,58.8
342.0,76.02,57.2
343.0,75.98,57.4
344.0,75.93,56.6
345.0,75.88,57.9
346.0,75.86,57.1
347.0,75.8,58.1
348.0,75.69,58.2
349.0,75.64,57.0
350.0,75.61,58.1
351.0,75.56,56.5
352.0,75.51,56.7
353.0,75.49,57.2
354.0,75.45,57.6
355.0,75.47,56.6
356.0,75.44,56.9
357.0,75.42,55.6
358.0,75.39,55.5
359.0,75.35,55.7
360.0,75.31,55.4
361.0,75.27,55.3
362.0,75.22,55.1
363.0,75.18,55.3
364.0,75.14,54.8
365.0,75.12,54.4
366.0,75.09,54.2
367.0,75.03,54.4
368.0,74.99,54.5
369.0,74.95,53.3
370.0,74.9,54.2
371.0,74.87,53.9
372.0,74.83,53.2
373.0,74.8,54.8
374.0,74.76,54.0
375.0,74.71,53.3
376.0,74.68,52.7
377.0,74.65,53.7
378.0,74.61,54.4
379.0,74.57,52.7
380.0,74.52,53.1
381.0,74.5,52.8
382.0,74.46,52.9
383.0,74.43,52.9
384.0,74.3,53.0
385.0,74.26,53.2
386.0,74.22,53.5
387.0,74.19,53.3
388.0,74.14,53.3
389.0,74.11,53.9
390.0,74.06,53.0
391.0,74.03,53.7
392.0,73.99,54.2
393.0,73.96,54.0
394.0,73.94,54.3
395.0,73.89,54.4
396.0,73.86,54.2
397.0,73.83,53.5
398.0,73.86,54.6
399.0,73.79,54.1
400.0,73.78,54.4
401.0,73.74,53.1
402.0,73.72,53.8
403.0,73.67,53.9
404.0,73.63,53.8
405.0,73.58,53.6
406.0,73.54,53.6
407.0,73.51,53.2
408.0,73.49,53.7
409.0,73.43,52.7
410.0,73.39,52.7
411.0,73.36,52.6
412.0,73.32,51.9
413.0,73.29,52.3
414.0,73.24,52.5
415.0,73.22,53.0
416.0,73.19,52.9
417.0,73.15,52.3
418.0,73.1,52.5
419.0,73.08,52.4
420.0,73.04,52.6
421.0,72.99,51.9
422.0,72.96,51.6
423.0,72.93,51.5
424.0,72.89,51.2
425.0,72.85,51.2
426.0,72.81,51.1
427.0,72.78,50.3
428.0,72.73,50.2
429.0,72.69,51.0
430.0,72.65,50.8
431.0,72.62,51.1
432.0,72.6,50.4
433.0,72.53,51.5
434.0,72.48,50.4
435.0,72.43,50.2
436.0,72.4,50.6
437.0,72.35,51.2
438.0,72.3,50.5
439.0,72.27,51.4
440.0,72.22,50.6
441.0,72.21,50.0
442.0,72.17,50.2
443.0,72.14,50.3
444.0,72.14,49.8
445.0,72.12,50.4
446.0,72.09,50.6
447.0,72.04,49.9
448.0,72.01,50.3
449.0,71.98,49.4
450.0,71.94,51.1
451.0,71.9,49.5
452.0,71.86,49.5
453.0,71.82,49.9
454.0,71.78,49.7
455.0,71.75,50.5
456.0,71.73,49.9
457.0,71.69,51.0
458.0,71.64,51.0
459.0,71.62,51.3
460.0,71.57,52.0
461.0,71.54,51.4
462.0,71.51,51.0
463.0,71.45,50.7
464.0,71.43,50.7
465.0,71.38,50.8
466.0,71.34,50.2
467.0,71.33,50.0
468.0,71.28,50.0
469.0,71.23,49.3
470.0,71.19,49.0
471.0,71.08,49.5
472.0,71.04,48.8
473.0,71.02,48.9
474.0,70.99,47.8
475.0,70.95,48.8
476.0,70.92,48.8
477.0,70.88,49.4
478.0,70.92,49.0
479.0,70.88,49.0
480.0,70.84,49.3
481.0,70.81,49.3
482.0,70.75,49.7
483.0,70.73,49.6
484.0,70.71,49.7
485.0,70.67,50.1
486.0,70.63,50.4
487.0,70.59,50.8
488.0,70.55,51.4
489.0,70.49,51.3
490.0,70.48,51.2
491.0,70.44,52.2
492.0,70.4,51.5
493.0,70.36,51.5
494.0,70.32,51.2
495.0,70.3,51.8
496.0,70.26,52.7
497.0,70.21,52.1
498.0,70.18,52.9
499.0,70.15,52.5
500.0,70.1,52.6
501.0,70.09,52.2
502.0,70.05,52.9
503.0,69.98,52.5
504.0,69.95,52.6
505.0,69.92,51.9
506.0,69.88,52.0
507.0,69.83,51.5
508.0,69.73,51.0
509.0,69.71,51.3
510.0,69.65,51.0
511.0,69.61,49.4
512.0,69.59,50.1
513.0,69.55,50.6
514.0,69.51,51.1
515.0,69.55,50.5
516.0,69.52,50.5
517.0,69.49,51.0
518.0,69.45,51.9
519.0,69.43,51.2
520.0,69.38,50.7
521.0,69.35,51.1
522.0,69.32,50.6
523.0,69.27,50.7
524.0,69.24,50.3
525.0,69.21,51.4
526.0,69.2,50.0
527.0,69.15,50.6
528.0,69.1,50.5
529.0,69.05,49.5
530.0,69.02,50.3
531.0,68.98,51.2
532.0,68.96,51.2
533.0,68.92,50.4
534.0,68.89,51.8
535.0,68.86,52.0
536.0,68.81,51.0
537.0,68.77,50.9
538.0,68.73,50.4
539.0,68.69,50.9
540.0,68.65,50.4
541.0,68.63,51.2
542.0,68.6,51.2
543.0,68.55,50.7
544.0,68.5,50.9
545.0,68.47,51.6
546.0,68.36,49.6
547.0,68.32,50.4
548.0,68.29,49.8
549.0,68.25,49.0
550.0,68.21,49.3
551.0,68.17,48.4
552.0,68.16,49.4
553.0,68.13,48.8
554.0,68.16,48.9
555.0,68.12,48.7
556.0,68.09,48.7
557.0,68.04,49.4
558.0,68.01,49.4
559.0,67.97,49.2
560.0,67.95,48.5
561.0,67.92,49.0
562.0,67.88,48.9
563.0,67.83,49.2
564.0,67.78,50.0
565.0,67.77,50.3
566.0,67.74,51.0
567.0,67.7,51.5
568.0,67.65,51.6
569.0,67.61,51.3
570.0,67.56,51.4
571.0,67.53,52.2
572.0,67.49,52.6
573.0,67.45,51.9
574.0,67.41,53.0
575.0,67.39,52.5
576.0,67.36,52.3
577.0,67.32,52.4
578.0,67.28,52.8
579.0,67.23,52.7
580.0,67.19,53.2
581.0,67.1,52.7
582.0,67.07,52.8
583.0,67.03,53.4
584.0,67.01,52.8
585.0,66.96,52.6
586.0,66.92,53.2
587.0,66.96,52.0
588.0,66.94,53.0
589.0,66.89,52.6
590.0,66.89,52.7
591.0,66.84,52.8
592.0,66.82,52.5
593.0,66.79,52.1
594.0,66.74,51.4
595.0,66.73,51.2
596.0,66.66,51.3
597.0,66.64,51.3
598.0,66.6,50.8
599.0,66.55,50.3
600.0,66.5,50.2
601.0,66.47,50.5
602.0,66.43,50.2
603.0,66.38,50.1
604.0,66.34,50.8
605.0,66.34,51.0
606.0,66.3,50.7
607.0,66.24,50.2
608.0,66.2,50.1
609.0,66.19,49.5
610.0,66.15,49.7
611.0,66.11,49.2
612.0,66.09,49.7
613.0,66.05,48.9
614.0,66.02,49.8
615.0,65.92,48.4
616.0,65.87,49.1
617.0,65.83,49.7
618.0,65.77,50.6
619.0,65.74,50.4
620.0,65.7,50.0
621.0,65.67,50.0
622.0,65.63,50.2
623.0,65.6,49.7
624.0,65.63,50.1
625.0,65.6,50.0
626.0,65.56,50.0
627.0,65.53,50.3
628.0,65.49,50.4
629.0,65.46,51.0
630.0,65.44,50.7
631.0,65.41,50.5
632.0,65.37,51.2
633.0,65.34,51.2
634.0,65.3,51.0
635.0,65.25,50.8
636.0,65.24,51.3
637.0,65.18,51.0
638.0,65.16,51.3
639.0,65.14,51.6
640.0,65.09,51.7
641.0,65.06,51.2
642.0,65.03,51.1
643.0,64.98,50.8
644.0,64.95,50.6
645.0,64.93,50.6
646.0,64.88,50.6
647.0,64.84,51.7
648.0,64.8,51.9
649.0,64.78,52.0
650.0,64.73,51.9
651.0,64.65,51.2
652.0,64.6,50.6
653.0,64.56,51.1
654.0,64.5,50.3
655.0,64.48,50.5
656.0,64.44,50.1
657.0,64.39,50.9
658.0,64.42,50.8
659.0,64.38,51.1
660.0,64.37,51.3
661.0,64.34,51.3
662.0,64.29,51.6
663.0,64.28,50.5
664.0,64.24,50.9
665.0,64.2,50.4
666.0,64.17,49.8
667.0,64.15,50.4
668.0,64.11,50.2
669.0,64.07,51.1
670.0,64.05,51.2
671.0,64.02,50.5
672.0,63.96,50.7
673.0,63.94,50.7
674.0,63.91,50.8
675.0,63.87,50.6
676.0,63.85,50.3
677.0,63.82,50.1
678.0,63.78,50.4
679.0,63.75,49.7
680.0,63.72,49.1
681.0,63.67,50.9
682.0,63.63,50.3
683.0,63.61,49.7
684.0,63.57,50.1
685.0,63.52,49.5
686.0,63.49,49.6
687.0,63.43,50.0
688.0,63.41,49.5
689.0,63.38,49.3
690.0,63.27,49.8
691.0,63.22,49.4
692.0,63.2,49.6
693.0,63.13,48.8
694.0,63.11,48.6
695.0,63.07,48.8
696.0,63.05,48.1
697.0,63.0,48.5
698.0,63.03,48.6
699.0,62.99,48.5
700.0,62.98,48.8
701.0,62.93,48.7
702.0,62.89,47.6
703.0,62.85,48.0
704.0,62.84,48.9
705.0,62.8,49.0
706.0,62.78,48.9
707.0,62.75,47.7
708.0,62.7,48.7
709.0,62.67,48.8
710.0,62.64,48.4
711.0,62.61,48.1
712.0,62.56,47.4
713.0,62.54,48.8
714.0,62.5,48.4
715.0,62.47,48.0
716.0,62.43,48.3
717.0,62.41,48.7
718.0,62.35,48.0
719.0,62.33,47.6
720.0,62.3,48.1
721.0,62.25,47.7
722.0,62.21,47.9
723.0,62.19,48.0
724.0,62.14,48.5
725.0,62.13,48.5
726.0,62.02,47.9
727.0,61.97,47.9
728.0,61.94,48.1
729.0,61.9,48.2
730.0,61.86,47.8
731.0,61.81,46.9
732.0,61.79,47.2
733.0,61.8,46.8
734.0,61.77,47.4
735.0,61.76,46.5
736.0,61.72,47.8
737.0,61.68,47.6
738.0,61.66,46.7
739.0,61.62,46.6
740.0,61.61,46.8
741.0,61.57,46.4
742.0,61.53,46.6
743.0,61.48,46.5
744.0,61.46,46.5
745.0,61.43,46.7
746.0,61.41,48.2
747.0,61.37,47.6
748.0,61.32,48.8
749.0,61.28,48.0
750.0,61.27,48.2
751.0,61.24,48.2
752.0,61.18,48.0
753.0,61.15,48.3
754.0,61.13,48.6
755.0,61.09,48.5
756.0,61.05,48.0
757.0,61.02,47.9
758.0,60.99,47.4
759.0,60.95,47.1
760.0,60.86,46.6
761.0,60.84,48.0
762.0,60.81,46.8
763.0,60.77,47.6
764.0,60.72,47.2
765.0,60.69,46.9
766.0,60.65,47.4
767.0,60.6,48.0
768.0,60.59,47.6
769.0,60.49,47.3
770.0,60.48,47.4
771.0,60.51,48.1
772.0,60.53,47.1
773.0,60.51,47.7
774.0,60.47,47.5
775.0,60.45,46.5
776.0,60.41,46.7
777.0,60.34,46.5
778.0,60.37,46.0
779.0,60.33,46.3
780.0,60.26,46.0
781.0,60.24,46.2
782.0,60.2,45.4
783.0,60.16,45.1
784.0,60.13,44.9
785.0,60.09,45.4
786.0,60.05,46.5
787.0,60.01,45.3
788.0,59.99,45.9
789.0,59.94,46.4
790.0,59.92,45.6
791.0,59.89,45.9
792.0,59.85,45.7
793.0,59.84,45.7
794.0,59.79,46.3
795.0,59.75,45.7
796.0,59.69,45.9
797.0,59.64,46.1
798.0,59.6,45.9
799.0,59.56,46.1
800.0,59.51,46.4
801.0,59.46,46.5
802.0,59.43,46.4
803.0,59.4,45.9
804.0,59.38,46.6
805.0,59.36,46.0
806.0,59.33,47.1
807.0,59.35,47.1
808.0,59.3,48.0
809.0,59.27,48.0
810.0,59.25,47.4
811.0,59.21,47.5
812.0,59.18,47.4
813.0,59.14,47.2
814.0,59.08,47.1
815.0,59.06,46.8
816.0,59.04,46.9
817.0,59.01,46.7
818.0,58.97,46.5
819.0,58.93,46.2
820.0,58.91,46.5
821.0,58.87,47.0
822.0,58.85,47.0
823.0,58.8,47.7
824.0,58.78,47.8
825.0,58.75,47.4
826.0,58.7,47.5
827.0,58.69,47.5
828.0,58.63,47.7
829.0,58.61,47.4
830.0,58.59,47.1
831.0,58.54,46.7
832.0,58.5,46.8
833.0,58.46,46.8
834.0,58.41,46.8
835.0,58.37,47.6
836.0,58.3,47.8
837.0,58.24,48.0
838.0,58.23,47.7
839.0,58.19,48.0
840.0,58.15,48.1
841.0,58.12,47.8
842.0,58.16,47.5
843.0,58.11,48.5
844.0,58.08,48.1
845.0,58.04,48.7
846.0,58.0,48.9
847.0,57.98,49.0
848.0,57.95,49.2
849.0,57.92,48.6
850.0,57.88,47.7
851.0,57.84,49.1
852.0,57.81,48.8
853.0,57.78,49.7
854.0,57.74,49.5
855.0,57.69,49.0
856.0,57.68,49.6
857.0,57.64,49.7
858.0,57.62,49.4
859.0,57.58,50.3
860.0,57.53,50.4
861.0,57.5,50.4
862.0,57.48,50.0
863.0,57.45,50.8
864.0,57.42,50.6
865.0,57.38,50.4
866.0,57.36,49.6
867.0,57.32,49.8
868.0,57.27,49.2
869.0,57.25,49.1
870.0,57.12,48.2
871.0,57.11,49.1
872.0,57.07,49.5
873.0,57.04,49.4
874.0,57.01,50.0
875.0,56.97,49.2
876.0,57.02,49.7
877.0,56.98,49.0
878.0,56.96,49.0
879.0,56.94,49.3
880.0,56.88,49.8
881.0,56.85,50.3
882.0,56.82,49.1
883.0,56.77,49.0
884.0,56.73,48.5
885.0,56.71,47.5
886.0,56.66,48.4
887.0,56.63,49.0
888.0,56.6,48.9
889.0,56.55,49.4
890.0,56.53,50.1
891.0,56.49,50.9
892.0,56.45,51.3
893.0,56.42,51.4
894.0,56.39,52.5
895.0,56.35,52.3
896.0,56.33,53.5
897.0,56.28,53.3
898.0,56.25,53.5
899.0,56.24,55.4
900.0,56.2,54.2
901.0,56.16,53.6
902.0,56.11,55.0
903.0,56.01,54.7
904.0,55.97,54.4
905.0,55.93,54.8
906.0,55.88,55.5
907.0,55.85,55.4
908.0,55.82,54.5
909.0,55.82,55.0
910.0,55.77,55.0
911.0,55.77,54.2
912.0,55.74,54.4
913.0,55.72,54.1
914.0,55.68,54.5
915.0,55.66,54.7
916.0,55.62,56.1
917.0,55.59,56.4
918.0,55.53,57.1
919.0,55.51,57.0
920.0,55.47,57.4
921.0,55.43,57.4
922.0,55.4,57.3
923.0,55.38,57.1
924.0,55.34,57.4
925.0,55.25,57.9
926.0,55.24,57.0
927.0,55.26,57.4
928.0,55.23,57.8
929.0,55.19,59.1
930.0,55.15,57.8
931.0,55.1,58.4
932.0,55.04,58.3
933.0,55.0,58.4
934.0,54.95,58.8
935.0,54.92,58.0
936.0,54.84,57.9
937.0,54.82,58.1
938.0,54.76,57.2
939.0,54.73,56.7
940.0,54.7,56.4
941.0,54.65,56.5
942.0,54.61,56.3
943.0,54.57,56.7
944.0,54.57,56.9
945.0,54.52,56.8
946.0,54.46,57.3
947.0,54.46,57.2
948.0,54.41,58.8
949.0,54.39,57.8
950.0,54.39,58.3
951.0,54.37,58.1
952.0,54.34,57.7
953.0,54.3,57.8
954.0,54.25,58.0
955.0,54.23,57.8
956.0,54.19,57.5
957.0,54.15,57.9
958.0,54.12,57.5
959.0,54.07,58.3
960.0,54.03,59.1
961.0,54.02,58.0
962.0,53.98,58.4
963.0,53.94,58.2
964.0,53.89,58.1
965.0,53.87,58.6
966.0,53.84,58.0
967.0,53.81,56.9
968.0,53.77,57.4
969.0,53.73,56.7
970.0,53.69,57.9
971.0,53.62,57.8
972.0,53.59,57.6
973.0,53.54,57.9
974.0,53.49,57.9
975.0,53.44,58.2
976.0,53.39,57.7
977.0,53.36,57.9
978.0,53.33,57.8
979.0,53.28,57.5
980.0,53.26,58.2
981.0,53.23,58.6
982.0,53.19,58.7
983.0,53.18,58.3
984.0,53.13,57.3
985.0,53.12,58.0
986.0,53.09,58.0
987.0,53.08,58.3
988.0,53.06,57.9
989.0,53.03,57.5
990.0,52.98,57.0
991.0,52.93,56.9
992.0,52.88,56.6
993.0,52.86,57.3
994.0,52.83,56.7
995.0,52.78,57.5
996.0,52.74,57.5
997.0,52.73,58.3
998.0,52.68,57.1
999.0,52.63,57.1
1000.0,52.62,57.2
1001.0,52.57,57.5
1002.0,52.53,56.8
1003.0,52.52,57.0
1004.0,52.48,57.7
1005.0,52.47,57.5
1006.0,52.42,57.3
1007.0,52.39,58.1
1008.0,52.35,58.1
1009.0,52.32,57.8
1010.0,52.27,57.4
1011.0,52.21,57.7
1012.0,52.12,58.3
1013.0,52.07,57.9
1014.0,52.03,56.9
1015.0,52.02,58.4
1016.0,51.98,58.4
1017.0,51.95,58.5
1018.0,51.97,58.8
1019.0,51.95,58.4
1020.0,51.92,58.6
1021.0,51.87,58.5
1022.0,51.83,58.2
1023.0,51.8,58.5
1024.0,51.75,59.1
1025.0,51.72,59.4
1026.0,51.69,59.3
1027.0,51.64,59.1
1028.0,51.56,58.2
1029.0,51.54,60.1
1030.0,51.54,58.8
1031.0,51.51,57.9
1032.0,51.47,57.6
1033.0,51.45,58.1
1034.0,51.42,57.3
1035.0,51.37,57.6
1036.0,51.33,58.4
1037.0,51.29,57.1
1038.0,51.26,58.6
1039.0,51.22,58.4
1040.0,51.2,58.3
1041.0,51.15,58.2
1042.0,51.13,58.0
1043.0,51.08,58.0
1044.0,51.05,57.9
1045.0,51.01,58.2
1046.0,50.97,58.8
1047.0,50.92,57.9
1048.0,50.89,57.8
1049.0,50.85,58.4
1050.0,50.79,58.2
1051.0,50.71,58.2
1052.0,50.67,58.1
1053.0,50.66,58.1
1054.0,50.62,57.6
1055.0,50.59,58.9
1056.0,50.57,59.5
1057.0,50.55,59.3
1058.0,50.55,58.4
1059.0,50.55,59.5
1060.0,50.5,58.8
1061.0,50.47,59.7
1062.0,50.43,60.0
1063.0,50.38,59.9
1064.0,50.37,58.7
1065.0,50.32,59.3
1066.0,50.3,59.5
1067.0,50.26,59.5
1068.0,50.22,59.5
1069.0,50.18,60.3
1070.0,50.13,59.5
1071.0,50.12,58.6
1072.0,50.08,59.0
1073.0,50.04,60.4
1074.0,50.02,59.2
1075.0,49.99,59.1
1076.0,49.96,60.5
1077.0,49.9,59.4
1078.0,49.86,59.2
1079.0,49.84,59.8
1080.0,49.79,61.0
1081.0,49.74,59.8
1082.0,49.71,59.8
1083.0,49.68,60.1
1084.0,49.63,60.1
1085.0,49.59,60.5
1086.0,49.55,61.3
1087.0,49.52,60.9
1088.0,49.42,61.6
1089.0,49.4,60.3
1090.0,49.34,60.9
1091.0,49.29,61.3
1092.0,49.26,61.7
1093.0,49.23,60.7
1094.0,49.27,59.6
1095.0,49.23,59.8
1096.0,49.2,59.5
1097.0,49.17,59.5
1098.0,49.13,58.9
1099.0,49.11,58.3
1100.0,49.07,58.6
1101.0,49.03,59.0
1102.0,49.0,60.3
1103.0,48.96,59.1
1104.0,48.94,59.6
1105.0,48.9,60.8
1106.0,48.87,60.1
1107.0,48.82,60.6
1108.0,48.78,60.4
1109.0,48.73,60.8
1110.0,48.7,60.9
1111.0,48.67,61.4
1112.0,48.64,60.9
1113.0,48.64,60.6
1114.0,48.61,60.0
1115.0,48.56,59.6
1116.0,48.52,60.5
1117.0,48.48,59.9
1118.0,48.45,60.3
1119.0,48.41,60.8
1120.0,48.36,60.5
1121.0,48.32,61.9
1122.0,48.27,62.0
1123.0,48.17,62.4
1124.0,48.13,61.9
1125.0,48.1,63.3
1126.0,48.05,62.0
1127.0,48.03,62.8
1128.0,48.0,62.7
1129.0,47.94,63.6
1130.0,47.98,63.4
1131.0,47.95,62.6
1132.0,47.93,61.8
1133.0,47.9,62.6
1134.0,47.84,61.2
1135.0,47.82,61.0
1136.0,47.78,61.2
1137.0,47.74,62.3
1138.0,47.7,62.0
1139.0,47.67,60.7
1140.0,47.63,61.6
1141.0,47.6,62.0
1142.0,47.55,61.6
1143.0,47.52,61.7
1144.0,47.49,63.0
1145.0,47.46,62.6
1146.0,47.42,62.2
