Time (s),Mass (g),HRR (kW/m2)
0,103.75,0
1,103.68,0
2,103.59,0
3,103.37,0.4
4,103.31,1
5,103.24,1.3
6,103.21,1.5
7,103.16,1.7
8,103.09,1.8
9,103.04,1.9
10,102.99,1.9
11,102.95,2
12,102.9,2
13,102.8,2
14,102.69,1.9
15,102.76,1.9
16,102.51,1.5
17,102.37,1.3
18,102.23,1.1
19,102.01,1.4
20,101.82,1.5
21,101.62,1.6
22,101.4,1.9
23,101.12,2.8
24,100.89,3.9
25,100.67,10.7
26,100.46,26.6
27,100.25,47
28,100.04,71
29,99.79,108.8
30,99.61,139.9
31,99.42,177.9
32,99.2,209.7
33,99.02,237.2
34,98.83,257.2
35,98.63,272.9
36,98.45,298.2
37,98.3,311.7
38,98.04,327.1
39,97.9,334
40,97.73,332.9
41,97.55,335.8
42,97.38,339.5
43,97.22,338.4
44,97.13,341.1
45,96.95,333.4
46,96.81,330
47,96.65,321
48,96.47,321.7
49,96.3,319.6
50,96.15,312.8
51,96,306.8
52,95.85,293.7
53,95.66,294.8
54,95.55,296.4
55,95.4,294
56,95.25,285.6
57,95.08,277.4
58,94.89,274.7
59,94.75,272.2
60,94.6,268.1
61,94.49,263.1
62,94.34,261.7
63,94.19,256.9
64,94.06,251.6
65,93.93,246.5
66,93.77,252.4
67,93.64,242.3
68,93.53,241.4
69,93.4,236.1
70,93.28,233.5
71,93.14,237.4
72,93.01,229.9
73,92.86,228
74,92.75,224.3
75,92.6,222.7
76,92.47,222.5
77,92.35,219.9
78,92.25,215.2
79,92.1,215
80,91.97,210.6
81,91.89,210.4
82,91.78,209.6
83,91.62,200.5
84,91.52,203
85,91.4,202.9
86,91.28,197.9
87,91.14,198.7
88,91.02,197.3
89,90.91,194.8
90,90.81,193.7
91,90.69,191.3
92,90.58,192.1
93,90.41,189.3
94,90.27,189.3
95,90.12,187.7
96,90.03,189
97,89.91,183.2
98,89.82,184.6
99,89.67,181.4
100,89.54,179.4
101,89.47,182.8
102,89.36,175.1
103,89.25,176.7
104,89.17,177.6
105,89,175.7
106,88.87,175.2
107,88.77,174.3
108,88.67,173.9
109,88.56,172
110,88.46,168.3
111,88.34,167.7
112,88.24,168.9
113,88.11,166.7
114,88,162.6
115,87.94,163.3
116,87.83,164
117,87.72,164.8
118,87.62,164
119,87.52,160.3
120,87.4,161.1
121,87.3,159
122,87.15,159
123,87.07,160.8
124,86.94,160.6
125,86.84,157.1
126,86.72,156.1
127,86.63,157.7
128,86.51,154.8
129,86.36,154.1
130,86.23,154.5
131,86.14,149.3
132,86.01,151.4
133,85.94,151.5
134,85.8,149.6
135,85.71,148.4
136,85.61,149.4
137,85.48,151.2
138,85.38,149.2
139,85.29,148.1
140,85.17,149.5
141,85.05,147.9
142,84.97,146.5
143,84.88,144.8
144,84.77,144.1
145,84.65,145.7
146,84.56,145.6
147,84.47,143
148,84.37,143.6
149,84.24,143.3
150,84.18,143.2
151,84.08,144.1
152,83.95,142.2
153,83.86,141.1
154,83.75,141.7
155,83.67,141.7
156,83.55,139.6
157,83.44,140.8
158,83.36,140.8
159,83.25,138
160,83.13,139.1
161,83.06,139.1
162,82.96,139.5
163,82.82,137.8
164,82.68,136.4
165,82.61,139.7
166,82.5,137.5
167,82.39,139
168,82.29,134.9
169,82.17,138
170,82.08,134.9
171,81.97,134.9
172,81.9,133.9
173,81.76,134.1
174,81.65,135.7
175,81.53,134.4
176,81.46,133
177,81.35,135
178,81.27,132.4
179,81.13,132.6
180,81.05,132.6
181,80.96,131.8
182,80.84,132.4
183,80.75,131.3
184,80.67,131.4
185,80.55,128.9
186,80.51,128.9
187,80.42,129
188,80.32,128.7
189,80.21,129.9
190,80.1,130.9
191,80.01,130.3
192,79.91,133
193,79.78,127.8
194,79.66,130.8
195,79.56,129.8
196,79.46,129.4
197,79.36,130.3
198,79.28,130.6
199,79.18,128.7
200,79.01,125
201,78.93,125.3
202,78.84,127.5
203,78.72,128.5
204,78.62,127.4
205,78.55,126.4
206,78.42,129.3
207,78.31,125.7
208,78.2,124.5
209,78.12,119.3
210,78.02,126.5
211,77.94,124.1
212,77.81,122.5
213,77.74,122.4
214,77.62,123.2
215,77.51,122.4
216,77.45,125
217,77.33,124
218,77.23,125
219,77.13,122.1
220,77.05,122.4
221,76.98,120.2
222,76.89,122.1
223,76.78,122.3
224,76.71,122.4
225,76.59,122.7
226,76.48,119.6
227,76.36,120.3
228,76.26,119.2
229,76.15,119.8
230,76.1,117.8
231,75.94,118
232,75.84,118.7
233,75.77,118.1
234,75.67,115.4
235,75.59,115.7
236,75.51,111.7
237,75.37,117.7
238,75.31,117.1
239,75.21,119.4
240,75.09,117.7
241,74.99,116.5
242,74.88,118.3
243,74.82,117.8
244,74.71,117
245,74.59,116.1
246,74.51,116.6
247,74.46,117.2
248,74.31,114
249,74.21,115.9
250,74.17,115.5
251,74.09,116.2
252,73.99,113.6
253,73.92,114.8
254,73.81,111.7
255,73.73,112.8
256,73.66,110.6
257,73.56,112.8
258,73.51,112.3
259,73.42,111.4
260,73.3,114.7
261,73.23,113.5
262,73.13,112.9
263,73.01,114.3
264,72.96,112.1
265,72.86,113.1
266,72.74,113.4
267,72.61,112.5
268,72.56,112.8
269,72.49,112.7
270,72.39,113.3
271,72.29,112.5
272,72.24,111.7
273,72.11,112.2
274,72.04,112.2
275,71.94,110.3
276,71.81,110.7
277,71.72,111.4
278,71.62,110.3
279,71.53,110.9
280,71.41,110.2
281,71.35,110.4
282,71.25,109.2
283,71.14,109.5
284,71.07,108
285,70.98,110.7
286,70.87,111.3
287,70.82,112.8
288,70.72,108.5
289,70.64,110.9
290,70.55,110.6
291,70.46,108
292,70.39,107
293,70.29,108.4
294,70.21,107.4
295,70.14,107.7
296,70.05,109
297,69.95,108.1
298,69.89,108.1
299,69.8,106.4
300,69.71,109.3
301,69.59,108.9
302,69.51,108.3
303,69.45,108.1
304,69.33,109.2
305,69.24,108.3
306,69.16,108.7
307,69.09,107
308,68.96,109.1
309,68.89,107.9
310,68.79,108.3
311,68.7,107.2
312,68.61,105.3
313,68.53,106.9
314,68.42,104.8
315,68.36,103.5
316,68.26,104.5
317,68.15,104.9
318,68.08,106.2
319,68.01,105.8
320,67.9,106.3
321,67.88,107.4
322,67.78,107.2
323,67.7,105.9
324,67.6,106.6
325,67.51,107.5
326,67.41,106.8
327,67.36,107.2
328,67.26,106.2
329,67.18,106.1
330,67.12,105.2
331,67,103.9
332,66.94,106.1
333,66.83,105.7
334,66.71,105.9
335,66.65,104
336,66.58,107
337,66.47,104.6
338,66.41,106.7
339,66.35,105.3
340,66.24,106.9
341,66.17,104.7
342,66.05,106.8
343,65.99,105.1
344,65.94,104.4
345,65.79,104.1
346,65.66,103.8
347,65.59,101.9
348,65.54,104
349,65.42,105
350,65.35,105.1
351,65.28,106.8
352,65.18,103.9
353,65.05,104
354,65.03,106.5
355,64.93,106.6
356,64.85,106
357,64.76,106.2
358,64.69,107.3
359,64.61,105.4
360,64.5,106.2
361,64.41,106.8
362,64.36,105
363,64.3,105.4
364,64.21,105.6
365,64.14,104.1
366,64.05,106.1
367,63.99,106.4
368,63.92,107.5
369,63.8,106.2
370,63.73,106
371,63.64,107.9
372,63.56,106.8
373,63.48,107.3
374,63.41,110.3
375,63.33,108.5
376,63.24,108
377,63.11,108.2
378,63.06,108.4
379,62.95,109.1
380,62.86,108.7
381,62.78,108.1
382,62.72,108.3
383,62.61,106.4
384,62.51,106.8
385,62.45,107.4
386,62.36,107.6
387,62.29,107.6
388,62.19,109.3
389,62.13,110.1
390,62.03,110.6
391,61.96,112.5
392,61.88,112.4
393,61.75,112.9
394,61.7,114.9
395,61.59,112.4
396,61.54,113.1
397,61.45,113.1
398,61.35,112
399,61.27,110.8
400,61.19,112.1
401,61.13,113.3
402,61.03,111
403,60.99,110.9
404,60.92,112.3
405,60.83,112
406,60.68,112.2
407,60.62,113.1
408,60.55,111.2
409,60.47,112.3
410,60.4,114.4
411,60.29,112.8
412,60.2,112.5
413,60.09,113.8
414,60.05,113.5
415,59.96,114.3
416,59.88,115.9
417,59.78,114.3
418,59.69,113.7
419,59.6,115.9
420,59.49,117
421,59.43,116.3
422,59.36,118.2
423,59.27,117.1
424,59.21,117.5
425,59.09,115.6
426,59.05,116.4
427,58.97,118
428,58.84,115.6
429,58.79,117
430,58.71,115.1
431,58.63,117.4
432,58.57,116.4
433,58.45,118.8
434,58.38,118.6
435,58.29,118.9
436,58.24,118.9
437,58.15,120.8
438,58.05,120.2
439,57.98,121.8
440,57.88,118.3
441,57.82,119.5
442,57.73,120
443,57.63,117.6
444,57.54,118.1
445,57.45,120.5
446,57.36,119.7
447,57.29,119.3
448,57.18,121.1
449,57.12,121.6
450,57.03,122.6
451,56.95,120.8
452,56.83,122.1
453,56.76,123.3
454,56.69,121.7
455,56.59,120.3
456,56.55,119.9
457,56.45,122.1
458,56.35,121.9
459,56.25,122.5
460,56.18,123.3
461,56.08,119.8
462,56.02,120.5
463,55.92,119.5
464,55.84,119.5
465,55.77,124.4
466,55.69,119.2
467,55.63,119.6
468,55.53,122.7
469,55.45,121.2
470,55.35,121.8
471,55.3,123.1
472,55.21,124.1
473,55.12,121
474,55.07,121.8
475,54.93,123.7
476,54.86,120.3
477,54.79,121.2
478,54.72,121.5
479,54.63,121.2
