Time,Mass (g),HRRPUA (kW/m2)
0.0,104.35,4.0
1.0,154.24,4.3
2.0,103.94,4.4
3.0,104.11,4.5
4.0,103.96,4.5
5.0,103.96,4.5
6.0,104.0,4.4
7.0,103.96,4.5
8.0,103.96,4.5
9.0,103.94,4.7
10.0,103.92,5.7
11.0,103.9,7.4
12.0,103.89,9.0
13.0,103.86,9.9
14.0,103.86,10.5
15.0,103.67,11.1
16.0,103.84,11.1
17.0,103.84,12.0
18.0,103.82,13.1
19.0,103.82,14.0
20.0,103.81,14.3
21.0,103.8,14.7
22.0,103.83,14.9
23.0,103.82,14.3
24.0,103.82,13.9
25.0,103.8,12.9
26.0,103.79,11.8
27.0,103.77,10.8
28.0,103.76,10.0
29.0,103.76,10.0
30.0,103.74,10.8
31.0,103.75,12.6
32.0,103.75,15.4
33.0,103.73,19.9
34.0,103.73,22.2
35.0,103.72,23.7
36.0,103.71,24.5
37.0,103.69,25.5
38.0,103.67,25.2
39.0,103.67,24.5
40.0,103.68,23.3
41.0,103.66,22.5
42.0,103.64,22.0
43.0,103.63,21.9
44.0,103.6,22.0
45.0,103.61,21.8
46.0,103.57,21.9
47.0,103.53,21.8
48.0,103.51,21.5
49.0,103.5,20.4
50.0,103.47,19.4
51.0,103.46,17.5
52.0,103.45,15.8
53.0,103.46,13.3
54.0,103.41,10.6
55.0,103.36,9.0
56.0,103.35,7.8
57.0,103.3,7.3
58.0,103.21,6.7
59.0,103.22,6.4
60.0,103.1,6.2
61.0,103.02,6.0
62.0,102.9,6.2
63.0,102.8,6.8
64.0,102.7,8.3
65.0,102.61,12.3
66.0,102.52,21.5
67.0,102.44,32.4
68.0,102.33,43.1
69.0,102.24,55.2
70.0,102.11,65.7
71.0,102.02,78.2
72.0,101.96,89.6
73.0,101.88,102.5
74.0,101.78,116.7
75.0,101.64,129.1
76.0,101.57,141.7
77.0,101.48,148.1
78.0,101.38,156.1
79.0,101.27,159.6
80.0,101.2,164.3
81.0,101.12,168.8
82.0,101.03,168.3
83.0,100.94,167.8
84.0,100.83,166.7
85.0,100.75,169.8
86.0,100.66,168.6
87.0,100.57,168.6
88.0,100.41,167.4
89.0,100.4,164.9
90.0,100.23,166.3
91.0,100.13,165.8
92.0,100.04,166.3
93.0,99.97,166.6
94.0,99.9,163.0
95.0,99.82,163.6
96.0,99.76,161.9
97.0,99.66,162.1
98.0,99.61,159.5
99.0,99.57,160.0
100.0,99.46,154.4
101.0,99.43,155.5
102.0,99.31,154.4
103.0,99.28,149.1
104.0,99.19,148.1
105.0,99.12,144.9
106.0,99.04,144.6
107.0,98.96,142.2
108.0,98.9,138.2
109.0,98.8,138.1
110.0,98.71,137.3
111.0,98.63,136.5
112.0,98.55,135.5
113.0,98.5,134.4
114.0,98.43,134.4
115.0,98.36,132.9
116.0,98.29,132.3
117.0,98.23,132.5
118.0,98.14,131.7
119.0,98.06,130.7
120.0,98.0,129.5
121.0,97.93,127.3
122.0,97.85,126.7
123.0,97.79,124.1
124.0,97.7,123.4
125.0,97.64,122.4
126.0,97.55,126.0
127.0,97.46,121.5
128.0,97.39,120.3
129.0,97.31,119.7
130.0,97.24,118.8
131.0,97.16,119.7
132.0,97.08,117.8
133.0,97.02,119.9
134.0,96.95,117.6
135.0,96.89,117.2
136.0,96.84,115.1
137.0,96.8,116.3
138.0,96.74,115.1
139.0,96.68,113.7
140.0,96.63,113.0
141.0,96.61,112.3
142.0,96.55,112.3
143.0,96.5,111.5
144.0,96.4,111.1
145.0,96.35,108.6
146.0,96.34,108.4
147.0,96.27,105.4
148.0,96.2,108.1
149.0,96.12,105.8
150.0,96.07,105.2
151.0,96.01,103.9
152.0,95.96,102.8
153.0,95.89,103.2
154.0,95.82,103.2
155.0,95.75,102.0
156.0,95.7,101.3
157.0,95.64,99.6
158.0,95.6,100.8
159.0,95.54,98.9
160.0,95.48,99.6
