Time,Mass (g),HRRPUA (kW/m2)
0.0,100.94,0.1
1.0,101.02,0.1
2.0,100.88,0.3
3.0,100.89,0.7
4.0,100.83,1.2
5.0,100.78,1.7
6.0,100.8,2.9
7.0,100.8,3.8
8.0,100.79,4.5
9.0,100.72,5.3
10.0,100.69,6.9
11.0,100.67,9.4
12.0,100.62,12.0
13.0,100.59,14.1
14.0,100.56,15.6
15.0,100.53,16.6
16.0,100.5,17.4
17.0,100.49,17.5
18.0,100.44,17.2
19.0,100.45,17.2
20.0,100.41,16.8
21.0,100.39,16.4
22.0,100.31,16.8
23.0,100.32,17.4
24.0,100.23,17.3
25.0,100.11,17.0
26.0,100.09,16.0
27.0,99.94,15.5
28.0,99.8,14.9
29.0,99.69,14.8
30.0,99.54,14.2
31.0,99.36,14.3
32.0,99.25,14.7
33.0,99.1,16.1
34.0,98.97,22.2
35.0,98.81,31.4
36.0,98.67,43.1
37.0,98.52,57.0
38.0,98.4,75.2
39.0,98.25,95.2
40.0,98.09,120.0
41.0,97.93,139.9
42.0,97.71,164.1
43.0,97.55,179.1
44.0,97.41,189.9
45.0,97.26,202.9
46.0,97.13,213.7
47.0,96.98,221.4
48.0,96.85,225.9
49.0,96.74,226.4
50.0,96.6,231.0
51.0,96.46,240.3
52.0,96.36,243.5
53.0,96.2,241.8
54.0,96.08,243.1
55.0,95.98,243.0
56.0,95.87,241.4
57.0,95.71,236.2
58.0,95.61,234.3
59.0,95.53,232.9
60.0,95.42,232.3
61.0,95.29,231.2
62.0,95.16,227.6
63.0,95.06,223.1
64.0,94.95,225.5
65.0,94.86,222.0
66.0,94.69,219.8
67.0,94.58,217.6
68.0,94.49,213.9
69.0,94.38,215.1
70.0,94.28,213.6
71.0,94.15,210.0
72.0,94.06,205.8
73.0,93.94,202.4
74.0,93.8,203.4
75.0,93.72,198.9
76.0,93.61,196.2
77.0,93.5,197.0
78.0,93.39,191.6
79.0,93.3,186.0
80.0,93.19,182.1
81.0,93.1,180.8
82.0,92.93,177.8
83.0,92.79,177.8
84.0,92.73,171.7
85.0,92.61,174.0
86.0,92.52,172.4
87.0,92.4,176.1
88.0,92.34,171.2
89.0,92.26,171.3
90.0,92.17,172.2
91.0,92.03,169.3
92.0,91.94,171.3
93.0,91.86,163.6
94.0,91.75,167.5
95.0,91.68,160.4
96.0,91.59,165.7
97.0,91.5,164.6
98.0,91.42,163.2
99.0,91.35,162.9
100.0,91.26,160.8
101.0,91.17,162.1
102.0,91.1,158.5
103.0,91.03,157.4
104.0,90.96,155.6
105.0,90.88,156.9
106.0,90.78,152.7
107.0,90.7,151.3
108.0,90.62,148.5
109.0,90.51,147.2
