Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
188,9.011694303,377.8414892,
189,9.001319067,378.4596053,
190,9.000611669,379.0896516,
191,8.94778037,379.677043,
192,8.952762571,380.2958922,
193,8.971364707,381.0040279,
194,8.964797967,381.6632508,
195,8.956853828,382.3641561,
196,8.963491361,383.0509909,
197,8.943180471,383.7136311,
198,8.919878309,384.4317671,
199,8.901908067,385.1167507,
200,8.904827855,385.8949045,
201,8.881208418,386.5914327,
202,8.877375131,387.2798029,
203,8.886587676,388.0345571,
204,8.882187913,388.8004528,
205,8.870580576,389.5507993,
206,8.82264233,390.2653168,
207,8.791706624,390.8887305,
208,8.770258352,391.6736231,
209,8.783762933,392.3680186,
210,8.742942027,393.1460158,
211,8.719310463,393.9031034,
212,8.716115006,394.6381687,
213,8.706252356,395.4217326,
214,8.722631093,396.1498022,
215,8.724871628,396.8850422,
216,8.711832414,397.6504238,
217,8.716186555,398.424257,
218,8.659396118,399.0875352,
219,8.580985282,399.8720287,
220,8.595628428,400.5960086,
221,8.614811127,401.3657363,
222,8.567127303,402.0950501,
223,8.545251394,402.8255303,
224,8.557937729,403.4960418,
225,8.545573287,404.319271,
226,8.533081295,404.9626873,
227,8.523464731,405.7445784,
228,8.495266596,406.5134959,
229,8.482552734,407.1431725,
230,8.477621106,407.8111624,
231,8.451704522,408.5269979,
232,8.457683121,409.2565317,
233,8.449375531,409.9178202,
234,8.432054539,410.6285231,
235,8.410843923,411.3028061,
236,8.345071064,411.9610973,
237,8.362784137,412.6096899,
238,8.399274024,413.3016555,
239,8.353421794,413.982311,
240,8.343622175,414.6463479,
241,8.303649167,415.3223524,
242,8.295455086,415.9435605,
243,8.32990059,416.6324616,
244,8.328301131,417.2299274,
245,8.314891299,417.8955254,
246,8.258495818,418.5021053,
247,8.252409626,419.1688066,
248,8.228055369,419.8167694,
249,8.239788089,420.3452568,
250,8.190535192,420.947023,
251,8.190784919,421.6067411,
252,8.178074814,422.2065906,
253,8.188773765,422.78669,
254,8.152685715,423.4376922,
255,8.082385121,423.8760344,
256,8.140667597,424.4192438,
257,8.126589315,425.0325504,
258,8.102401984,425.6257242,
259,8.125221474,426.1891304,
260,8.082522316,426.7256527,
261,8.036259136,427.2814269,
262,8.022655318,427.7099191,
263,8.067176624,428.2457486,
264,8.040028823,428.8536177,
265,8.008912854,429.3339654,
266,7.998305321,429.8557884,
267,7.960098572,430.4209053,
268,7.956648794,430.9289932,
269,7.959936618,431.3537775,
270,7.959879306,431.9421637,
271,7.951441625,432.5058149,
272,7.884879298,432.9214679,
273,7.835740391,433.36898,
274,7.843283898,433.8935384,
275,7.838973086,434.3494142,
276,7.849041021,434.8713874,
277,7.825546151,435.2786,
278,7.768741506,435.8623,
279,7.750646237,436.2487,
280,7.785288886,436.7402,
281,7.764561419,437.1572,
282,7.741701587,437.645,
283,7.723127861,438.058,
284,7.702655226,438.3941,
285,7.704666592,438.8129,
286,7.700270073,439.2062,
287,7.668510219,439.6679501,
288,7.635833607,440.0590588,
289,7.619343351,440.4344985,
290,7.599914723,440.9712265,
291,7.588409019,441.3823027,
292,7.600408049,441.8091644,
293,7.586232874,442.089653,
294,7.575518917,442.5999965,
295,7.566169271,442.9012957,
296,7.533186942,443.3025001,
297,7.494131583,443.6893616,
298,7.47224918,444.1111337,
299,7.475468901,444.5120999,
300,7.523901293,444.8764235,
301,7.46983957,445.2446916,
302,7.404592048,445.5914787,
303,7.392882904,445.9839681,
304,7.368510699,446.2959766,
305,7.375809345,446.6665031,
306,7.390522773,447.0631899,
307,7.384674284,447.4300969,
308,7.345031147,447.7482659,
309,7.328545777,448.0311928,
310,7.321958328,448.3950432,
311,7.32905569,448.7509447,
312,7.322203594,449.1306433,
313,7.287569874,449.4492946,
314,7.254000116,449.7395524,
315,7.248115093,450.0666759,
316,7.185627291,450.4194386,
317,7.140327239,450.6903265,
318,7.189520628,451.0455523,
319,7.177803506,451.4467573,
320,7.187801414,451.7110781,
321,7.181572082,451.9246282,
322,7.111263273,452.0339,
323,7.093980322,452.2342901,
324,7.125550195,452.5102628,
