Timestamp,Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
0,11.82092887,298.6499077,427.2692738
1,11.75146617,298.6505908,517.6108509
2,11.74154593,298.631449,564.0985126
3,11.74963075,298.6498453,551.8260776
4,11.73997145,298.6382666,619.3803611
5,11.75508803,298.6498627,645.3052682
6,11.72778196,298.6511151,671.8212198
7,11.65431996,298.65,687.9314788
8,11.5813698,298.65,705.3870709
9,11.58595324,298.5539406,703.3957335
10,11.58453253,298.6476972,755.189651
11,11.53294497,298.538964,
12,11.51331264,298.6500459,
13,11.48231848,298.5493599,
14,11.40158069,298.6498105,
15,11.32003266,298.7555308,
16,11.2921331,298.65,
17,11.25235682,298.7483696,
18,11.26206884,298.75,
19,11.21721576,298.8777949,
20,11.1649752,298.8501839,
21,11.11552816,298.9500099,
22,11.05378144,299.150685,
23,10.97876264,299.25,
24,10.92966274,299.3495822,
25,10.91256463,299.6603764,
26,10.89982515,299.8805525,
27,10.84633831,300.1736294,
28,10.80768894,300.449583,
29,10.75130737,300.7423427,
30,10.66518857,301.1591313,
31,10.66949755,301.5474188,
32,10.68519282,301.8495621,
33,10.68642237,302.3513375,
34,10.58286237,302.8472735,
35,10.54136408,303.3462498,
36,10.54070667,303.8607795,
37,10.48649456,304.4607225,
38,10.45582818,304.950716,
39,10.43447443,305.5777355,
40,10.38117604,306.0772973,
41,10.36362201,306.7618004,
42,10.34301955,307.3616999,
43,10.26216025,307.9514707,
44,10.25090084,308.6775079,
45,10.22022258,309.3629855,
46,10.20740731,309.9490527,
47,10.16516193,310.7609633,
48,10.14258945,311.3426832,
49,10.12775955,312.0438016,
50,10.10111283,312.7803368,
51,10.0809861,313.4315121,
52,10.02795113,314.0807061,
53,9.924602197,314.8492783,
54,9.931253588,315.5509785,
55,9.941259261,316.381511,
56,9.945107309,317.1418263,
57,9.877277836,317.9420004,
58,9.880515561,318.7491812,
59,9.840283077,319.4433956,
60,9.803624938,320.3846748,
61,9.79934617,321.0847412,
62,9.782317682,321.8851232,
63,9.769805126,322.7491623,
64,9.673943784,323.4428852,
65,9.616943974,324.2528113,
66,9.631319784,325.0386183,
67,9.586756385,325.8864172,
68,9.547502608,326.6492886,
69,9.549250545,327.453048,
70,9.54048226,328.2466838,
71,9.525955085,329.0426306,
72,9.487066582,329.8426321,
73,9.463951929,330.542298,
74,9.458240637,331.3388323,
75,9.447922437,332.0522437,
76,9.39356395,332.9613921,
77,9.251722129,333.5408639,
78,9.219975636,334.3495,
79,9.260302609,335.0416822,
80,9.257763426,335.7902975,
81,9.20599788,336.4903804,
82,9.201796385,337.2385819,
83,9.17199823,338.0473686,
84,9.165765417,338.6911495,
85,9.174338994,339.4604081,
86,9.14069757,340.0940075,
87,9.102161816,340.7411603,
