Time (s),Temperature (K),Heat Flow Rate (W/g)
0,323.5,0.010
29.5338,324.0,0.026
49.3902,324.5,0.036
66.0306,325.0,0.041
81.1026,325.5,0.047
95.2674,326.0,0.050
108.8172,326.5,0.053
121.962,327.0,0.055
134.7888,327.5,0.058
147.273,328.0,0.061
159.5166,328.5,0.062
171.4632,329.0,0.065
183.24,329.5,0.067
194.8428,330.0,0.068
206.229,330.5,0.068
217.5024,331.0,0.070
228.5652,331.5,0.074
239.5392,332.0,0.075
250.455,332.5,0.076
261.2844,333.0,0.076
272.0526,333.5,0.076
282.7488,334.0,0.077
293.3418,334.5,0.079
303.864,335.0,0.079
314.3484,335.5,0.080
324.7362,336.0,0.082
335.1132,336.5,0.082
345.429,337.0,0.083
355.7286,337.5,0.084
366.018,338.0,0.085
376.2594,338.5,0.086
386.4558,339.0,0.087
396.6132,339.5,0.089
406.7496,340.0,0.088
416.8644,340.5,0.090
426.9756,341.0,0.090
437.0628,341.5,0.089
447.1074,342.0,0.089
457.1622,342.5,0.089
467.0892,343.0,0.089
477.0168,343.5,0.092
486.945,344.0,0.093
496.8216,344.5,0.092
506.7972,345.0,0.091
516.7578,345.5,0.089
526.7058,346.0,0.090
536.613,346.5,0.091
546.531,347.0,0.089
556.4904,347.5,0.090
566.4414,348.0,0.089
576.471,348.5,0.088
586.4208,349.0,0.089
596.337,349.5,0.090
606.237,350.0,0.088
616.1022,350.5,0.088
625.9398,351.0,0.088
635.8026,351.5,0.088
645.6546,352.0,0.088
655.5192,352.5,0.088
665.4228,353.0,0.088
675.3078,353.5,0.088
685.1766,354.0,0.089
695.0268,354.5,0.088
704.8704,355.0,0.088
714.6804,355.5,0.088
724.5324,356.0,0.087
734.3826,356.5,0.087
744.267,357.0,0.088
754.1556,357.5,0.087
764.007,358.0,0.085
773.8308,358.5,0.087
783.6504,359.0,0.086
793.473,359.5,0.084
803.2788,360.0,0.087
813.0714,360.5,0.084
822.8946,361.0,0.087
832.7262,361.5,0.085
842.5038,362.0,0.087
852.327,362.5,0.085
862.1532,363.0,0.087
871.9248,363.5,0.085
881.6658,364.0,0.086
891.3594,364.5,0.085
901.0188,365.0,0.086
910.695,365.5,0.087
920.4486,366.0,0.085
930.2328,366.5,0.087
940.0482,367.0,0.086
949.8552,367.5,0.086
959.7204,368.0,0.087
969.5946,368.5,0.084
979.4718,369.0,0.085
989.3376,369.5,0.085
999.1104,370.0,0.087
1008.8508,370.5,0.085
1018.6332,371.0,0.084
1028.403,371.5,0.085
1038.1758,372.0,0.086
1047.9528,372.5,0.087
1057.7106,373.0,0.087
1067.5062,373.5,0.085
1077.3018,374.0,0.083
1087.1082,374.5,0.084
1096.9404,375.0,0.085
1106.7618,375.5,0.087
1116.561,376.0,0.084
1126.3698,376.5,0.084
1136.1498,377.0,0.084
1145.8272,377.5,0.085
1155.5382,378.0,0.083
1165.2372,378.5,0.084
1174.9104,379.0,0.082
1184.6874,379.5,0.084
1194.48,380.0,0.083
1204.2354,380.5,0.082
1214.0358,381.0,0.085
1223.8554,381.5,0.086
1233.6168,382.0,0.085
1243.4454,382.5,0.087
1253.2992,383.0,0.086
1263.147,383.5,0.087
1273.0098,384.0,0.087
1282.8414,384.5,0.089
1292.643,385.0,0.088
1302.4152,385.5,0.087
1312.2018,386.0,0.087
1321.977,386.5,0.088
1331.7258,387.0,0.088
1341.4602,387.5,0.088
1351.1334,388.0,0.088
1360.8114,388.5,0.089
1370.5386,389.0,0.088
1380.2424,389.5,0.088
1389.9942,390.0,0.088
1399.7694,390.5,0.089
1409.499,391.0,0.090
1419.2616,391.5,0.091
1429.0194,392.0,0.091
1438.7592,392.5,0.090
1448.5212,393.0,0.091
1458.264,393.5,0.092
1467.996,394.0,0.090
1477.7442,394.5,0.091
1487.5092,395.0,0.090
1497.3006,395.5,0.089
1507.0488,396.0,0.088
1516.7652,396.5,0.091
1526.481,397.0,0.089
1536.171,397.5,0.088
1545.8676,398.0,0.088
1555.5876,398.5,0.090
1565.2926,399.0,0.090
1574.991,399.5,0.091
1584.6714,400.0,0.090
1594.3536,400.5,0.091
1604.0226,401.0,0.094
1613.7,401.5,0.094
1623.3804,402.0,0.092
1633.0776,402.5,0.094
1642.7418,403.0,0.093
1652.4474,403.5,0.095
1662.1482,404.0,0.095
1671.831,404.5,0.095
1681.542,405.0,0.097
1691.2896,405.5,0.094
1701.0432,406.0,0.096
1710.7842,406.5,0.098
1720.5498,407.0,0.096
1730.2722,407.5,0.097
1739.958,408.0,0.095
1749.6876,408.5,0.098
1759.422,409.0,0.099
1769.1426,409.5,0.098
1778.8752,410.0,0.097
1788.5658,410.5,0.098
1798.2264,411.0,0.097
1807.8996,411.5,0.098
1817.5998,412.0,0.098
1827.3216,412.5,0.099
1837.0164,413.0,0.099
1846.7094,413.5,0.098
1856.421,414.0,0.100
1866.0948,414.5,0.099
1875.7866,415.0,0.100
1885.5132,415.5,0.100
1895.2134,416.0,0.100
1904.919,416.5,0.103
1914.6174,417.0,0.102
1924.2954,417.5,0.102
1933.9254,418.0,0.102
1943.586,418.5,0.102
1953.2646,419.0,0.102
1962.9456,419.5,0.100
1972.6812,420.0,0.100
1982.3646,420.5,0.101
1992.0936,421.0,0.102
2001.7998,421.5,0.103
2011.4994,422.0,0.104
2021.2092,422.5,0.102
2030.88,423.0,0.103
2040.5196,423.5,0.102
2050.206,424.0,0.104
2059.8918,424.5,0.105
2069.5854,425.0,0.106
2079.261,425.5,0.106
2088.9312,426.0,0.105
2098.6032,426.5,0.105
2108.2602,427.0,0.106
2117.9268,427.5,0.107
2127.6078,428.0,0.106
2137.2954,428.5,0.108
2146.9632,429.0,0.106
2156.658,429.5,0.108
