wavenumber (cm-1),reflectivity (-)
600.0,0.05
601.0,0.051
602.0,0.051
603.0,0.051
604.0,0.051
605.0,0.05
606.0,0.05
607.0,0.049
608.0,0.049
609.0,0.049
610.0,0.048
611.0,0.047
612.0,0.047
613.0,0.046
614.0,0.046
615.0,0.046
616.0,0.046
617.0,0.046
618.0,0.045
619.0,0.045
620.0,0.044
621.0,0.044
622.0,0.044
623.0,0.044
624.0,0.044
625.0,0.044
626.0,0.044
627.0,0.045
628.0,0.045
629.0,0.046
630.0,0.046
631.0,0.045
632.0,0.045
633.0,0.045
634.0,0.044
635.0,0.044
636.0,0.044
637.0,0.044
638.0,0.044
639.0,0.043
640.0,0.044
641.0,0.044
642.0,0.045
643.0,0.047
644.0,0.048
645.0,0.049
646.0,0.049
647.0,0.049
648.0,0.048
649.0,0.047
650.0,0.047
651.0,0.046
652.0,0.046
653.0,0.046
654.0,0.046
655.0,0.047
656.0,0.047
657.0,0.047
658.0,0.047
659.0,0.047
660.0,0.047
661.0,0.047
662.0,0.047
663.0,0.047
664.0,0.048
665.0,0.047
666.0,0.047
667.0,0.046
668.0,0.046
669.0,0.046
670.0,0.046
671.0,0.047
672.0,0.047
673.0,0.048
674.0,0.048
675.0,0.047
676.0,0.047
677.0,0.046
678.0,0.046
679.0,0.045
680.0,0.045
681.0,0.045
682.0,0.046
683.0,0.046
684.0,0.047
685.0,0.047
686.0,0.048
687.0,0.048
688.0,0.049
689.0,0.049
690.0,0.049
691.0,0.049
692.0,0.049
693.0,0.049
694.0,0.049
695.0,0.049
696.0,0.049
697.0,0.049
698.0,0.049
699.0,0.049
700.0,0.049
701.0,0.05
702.0,0.049
703.0,0.049
704.0,0.049
705.0,0.049
706.0,0.049
707.0,0.049
708.0,0.05
709.0,0.05
710.0,0.051
711.0,0.052
712.0,0.052
713.0,0.052
714.0,0.052
715.0,0.052
716.0,0.052
717.0,0.052
718.0,0.052
719.0,0.052
720.0,0.052
721.0,0.053
722.0,0.053
723.0,0.053
724.0,0.054
725.0,0.055
726.0,0.055
727.0,0.056
728.0,0.056
729.0,0.056
730.0,0.056
731.0,0.056
732.0,0.056
733.0,0.056
734.0,0.056
735.0,0.057
736.0,0.057
737.0,0.058
738.0,0.059
739.0,0.059
740.0,0.06
741.0,0.06
742.0,0.059
743.0,0.059
744.0,0.059
745.0,0.06
746.0,0.06
747.0,0.061
748.0,0.061
749.0,0.061
750.0,0.061
751.0,0.061
752.0,0.061
753.0,0.061
754.0,0.061
755.0,0.061
756.0,0.062
757.0,0.062
758.0,0.062
759.0,0.062
760.0,0.063
761.0,0.063
762.0,0.063
763.0,0.064
764.0,0.064
765.0,0.064
766.0,0.064
767.0,0.065
768.0,0.065
769.0,0.065
770.0,0.065
771.0,0.065
772.0,0.066
773.0,0.066
774.0,0.067
775.0,0.067
776.0,0.067
777.0,0.068
778.0,0.069
779.0,0.069
780.0,0.07
781.0,0.07
782.0,0.071
783.0,0.071
784.0,0.071
785.0,0.071
786.0,0.072
787.0,0.072
788.0,0.072
789.0,0.073
790.0,0.074
791.0,0.074
792.0,0.075
793.0,0.075
794.0,0.076
795.0,0.076
796.0,0.076
797.0,0.076
798.0,0.076
799.0,0.076
800.0,0.075
801.0,0.075
802.0,0.074
803.0,0.074
804.0,0.073
805.0,0.073
806.0,0.072
807.0,0.072
808.0,0.071
809.0,0.07
810.0,0.07
811.0,0.07
812.0,0.07
813.0,0.071
814.0,0.071
815.0,0.072
816.0,0.072
817.0,0.073
818.0,0.074
819.0,0.075
820.0,0.076
821.0,0.077
822.0,0.078
823.0,0.079
824.0,0.08
825.0,0.081
826.0,0.081
827.0,0.082
828.0,0.083
829.0,0.083
830.0,0.084
831.0,0.084
832.0,0.084
833.0,0.085
834.0,0.085
835.0,0.086
836.0,0.087
837.0,0.088
838.0,0.089
839.0,0.089
840.0,0.09
841.0,0.09
842.0,0.091
843.0,0.091
844.0,0.091
845.0,0.092
846.0,0.092
847.0,0.092
848.0,0.092
849.0,0.091
850.0,0.091
851.0,0.091
852.0,0.091
853.0,0.09
854.0,0.09
855.0,0.089
856.0,0.089
857.0,0.089
858.0,0.089
859.0,0.088
860.0,0.088
861.0,0.088
862.0,0.088
863.0,0.088
864.0,0.088
865.0,0.088
866.0,0.088
867.0,0.088
868.0,0.088
869.0,0.088
870.0,0.088
871.0,0.088
872.0,0.088
873.0,0.089
874.0,0.089
875.0,0.089
876.0,0.089
877.0,0.089
878.0,0.089
879.0,0.089
880.0,0.089
881.0,0.09
882.0,0.09
883.0,0.09
884.0,0.09
885.0,0.09
886.0,0.089
887.0,0.089
888.0,0.088
889.0,0.087
890.0,0.086
891.0,0.086
892.0,0.085
893.0,0.084
894.0,0.084
895.0,0.083
896.0,0.083
897.0,0.082
898.0,0.082
899.0,0.082
900.0,0.083
901.0,0.083
902.0,0.084
903.0,0.085
904.0,0.086
905.0,0.087
906.0,0.088
907.0,0.09
908.0,0.091
909.0,0.093
910.0,0.094
911.0,0.095
912.0,0.097
913.0,0.098
914.0,0.099
915.0,0.099
916.0,0.1
917.0,0.101
918.0,0.101
919.0,0.102
920.0,0.102
921.0,0.103
922.0,0.103
923.0,0.103
924.0,0.104
925.0,0.104
926.0,0.104
927.0,0.104
928.0,0.104
929.0,0.104
930.0,0.103
931.0,0.103
932.0,0.103
933.0,0.102
934.0,0.101
935.0,0.1
936.0,0.1
937.0,0.099
938.0,0.098
939.0,0.098
940.0,0.097
941.0,0.097
942.0,0.097
943.0,0.097
944.0,0.096
945.0,0.096
946.0,0.095
947.0,0.095
948.0,0.094
949.0,0.094
950.0,0.094
951.0,0.093
952.0,0.093
953.0,0.092
954.0,0.092
955.0,0.091
956.0,0.09
957.0,0.089
958.0,0.088
959.0,0.087
960.0,0.087
961.0,0.086
962.0,0.086
963.0,0.085
964.0,0.085
965.0,0.085
966.0,0.084
967.0,0.084
968.0,0.084
969.0,0.084
970.0,0.084
971.0,0.084
972.0,0.084
973.0,0.084
974.0,0.084
975.0,0.084
976.0,0.083
977.0,0.083
978.0,0.082
979.0,0.081
980.0,0.08
981.0,0.079
982.0,0.077
983.0,0.076
984.0,0.074
985.0,0.073
986.0,0.071
987.0,0.07
988.0,0.069
989.0,0.068
990.0,0.067
991.0,0.066
992.0,0.065
993.0,0.065
994.0,0.064
995.0,0.063
996.0,0.063
997.0,0.062
998.0,0.062
999.0,0.061
1000.0,0.061
1001.0,0.061
1002.0,0.061
1003.0,0.06
1004.0,0.06
1005.0,0.06
1006.0,0.059
1007.0,0.059
1008.0,0.06
1009.0,0.06
1010.0,0.06
1011.0,0.06
1012.0,0.06
1013.0,0.059
1014.0,0.059
1015.0,0.059
1016.0,0.059
1017.0,0.059
1018.0,0.059
1019.0,0.059
1020.0,0.059
1021.0,0.058
1022.0,0.058
1023.0,0.058
1024.0,0.058
1025.0,0.057
1026.0,0.057
1027.0,0.057
1028.0,0.056
1029.0,0.055
1030.0,0.055
1031.0,0.054
1032.0,0.053
1033.0,0.052
1034.0,0.052
1035.0,0.051
1036.0,0.05
1037.0,0.049
1038.0,0.048
1039.0,0.047
1040.0,0.047
1041.0,0.046
1042.0,0.046
1043.0,0.046
1044.0,0.047
1045.0,0.047
1046.0,0.047
1047.0,0.048
1048.0,0.048
1049.0,0.048
1050.0,0.049
1051.0,0.049
1052.0,0.049
1053.0,0.049
1054.0,0.05
1055.0,0.05
1056.0,0.05
1057.0,0.049
1058.0,0.049
1059.0,0.048
1060.0,0.047
1061.0,0.047
1062.0,0.046
1063.0,0.045
1064.0,0.043
1065.0,0.042
1066.0,0.041
1067.0,0.04
1068.0,0.038
1069.0,0.037
1070.0,0.036
1071.0,0.035
1072.0,0.034
1073.0,0.033
1074.0,0.033
1075.0,0.032
1076.0,0.031
1077.0,0.031
1078.0,0.03
1079.0,0.029
1080.0,0.029
1081.0,0.028
1082.0,0.027
1083.0,0.027
1084.0,0.027
1085.0,0.026
1086.0,0.026
1087.0,0.027
1088.0,0.027
1089.0,0.027
1090.0,0.027
1091.0,0.027
1092.0,0.027
1093.0,0.027
1094.0,0.027
1095.0,0.026
1096.0,0.026
1097.0,0.026
1098.0,0.027
1099.0,0.027
1100.0,0.028
1101.0,0.028
1102.0,0.028
1103.0,0.028
1104.0,0.028
1105.0,0.027
1106.0,0.027
1107.0,0.026
1108.0,0.026
1109.0,0.026
1110.0,0.025
1111.0,0.025
1112.0,0.024
1113.0,0.024
1114.0,0.023
1115.0,0.023
1116.0,0.022
1117.0,0.022
1118.0,0.022
1119.0,0.022
1120.0,0.022
1121.0,0.022
1122.0,0.022
1123.0,0.021
1124.0,0.021
1125.0,0.021
1126.0,0.021
1127.0,0.021
1128.0,0.021
1129.0,0.021
1130.0,0.022
1131.0,0.022
1132.0,0.023
1133.0,0.023
1134.0,0.023
1135.0,0.023
1136.0,0.024
1137.0,0.024
1138.0,0.025
1139.0,0.025
1140.0,0.025
1141.0,0.026
1142.0,0.026
1143.0,0.027
1144.0,0.027
1145.0,0.027
1146.0,0.028
1147.0,0.028
1148.0,0.028
1149.0,0.028
1150.0,0.029
1151.0,0.029
1152.0,0.029
1153.0,0.03
1154.0,0.03
1155.0,0.03
1156.0,0.03
1157.0,0.03
1158.0,0.03
1159.0,0.03
1160.0,0.03
1161.0,0.029
1162.0,0.029
1163.0,0.029
1164.0,0.028
1165.0,0.027
1166.0,0.027
1167.0,0.026
1168.0,0.025
1169.0,0.025
1170.0,0.025
1171.0,0.025
1172.0,0.025
1173.0,0.026
1174.0,0.026
1175.0,0.026
1176.0,0.027
1177.0,0.027
1178.0,0.028
1179.0,0.028
1180.0,0.029
1181.0,0.03
1182.0,0.031
1183.0,0.031
1184.0,0.032
1185.0,0.032
1186.0,0.033
1187.0,0.033
1188.0,0.033
1189.0,0.034
1190.0,0.034
1191.0,0.034
1192.0,0.034
1193.0,0.035
1194.0,0.035
1195.0,0.035
1196.0,0.035
1197.0,0.035
1198.0,0.035
1199.0,0.035
1200.0,0.035
1201.0,0.035
1202.0,0.035
1203.0,0.035
1204.0,0.035
1205.0,0.034
1206.0,0.034
1207.0,0.034
1208.0,0.034
1209.0,0.034
1210.0,0.034
1211.0,0.034
1212.0,0.034
1213.0,0.034
1214.0,0.034
1215.0,0.034
1216.0,0.034
1217.0,0.034
1218.0,0.034
1219.0,0.034
1220.0,0.034
1221.0,0.034
1222.0,0.034
1223.0,0.033
1224.0,0.033
1225.0,0.033
1226.0,0.033
1227.0,0.033
1228.0,0.033
1229.0,0.033
1230.0,0.033
1231.0,0.033
1232.0,0.032
1233.0,0.032
1234.0,0.032
1235.0,0.032
1236.0,0.032
1237.0,0.032
1238.0,0.032
1239.0,0.033
1240.0,0.033
1241.0,0.033
1242.0,0.033
1243.0,0.033
1244.0,0.033
1245.0,0.033
1246.0,0.033
1247.0,0.033
1248.0,0.033
1249.0,0.033
1250.0,0.033
1251.0,0.033
1252.0,0.032
1253.0,0.032
1254.0,0.032
1255.0,0.032
1256.0,0.031
1257.0,0.031
1258.0,0.031
1259.0,0.031
1260.0,0.03
1261.0,0.03
1262.0,0.03
1263.0,0.03
1264.0,0.03
1265.0,0.03
1266.0,0.029
1267.0,0.029
1268.0,0.029
1269.0,0.029
1270.0,0.029
1271.0,0.029
1272.0,0.029
1273.0,0.029
1274.0,0.029
1275.0,0.029
1276.0,0.029
1277.0,0.03
1278.0,0.03
1279.0,0.03
1280.0,0.031
1281.0,0.031
1282.0,0.031
1283.0,0.031
1284.0,0.032
1285.0,0.032
1286.0,0.033
1287.0,0.033
1288.0,0.034
1289.0,0.035
1290.0,0.035
1291.0,0.036
1292.0,0.036
1293.0,0.037
1294.0,0.037
1295.0,0.037
1296.0,0.037
1297.0,0.037
1298.0,0.037
1299.0,0.038
1300.0,0.038
1301.0,0.038
1302.0,0.038
1303.0,0.038
1304.0,0.038
1305.0,0.038
1306.0,0.038
1307.0,0.038
1308.0,0.038
1309.0,0.038
1310.0,0.038
1311.0,0.037
1312.0,0.037
1313.0,0.037
1314.0,0.037
1315.0,0.036
1316.0,0.036
1317.0,0.036
1318.0,0.036
1319.0,0.036
1320.0,0.036
1321.0,0.036
1322.0,0.036
1323.0,0.036
1324.0,0.036
1325.0,0.036
1326.0,0.036
1327.0,0.036
1328.0,0.037
1329.0,0.037
1330.0,0.037
1331.0,0.037
1332.0,0.037
1333.0,0.037
1334.0,0.037
1335.0,0.036
1336.0,0.037
1337.0,0.037
1338.0,0.037
1339.0,0.037
1340.0,0.037
1341.0,0.037
1342.0,0.037
1343.0,0.037
1344.0,0.037
1345.0,0.037
1346.0,0.038
1347.0,0.038
1348.0,0.038
1349.0,0.038
1350.0,0.038
1351.0,0.038
1352.0,0.038
1353.0,0.037
1354.0,0.037
1355.0,0.037
1356.0,0.037
1357.0,0.037
1358.0,0.037
1359.0,0.036
1360.0,0.036
1361.0,0.036
1362.0,0.035
1363.0,0.035
1364.0,0.035
1365.0,0.034
1366.0,0.034
1367.0,0.034
1368.0,0.034
1369.0,0.034
1370.0,0.033
1371.0,0.033
1372.0,0.033
1373.0,0.033
1374.0,0.033
1375.0,0.033
1376.0,0.033
1377.0,0.033
1378.0,0.033
1379.0,0.033
1380.0,0.033
1381.0,0.034
1382.0,0.034
1383.0,0.034
1384.0,0.035
1385.0,0.036
1386.0,0.037
1387.0,0.038
1388.0,0.039
1389.0,0.04
1390.0,0.04
1391.0,0.041
1392.0,0.041
1393.0,0.042
1394.0,0.042
1395.0,0.043
1396.0,0.043
1397.0,0.044
1398.0,0.044
1399.0,0.044
1400.0,0.044
1401.0,0.044
1402.0,0.044
1403.0,0.044
1404.0,0.044
1405.0,0.044
1406.0,0.044
1407.0,0.043
1408.0,0.043
1409.0,0.043
1410.0,0.043
1411.0,0.042
1412.0,0.042
1413.0,0.041
1414.0,0.041
1415.0,0.04
1416.0,0.04
1417.0,0.039
1418.0,0.038
1419.0,0.038
1420.0,0.037
1421.0,0.037
1422.0,0.036
1423.0,0.036
1424.0,0.036
1425.0,0.035
1426.0,0.035
1427.0,0.035
1428.0,0.034
1429.0,0.034
1430.0,0.034
1431.0,0.034
1432.0,0.034
1433.0,0.034
1434.0,0.035
1435.0,0.035
1436.0,0.036
1437.0,0.036
1438.0,0.037
1439.0,0.038
1440.0,0.038
1441.0,0.038
1442.0,0.039
1443.0,0.039
1444.0,0.039
1445.0,0.039
1446.0,0.038
1447.0,0.038
1448.0,0.038
1449.0,0.037
1450.0,0.037
1451.0,0.036
1452.0,0.036
1453.0,0.036
1454.0,0.036
1455.0,0.036
1456.0,0.036
1457.0,0.036
1458.0,0.036
1459.0,0.036
1460.0,0.037
1461.0,0.036
1462.0,0.036
1463.0,0.036
1464.0,0.036
1465.0,0.036
1466.0,0.037
1467.0,0.037
1468.0,0.038
1469.0,0.039
1470.0,0.04
1471.0,0.041
1472.0,0.042
1473.0,0.044
1474.0,0.046
1475.0,0.047
1476.0,0.048
1477.0,0.05
1478.0,0.051
1479.0,0.052
1480.0,0.053
1481.0,0.054
1482.0,0.054
1483.0,0.055
1484.0,0.056
1485.0,0.056
1486.0,0.056
1487.0,0.056
1488.0,0.056
1489.0,0.056
1490.0,0.056
1491.0,0.056
1492.0,0.055
1493.0,0.055
1494.0,0.054
1495.0,0.053
1496.0,0.052
1497.0,0.051
1498.0,0.049
1499.0,0.048
1500.0,0.047
1501.0,0.046
1502.0,0.045
1503.0,0.044
1504.0,0.043
1505.0,0.041
1506.0,0.04
1507.0,0.038
1508.0,0.037
1509.0,0.036
1510.0,0.036
1511.0,0.036
1512.0,0.037
1513.0,0.037
1514.0,0.037
1515.0,0.038
1516.0,0.04
1517.0,0.042
1518.0,0.044
1519.0,0.046
1520.0,0.049
1521.0,0.053
1522.0,0.057
1523.0,0.061
1524.0,0.065
1525.0,0.068
1526.0,0.072
1527.0,0.075
1528.0,0.079
1529.0,0.082
1530.0,0.085
1531.0,0.088
1532.0,0.09
1533.0,0.093
1534.0,0.096
1535.0,0.098
1536.0,0.1
1537.0,0.102
1538.0,0.103
1539.0,0.105
1540.0,0.106
1541.0,0.108
1542.0,0.109
1543.0,0.11
1544.0,0.111
1545.0,0.112
1546.0,0.112
1547.0,0.113
1548.0,0.113
1549.0,0.113
1550.0,0.114
1551.0,0.114
1552.0,0.114
1553.0,0.114
1554.0,0.114
1555.0,0.114
1556.0,0.114
1557.0,0.113
1558.0,0.113
1559.0,0.111
1560.0,0.11
1561.0,0.109
1562.0,0.109
1563.0,0.108
1564.0,0.107
1565.0,0.106
1566.0,0.105
1567.0,0.103
1568.0,0.101
1569.0,0.098
1570.0,0.096
1571.0,0.093
1572.0,0.091
1573.0,0.089
1574.0,0.087
1575.0,0.084
1576.0,0.081
1577.0,0.078
1578.0,0.075
1579.0,0.073
1580.0,0.071
1581.0,0.069
1582.0,0.067
1583.0,0.065
1584.0,0.063
1585.0,0.062
1586.0,0.06
1587.0,0.059
1588.0,0.058
1589.0,0.057
1590.0,0.056
1591.0,0.055
1592.0,0.055
1593.0,0.054
1594.0,0.054
1595.0,0.053
1596.0,0.053
1597.0,0.053
1598.0,0.053
1599.0,0.053
1600.0,0.053
1601.0,0.053
1602.0,0.053
1603.0,0.053
1604.0,0.052
1605.0,0.052
1606.0,0.052
1607.0,0.052
1608.0,0.052
1609.0,0.052
1610.0,0.053
1611.0,0.053
1612.0,0.053
1613.0,0.053
1614.0,0.054
1615.0,0.054
1616.0,0.054
1617.0,0.054
1618.0,0.054
1619.0,0.054
1620.0,0.054
1621.0,0.054
1622.0,0.054
1623.0,0.054
1624.0,0.054
1625.0,0.054
1626.0,0.054
1627.0,0.054
1628.0,0.054
1629.0,0.054
1630.0,0.053
1631.0,0.053
1632.0,0.053
1633.0,0.052
1634.0,0.052
1635.0,0.052
1636.0,0.051
1637.0,0.051
1638.0,0.051
1639.0,0.051
1640.0,0.051
1641.0,0.051
1642.0,0.051
1643.0,0.052
1644.0,0.052
1645.0,0.053
1646.0,0.054
1647.0,0.055
1648.0,0.055
1649.0,0.056
1650.0,0.056
1651.0,0.056
1652.0,0.056
1653.0,0.057
1654.0,0.057
1655.0,0.057
1656.0,0.057
1657.0,0.057
1658.0,0.058
1659.0,0.058
1660.0,0.058
1661.0,0.059
1662.0,0.06
1663.0,0.061
1664.0,0.062
1665.0,0.063
1666.0,0.064
1667.0,0.065
1668.0,0.066
1669.0,0.067
1670.0,0.069
1671.0,0.07
1672.0,0.072
1673.0,0.073
1674.0,0.075
1675.0,0.076
1676.0,0.078
1677.0,0.079
1678.0,0.081
1679.0,0.082
1680.0,0.083
1681.0,0.085
1682.0,0.086
1683.0,0.088
1684.0,0.089
1685.0,0.091
1686.0,0.093
1687.0,0.094
1688.0,0.095
1689.0,0.095
1690.0,0.096
1691.0,0.097
1692.0,0.097
1693.0,0.097
1694.0,0.098
1695.0,0.098
1696.0,0.099
1697.0,0.099
1698.0,0.099
1699.0,0.099
1700.0,0.099
1701.0,0.098
1702.0,0.098
1703.0,0.097
1704.0,0.097
1705.0,0.096
1706.0,0.096
1707.0,0.095
1708.0,0.094
1709.0,0.094
1710.0,0.093
1711.0,0.092
1712.0,0.092
1713.0,0.091
1714.0,0.09
1715.0,0.089
1716.0,0.088
1717.0,0.087
1718.0,0.085
1719.0,0.084
1720.0,0.083
1721.0,0.082
1722.0,0.081
1723.0,0.08
1724.0,0.08
1725.0,0.079
1726.0,0.078
1727.0,0.078
1728.0,0.077
1729.0,0.077
1730.0,0.076
1731.0,0.076
1732.0,0.075
1733.0,0.075
1734.0,0.075
1735.0,0.075
1736.0,0.075
1737.0,0.075
1738.0,0.076
1739.0,0.077
1740.0,0.078
1741.0,0.079
1742.0,0.08
1743.0,0.081
1744.0,0.082
1745.0,0.084
1746.0,0.085
1747.0,0.087
1748.0,0.089
1749.0,0.091
1750.0,0.094
1751.0,0.097
1752.0,0.1
1753.0,0.103
1754.0,0.106
1755.0,0.109
1756.0,0.112
1757.0,0.116
1758.0,0.12
1759.0,0.124
1760.0,0.128
1761.0,0.133
1762.0,0.138
1763.0,0.142
1764.0,0.147
1765.0,0.151
1766.0,0.155
1767.0,0.159
1768.0,0.163
1769.0,0.166
1770.0,0.17
1771.0,0.174
1772.0,0.178
1773.0,0.182
1774.0,0.185
1775.0,0.188
1776.0,0.191
1777.0,0.193
1778.0,0.195
1779.0,0.197
1780.0,0.2
1781.0,0.202
1782.0,0.204
1783.0,0.206
1784.0,0.208
1785.0,0.209
1786.0,0.211
1787.0,0.212
1788.0,0.213
1789.0,0.215
1790.0,0.216
1791.0,0.217
1792.0,0.218
1793.0,0.219
1794.0,0.22
1795.0,0.221
1796.0,0.222
1797.0,0.223
1798.0,0.224
1799.0,0.225
1800.0,0.225
1801.0,0.226
1802.0,0.227
1803.0,0.228
1804.0,0.229
1805.0,0.229
1806.0,0.23
1807.0,0.231
1808.0,0.231
1809.0,0.232
1810.0,0.232
1811.0,0.233
1812.0,0.234
1813.0,0.234
1814.0,0.235
1815.0,0.235
1816.0,0.236
1817.0,0.236
1818.0,0.237
1819.0,0.238
1820.0,0.238
1821.0,0.239
1822.0,0.24
1823.0,0.24
1824.0,0.241
1825.0,0.241
1826.0,0.241
1827.0,0.242
1828.0,0.242
1829.0,0.243
1830.0,0.243
1831.0,0.244
1832.0,0.244
1833.0,0.245
1834.0,0.245
1835.0,0.246
1836.0,0.246
1837.0,0.246
1838.0,0.247
1839.0,0.247
1840.0,0.247
1841.0,0.248
1842.0,0.248
1843.0,0.249
1844.0,0.249
1845.0,0.249
1846.0,0.25
1847.0,0.25
1848.0,0.251
1849.0,0.251
1850.0,0.251
1851.0,0.252
1852.0,0.252
1853.0,0.252
1854.0,0.252
1855.0,0.253
1856.0,0.253
1857.0,0.253
1858.0,0.253
1859.0,0.253
1860.0,0.253
1861.0,0.254
1862.0,0.254
1863.0,0.254
1864.0,0.254
1865.0,0.254
1866.0,0.255
1867.0,0.255
1868.0,0.255
1869.0,0.255
1870.0,0.255
1871.0,0.255
1872.0,0.255
1873.0,0.255
1874.0,0.255
1875.0,0.255
1876.0,0.255
1877.0,0.255
1878.0,0.255
1879.0,0.255
1880.0,0.255
1881.0,0.255
1882.0,0.255
1883.0,0.255
1884.0,0.255
1885.0,0.255
1886.0,0.255
1887.0,0.255
1888.0,0.255
1889.0,0.256
1890.0,0.256
1891.0,0.256
1892.0,0.256
1893.0,0.256
1894.0,0.256
1895.0,0.256
1896.0,0.256
1897.0,0.256
1898.0,0.257
1899.0,0.257
1900.0,0.257
1901.0,0.257
1902.0,0.257
1903.0,0.257
1904.0,0.257
1905.0,0.257
1906.0,0.258
1907.0,0.258
1908.0,0.258
1909.0,0.258
1910.0,0.258
1911.0,0.258
1912.0,0.258
1913.0,0.259
1914.0,0.259
1915.0,0.259
1916.0,0.258
1917.0,0.258
1918.0,0.258
1919.0,0.258
1920.0,0.258
1921.0,0.258
1922.0,0.258
1923.0,0.258
1924.0,0.258
1925.0,0.258
1926.0,0.258
1927.0,0.258
1928.0,0.257
1929.0,0.257
1930.0,0.257
1931.0,0.256
1932.0,0.256
1933.0,0.255
1934.0,0.255
1935.0,0.255
1936.0,0.254
1937.0,0.254
1938.0,0.254
1939.0,0.253
1940.0,0.253
1941.0,0.253
1942.0,0.252
1943.0,0.251
1944.0,0.251
1945.0,0.25
1946.0,0.249
1947.0,0.249
1948.0,0.248
1949.0,0.248
1950.0,0.247
1951.0,0.246
1952.0,0.246
1953.0,0.246
1954.0,0.245
1955.0,0.245
1956.0,0.244
1957.0,0.243
1958.0,0.243
1959.0,0.242
1960.0,0.242
1961.0,0.241
1962.0,0.241
1963.0,0.241
1964.0,0.241
1965.0,0.24
1966.0,0.24
1967.0,0.24
1968.0,0.24
1969.0,0.24
1970.0,0.239
1971.0,0.239
1972.0,0.238
1973.0,0.238
1974.0,0.238
1975.0,0.238
1976.0,0.237
1977.0,0.237
1978.0,0.237
1979.0,0.237
1980.0,0.237
1981.0,0.237
1982.0,0.237
1983.0,0.236
1984.0,0.236
1985.0,0.236
1986.0,0.235
1987.0,0.235
1988.0,0.235
1989.0,0.234
1990.0,0.234
1991.0,0.234
1992.0,0.233
1993.0,0.233
1994.0,0.233
1995.0,0.233
1996.0,0.233
1997.0,0.232
1998.0,0.232
1999.0,0.232
2000.0,0.232
2001.0,0.232
2002.0,0.231
2003.0,0.231
2004.0,0.23
2005.0,0.23
2006.0,0.23
2007.0,0.23
2008.0,0.229
2009.0,0.229
2010.0,0.229
2011.0,0.229
2012.0,0.228
2013.0,0.228
2014.0,0.227
2015.0,0.227
2016.0,0.226
2017.0,0.226
2018.0,0.225
2019.0,0.225
