Time (s),Temperature (K),Heat Flow Rate (W/g)
0,325.0,6.68E-03
13.497,325.5,3.78E-02
20.4282,326.0,6.38E-02
25.5186,326.5,8.77E-02
29.7162,327.0,1.08E-01
33.3696,327.5,1.26E-01
36.675,328.0,1.44E-01
39.6204,328.5,1.60E-01
42.3984,329.0,1.77E-01
45.0966,329.5,1.93E-01
47.5632,330.0,2.06E-01
49.8996,330.5,2.16E-01
52.1424,331.0,2.32E-01
54.3012,331.5,2.44E-01
56.3808,332.0,2.56E-01
58.38,332.5,2.66E-01
60.3348,333.0,2.77E-01
62.2458,333.5,2.88E-01
64.0824,334.0,2.97E-01
65.8674,334.5,3.05E-01
67.6104,335.0,3.18E-01
69.3252,335.5,3.27E-01
71.019,336.0,3.34E-01
72.6822,336.5,3.44E-01
74.3226,337.0,3.51E-01
75.9396,337.5,3.60E-01
77.5158,338.0,3.68E-01
79.0776,338.5,3.75E-01
80.6172,339.0,3.85E-01
82.1352,339.5,3.90E-01
83.643,340.0,3.98E-01
85.1052,340.5,4.04E-01
86.5734,341.0,4.13E-01
88.0206,341.5,4.18E-01
89.4672,342.0,4.26E-01
90.8886,342.5,4.32E-01
92.2914,343.0,4.38E-01
93.687,343.5,4.43E-01
95.0652,344.0,4.51E-01
96.4434,344.5,4.56E-01
97.806,345.0,4.62E-01
99.1596,345.5,4.68E-01
100.5108,346.0,4.73E-01
101.826,346.5,4.76E-01
103.1544,347.0,4.83E-01
104.4744,347.5,4.90E-01
105.777,348.0,4.94E-01
107.1,348.5,5.00E-01
108.4002,349.0,5.04E-01
109.692,349.5,5.08E-01
110.9796,350.0,5.17E-01
112.2558,350.5,5.20E-01
113.526,351.0,5.25E-01
114.7842,351.5,5.31E-01
116.031,352.0,5.36E-01
117.2802,352.5,5.41E-01
118.521,353.0,5.45E-01
119.7636,353.5,5.48E-01
120.9972,354.0,5.54E-01
122.2278,354.5,5.57E-01
123.4422,355.0,5.61E-01
124.665,355.5,5.64E-01
125.883,356.0,5.70E-01
127.0944,356.5,5.72E-01
128.301,357.0,5.78E-01
129.5022,357.5,5.82E-01
130.6902,358.0,5.86E-01
131.8848,358.5,5.91E-01
133.0722,359.0,5.96E-01
134.2626,359.5,6.00E-01
135.4446,360.0,6.02E-01
136.6248,360.5,6.08E-01
137.796,361.0,6.11E-01
138.963,361.5,6.16E-01
140.1228,362.0,6.19E-01
141.2796,362.5,6.22E-01
142.4316,363.0,6.26E-01
143.5812,363.5,6.29E-01
144.7284,364.0,6.33E-01
145.8768,364.5,6.36E-01
147.0228,365.0,6.40E-01
148.1598,365.5,6.42E-01
149.2968,366.0,6.46E-01
150.4362,366.5,6.50E-01
151.5696,367.0,6.55E-01
152.7,367.5,6.57E-01
153.8292,368.0,6.61E-01
154.9524,368.5,6.63E-01
156.0714,369.0,6.68E-01
157.1862,369.5,6.72E-01
158.2998,370.0,6.76E-01
159.411,370.5,6.76E-01
160.5198,371.0,6.78E-01
161.6226,371.5,6.81E-01
162.7182,372.0,6.85E-01
163.8252,372.5,6.88E-01
164.931,373.0,6.92E-01
166.0344,373.5,6.95E-01
167.1354,374.0,6.96E-01
168.2448,374.5,6.99E-01
169.3368,375.0,7.01E-01
170.427,375.5,7.04E-01
171.516,376.0,7.07E-01
172.6044,376.5,7.09E-01
173.6886,377.0,7.10E-01
174.774,377.5,7.11E-01
175.8522,378.0,7.14E-01
176.9352,378.5,7.16E-01
178.0188,379.0,7.19E-01
179.0994,379.5,7.19E-01
180.1656,380.0,7.22E-01
181.2438,380.5,7.25E-01
182.3244,381.0,7.24E-01
183.3966,381.5,7.27E-01
184.4706,382.0,7.28E-01
185.5548,382.5,7.30E-01
186.6234,383.0,7.33E-01
187.689,383.5,7.34E-01
188.754,384.0,7.36E-01
189.8124,384.5,7.36E-01
190.8768,385.0,7.35E-01
191.9406,385.5,7.36E-01
192.9984,386.0,7.39E-01
194.0628,386.5,7.40E-01
195.1152,387.0,7.41E-01
196.1694,387.5,7.41E-01
197.2272,388.0,7.41E-01
198.2856,388.5,7.42E-01
199.3368,389.0,7.42E-01
200.4048,389.5,7.41E-01
201.4602,390.0,7.43E-01
202.512,390.5,7.43E-01
203.5614,391.0,7.43E-01
204.609,391.5,7.43E-01
205.6506,392.0,7.45E-01
206.6958,392.5,7.44E-01
207.741,393.0,7.45E-01
208.7844,393.5,7.45E-01
209.8224,394.0,7.46E-01
210.8646,394.5,7.47E-01
211.902,395.0,7.46E-01
212.94,395.5,7.48E-01
213.9732,396.0,7.46E-01
215.0118,396.5,7.47E-01
216.045,397.0,7.47E-01
217.0758,397.5,7.47E-01
218.1048,398.0,7.50E-01
219.1368,398.5,7.50E-01
220.1688,399.0,7.49E-01
221.1948,399.5,7.49E-01
222.2244,400.0,7.49E-01
223.2504,400.5,7.48E-01
224.2716,401.0,7.51E-01
225.288,401.5,7.51E-01
226.308,402.0,7.52E-01
227.3226,402.5,7.53E-01
228.336,403.0,7.52E-01
229.3488,403.5,7.54E-01
230.361,404.0,7.55E-01
231.3714,404.5,7.57E-01
232.3824,405.0,7.57E-01
233.3928,405.5,7.56E-01
234.405,406.0,7.56E-01
235.416,406.5,7.58E-01
236.4222,407.0,7.58E-01
237.4278,407.5,7.60E-01
238.4304,408.0,7.61E-01
239.4318,408.5,7.63E-01
240.4302,409.0,7.62E-01
241.4286,409.5,7.63E-01
242.4306,410.0,7.64E-01
243.4302,410.5,7.66E-01
244.4262,411.0,7.68E-01
245.4234,411.5,7.67E-01
246.4176,412.0,7.71E-01
247.4064,412.5,7.72E-01
248.388,413.0,7.71E-01
249.3828,413.5,7.73E-01
250.3722,414.0,7.75E-01
251.358,414.5,7.75E-01
252.3366,415.0,7.76E-01
253.3344,415.5,7.80E-01
254.325,416.0,7.80E-01
255.3054,416.5,7.82E-01
256.2882,417.0,7.82E-01
257.2794,417.5,7.84E-01
258.2598,418.0,7.86E-01
259.2378,418.5,7.88E-01
260.2152,419.0,7.89E-01
261.1956,419.5,7.91E-01
262.1742,420.0,7.92E-01
263.1504,420.5,7.93E-01
264.1278,421.0,7.93E-01
265.1046,421.5,7.99E-01
266.0814,422.0,7.98E-01
267.0546,422.5,7.99E-01
268.0272,423.0,8.02E-01
269.001,423.5,8.03E-01
269.9706,424.0,8.04E-01
