wavenumber (cm-1),reflectivity (-)
600.0,0.197
601.0,0.198
602.0,0.198
603.0,0.198
604.0,0.198
605.0,0.198
606.0,0.198
607.0,0.198
608.0,0.197
609.0,0.197
610.0,0.198
611.0,0.198
612.0,0.198
613.0,0.198
614.0,0.199
615.0,0.199
616.0,0.198
617.0,0.198
618.0,0.198
619.0,0.198
620.0,0.197
621.0,0.197
622.0,0.197
623.0,0.197
624.0,0.197
625.0,0.197
626.0,0.197
627.0,0.198
628.0,0.198
629.0,0.198
630.0,0.198
631.0,0.198
632.0,0.197
633.0,0.197
634.0,0.198
635.0,0.198
636.0,0.198
637.0,0.198
638.0,0.198
639.0,0.199
640.0,0.199
641.0,0.2
642.0,0.201
643.0,0.202
644.0,0.202
645.0,0.203
646.0,0.203
647.0,0.203
648.0,0.203
649.0,0.203
650.0,0.202
651.0,0.201
652.0,0.201
653.0,0.201
654.0,0.201
655.0,0.201
656.0,0.201
657.0,0.201
658.0,0.2
659.0,0.2
660.0,0.2
661.0,0.2
662.0,0.2
663.0,0.2
664.0,0.2
665.0,0.201
666.0,0.202
667.0,0.202
668.0,0.203
669.0,0.203
670.0,0.203
671.0,0.203
672.0,0.202
673.0,0.202
674.0,0.203
675.0,0.202
676.0,0.202
677.0,0.202
678.0,0.202
679.0,0.203
680.0,0.203
681.0,0.203
682.0,0.204
683.0,0.204
684.0,0.204
685.0,0.203
686.0,0.203
687.0,0.203
688.0,0.203
689.0,0.203
690.0,0.203
691.0,0.203
692.0,0.202
693.0,0.202
694.0,0.202
695.0,0.202
696.0,0.202
697.0,0.202
698.0,0.202
699.0,0.203
700.0,0.203
701.0,0.203
702.0,0.202
703.0,0.202
704.0,0.202
705.0,0.202
706.0,0.203
707.0,0.203
708.0,0.203
709.0,0.203
710.0,0.202
711.0,0.202
712.0,0.202
713.0,0.202
714.0,0.202
715.0,0.201
716.0,0.201
717.0,0.201
718.0,0.202
719.0,0.202
720.0,0.202
721.0,0.202
722.0,0.202
723.0,0.202
724.0,0.202
725.0,0.202
726.0,0.202
727.0,0.202
728.0,0.202
729.0,0.202
730.0,0.202
731.0,0.201
732.0,0.201
733.0,0.201
734.0,0.201
735.0,0.201
736.0,0.201
737.0,0.201
738.0,0.2
739.0,0.2
740.0,0.2
741.0,0.2
742.0,0.2
743.0,0.2
744.0,0.2
745.0,0.2
746.0,0.2
747.0,0.199
748.0,0.199
749.0,0.199
750.0,0.198
751.0,0.198
752.0,0.198
753.0,0.197
754.0,0.197
755.0,0.197
756.0,0.197
757.0,0.198
758.0,0.198
759.0,0.198
760.0,0.198
761.0,0.198
762.0,0.198
763.0,0.198
764.0,0.198
765.0,0.198
766.0,0.198
767.0,0.198
768.0,0.198
769.0,0.199
770.0,0.199
771.0,0.2
772.0,0.2
773.0,0.201
774.0,0.201
775.0,0.2
776.0,0.2
777.0,0.2
778.0,0.2
779.0,0.2
780.0,0.199
781.0,0.199
782.0,0.199
783.0,0.199
784.0,0.199
785.0,0.199
786.0,0.198
787.0,0.198
788.0,0.198
789.0,0.198
790.0,0.197
791.0,0.197
792.0,0.198
793.0,0.198
794.0,0.198
795.0,0.197
796.0,0.197
797.0,0.196
798.0,0.196
799.0,0.196
800.0,0.196
801.0,0.196
802.0,0.196
803.0,0.195
804.0,0.195
805.0,0.195
