Time,Mass (g),HRRPUA (kW/m2)
0.0,98.52,4.9
1.0,98.45,5.2
2.0,98.46,5.6
3.0,98.65,6.0
4.0,98.57,6.7
5.0,98.51,7.0
6.0,98.46,7.4
7.0,98.41,8.0
8.0,98.35,8.3
9.0,98.31,8.4
10.0,98.21,8.5
11.0,98.13,8.4
12.0,98.05,8.3
13.0,97.9,8.2
14.0,97.74,8.3
15.0,97.5,7.8
16.0,97.29,7.9
17.0,97.09,7.8
18.0,96.85,8.0
19.0,96.66,8.0
20.0,96.4,7.9
21.0,96.22,11.8
22.0,95.99,18.7
23.0,95.78,35.2
24.0,95.6,60.8
25.0,95.36,90.9
26.0,95.16,121.0
27.0,94.94,163.6
28.0,94.73,182.9
29.0,94.53,213.8
30.0,94.36,243.0
31.0,94.17,267.9
32.0,94.0,288.0
33.0,93.85,306.2
34.0,93.66,317.2
35.0,93.47,335.5
36.0,93.26,330.5
37.0,93.12,355.6
38.0,92.95,344.3
39.0,92.77,353.3
40.0,92.55,348.0
41.0,92.43,339.8
42.0,92.24,345.5
43.0,92.0,346.4
44.0,91.83,330.0
45.0,91.65,326.5
46.0,91.45,325.8
47.0,91.35,320.2
48.0,91.18,323.2
49.0,91.02,310.6
50.0,90.88,312.2
51.0,90.72,307.5
52.0,90.54,297.4
53.0,90.43,285.9
54.0,90.27,287.7
55.0,90.11,282.5
56.0,89.96,284.2
57.0,89.8,269.5
58.0,89.7,273.0
59.0,89.54,271.2
60.0,89.41,262.8
61.0,89.28,260.6
62.0,89.11,261.8
63.0,88.97,255.6
64.0,88.87,254.6
65.0,88.74,243.2
66.0,88.61,245.6
67.0,88.48,240.8
68.0,88.36,239.3
69.0,88.21,239.2
70.0,88.07,232.8
71.0,87.96,235.0
72.0,87.83,231.4
73.0,87.71,224.2
74.0,87.57,229.8
75.0,87.45,226.5
76.0,87.31,225.5
77.0,87.19,224.9
78.0,86.98,217.7
79.0,86.87,214.4
80.0,86.75,214.1
81.0,86.63,209.2
82.0,86.47,213.0
83.0,86.36,211.3
84.0,86.21,206.7
85.0,86.09,201.0
86.0,85.98,202.6
87.0,85.86,201.0
88.0,85.74,201.5
89.0,85.66,198.7
90.0,85.49,196.3
91.0,85.38,192.4
92.0,85.25,200.3
93.0,85.13,201.6
94.0,85.01,195.1
95.0,84.88,191.7
96.0,84.78,192.7
97.0,84.69,188.8
98.0,84.56,186.6
99.0,84.44,183.9
100.0,84.33,187.3
101.0,84.2,185.4
102.0,84.1,186.1
103.0,84.0,182.6
104.0,83.88,186.7
105.0,83.75,180.8
106.0,83.68,179.1
107.0,83.54,177.9
108.0,83.42,174.5
109.0,83.28,173.8
110.0,83.18,176.0
111.0,83.05,177.2
112.0,82.94,175.0
113.0,82.8,171.4
114.0,82.69,175.5
115.0,82.57,168.9
116.0,82.48,172.8
117.0,82.34,169.1
118.0,82.2,170.4
119.0,82.11,167.5
120.0,82.01,163.2
121.0,81.88,169.7
122.0,81.77,164.5
123.0,81.64,165.1
124.0,81.55,165.2
125.0,81.47,166.2
126.0,81.35,162.7
127.0,81.22,163.3
128.0,81.12,160.0
129.0,81.01,164.7
130.0,80.92,160.6
131.0,80.77,163.1
132.0,80.7,158.2
133.0,80.58,160.0
134.0,80.47,160.7
135.0,80.36,159.9
136.0,80.26,158.9
137.0,80.16,159.0
138.0,80.03,157.5
139.0,79.94,156.5
140.0,79.82,155.0
141.0,79.72,154.1
142.0,79.65,156.2
143.0,79.52,152.0
144.0,79.42,149.6
145.0,79.34,151.1
146.0,79.22,150.2
147.0,79.1,149.7
148.0,79.01,150.9
149.0,78.91,149.8
150.0,78.76,149.2
151.0,78.65,148.2
152.0,78.55,147.7
153.0,78.45,149.1
154.0,78.34,148.2
155.0,78.22,147.5
156.0,78.11,145.6
157.0,77.98,144.6
158.0,77.92,145.8
159.0,77.78,143.2
160.0,77.72,144.7
161.0,77.59,146.3
162.0,77.5,141.9
163.0,77.38,144.1
164.0,77.25,145.7
165.0,77.17,144.0
166.0,77.04,144.5
167.0,76.94,143.0
168.0,76.85,144.3
169.0,76.75,142.9
170.0,76.64,143.1
171.0,76.52,142.1
172.0,76.44,143.2
173.0,76.35,140.8
174.0,76.25,138.5
175.0,76.11,140.0
176.0,76.06,138.9
177.0,75.96,141.6
178.0,75.87,143.0
179.0,75.76,142.5
180.0,75.65,140.8
181.0,75.57,139.4
182.0,75.49,139.8
183.0,75.31,137.7
184.0,75.23,139.8
185.0,75.15,137.0
186.0,75.01,138.8
187.0,74.94,135.7
188.0,74.82,137.2
189.0,74.68,134.7
190.0,74.62,137.9
191.0,74.49,131.4
192.0,74.39,134.8
193.0,74.27,134.0
194.0,74.2,133.8
195.0,74.07,135.2
196.0,74.0,136.4
197.0,73.92,135.3
198.0,73.8,132.6
199.0,73.66,133.0
200.0,73.59,132.9
201.0,73.52,132.4
202.0,73.4,132.4
203.0,73.27,131.6
204.0,73.19,127.6
205.0,73.11,129.6
206.0,73.0,129.5
207.0,72.88,129.4
208.0,72.79,129.1
209.0,72.71,128.3
210.0,72.59,126.2
211.0,72.52,129.3
212.0,72.43,129.1
213.0,72.35,128.4
214.0,72.23,126.4
215.0,72.13,130.5
216.0,72.06,127.4
