Time (s),Temperature (K),Heat Flow Rate (W/g)
0,325.0,2.34E-03
10.8786,325.5,3.13E-02
17.4258,326.0,5.74E-02
22.2714,326.5,7.80E-02
26.385,327.0,1.00E-01
29.9352,327.5,1.19E-01
33.0948,328.0,1.36E-01
36.0702,328.5,1.54E-01
38.901,329.0,1.71E-01
41.4468,329.5,1.86E-01
43.887,330.0,2.00E-01
46.2354,330.5,2.13E-01
48.4656,331.0,2.25E-01
50.6142,331.5,2.39E-01
52.6896,332.0,2.49E-01
54.6948,332.5,2.62E-01
56.6442,333.0,2.73E-01
58.5414,333.5,2.83E-01
60.3882,334.0,2.94E-01
62.184,334.5,3.07E-01
63.9414,335.0,3.15E-01
65.6568,335.5,3.24E-01
67.3512,336.0,3.34E-01
69.0132,336.5,3.43E-01
70.656,337.0,3.52E-01
72.2616,337.5,3.62E-01
73.8492,338.0,3.69E-01
75.411,338.5,3.76E-01
76.9656,339.0,3.84E-01
78.4938,339.5,3.93E-01
80.0058,340.0,3.99E-01
81.4902,340.5,4.09E-01
82.9656,341.0,4.15E-01
84.423,341.5,4.21E-01
85.8654,342.0,4.28E-01
87.2988,342.5,4.36E-01
88.7142,343.0,4.43E-01
90.1224,343.5,4.50E-01
91.5168,344.0,4.56E-01
92.8968,344.5,4.62E-01
94.2768,345.0,4.68E-01
95.6412,345.5,4.74E-01
97.002,346.0,4.80E-01
98.3544,346.5,4.87E-01
99.6882,347.0,4.93E-01
101.019,347.5,4.98E-01
102.3348,348.0,5.04E-01
103.6476,348.5,5.12E-01
104.9508,349.0,5.16E-01
106.2438,349.5,5.22E-01
107.5428,350.0,5.28E-01
108.8256,350.5,5.32E-01
110.1096,351.0,5.37E-01
111.3846,351.5,5.43E-01
112.6476,352.0,5.49E-01
113.9082,352.5,5.54E-01
115.1664,353.0,5.60E-01
116.4174,353.5,5.65E-01
117.6618,354.0,5.68E-01
118.9056,354.5,5.73E-01
120.1404,355.0,5.79E-01
121.362,355.5,5.83E-01
122.5818,356.0,5.89E-01
123.7926,356.5,5.94E-01
124.9992,357.0,5.99E-01
126.2004,357.5,6.02E-01
127.4028,358.0,6.08E-01
128.6022,358.5,6.13E-01
129.7884,359.0,6.18E-01
130.98,359.5,6.22E-01
132.168,360.0,6.26E-01
133.3464,360.5,6.31E-01
134.523,361.0,6.36E-01
135.7032,361.5,6.40E-01
136.8732,362.0,6.43E-01
138.0396,362.5,6.47E-01
139.2054,363.0,6.52E-01
140.3622,363.5,6.55E-01
141.5148,364.0,6.60E-01
142.662,364.5,6.66E-01
143.8104,365.0,6.69E-01
144.948,365.5,6.73E-01
146.091,366.0,6.76E-01
147.2346,366.5,6.80E-01
148.3686,367.0,6.84E-01
149.4984,367.5,6.89E-01
150.6294,368.0,6.92E-01
151.7556,368.5,6.96E-01
152.877,369.0,7.00E-01
153.9972,369.5,7.02E-01
155.118,370.0,7.05E-01
156.2316,370.5,7.09E-01
157.3476,371.0,7.15E-01
158.4546,371.5,7.17E-01
159.561,372.0,7.21E-01
160.665,372.5,7.24E-01
161.7696,373.0,7.28E-01
162.8676,373.5,7.30E-01
163.968,374.0,7.34E-01
165.0642,374.5,7.36E-01
166.155,375.0,7.39E-01
167.2488,375.5,7.43E-01
168.3432,376.0,7.47E-01
169.4358,376.5,7.48E-01
170.526,377.0,7.49E-01
171.618,377.5,7.53E-01
172.7064,378.0,7.57E-01
173.79,378.5,7.60E-01
174.8658,379.0,7.60E-01
175.9458,379.5,7.62E-01
177.0168,380.0,7.62E-01
178.0872,380.5,7.65E-01
179.163,381.0,7.66E-01
180.246,381.5,7.69E-01
181.3146,382.0,7.69E-01
182.3976,382.5,7.71E-01
183.4752,383.0,7.72E-01
184.5438,383.5,7.72E-01
185.6064,384.0,7.74E-01
186.6792,384.5,7.75E-01
187.7406,385.0,7.75E-01
188.7942,385.5,7.78E-01
189.8484,386.0,7.79E-01
190.9104,386.5,7.78E-01
191.9712,387.0,7.81E-01
193.029,387.5,7.84E-01
194.0916,388.0,7.82E-01
195.1542,388.5,7.82E-01
196.2072,389.0,7.81E-01
197.2602,389.5,7.84E-01
198.3072,390.0,7.84E-01
199.3566,390.5,7.82E-01
200.4024,391.0,7.87E-01
201.444,391.5,7.84E-01
202.4874,392.0,7.84E-01
203.5338,392.5,7.84E-01
204.576,393.0,7.84E-01
205.6236,393.5,7.84E-01
206.67,394.0,7.84E-01
207.708,394.5,7.83E-01
208.7412,395.0,7.83E-01
209.7642,395.5,7.83E-01
210.7824,396.0,7.85E-01
211.8006,396.5,7.84E-01
212.8266,397.0,7.82E-01
213.8556,397.5,7.83E-01
214.8912,398.0,7.82E-01
215.9196,398.5,7.85E-01
216.9582,399.0,7.84E-01
217.9848,399.5,7.83E-01
219.0078,400.0,7.84E-01
220.023,400.5,7.85E-01
221.0508,401.0,7.84E-01
222.0702,401.5,7.84E-01
223.083,402.0,7.83E-01
224.0946,402.5,7.85E-01
225.1122,403.0,7.85E-01
226.1256,403.5,7.83E-01
227.136,404.0,7.83E-01
228.1452,404.5,7.84E-01
229.1574,405.0,7.85E-01
230.1612,405.5,7.85E-01
231.1686,406.0,7.87E-01
232.1706,406.5,7.87E-01
233.172,407.0,7.87E-01
234.1716,407.5,7.88E-01
235.1688,408.0,7.91E-01
236.1594,408.5,7.90E-01
237.1578,409.0,7.91E-01
238.1544,409.5,7.90E-01
239.1522,410.0,7.91E-01
240.15,410.5,7.91E-01
241.1472,411.0,7.93E-01
242.1426,411.5,7.95E-01
243.129,412.0,7.95E-01
244.1166,412.5,7.95E-01
245.1042,413.0,7.95E-01
246.0906,413.5,7.96E-01
247.0788,414.0,7.99E-01
248.0664,414.5,7.99E-01
249.054,415.0,7.99E-01
250.0398,415.5,8.01E-01
251.0214,416.0,8.01E-01
251.9964,416.5,8.02E-01
252.975,417.0,8.03E-01
253.9542,417.5,8.06E-01
254.9292,418.0,8.08E-01
255.9042,418.5,8.10E-01
256.8786,419.0,8.11E-01
257.856,419.5,8.12E-01
258.8304,420.0,8.14E-01
259.8024,420.5,8.16E-01
260.7798,421.0,8.16E-01
261.7494,421.5,8.17E-01
262.7196,422.0,8.19E-01
263.688,422.5,8.18E-01
264.6582,423.0,8.19E-01
265.623,423.5,8.21E-01
266.5896,424.0,8.23E-01
267.558,424.5,8.24E-01
268.5192,425.0,8.27E-01
269.4846,425.5,8.29E-01
270.4512,426.0,8.30E-01
271.4148,426.5,8.32E-01
272.3766,427.0,8.33E-01
273.3402,427.5,8.36E-01
274.302,428.0,8.38E-01
275.2626,428.5,8.40E-01
276.2196,429.0,8.41E-01
277.1802,429.5,8.41E-01
278.1402,430.0,8.44E-01
279.1002,430.5,8.45E-01
280.059,431.0,8.47E-01
281.0172,431.5,8.49E-01
281.9748,432.0,8.51E-01
282.9336,432.5,8.54E-01
283.8906,433.0,8.55E-01
284.8458,433.5,8.58E-01
285.801,434.0,8.61E-01
286.755,434.5,8.64E-01
287.7066,435.0,8.64E-01
288.6558,435.5,8.64E-01
289.608,436.0,8.67E-01
290.5566,436.5,8.70E-01
291.5046,437.0,8.72E-01
292.4532,437.5,8.74E-01
293.403,438.0,8.76E-01
294.3546,438.5,8.77E-01
295.3008,439.0,8.78E-01
296.247,439.5,8.81E-01
297.1962,440.0,8.84E-01
298.143,440.5,8.87E-01
299.0868,441.0,8.89E-01
300.0336,441.5,8.91E-01
300.984,442.0,8.94E-01
301.9272,442.5,8.95E-01
302.874,443.0,8.96E-01
303.8172,443.5,8.99E-01
304.7622,444.0,9.02E-01
305.7054,444.5,9.04E-01
306.6468,445.0,9.03E-01
307.5912,445.5,9.06E-01
308.5326,446.0,9.10E-01
309.4764,446.5,9.13E-01
310.4166,447.0,9.15E-01
311.3526,447.5,9.19E-01
312.2922,448.0,9.19E-01
313.2264,448.5,9.22E-01
314.1546,449.0,9.25E-01
315.0858,449.5,9.27E-01
316.017,450.0,9.29E-01
316.9518,450.5,9.30E-01
317.8854,451.0,9.31E-01
318.8226,451.5,9.34E-01
319.7628,452.0,9.39E-01
320.6982,452.5,9.39E-01
321.6378,453.0,9.40E-01
322.5708,453.5,9.43E-01
323.5026,454.0,9.44E-01
324.4374,454.5,9.49E-01
325.3692,455.0,9.51E-01
326.3004,455.5,9.52E-01
327.2262,456.0,9.54E-01
328.1508,456.5,9.56E-01
329.0814,457.0,9.58E-01
330.0072,457.5,9.61E-01
330.9354,458.0,9.63E-01
331.8606,458.5,9.67E-01
332.7876,459.0,9.68E-01
333.7128,459.5,9.70E-01
334.6374,460.0,9.74E-01
335.5602,460.5,9.76E-01
336.4812,461.0,9.77E-01
337.4034,461.5,9.80E-01
338.3262,462.0,9.80E-01
339.246,462.5,9.84E-01
340.1622,463.0,9.85E-01
341.0826,463.5,9.88E-01
342.0036,464.0,9.89E-01
342.921,464.5,9.90E-01
343.8384,465.0,9.93E-01
344.7588,465.5,9.96E-01
345.675,466.0,9.97E-01
346.5912,466.5,9.99E-01
347.5056,467.0,1.00E+00
348.4218,467.5,1.00E+00
349.3374,468.0,1.00E+00
350.2494,468.5,1.01E+00
351.1644,469.0,1.01E+00
352.077,469.5,1.01E+00
352.9908,470.0,1.02E+00
353.9034,470.5,1.02E+00
354.8154,471.0,1.02E+00
355.7256,471.5,1.02E+00
356.6382,472.0,1.02E+00
357.5532,472.5,1.03E+00
358.4646,473.0,1.03E+00
359.3778,473.5,1.03E+00
360.2868,474.0,1.03E+00
361.203,474.5,1.04E+00
362.115,475.0,1.04E+00
363.0222,475.5,1.04E+00
363.933,476.0,1.04E+00
364.8408,476.5,1.04E+00
365.7516,477.0,1.04E+00
366.663,477.5,1.05E+00
367.5708,478.0,1.05E+00
368.4792,478.5,1.05E+00
369.3882,479.0,1.06E+00
370.2996,479.5,1.06E+00
371.2086,480.0,1.06E+00
372.1146,480.5,1.06E+00
373.0206,481.0,1.06E+00
373.9284,481.5,1.07E+00
374.8344,482.0,1.07E+00
375.7374,482.5,1.07E+00
376.6392,483.0,1.08E+00
377.541,483.5,1.08E+00
378.4488,484.0,1.08E+00
379.3542,484.5,1.08E+00
380.2614,485.0,1.09E+00
381.1692,485.5,1.09E+00
382.0788,486.0,1.09E+00
382.9872,486.5,1.09E+00
383.892,487.0,1.09E+00
384.801,487.5,1.10E+00
385.7046,488.0,1.10E+00
386.6082,488.5,1.10E+00
387.513,489.0,1.10E+00
388.419,489.5,1.11E+00
389.3238,490.0,1.11E+00
390.2244,490.5,1.11E+00
391.1274,491.0,1.11E+00
392.034,491.5,1.12E+00
392.9352,492.0,1.12E+00
393.8382,492.5,1.12E+00
394.7418,493.0,1.12E+00
395.6454,493.5,1.12E+00
396.549,494.0,1.13E+00
397.4472,494.5,1.13E+00
398.3484,495.0,1.13E+00
399.2508,495.5,1.13E+00
400.152,496.0,1.13E+00
401.0538,496.5,1.13E+00
401.9568,497.0,1.14E+00
402.8556,497.5,1.14E+00
403.7508,498.0,1.14E+00
404.6472,498.5,1.14E+00
405.5436,499.0,1.14E+00
406.4436,499.5,1.15E+00
407.3448,500.0,1.15E+00
408.2496,500.5,1.15E+00
409.1604,501.0,1.15E+00
410.0664,501.5,1.16E+00
410.97,502.0,1.16E+00
411.8694,502.5,1.16E+00
412.7658,503.0,1.16E+00
413.6664,503.5,1.16E+00
414.564,504.0,1.17E+00
415.4622,504.5,1.17E+00
416.3634,505.0,1.17E+00
417.2634,505.5,1.18E+00
418.167,506.0,1.18E+00
419.0658,506.5,1.18E+00
419.9658,507.0,1.18E+00
420.8616,507.5,1.18E+00
421.7544,508.0,1.19E+00
422.6514,508.5,1.19E+00
423.5466,509.0,1.19E+00
424.4436,509.5,1.19E+00
425.3382,510.0,1.20E+00
426.2364,510.5,1.20E+00
427.1352,511.0,1.20E+00
428.031,511.5,1.20E+00
428.9286,512.0,1.20E+00
429.8244,512.5,1.20E+00
430.7214,513.0,1.20E+00
431.6184,513.5,1.21E+00
432.5178,514.0,1.21E+00
433.4178,514.5,1.21E+00
434.3148,515.0,1.21E+00
435.2124,515.5,1.21E+00
436.107,516.0,1.21E+00
437.0058,516.5,1.21E+00
437.9022,517.0,1.21E+00
438.7926,517.5,1.21E+00
439.6872,518.0,1.22E+00
440.5812,518.5,1.22E+00
441.4788,519.0,1.22E+00
442.3734,519.5,1.22E+00
443.2686,520.0,1.22E+00
444.1674,520.5,1.22E+00
445.0602,521.0,1.22E+00
445.9566,521.5,1.22E+00
446.8494,522.0,1.23E+00
447.741,522.5,1.23E+00
448.6314,523.0,1.22E+00
449.526,523.5,1.22E+00
450.4212,524.0,1.23E+00
451.314,524.5,1.23E+00
452.2074,525.0,1.23E+00
453.102,525.5,1.23E+00
453.9996,526.0,1.23E+00
454.8936,526.5,1.23E+00
455.7864,527.0,1.23E+00
456.6786,527.5,1.23E+00
457.572,528.0,1.23E+00
458.4618,528.5,1.23E+00
459.3504,529.0,1.23E+00
460.242,529.5,1.23E+00
461.1366,530.0,1.23E+00
462.0318,530.5,1.23E+00
462.9246,531.0,1.23E+00
463.8186,531.5,1.23E+00
464.7126,532.0,1.23E+00
465.6048,532.5,1.23E+00
466.4934,533.0,1.23E+00
467.382,533.5,1.23E+00
468.2718,534.0,1.23E+00
469.1646,534.5,1.23E+00
470.0556,535.0,1.23E+00
470.9478,535.5,1.23E+00
471.8418,536.0,1.23E+00
472.7322,536.5,1.23E+00
473.625,537.0,1.23E+00
474.5142,537.5,1.23E+00
475.4028,538.0,1.23E+00
476.2914,538.5,1.23E+00
477.1776,539.0,1.23E+00
478.0686,539.5,1.23E+00
478.959,540.0,1.23E+00
479.8494,540.5,1.23E+00
480.7416,541.0,1.23E+00
481.6338,541.5,1.23E+00
482.5224,542.0,1.23E+00
483.4068,542.5,1.23E+00
484.2954,543.0,1.23E+00
485.1876,543.5,1.23E+00
486.0768,544.0,1.23E+00
486.9672,544.5,1.23E+00
487.8618,545.0,1.23E+00
488.751,545.5,1.23E+00
489.6366,546.0,1.23E+00
490.5234,546.5,1.23E+00
491.4156,547.0,1.22E+00
492.3042,547.5,1.22E+00
493.194,548.0,1.22E+00
494.0892,548.5,1.22E+00
494.985,549.0,1.22E+00
495.8778,549.5,1.22E+00
496.7646,550.0,1.22E+00
497.655,550.5,1.22E+00
498.5454,551.0,1.22E+00
499.4358,551.5,1.22E+00
500.3286,552.0,1.21E+00
501.2172,552.5,1.21E+00
502.1094,553.0,1.21E+00
503.0004,553.5,1.21E+00
503.8914,554.0,1.21E+00
504.7842,554.5,1.21E+00
505.6734,555.0,1.21E+00
506.5638,555.5,1.21E+00
507.4548,556.0,1.21E+00
508.347,556.5,1.21E+00
509.2386,557.0,1.21E+00
510.1278,557.5,1.21E+00
511.0182,558.0,1.21E+00
511.9098,558.5,1.21E+00
512.8002,559.0,1.21E+00
513.6864,559.5,1.21E+00
514.5762,560.0,1.20E+00
515.4684,560.5,1.20E+00
516.3594,561.0,1.20E+00
517.251,561.5,1.20E+00
518.142,562.0,1.20E+00
519.0378,562.5,1.20E+00
519.9282,563.0,1.20E+00
520.8192,563.5,1.20E+00
521.7096,564.0,1.19E+00
