Time,Temp (K),DSC (mW/mg),Error (mW/mg)
0,313,0.0402,0.001958106
24.2118,314.002,0.0623,0.003017524
41.5014,315.004,0.0803,0.003883938
55.6026,316.006,0.0964,0.004893118
67.7796,317.008,0.111,0.005585987
78.6294,318.01,0.124,0.006084918
88.5384,319.012,0.136,0.006826567
97.7256,320.014,0.147,0.007364277
106.3272,321.016,0.158,0.007966211
114.4554,322.018,0.167,0.00834058
122.1888,323.02,0.177,0.008599254
129.5814,324.022,0.185,0.0094136
136.6968,325.024,0.194,0.009776172
143.5584,326.026,0.202,0.010400983
150.2028,327.028,0.21,0.011107248
156.657,328.03,0.217,0.011418659
162.9426,329.032,0.224,0.012002539
169.0746,330.034,0.231,0.012605763
175.0638,331.036,0.238,0.012461119
180.927,332.038,0.245,0.013061073
186.6816,333.04,0.25,0.013381188
192.3294,334.042,0.256,0.013503308
197.8794,335.044,0.263,0.014083976
203.3364,336.046,0.268,0.014267673
208.7088,337.048,0.273,0.014615527
214.0158,338.05,0.279,0.015189474
219.2574,339.052,0.284,0.015018353
224.4366,340.054,0.289,0.015738439
229.5492,341.056,0.293,0.016194567
234.6024,342.058,0.297,0.016566964
239.6088,343.06,0.302,0.016499165
244.5798,344.062,0.306,0.016882572
249.5052,345.064,0.31,0.017148731
254.3862,346.066,0.313,0.017344947
259.2204,347.068,0.317,0.017461613
264.0252,348.07,0.32,0.017031571
268.8006,349.072,0.323,0.017156945
273.546,350.074,0.326,0.017634642
278.2542,351.076,0.329,0.017865942
282.9336,352.078,0.332,0.018243742
287.5884,353.08,0.335,0.018254125
292.2258,354.082,0.337,0.01855442
296.8458,355.084,0.34,0.01921838
301.4466,356.086,0.342,0.019312918
306.021,357.088,0.345,0.019612515
310.5804,358.09,0.346,0.019333454
315.123,359.092,0.349,0.019090339
319.6542,360.094,0.351,0.01968866
324.1722,361.096,0.354,0.019773976
328.6764,362.098,0.355,0.020356676
333.171,363.1,0.358,0.020082675
337.6578,364.102,0.36,0.020415188
342.1386,365.104,0.361,0.020511223
346.614,366.106,0.363,0.021031117
351.0816,367.108,0.365,0.021160261
355.5426,368.11,0.367,0.021086136
359.9964,369.112,0.369,0.021483262
364.4502,370.114,0.371,0.021534375
368.8998,371.116,0.373,0.021878864
373.3476,372.118,0.374,0.021828805
377.7924,373.12,0.376,0.021618936
382.2378,374.122,0.377,0.02129952
386.6856,375.124,0.378,0.021463574
391.1394,376.126,0.38,0.021379974
395.5932,377.128,0.382,0.021802628
400.0512,378.13,0.383,0.021990722
404.5074,379.132,0.384,0.021403856
408.9714,380.134,0.386,0.021771306
413.4414,381.136,0.388,0.021754041
417.9186,382.138,0.389,0.021419276
422.4,383.14,0.39,0.021617477
426.8922,384.142,0.392,0.021620595
431.3934,385.144,0.393,0.021775165
435.9,386.146,0.395,0.021609809
440.4132,387.148,0.397,0.021686615
444.9354,388.15,0.399,0.021339564
449.4726,389.152,0.401,0.02134953
454.0182,390.154,0.402,0.021529839
458.5734,391.156,0.405,0.021613264
463.1388,392.158,0.408,0.021271166
467.7198,393.16,0.411,0.021333226
472.3116,394.162,0.414,0.021156002
476.9202,395.164,0.417,0.021475527
481.5438,396.166,0.421,0.021549702
486.1818,397.168,0.424,0.02180231
490.836,398.17,0.427,0.021682109
495.507,399.172,0.429,0.022313589
500.1924,400.174,0.431,0.02172416
504.8928,401.176,0.432,0.021491704
509.6124,402.178,0.432,0.021270444
514.3518,403.18,0.432,0.021302262
519.1062,404.182,0.431,0.020995709
523.878,405.184,0.431,0.021481247
528.6702,406.186,0.431,0.023497406
533.4852,407.188,0.43,0.02356508
538.3212,408.19,0.428,0.022366702
543.1758,409.192,0.426,0.020894673
548.0538,410.194,0.423,0.019637329
552.9522,411.196,0.422,0.018834029
557.8734,412.198,0.42,0.018264315
562.8174,413.2,0.418,0.017778669
567.7812,414.202,0.418,0.017571403
572.7702,415.204,0.418,0.017858386
577.7844,416.206,0.417,0.01835478
582.8208,417.208,0.416,0.018603404
587.8806,418.21,0.415,0.01855068
592.9626,419.212,0.414,0.018899369
598.0716,420.214,0.413,0.018936093
603.207,421.216,0.412,0.019245613
608.37,422.218,0.411,0.01880493
613.5594,423.22,0.41,0.018861021
618.7716,424.222,0.409,0.019030572
624.0096,425.224,0.408,0.019427527
629.2692,426.226,0.407,0.019128173
634.5558,427.228,0.407,0.019617554
639.8736,428.23,0.406,0.019690882
645.2154,429.232,0.406,0.019846133
650.5854,430.234,0.406,0.020644253
655.9764,431.236,0.405,0.020613948
661.395,432.238,0.406,0.022243258
666.843,433.24,0.407,0.02316245
672.3216,434.242,0.406,0.022601119
677.8272,435.244,0.406,0.021684433
683.3544,436.246,0.407,0.020729447
688.9068,437.248,0.407,0.019950915
694.485,438.25,0.407,0.02009153
700.0884,439.252,0.408,0.02027831
705.72,440.254,0.409,0.019973105
711.3768,441.256,0.41,0.019900351
717.0552,442.258,0.412,0.019673732
722.7594,443.26,0.414,0.019876145
728.4858,444.262,0.416,0.019836864
734.2356,445.264,0.418,0.019961816
740.0142,446.266,0.42,0.019913621
745.8126,447.268,0.422,0.019869967
751.6356,448.27,0.424,0.019907104
757.485,449.272,0.426,0.019976339
763.3542,450.274,0.428,0.019945862
769.2432,451.276,0.431,0.019866095
775.1532,452.278,0.433,0.020213994
781.0836,453.28,0.435,0.020244356
787.032,454.282,0.437,0.020351597
792.9996,455.284,0.438,0.02038362
798.9888,456.286,0.439,0.020505424
804.9966,457.288,0.439,0.020679308
811.017,458.29,0.439,0.020857153
817.0512,459.292,0.438,0.020991776
823.1052,460.294,0.437,0.021187423
829.1718,461.296,0.435,0.021383983
835.248,462.298,0.432,0.021490799
841.3362,463.3,0.428,0.021724917
847.4358,464.302,0.424,0.021739772
853.548,465.304,0.419,0.021793464
859.6698,466.306,0.414,0.021982544
865.7976,467.308,0.409,0.021969058
871.9386,468.31,0.403,0.022030618
878.0886,469.312,0.398,0.021761933
884.2452,470.314,0.394,0.021622578
890.4078,471.316,0.389,0.021507456
896.5782,472.318,0.386,0.021375195
902.7558,473.32,0.383,0.02101923
908.9322,474.322,0.38,0.021007616
915.1116,475.324,0.378,0.020590906
921.2964,476.326,0.377,0.020324007
927.4836,477.328,0.376,0.020312462
933.6744,478.33,0.376,0.019946818
939.8652,479.332,0.376,0.019859449
946.053,480.334,0.376,0.019704664
952.2408,481.336,0.377,0.019502802
958.431,482.338,0.377,0.019476892
964.6164,483.34,0.378,0.019463276
970.797,484.342,0.379,0.019440369
976.9836,485.344,0.38,0.019308914
983.1606,486.346,0.381,0.019240799
989.334,487.348,0.383,0.01921893
995.5068,488.35,0.384,0.019288671
1001.6724,489.352,0.385,0.019351534
1007.8356,490.354,0.387,0.018954975
1013.9958,491.356,0.387,0.018650901
1020.1494,492.358,0.388,0.018914865
1026.2922,493.36,0.389,0.018822478
1032.429,494.362,0.39,0.018765399
1038.5646,495.364,0.391,0.018701993
1044.6906,496.366,0.391,0.018689282
1050.8142,497.368,0.392,0.018601797
1056.936,498.37,0.392,0.018615235
1063.0464,499.372,0.393,0.018497838
1069.146,500.374,0.393,0.018539841
1075.2402,501.376,0.394,0.018712406
1081.3296,502.378,0.394,0.018658692
1087.4124,503.38,0.395,0.018718721
1093.4862,504.382,0.395,0.018758484
1099.5552,505.384,0.395,0.018913522
1105.6158,506.386,0.396,0.019021889
1111.6662,507.388,0.396,0.019088758
1117.7076,508.39,0.396,0.019214898
1123.7418,509.392,0.397,0.019341074
1129.7736,510.394,0.398,0.019334791
1135.794,511.396,0.399,0.019272965
1141.8078,512.398,0.399,0.01934073
1147.818,513.4,0.4,0.019424719
1153.8174,514.402,0.401,0.019729099
1159.8078,515.404,0.403,0.019609204
1165.7922,516.406,0.404,0.019548603
1171.7646,517.408,0.405,0.019654561
1177.7352,518.41,0.406,0.019634833
1183.6998,519.412,0.407,0.019536285
1189.6476,520.414,0.409,0.019406148
1195.5894,521.416,0.41,0.019466035
1201.5318,522.418,0.412,0.019502895
1207.4676,523.42,0.413,0.019298867
1213.3986,524.422,0.414,0.019112205
1219.3212,525.424,0.416,0.018989949
1225.2372,526.426,0.418,0.018822573
1231.146,527.428,0.42,0.019026807
1237.0524,528.43,0.422,0.018621091
1242.9516,529.432,0.424,0.018510256
1248.8472,530.434,0.426,0.018755524
1254.7386,531.436,0.428,0.018918331
1260.6162,532.438,0.43,0.019285167
1266.4896,533.44,0.431,0.019475983
1272.366,534.442,0.433,0.01970759
1278.2376,535.444,0.435,0.019649358
1284.1044,536.446,0.437,0.019418683
1289.9652,537.448,0.439,0.01957966
1295.8194,538.45,0.441,0.019291464
1301.6712,539.452,0.443,0.019138845
1307.5194,540.454,0.445,0.018884682
1313.3634,541.456,0.447,0.018626285
1319.2032,542.458,0.449,0.018445543
1325.0436,543.46,0.452,0.018532481
1330.8792,544.462,0.455,0.018549357
1336.7136,545.464,0.457,0.018460295
1342.5444,546.466,0.46,0.018308782
1348.3734,547.468,0.463,0.017970445
1354.2,548.47,0.466,0.0181379
1360.0242,549.472,0.47,0.018171032
1365.8466,550.474,0.473,0.017866716
1371.6594,551.476,0.477,0.0180164
1377.4662,552.478,0.481,0.017841302
1383.276,553.48,0.485,0.017943798
1389.0888,554.482,0.489,0.017938893
1394.9028,555.484,0.493,0.017944084
1400.7132,556.486,0.497,0.017466303
1406.526,557.488,0.502,0.017912072
1412.3352,558.49,0.506,0.017883783
1418.1354,559.492,0.511,0.017909645
1423.9464,560.494,0.515,0.018010567
1429.758,561.496,0.52,0.018125042
1435.5666,562.498,0.525,0.018045734
1441.3758,563.5,0.529,0.018325744
1447.1856,564.502,0.534,0.018378512
1452.999,565.504,0.538,0.018559557
1458.8112,566.506,0.543,0.018715834
1464.6312,567.508,0.547,0.018657751
1470.456,568.51,0.551,0.018842181
1476.2778,569.512,0.555,0.019278051
1482.093,570.514,0.558,0.019461502
1487.9016,571.516,0.561,0.019693762
1493.7096,572.518,0.565,0.019927656
1499.5278,573.52,0.568,0.020141888
1505.352,574.522,0.571,0.020330165
1511.1762,575.524,0.573,0.020010712
1516.9974,576.526,0.576,0.02047471
1522.8192,577.528,0.578,0.020535825
1528.6422,578.53,0.581,0.020407881
1534.467,579.532,0.584,0.020643634
1540.2918,580.534,0.587,0.020548918
1546.1184,581.536,0.591,0.020228144
1551.951,582.538,0.595,0.02042219
1557.7836,583.54,0.6,0.020162074
1563.612,584.542,0.606,0.020386018
1569.4326,585.544,0.613,0.020393339
1575.2544,586.546,0.621,0.020670051
1581.087,587.548,0.63,0.021090164
1586.9292,588.55,0.641,0.02134238
1592.7684,589.552,0.653,0.021743613
1598.6088,590.554,0.665,0.022043307
1604.4486,591.556,0.68,0.022351845
1610.286,592.558,0.696,0.02297857
1616.1222,593.56,0.714,0.023731202
1621.953,594.562,0.732,0.02421839
1627.7838,595.564,0.753,0.025250467
1633.6284,596.566,0.775,0.02594565
1639.4796,597.568,0.799,0.026894714
1645.326,598.57,0.825,0.02790668
1651.1706,599.572,0.853,0.028857548
1657.0194,600.574,0.882,0.030031294
1662.8718,601.576,0.914,0.031082412
1668.7254,602.578,0.948,0.032486827
1674.5784,603.58,0.984,0.033820956
1680.4362,604.582,1.02,0.035332263
1686.2958,605.584,1.06,0.036655325
1692.156,606.586,1.11,0.038106468
1698.0204,607.588,1.15,0.039883276
1703.8878,608.59,1.2,0.041691034
1709.754,609.592,1.25,0.043360864
1715.619,610.594,1.3,0.044970527
1721.4876,611.596,1.35,0.046835867
1727.3556,612.598,1.4,0.048421866
1733.226,613.6,1.46,0.049855475
1739.1012,614.602,1.52,0.051494423
1744.9722,615.604,1.58,0.052996389
1750.8378,616.606,1.64,0.054840025
1756.7136,617.608,1.7,0.055998063
1762.599,618.61,1.76,0.057134496
1768.4856,619.612,1.82,0.058258866
1774.3674,620.614,1.88,0.059618424
1780.2498,621.616,1.94,0.060787283
1786.134,622.618,2,0.061250299
1792.0194,623.62,2.06,0.062496049
1797.9024,624.622,2.12,0.063302339
