Time,MLR_mean,Temp_avg_all4,MLR_error,Temperature_Error
[s],[kg/s/m2],[K],[kg/s/m2],[K]
0,0,309.2903896,0,1.438438046
0.133,0,309.4826629,0,1.480297768
0.266,0,309.6712533,0,1.484485169
0.399,0,309.7896063,0,1.423794617
0.532,0,309.6871675,0,1.351123979
0.665,0,309.7705279,0,1.270811531
0.798,0,309.6867838,0,1.292610249
0.931,0,309.5301946,0,1.359560109
1.064,0,309.4446221,0,1.382337016
1.197,0,309.4295308,0,1.40280102
1.331,0,309.4064047,0,1.419311375
1.463,0,309.3757175,0,1.424220658
1.596,0,309.3739942,0,1.425085529
1.729,0,309.3606838,0,1.42773203
1.862,0,309.3683583,0,1.426399756
1.996,0,309.3403427,0,1.419409731
2.129,0,309.3733917,0,1.417690776
2.262,0,309.3593764,0,1.413502365
2.395,0,309.3702958,0,1.408594187
2.528,0,309.3568128,0,1.410366161
2.661,0,309.3689042,0,1.407050782
2.794,0,309.3578522,0,1.412225577
2.927,0,309.3451539,0,1.412199789
3.06,0,309.3498294,0,1.413208894
3.193,0,309.3919485,0,1.395252837
3.326,0,309.4397966,0,1.378406957
3.459,0,309.482627,0,1.366420909
3.592,0,309.5115764,0,1.381466842
3.725,0,309.5256341,0,1.382348293
3.858,0,309.4987249,0,1.396744896
3.991,0,309.5357573,0,1.404431542
4.124,0,309.5397593,0,1.386202094
4.257,0,309.5291833,0,1.387936724
4.39,0,309.5082986,0,1.398562016
4.523,0,309.4993878,0,1.395522282
4.656,0,309.5110266,0,1.389331623
4.789,0,309.501279,0,1.380326939
4.922,0,309.4941093,0,1.376422361
5.055,0,309.4943135,0,1.381366461
5.188,0,309.4954184,0,1.386481296
5.321,0,309.4556042,0,1.398856162
5.454,0,309.4138006,0,1.409349992
5.587,0,309.3863946,0,1.410905814
5.72,0,309.3932167,0,1.399695407
5.853,0,309.3783392,0,1.407690596
5.986,0,309.3936378,0,1.415889595
6.119,0,309.3883452,0,1.405883762
6.252,0,309.3857941,0,1.401807819
6.385,0,309.3924667,0,1.40541022
6.518,0,309.3931732,0,1.411599069
6.651,0,309.4152771,0,1.404295278
6.784,0,309.4189265,0,1.411934107
6.917,0,309.3928281,0,1.410353385
7.05,0,309.3996844,0,1.420819259
7.183,0,309.4053389,0,1.409046067
7.316,0,309.4110925,0,1.406357378
7.449,0,309.4234582,0,1.395042716
7.582,0,309.4141251,0,1.388580693
7.715,0,309.3973394,0,1.368711845
7.848,0,309.3860725,0,1.374770267
7.981,0,309.3828795,0,1.37119546
8.114,0,309.3892222,0,1.380488569
8.247,0,309.3920543,0,1.372994065
8.38,0,309.3611084,0,1.370353903
8.513,0,309.4093471,0,1.353269031
8.646,0,309.4431077,0,1.353865841
8.779,0,309.4644374,0,1.350547327
8.912,0,309.4536461,0,1.340672543
9.045,0,309.4746394,0,1.334808334
9.178,0,309.4746788,0,1.334191668
9.311,0,309.4534558,0,1.335808466
9.444,0,309.4401168,0,1.343794835
9.577,0,309.4512307,0,1.333528652
9.711,0,309.4731332,0,1.334929065
9.844,0,309.5059744,0,1.348628806
9.977,0,309.5327538,0,1.354426564
10.11,0,309.5463776,0,1.3471404
