Relative Time [s],"Temp_avg, all4 [K]",Error [K]
0,297.5492031,0.876680128
0.133,297.4644225,0.899204782
0.266,297.4362182,0.908097684
0.399,297.3921725,0.914704851
0.532,297.3884264,0.90976551
0.665,297.4039833,0.909553681
0.798,297.4072497,0.909965334
0.931,297.41488,0.914424154
1.064,297.3699697,0.890116762
1.197,297.3736083,0.892975496
1.33,297.3809575,0.892229431
1.463,297.3746111,0.883268567
1.596,297.3735111,0.881472747
1.729,297.379125,0.881810394
1.862,297.3817575,0.892540669
1.995,297.3862767,0.89279841
2.128,297.3859144,0.890320144
2.261,297.3841925,0.883932798
2.394,297.4165961,0.879036898
2.527,297.4123206,0.879164939
2.66,297.4149906,0.887615926
2.793,297.4247839,0.885363768
2.926,297.41347,0.889543172
3.059,297.4360389,0.8983456
3.192,297.4311356,0.908567446
3.325,297.4317164,0.913578614
3.458,297.4672314,0.907451052
3.591,297.4729197,0.901313676
3.724,297.4866539,0.901329635
3.857,297.4978222,0.899021801
3.99,297.5123589,0.902928774
4.123,297.4925736,0.901148953
4.256,297.5021764,0.903149782
4.389,297.5026411,0.902492682
4.522,297.4935325,0.908447759
4.655,297.4932286,0.908830964
4.788,297.5165131,0.898852584
4.921,297.5205436,0.900014987
5.054,297.4928417,0.90674062
5.187,297.4626708,0.91134714
5.32,297.4617144,0.913077465
5.453,297.473934,0.905068606
5.586,297.4831164,0.901752178
5.719,297.5010985,0.896277992
5.852,297.4972149,0.908866233
5.985,297.4900749,0.908197409
6.118,297.5150771,0.907633956
6.251,297.4252411,0.879870185
6.384,297.4229958,0.869710249
6.517,297.416898,0.871173952
6.65,297.3947739,0.876217527
6.784,297.3918044,0.876900731
6.917,297.3816368,0.879411366
7.049,297.3975068,0.875772348
7.183,297.4080174,0.873097352
7.316,297.403544,0.87424232
7.449,297.4065243,0.873485582
7.582,297.3886109,0.877707115
7.715,297.4025886,0.877978799
7.847,297.3981135,0.878582823
7.981,297.4075714,0.877234715
8.114,297.4098758,0.87033917
8.247,297.4092965,0.865972994
8.38,297.4127596,0.8790726
8.512,297.4348276,0.876058235
8.646,297.4407676,0.876669153
8.779,297.4538553,0.877343406
8.912,297.4936324,0.894523441
9.045,297.5164207,0.91176565
9.178,297.5029844,0.921838056
9.311,297.5093333,0.926197683
9.444,297.5367146,0.925762392
9.577,297.5282406,0.919797481
9.71,297.5244121,0.91966933
9.843,297.5323076,0.929347102
9.976,297.54636,0.934699245
10.109,297.514649,0.93458335
10.242,297.4882392,0.942135305
10.375,297.487813,0.941089476
10.508,297.5058457,0.945355504
10.641,297.4997522,0.939220826
10.774,297.5028437,0.937586886
10.907,297.4647343,0.942775711
11.04,297.4435638,0.940136808
11.173,297.4570458,0.939413226
11.306,297.4997184,0.937585703
11.439,297.4876603,0.940489109
11.572,297.5066045,0.938785455
11.705,297.4819851,0.942128567
11.838,297.5200694,0.939511197
11.971,297.547119,0.937006481
12.104,297.5104812,0.912094283
12.237,297.51419,0.906998353
12.37,297.5039976,0.910353187
12.503,297.5056427,0.906211988
12.636,297.5228191,0.911440424
12.769,297.5387936,0.90937755
12.902,297.5337322,0.909583273
13.035,297.5454401,0.913941987
13.168,297.5522236,0.918757518
13.301,297.5416871,0.905266188
13.434,297.540611,0.898490093
13.567,297.5554277,0.894573184
13.7,297.5619228,0.900008956
13.833,297.5783691,0.903402876
13.966,297.5717969,0.903346933
14.099,297.5883772,0.904625228
14.232,297.6131707,0.901187569
14.365,297.6270558,0.89947336
14.498,297.620762,0.902498164
14.631,297.6454978,0.907400594
14.764,297.6386951,0.9066268
14.897,297.666244,0.910227852
15.03,297.6816586,0.905482059
15.163,297.6947618,0.91076829
15.296,297.7164039,0.90426579
15.429,297.709613,0.915036664
15.562,297.7240588,0.920827532
15.695,297.7256886,0.926126319
15.828,297.7768675,0.925986616
15.961,297.7781032,0.923843593
16.094,297.7817356,0.924896777
16.227,297.7965904,0.922950497
16.36,297.7890025,0.912421129
16.493,297.7900318,0.906701276
16.626,297.82625,0.906956635
16.759,297.8424488,0.90643859
16.892,297.8475294,0.904690859
17.025,297.8769827,0.906678242
17.158,297.9029306,0.903345452
17.291,297.9267969,0.907643119
17.424,297.9880133,0.907877725
17.558,298.0015718,0.931424755
17.691,298.0419661,0.936993993
17.824,298.0585577,0.934904599
17.957,298.0780705,0.932747919
18.09,298.1104952,0.934453739
18.224,298.1375543,0.939794668
18.357,298.1299067,0.947732176
18.489,298.1799568,0.944783044
18.623,298.1952571,0.950601651
18.756,298.2054609,0.948370999
18.888,298.25145,0.947226359
19.022,298.2503171,0.952373296
19.154,298.2709813,0.951075262
19.288,298.2937716,0.952178226
19.421,298.3414498,0.957020562
19.554,298.3548402,0.95661738
19.687,298.3263069,0.975241225
19.82,298.3583776,0.9761448
19.953,298.3770093,0.980221842
20.086,298.4275827,0.980090755
20.219,298.4551839,0.979845537
20.352,298.4487868,0.987126197
20.485,298.4860603,0.987086409
20.618,298.5070155,0.98800301
20.751,298.5636231,0.988332075
20.884,298.6124956,0.990180288
21.017,298.6340226,0.991893081
21.15,298.7186102,0.990044739
21.283,298.7405175,0.983341274
21.416,298.7760722,0.980576598
21.549,298.8224268,0.979498318
21.682,298.831368,0.96445347
21.815,298.8534595,0.960891608
21.948,298.8852057,0.960124357
22.081,298.9173738,0.959479679
22.214,298.9649561,0.959393206
22.347,298.9972167,0.970084015
22.48,299.0245774,0.965901079
22.613,299.0771409,0.964376758
22.746,299.1258191,0.968094635
22.879,299.1676059,0.968538655
23.012,299.1883928,0.978997958
23.145,299.2289855,0.98065913
23.278,299.2543197,0.983627953
23.411,299.3158757,0.985848724
23.544,299.3537033,0.99016183
23.677,299.3851942,0.983176076
23.81,299.3928885,0.971706477
23.943,299.408598,0.972158138
24.076,299.4807819,0.96811794
24.209,299.5249928,0.961245827
24.342,299.5746853,0.961482318
24.475,299.6079182,0.965849991
24.608,299.6614533,0.970575722
24.741,299.6805422,0.977443091
24.874,299.7199108,0.974648178
25.007,299.747825,0.980324398
25.14,299.8025758,0.979829504
25.273,299.8725906,0.986167842
25.406,299.9322869,0.978441616
25.539,299.9807303,0.978481659
25.672,300.0299186,0.980590136
25.805,300.1367239,1.00371834
25.938,300.2059417,1.00706874
26.071,300.2364375,1.01544583
26.204,300.2714356,1.017772854
26.337,300.2972986,1.029926683
26.47,300.3348506,1.030268422
26.603,300.4158936,1.028092255
26.736,300.4612439,1.033678665
26.869,300.4661831,1.013058291
27.002,300.5093603,1.007516482
