Relative Time [s],Mass,"Temp_avg, all4 [K]",Error
[s],[g],[K],[K]
0,0,297.5492031,0.876680128
0.931,0,297.41488,0.914424154
1.862,0,297.3817575,0.892540669
2.793,0,297.4247839,0.885363768
3.724,0,297.4866539,0.901329635
4.655,0,297.4932286,0.908830964
5.586,0,297.4831164,0.901752178
6.517,0,297.416898,0.871173952
7.449,0,297.4065243,0.873485582
8.38,0,297.4127596,0.8790726
9.311,0,297.5093333,0.926197683
10.242,0,297.4882392,0.942135305
11.173,0,297.4570458,0.939413226
12.104,0,297.5104812,0.912094283
13.035,0,297.5454401,0.913941987
13.966,0,297.5717969,0.903346933
14.897,0,297.666244,0.910227852
15.828,0,297.7768675,0.925986616
16.759,0,297.8424488,0.90643859
17.691,0,298.0419661,0.936993993
18.623,0,298.1952571,0.950601651
19.554,0,298.3548402,0.95661738
20.485,0,298.4860603,0.987086409
21.416,0,298.7760722,0.980576598
22.347,0,298.9972167,0.970084015
23.278,0,299.2543197,0.983627953
24.209,0,299.5249928,0.961245827
25.14,0,299.8025758,0.979829504
26.071,0,300.2364375,1.01544583
27.002,0,300.5093603,1.007516482
27.933,0,300.9390717,1.006767197
28.864,0,301.3651775,1.042811384
29.795,0,301.8048717,1.05355408
30.727,0,302.2586122,1.046381818
31.658,0,302.7304618,1.069763891
32.589,0,303.2458356,1.041070615
33.52,0,303.8330385,1.046069812
34.451,0,304.366152,1.060468648
35.382,0,304.9738435,1.079338475
36.313,0,305.5279346,1.071053665
37.244,0,305.9428347,1.109537366
38.174,0,306.5542771,1.10891701
39.105,0,307.1747579,1.119696663
40.036,0,307.8523773,1.134193226
40.968,0,308.5020419,1.155503169
41.898,0,309.1324855,1.141734074
42.83,0,309.7781683,1.158301452
43.761,0,310.4900131,1.169889009
44.692,0,311.2460528,1.179564327
45.623,0,311.9414656,1.198278831
46.554,0,312.598982,1.208898466
47.485,0,313.3324319,1.195294457
48.416,0,314.1247469,1.206915771
49.347,0,314.847781,1.22565264
50.278,0,315.461021,1.24035536
51.209,0,316.0164383,1.200188038
52.14,0,316.7845197,1.271144264
53.071,0,317.5164576,1.290203673
54.002,0,318.2545069,1.3033482
54.934,0,319.0795889,1.300152473
55.865,0,319.9828094,1.296085701
56.796,0,320.753994,1.320423525
57.727,0,321.5930497,1.319951334
58.658,0,322.3536193,1.327459158
59.589,0,323.1476753,1.314512451
60.521,0,324.0543196,1.324897367
61.451,0,324.9526916,1.325700108
62.382,0,325.7791585,1.358187306
63.313,0,326.6064059,1.360250614
64.244,0,327.3965956,1.321943465
65.176,0,328.2375847,1.336652399
66.107,0,329.0451192,1.363978119
67.038,0,329.8774057,1.373607253
67.969,0,330.7592402,1.389578709
68.9,0,331.5571024,1.390438085
69.831,0,332.3864809,1.385989977
70.762,0,333.2970844,1.384548283
71.693,0,334.1470558,1.405618907
72.624,0,334.9964558,1.401645408
73.555,0,335.6531378,1.445266328
74.486,0,336.5386053,1.437169533
75.417,0,337.4190606,1.447866
76.349,0,338.3004603,1.44772026
77.28,0,339.1178299,1.461852078
78.211,0,339.9576454,1.46937155
79.142,0,340.7367697,1.454157991
80.073,0,341.5584391,1.453776969
81.004,0,342.4155103,1.469446648
81.935,0,343.328655,1.485376636
82.866,0,344.1813947,1.489081147
83.797,0,344.9937634,1.490288995
84.728,0,345.8357882,1.49285281
85.659,0,346.69268,1.4913134
86.59,0,347.4477818,1.505927128
87.522,0,348.2870386,1.504567289
88.453,0,349.2116731,1.50546041
89.384,0,350.0205183,1.488363537
90.315,0,350.8299,1.497223161
91.246,0,351.6390778,1.510540389
92.177,0,352.4391968,1.532022018
93.108,0,353.2579114,1.531647486
94.039,0,354.1136643,1.533339228
94.97,0,354.9859391,1.531345977
95.901,0,355.7030498,1.536351298
96.832,0,356.3812304,1.476667608
97.763,0,357.2743276,1.517469176
98.695,0,358.0786792,1.51904111
99.626,0,358.9035893,1.517462616
100.557,0,359.7523039,1.512374319
101.488,0,360.5614769,1.522438922
102.419,0,361.3662576,1.545433274
103.35,0,362.1349372,1.547389383
104.281,0,362.9593694,1.531877665
105.212,0,363.7487645,1.519709716
106.143,0,364.5319472,1.552593082
107.073,0,365.3004608,1.548537588
108.004,0,366.1128852,1.552650896
108.935,0,366.8685512,1.551649961
109.867,0,367.6124264,1.531771705
110.797,0,368.3878751,1.538386664
111.729,0,369.1141367,1.557454537
