Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 2,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K],[K]
0,71.67,0,307,307,306
1,72.12,0,308,307,307
2,72.14,0,308,307,307
3,72.22,0,308,307,307
4,72.22,0,308,307,307
5,72.27,0,308,307,307
6,72.35,0,308,307,307
7,72.38,0,308,307,307
8,72.38,0,308,307,307
9,72.4,0,308,307,308
10,72.42,0,308,307,308
11,72.43,13.2,308,307,308
12,72.43,217.9,308,307,308
13,72.43,193,309,307,308
14,72.44,294.3,309,307,308
15,72.45,363.4,309,308,308
16,72.38,479.2,309,308,308
17,72.38,538.8,309,308,308
18,72.3,557.95,309,308,308
19,72.06,577.1,309,308,308
20,71.82,608.4,310,308,309
21,71.57,629.1,310,308,309
22,71.57,660,310,308,309
23,71.3,678.2,310,308,309
24,70.88,687.9,310,309,309
25,70.57,839.1,311,309,310
26,70.57,705.9,311,309,310
27,70.27,706,312,309,310
28,69.74,716.5,312,309,310
29,69.74,732.5,312,310,311
30,69.41,740.5,313,310,311
31,68.92,733.6,313,310,312
32,68.76,734,313,311,312
33,68.59,726.7,313,311,312
34,68.25,746.2,314,311,313
35,68.25,766.4,315,311,313
36,67.9,776.7,315,312,314
37,67.32,798.6,316,312,314
38,67.32,794.5,316,313,315
39,66.94,773.9,317,313,315
40,66.39,753.5,318,313,316
41,66.02,764.5,318,314,316
42,65.64,772.5,320,315,317
43,65.64,914.8,320,315,318
44,65.27,793.6,321,316,319
45,64.99,807,322,316,319
46,64.7,820.1,322,316,319
47,64.31,800.3,322,317,320
48,63.94,789.3,324,318,321
49,63.94,790,325,319,322
50,63.55,790.7,326,319,323
51,62.93,814,326,320,324
52,62.93,823.2,327,321,325
53,62.54,813.1,328,321,326
54,61.98,816.6,329,323,327
55,61.98,797.3,330,323,328
56,61.54,790.7,331,324,329
57,60.98,800.7,332,325,331
58,60.98,805.6,333,326,332
59,60.52,792.6,334,327,333
60,59.95,790.8,336,328,334
61,59.56,774.3,337,329,336
62,59.18,746.1,338,330,337
63,59.18,749.25,339,331,337
64,59.18,752.4,339,331,337
65,58.79,757.9,340,333,340
66,58.22,790.4,341,334,341
67,57.84,944.4,342,334,342
68,57.84,774.4,343,335,344
69,57.45,783.5,344,336,345
70,56.89,780.6,345,337,346
71,56.51,784.6,347,339,347
72,56.51,778.4,348,340,348
73,56.12,776.6,349,342,351
74,55.56,774.8,350,343,352
75,55.18,758.4,351,344,353
76,55.18,770.6,352,345,354
77,54.79,774.5,354,346,356
78,54.23,772.4,355,347,357
79,53.84,802.2,357,349,358
80,53.84,811.4,358,351,361
81,53.43,805.7,358,352,362
82,52.82,779.7,360,354,363
83,52.82,795.7,361,354,365
84,52.38,802.2,362,356,366
85,51.76,790,364,358,367
86,51.76,798.7,365,360,369
87,51.56,799.15,366,361,370
88,51.36,799.6,366,361,370
89,50.77,800.5,367,362,371
90,50.36,822.4,368,363,372
91,50.36,958.6,369,364,373
92,49.98,786.1,368,365,373
93,49.42,810.4,369,366,374
94,49.42,825.4,370,366,374
95,48.96,804.5,370,367,374
96,48.32,794.3,371,367,374
97,48.32,799.55,372,368,375
98,47.86,804.8,372,368,375
99,47.3,811.9,374,369,376
100,46.89,822,375,370,377
101,46.89,793.9,376,371,377
102,46.5,785.9,377,371,378
103,45.92,799.4,378,372,379
104,45.52,808,379,373,380
105,45.52,796.9,380,374,381
106,45.12,777.7,381,375,382
107,44.56,794.4,382,376,383
108,44.56,806.8,384,378,383
109,44.09,804.1,385,379,385
110,43.45,825.3,386,380,386
111,43.45,831.1,387,381,387
112,43.45,836.9,387,381,387
113,42.98,813.4,389,382,388
114,42.39,815.4,391,383,389
115,42.39,816.9,392,385,392
116,41.9,809,393,386,393
117,41.31,814,395,387,394
118,40.92,821.5,396,388,395
119,40.92,838.2,397,389,396
120,40.51,857.4,398,390,397
121,39.92,837,399,391,398
122,39.52,810.9,401,393,400
123,39.52,828.7,403,394,401
124,39.13,844.6,404,395,402
125,38.52,989.5,405,397,405
126,38.11,859.1,406,399,406
127,38.11,876.1,408,400,407
128,37.68,866.6,409,400,409
129,37.06,860.5,410,402,410
130,36.65,872,412,403,411
131,36.65,872.45,414,404,413
132,36.22,872.9,416,405,414
133,35.54,870.2,417,408,415
134,35.54,867.3,418,409,417
135,35.1,880.1,420,411,419
136,34.51,892,421,412,420
137,34.08,906.8,422,413,422
138,34.08,920.9,424,415,423
139,33.64,951.2,425,416,425
140,32.94,955,427,418,426
141,32.94,931.1,430,420,428
142,32.48,929.5,431,422,431
143,31.86,932.3,433,423,432
144,31.41,917.7,434,425,434
145,31.41,927.1,435,426,435
146,31.41,936.5,435,426,435
147,30.95,962.3,438,429,439
148,30.14,968.2,440,430,440
149,29.66,978.7,441,432,441
150,29.66,970,443,433,443
151,29.19,938.4,445,435,445
152,28.55,1125.3,446,437,447
153,28.08,986.6,450,438,448
154,28.08,974.3,451,442,450
155,27.59,999.3,453,443,454
156,26.92,1049.4,455,445,456
157,26.43,1023.1,456,447,458
