Time,Mass
[s],[g]
0,26.690
0.5,26.690
1,26.690
1.5,26.690
2,26.690
2.5,26.690
3,26.690
3.5,26.690
4,26.690
4.5,26.690
5,26.690
5.5,26.690
6,26.690
6.5,26.690
7,26.690
7.5,26.690
8,26.690
8.5,26.690
9,26.690
9.5,26.690
10,26.690
10.5,26.690
11,26.690
11.5,26.690
12,26.690
12.5,26.690
13,26.690
13.5,26.690
14,26.690
14.5,26.690
15,26.690
15.5,26.690
16,26.690
16.5,26.690
17,26.690
17.5,26.690
18,26.690
18.5,26.690
19,26.690
19.5,26.690
20,26.690
20.5,26.690
21,26.690
21.5,26.690
22,26.690
22.5,26.690
23,26.690
23.5,26.690
24,26.690
24.5,26.690
25,26.690
25.5,26.690
26,26.690
26.5,26.690
27,26.690
27.5,26.690
28,26.690
28.5,26.690
29,26.690
29.5,26.690
30,26.690
30.5,26.690
31,26.690
31.5,26.690
32,26.689
32.5,26.689
33,26.689
33.5,26.689
34,26.689
34.5,26.689
35,26.689
35.5,26.688
36,26.688
36.5,26.688
37,26.687
37.5,26.687
38,26.687
38.5,26.686
39,26.686
39.5,26.685
40,26.684
40.5,26.684
41,26.683
41.5,26.682
42,26.681
42.5,26.680
43,26.679
43.5,26.678
44,26.677
44.5,26.675
45,26.674
45.5,26.672
46,26.670
46.5,26.668
47,26.666
47.5,26.664
48,26.662
48.5,26.659
49,26.656
49.5,26.653
50,26.650
50.5,26.647
51,26.644
51.5,26.640
52,26.636
52.5,26.632
53,26.628
53.5,26.624
54,26.619
54.5,26.614
55,26.609
55.5,26.604
56,26.598
56.5,26.592
57,26.586
57.5,26.580
58,26.574
58.5,26.567
59,26.560
59.5,26.553
60,26.546
60.5,26.538
61,26.530
61.5,26.522
62,26.514
62.5,26.505
63,26.497
63.5,26.488
64,26.478
64.5,26.469
65,26.459
65.5,26.450
66,26.440
66.5,26.429
67,26.419
67.5,26.408
68,26.397
68.5,26.386
69,26.375
69.5,26.364
70,26.352
70.5,26.340
71,26.328
71.5,26.316
72,26.304
72.5,26.291
73,26.278
73.5,26.265
74,26.252
74.5,26.239
75,26.226
75.5,26.212
76,26.198
76.5,26.184
77,26.170
77.5,26.156
78,26.142
78.5,26.127
79,26.112
79.5,26.097
80,26.082
80.5,26.067
81,26.052
81.5,26.037
82,26.021
82.5,26.005
83,25.989
83.5,25.973
84,25.957
84.5,25.941
85,25.925
85.5,25.908
86,25.891
86.5,25.875
87,25.858
87.5,25.841
88,25.824
88.5,25.806
89,25.789
89.5,25.771
90,25.754
90.5,25.736
91,25.718
91.5,25.700
92,25.682
92.5,25.664
93,25.646
93.5,25.627
94,25.609
94.5,25.590
95,25.572
95.5,25.553
96,25.534
96.5,25.515
97,25.496
97.5,25.477
98,25.457
98.5,25.438
99,25.419
99.5,25.399
100,25.379
100.5,25.360
101,25.340
101.5,25.320
102,25.300
102.5,25.280
103,25.260
103.5,25.240
104,25.219
104.5,25.199
105,25.178
105.5,25.158
106,25.137
106.5,25.116
107,25.096
107.5,25.075
108,25.054
108.5,25.033
109,25.012
109.5,24.990
110,24.969
110.5,24.948
111,24.926
111.5,24.905
112,24.883
112.5,24.862
113,24.840
113.5,24.818
114,24.796
114.5,24.774
115,24.752
115.5,24.730
116,24.708
116.5,24.686
117,24.664
117.5,24.641
118,24.619
118.5,24.596
119,24.574
119.5,24.551
120,24.528
120.5,24.506
121,24.483
121.5,24.460
122,24.437
122.5,24.414
123,24.391
123.5,24.368
124,24.344
124.5,24.321
125,24.298
125.5,24.274
126,24.251
126.5,24.227
127,24.204
127.5,24.180
128,24.156
128.5,24.133
129,24.109
129.5,24.085
130,24.061
130.5,24.037
131,24.013
131.5,23.989
132,23.964
132.5,23.940
133,23.916
133.5,23.891
134,23.867
134.5,23.842
135,23.818
135.5,23.793
136,23.768
136.5,23.744
137,23.719
137.5,23.694
138,23.669
138.5,23.644
139,23.619
139.5,23.594
140,23.569
140.5,23.543
141,23.518
141.5,23.493
142,23.467
142.5,23.442
143,23.416
143.5,23.391
144,23.365
144.5,23.340
145,23.314
145.5,23.288
146,23.262
146.5,23.236
147,23.210
147.5,23.184
148,23.158
148.5,23.132
149,23.106
149.5,23.080
150,23.053
150.5,23.027
151,23.001
151.5,22.974
152,22.948
152.5,22.921
153,22.895
153.5,22.868
154,22.841
154.5,22.814
155,22.788
155.5,22.761
