Time,T_back
[s],[K]
0.0,292.1
0.5,292.1
1.0,292.1
1.5,292.1
2.0,292.1
2.5,292.1
3.0,292.1
3.5,292.1
4.0,292.1
4.5,292.1
5.0,292.1
5.5,292.1
6.0,292.1
6.5,292.1
7.0,292.1
7.5,292.1
8.0,292.1
8.5,292.1
9.0,292.1
9.5,292.1
10.0,292.1
10.5,292.1
11.0,292.1
11.5,292.1
12.0,292.1
12.5,292.1
13.0,292.1
13.5,292.1
14.0,292.1
14.5,292.1
15.0,292.1
15.5,292.1
16.0,292.1
16.5,292.1
17.0,292.1
17.5,292.1
18.0,292.1
18.5,292.1
19.0,292.1
19.5,292.1
20.0,292.1
20.5,292.1
21.0,292.1
21.5,292.2
22.0,292.2
22.5,292.2
23.0,292.2
23.5,292.2
24.0,292.3
24.5,292.3
25.0,292.3
25.5,292.4
26.0,292.4
26.5,292.4
27.0,292.5
27.5,292.5
28.0,292.6
28.5,292.7
29.0,292.7
29.5,292.8
30.0,292.9
30.5,292.9
31.0,293.0
31.5,293.1
32.0,293.2
32.5,293.3
33.0,293.4
33.5,293.5
34.0,293.6
34.5,293.8
35.0,293.9
35.5,294.0
36.0,294.1
36.5,294.3
37.0,294.4
37.5,294.6
38.0,294.8
38.5,294.9
39.0,295.1
39.5,295.3
40.0,295.5
40.5,295.7
41.0,295.9
41.5,296.1
42.0,296.3
42.5,296.5
43.0,296.7
43.5,297.0
44.0,297.2
44.5,297.5
45.0,297.7
45.5,298.0
46.0,298.2
46.5,298.5
47.0,298.8
47.5,299.1
48.0,299.4
48.5,299.7
49.0,300.0
49.5,300.3
50.0,300.6
50.5,300.9
51.0,301.2
51.5,301.6
52.0,301.9
52.5,302.3
53.0,302.6
53.5,303.0
54.0,303.3
54.5,303.7
55.0,304.1
55.5,304.4
56.0,304.8
56.5,305.2
57.0,305.6
57.5,306.0
58.0,306.4
58.5,306.8
59.0,307.2
59.5,307.7
60.0,308.1
60.5,308.5
61.0,309.0
61.5,309.4
62.0,309.9
62.5,310.3
63.0,310.8
63.5,311.2
64.0,311.7
64.5,312.2
65.0,312.6
65.5,313.1
66.0,313.6
66.5,314.1
67.0,314.6
67.5,315.1
68.0,315.6
68.5,316.1
69.0,316.6
69.5,317.1
70.0,317.6
70.5,318.1
71.0,318.6
71.5,319.2
72.0,319.7
72.5,320.2
73.0,320.7
73.5,321.3
74.0,321.8
74.5,322.4
75.0,322.9
