s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 0.0000000E+000, 6.9611616E+000, 9.9995139E-001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1644000E-002, 3.1815492E+001, 1.8423429E-001, 7.1851373E+000, 0.0000000E+000
 5.0000000E-001, 6.9611616E+000, 9.9995138E-001, 5.7237767E+001, 2.0899999E+001, 2.0900000E+001, 2.0900000E+001, 4.1644000E-002, 3.1815492E+001, 1.8423427E-001, 7.1851373E+000, 8.9990375E-008
 1.0000000E+000, 6.9611615E+000, 9.9995137E-001, 8.3610445E+001, 2.0899996E+001, 2.0900000E+001, 2.0900000E+001, 4.1644000E-002, 3.1815492E+001, 1.8423420E-001, 7.1851373E+000, 1.8758710E-007
 1.5000000E+000, 6.9611612E+000, 9.9995134E-001, 1.0097727E+002, 2.0899994E+001, 2.0900000E+001, 2.0900000E+001, 4.1644000E-002, 3.1815491E+001, 1.8423405E-001, 7.1851373E+000, 4.2298715E-007
 2.0000000E+000, 6.9611608E+000, 9.9995128E-001, 1.1486587E+002, 2.0899992E+001, 2.0900000E+001, 2.0900000E+001, 4.1644000E-002, 3.1815491E+001, 1.8423374E-001, 7.1851373E+000, 8.7238646E-007
 2.5100000E+000, 6.9611600E+000, 9.9995116E-001, 1.2681899E+002, 2.0899989E+001, 2.0900000E+001, 2.0900000E+001, 4.1643999E-002, 3.1815490E+001, 1.8423311E-001, 7.1851373E+000, 1.6324176E-006
 3.0100000E+000, 6.9611586E+000, 9.9995096E-001, 1.3736730E+002, 2.0899987E+001, 2.0900000E+001, 2.0900000E+001, 4.1643998E-002, 3.1815489E+001, 1.8423200E-001, 7.1851373E+000, 2.7985033E-006
 3.5100000E+000, 6.9611564E+000, 9.9995064E-001, 1.4677876E+002, 2.0899985E+001, 2.0900000E+001, 2.0900000E+001, 4.1643996E-002, 3.1815488E+001, 1.8423019E-001, 7.1851373E+000, 4.4619585E-006
 4.0100000E+000, 6.9611530E+000, 9.9995015E-001, 1.5539347E+002, 2.0899987E+001, 2.0900000E+001, 2.0900000E+001, 4.1643994E-002, 3.1815485E+001, 1.8422740E-001, 7.1851373E+000, 6.7453306E-006
 4.5100000E+000, 6.9611481E+000, 9.9994945E-001, 1.6336352E+002, 2.0900003E+001, 2.0900000E+001, 2.0900000E+001, 4.1643991E-002, 3.1815481E+001, 1.8422327E-001, 7.1851373E+000, 9.7684321E-006
 5.0100000E+000, 6.9611413E+000, 9.9994847E-001, 1.7079753E+002, 2.0900066E+001, 2.0900000E+001, 2.0900000E+001, 4.1643986E-002, 3.1815475E+001, 1.8421742E-001, 7.1851373E+000, 1.3655808E-005
 5.5100000E+000, 6.9611320E+000, 9.9994714E-001, 1.7777627E+002, 2.0900252E+001, 2.0900000E+001, 2.0900000E+001, 4.1643979E-002, 3.1815467E+001, 1.8420936E-001, 7.1851373E+000, 1.8535308E-005
 6.0100000E+000, 6.9611197E+000, 9.9994538E-001, 1.8436177E+002, 2.0900702E+001, 2.0900000E+001, 2.0900000E+001, 4.1643969E-002, 3.1815456E+001, 1.8419859E-001, 7.1851373E+000, 2.4536610E-005
 6.5100000E+000, 6.9611038E+000, 9.9994309E-001, 1.9060289E+002, 2.0901655E+001, 2.0900000E+001, 2.0900000E+001, 4.1643957E-002, 3.1815442E+001, 1.8418449E-001, 7.1851373E+000, 3.1789688E-005
